ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
95a685ae-5dae-4a9c-80b4-7b14f9f3b02f	1	Normann Stadler	M	MPRO	1	8:33:29	0:54:27	0:00:55	4:37:58	0:02:17	2:57:52	Germany	
cdc9bda6-17c3-4549-af36-4fadf616456a	2	Peter Reid	M	MPRO	2	8:43:40	0:53:12	0:00:27	5:01:38	0:02:14	2:46:09	Canada	
2e2772d5-5a49-43a6-b2fa-f3b6276c4ad7	3	Faris Al-Sultan	M	MPRO	3	8:45:14	0:50:39	0:01:50	4:55:44	0:02:10	2:54:51	GERMANY	
a1dd346a-fe36-4084-a5ad-b858a4bc157c	4	Alex Taubert	M	MPRO	4	8:48:35	0:53:24	0:01:56	4:49:44	0:02:55	3:00:36	Germany	
077f6b49-a00c-49ca-93ec-429b506131e1	5	Beke Rutger	M	MPRO	5	8:54:26	0:54:35	0:01:33	4:59:57	0:02:27	2:55:54	Belgien	
5c97d0fa-c35f-427e-8ef2-7a9aa64a99f3	6	Torbjorn Sindballe	M	MPRO	6	8:58:45	0:53:07	0:01:55	4:48:50	0:02:21	3:12:32	Denmark	
5f64dbe0-976d-4bae-8778-970be31d181c	7	Cameron Widoff	M	MPRO	7	8:59:25	0:51:31	0:01:57	4:59:36	0:02:14	3:04:07	United States	
903b908c-ea14-417f-9a86-919aba4fb9fe	8	Timo Bracht	M	MPRO	8	9:03:11	0:54:54	0:01:37	4:58:41	0:02:00	3:05:59	DE	
aa7e43c4-ab95-49b0-9a23-99d61884f35a	9	Rene Rovera	M	MPRO	9	9:04:32	0:56:28	0:01:39	5:04:30	0:02:14	2:59:41	FR	
94d52767-dc3e-43fe-85f7-7b8b7a30ebf5	10	Raynard Tissink	M	MPRO	10	9:04:51	0:53:18	0:02:01	5:02:45	0:06:01	3:00:46	ZA	
e3a9be46-c0a5-42dc-8133-10b2999983ca	11	Mitchell Anderson	M	MPRO	11	9:06:09	0:56:40	0:01:54	4:52:45	0:02:27	3:12:23	AU	
7dcd6956-8170-45ce-8d40-6ab2d288a350	12	Timothy Deboom	M	MPRO	12	9:07:12	0:51:21	0:01:49	5:01:58	0:06:36	3:05:28	United States	
f3611ed7-ba8a-4a3a-aeaa-dc32a20d3e8a	13	Olaf Sabatschus	M	MPRO	13	9:12:33	0:56:35	0:01:58	5:12:17	0:05:02	2:56:41	ES	
5a45d6aa-6ea1-4137-bf58-234bd2c8b98a	14	Uwe Widmann	M	MPRO	14	9:14:59	0:53:15	0:02:06	5:05:53	0:06:48	3:06:57	Germany	
07c8992b-ec7e-4a34-86d9-87bc4b9ba6da	15	Patrick Vernay	M	MPRO	15	9:15:03	0:51:32	0:02:01	5:16:09	0:06:05	2:59:16		
1803d2ce-18ed-4afb-ad25-1eb51f060325	16	Kai Hundertmarck	M	M35-39	16	9:19:38	1:03:15	0:03:33	4:47:27	0:03:49	3:21:34	DE	
e6ae5787-6cf0-4f3e-9381-beeda88dc8e8	17	Steffen Liebetrau	M	MPRO	17	9:21:22	0:53:11	0:02:01	5:11:59	0:02:18	3:11:53	DEU	
2fc77a5a-c056-4d26-a74c-a5a8eb1ac6cf	18	Michael Lovato	M	MPRO	18	9:22:39	0:54:52	0:01:21	5:10:26	0:02:19	3:13:41	USA	
4f276da6-f261-45d5-9c87-d7f3313f1fa2	19	Reboul Gilles	M	MPRO	19	9:23:41	0:53:00	0:02:02	5:12:11	0:02:29	3:13:59	France	
