numberCard	氏名	種目	性別	グロス	ネット	種目別順位	総合順位	19kmラップ	19kmスプリット	20kmラップ	20kmスプリット	Finishラップ
2	野口 忍	招待		1:06:32		1	1					
110	池本 幸男	アスリートクラス		1:04:11		1	1					
140	山崎 千尋	オープン		1:30:07		1	1					
1	今中 大介	招待		1:13:44		2	2					
106	本柳 隆志	アスリートクラス		1:06:03		2	2					
3	堂城 賢	招待		1:32:50		3	3					
115	雑賀 保彦	オープン		1:40:36		3	3					
132	高坂 希太郎	アスリートクラス		1:06:32		3	3					
124	田平 岳史	アスリートクラス		1:07:07		4	4					
139	花田 光	オープン		1:50:12		4	4					
152	中澤 秀嘉	オープン		1:55:10		5	5					
102	細木 郁生	アスリートクラス		1:07:15		5	6					
129	加藤 辰雄	オープン		2:15:21		6	6					
103	岡田 知之	アスリートクラス		1:07:49		6	8					
109	鈴木 子門	アスリートクラス		1:08:45		7	11					
136	須釜 弘	アスリートクラス		1:09:21		8	14					
126	新妻 大介	アスリートクラス		1:09:25		9	15					
101	菅間 圭介	アスリートクラス		1:09:31		10	16					
153	清水 琢矢	アスリートクラス		1:09:42		11	20					
111	カコイ 大地	アスリートクラス		1:11:14		12	31					
125	関田 尚浩	アスリートクラス		1:11:34		13	34					
147	南波 孝之	アスリートクラス		1:11:38		14	35					
121	武村 玄彦	アスリートクラス		1:13:24		15	67					
131	鵜沢 祐也	アスリートクラス		1:13:51		16	75					
119	影山 善明	アスリートクラス		1:13:59		17	78					
135	須釜 武志	アスリートクラス		1:14:17		18	84					
114	本多 範行	アスリートクラス		1:14:17		19	85					
133	井上 友文	アスリートクラス		1:14:27		20	92					
120	菅谷 俊宏	アスリートクラス		1:14:36		21	98					
157	石川 智崇	アスリートクラス		1:14:44		22	101					
117	堀 健太郎	アスリートクラス		1:16:49		23	154					
123	大橋 征幸	アスリートクラス		1:18:38		24	209					
134	関川 恒平	アスリートクラス		1:18:42		25	210					
138	山崎 開平	アスリートクラス		1:18:47		26	213					
142	岡村 康弘	アスリートクラス		1:18:49		27	216					
128	小野 洋	アスリートクラス		1:19:21		28	232					
145	中村 道明	アスリートクラス		1:19:31		29	241					
118	高橋 雅春	アスリートクラス		1:22:43		30	379					
161	中田 真琴	アスリートクラス		1:23:26		31	412					
149	山森 信次	アスリートクラス		1:24:14		32	457					
105	吉田 将宏	アスリートクラス		1:27:17		33	625					
112	大石 斉	アスリートクラス		1:28:04		34	667					
108	大鹿 真治	アスリートクラス		1:29:13		35	734					
150	田中 剛	アスリートクラス		1:31:26		36	886					
104	木村 喜久	アスリートクラス		1:33:27		37	1004					
116	宮脇 誠治	アスリートクラス		1:36:56		38	1218					
158	石川 貴郎	アスリートクラス		1:38:29		39	1319					
107	星名 始	アスリートクラス		1:45:26		40	1678					
20	松本 洋	ロード男子 29歳以下	男	2:05:26		403	2543					
156	秋山 紀和	アスリートクラス		2:07:24		41	2604					
144	Ｏｎｏ Ｋａｚｕｈｉｒｏ	アスリートクラス		2:08:06		42	2617					
159	手島 正樹	アスリートクラス		3:13:02		43	3359					
