ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
5f876caf-dae7-49af-b4e4-62d31034e78f	1	Jan Raphael	M	MPRO	1	8:22:44	0:50:28	0:02:01	4:34:07	0:01:56	2:54:12	DE	
24febb5d-0a51-4de0-bb06-b00b0bb6a276	2	Eduardo Sturla	M	MPRO	2	8:23:49	0:53:42	0:02:12	4:34:21	0:01:23	2:52:11	AR	
45eab0c2-1d65-4789-871e-b514f03e2af0	3	James Vance	M	MPRO	3	8:37:09	0:54:06	0:02:14	4:43:19	0:02:32	2:54:58	US	
affb8231-ef4f-4c73-bc91-141af5d961d7	4	Stephen Bayliss	M	MPRO	4	8:43:41	0:50:34	0:01:48	4:53:23	0:01:14	2:56:42	GB	
efa22320-eb7e-49b5-9bf5-de9e625caf99	5	Scott Curry	M	MPRO	5	8:45:12	0:55:38	0:02:24	4:40:31	0:02:04	3:04:35	CA	
ff12871c-8cf3-4099-a998-a2deff2b09c9	6	Christophe Bastie	M	MPRO	6	8:46:16	0:56:16	0:02:22	4:39:05	0:02:03	3:06:30	FR	
e56b4478-4cf2-432e-95cd-fc75893734ef	7	Jozsef Major	M	MPRO	7	8:48:17	1:01:35	0:03:27	4:45:32	0:03:04	2:54:39	US	
79f44a7e-d1fd-4e8f-8e3b-740920978462	8	Alain Vervoort	M	MPRO	8	8:52:38	0:56:12	0:02:24	4:51:36	0:01:58	3:00:28	BEL	
3bb2ce8f-bd8f-485e-a9bc-b2226fa15297	9	Joseph Spindler	M	MPRO	9	8:53:42	1:12:34	0:03:09	4:43:27	0:02:16	2:52:16	DE	
e79c8b35-00d8-4c5c-8701-dde2ca4255da	10	Dan Morwood	M	M30-34	10	8:54:13	1:05:50	0:03:33	4:45:49	0:02:00	2:57:01		
bcdc6bc0-5bb8-4352-8c4c-24bbdf33d915	11	Sebastian Pedraza	M	MPRO	11	8:55:58	0:53:39	0:02:28	4:44:44	0:01:32	3:13:35	IT	
2f0582f2-ef0f-41ac-ade5-fe4a9b3adb8e	12	Gerrit De Pauw	M	MPRO	12	8:58:23	0:56:04	0:02:32	4:51:38	0:01:33	3:06:36	DEU	
cd82a28d-4632-4f60-8bc1-b6800e32a79e	13	Raimo Raudsepp	M	MPRO	13	9:01:02	0:58:18	0:03:03	4:57:26	0:02:17	2:59:58	EST	
82cc36d0-cbff-459e-ad8f-5d4a56b2f63e	14	Manuel Barreiro	M	MPRO	14	9:02:55	0:56:28	0:02:34	4:52:02	0:02:35	3:09:16	VE	
a2f52c49-aff7-4f87-a6e2-604d63fce70d	15	Christian Maensson	M	M30-34	15	9:04:57	1:04:23	0:04:25	4:53:39	0:02:14	3:00:16	AUS	
1e0c74b8-ea11-41d2-9a51-206ae23b0e76	16	Justin Daerr	M	MPRO	16	9:05:48	0:58:26	0:03:49	4:54:57	0:03:43	3:04:53	United States	
1ccedc18-325c-476e-b58e-3265ae2b8ce7	17	Chris Gebhardt	M	MPRO	17	9:06:39	0:58:21	0:02:44	4:49:16	0:02:21	3:13:57	USA	
2a5d2c34-0ec3-4144-b805-f64d7dfbcc34	18	Konrad Von Allmen	M	M35-39	18	9:07:16	1:03:37	0:03:26	5:04:21	0:02:02	2:53:50	CH	
ed72b93b-ee8f-489b-b8dd-40a39d0ad190	19	Agustin Fontes	M	MPRO	19	9:07:25	0:53:42	0:02:44	4:59:17	0:01:49	3:09:53	Venezuela	
10d86c9f-bd75-4139-984c-142193b58bb5	20	Terence Kerrigan	M	MPRO	20	9:09:17	1:00:32	0:03:25	4:50:00	0:03:25	3:11:55	United States	
9013931b-6069-46a5-afcd-3b7b3bc89f24	21	Jamie Moracci	M	M25-29	21	9:09:41	0:54:50	0:03:21	4:54:29	0:01:45	3:15:16	Canada	
bfb405ef-8035-48af-85ce-3e2ebc71d0e8	22	Gabriel Raff Gasparini	M	M18-24	22	9:12:56	1:01:37	0:04:18	4:52:05	0:01:52	3:13:04	Argentina	
9d2db7b4-c6b2-4900-8761-a00073cac2c6	23	Bruno Giovanoli	M	M35-39	23	9:13:35	0:58:33	0:05:34	4:55:31	0:02:47	3:11:10	Switzerland	
f9f820e7-9aa3-4993-87e3-0114caf45f74	24	Richard Freer	M	MPRO	24	9:15:08	1:01:45	0:03:19	4:53:17	0:03:39	3:13:08	United States	
5be179ba-3ad6-4711-abd4-155b0187b776	25	Andreas Hechler	M	M30-34	25	9:15:13	0:55:55	0:02:42	4:49:32	0:01:54	3:25:10	DEU	
7aa826cd-7235-4de5-b196-eb2c32d737d9	26	Peter Russo	M	M40-44	26	9:21:29	0:56:19	0:06:12	4:51:02	0:03:32	3:24:24	US	
edf05ebb-fe66-483b-98f2-4e110c53e475	27	Patrick Allaire	M	MPRO	27	9:21:57	1:05:50	0:02:46	5:08:03	0:01:16	3:04:02	CA	
ed0d16ca-e9ec-4e31-b4b4-a625efb97d9b	28	Daniel Avant	M	M30-34	28	9:22:19	1:07:27	0:06:55	4:57:00	0:02:24	3:08:33	NLD	
35c4e87a-041e-4f0b-adfb-1674e3dd85ab	29	Peter Kotland	M	MPRO	29	9:22:25	0:58:29	0:04:04	5:06:35	0:05:00	3:08:17	US	
217a11b0-b241-465f-8b9e-e4468f387b24	30	Daniel Domingo	M	MPRO	30	9:22:41	0:53:37	0:03:11	4:55:57	0:03:05	3:26:51	United States	
d313441c-6e15-4684-86d1-03a23f6e2f0e	31	Joe Bonness	M	M50-54	31	9:23:42	1:03:10	0:04:55	4:45:26	0:01:56	3:28:15	US	
6e18e43c-ea5b-4798-96f2-5f874eb638c9	32	Pablo Erat	M	M35-39	32	9:25:01	1:03:40	0:05:29	4:53:22	0:02:46	3:19:44	CHE	
6ac50ba9-d18d-46d6-a0f1-ece6c7ae4f4a	33	Steve Kester	M	M40-44	33	9:25:27	0:56:41	0:05:14	5:07:52	0:02:00	3:13:40	US	
1650f635-f1f4-4e4e-a140-66f4f3bc26e6	34	Matthew Nuffort	M	M30-34	34	9:26:48	0:52:20	0:05:02	4:59:12	0:02:52	3:27:22	lux	
4b30a455-1094-4e6f-bd28-aa202c1639b4	35	Jo De Neve	M	M35-39	35	9:27:51	0:53:42	0:03:01	5:11:33	0:04:37	3:14:58	Belgium	
40551863-949f-4145-8d8c-a044d9e0a972	36	Bella Comerford	F	FPRO	36	9:28:28	0:58:27	0:02:06	5:14:02	0:02:14	3:11:39	GB	
7fc322a1-14da-4e9f-952e-1bb6a7c08c4f	37	Roger Berggren	M	M40-44	37	9:30:02	1:08:08	0:05:41	4:56:24	0:02:26	3:17:23	SE	
46ffa24b-086b-4025-b61e-4df4e38193e3	38	Pirmin Christen	M	M30-34	38	9:30:15	1:01:18	0:02:48	4:55:46	0:02:21	3:28:02	CH	
82eb1b3a-38c4-4e45-9595-c3cc93d4f848	39	Stephan Schwarze	M	M35-39	39	9:30:23	1:03:36	0:06:06	5:07:42	0:03:29	3:09:30	US	
6dea4b61-ba2e-4670-a1fb-76aa2eb75b6c	40	Scott Duprex	M	MPRO	40	9:30:31	0:56:11	0:02:56	4:57:51	0:01:46	3:31:47	US	
58e20acf-9f4c-459e-b516-2b4970592216	41	Ben Schloegel	M	MPRO	41	9:31:39	1:05:50	0:02:56	5:09:52	0:03:35	3:09:26	US	
bcccbe3a-3351-4bc8-93b2-c6ad98d4db64	42	Steven Lord	M	M35-39	42	9:32:26	0:58:13	0:02:50	5:11:16	0:01:45	3:18:22	GB	
9c74d4a6-0fea-4064-b54e-4e751630efad	43	Christopher Brown	M	MPRO	43	9:33:00	0:58:34	0:01:55	5:23:41	0:01:56	3:06:54	CA	
d43a070e-d3f4-4dba-8c50-042dceece54a	44	Chris Schwengers	M	M25-29	44	9:34:45	0:59:22	0:05:15	5:06:47	0:03:22	3:19:59	DEU	
da0931e7-53bf-4f0d-b5f9-446ce5e1d186	45	Holger Pohlenz	M	M40-44	45	9:35:26	1:04:42	0:06:24	5:02:04	0:06:55	3:15:21	DE	
04a44976-cbd3-47c0-bf64-b9dccff0f5d4	46	Harald Kusolitsch	M	M35-39	46	9:35:37	0:58:32	0:03:44	5:07:45	0:04:13	3:21:23	AUT	
dd94deb1-af7f-40fa-981b-f28a63c25d67	47	Jan-Matti Becker	M	M25-29	47	9:36:11	0:58:14	0:03:25	5:11:45	0:03:08	3:19:39	DEU	
dd6a37fd-0a0f-4121-9952-0a4def5ac39b	48	Erik Wilde	M	M35-39	48	9:36:47	1:06:05	0:05:35	5:02:30	0:02:41	3:19:56		
8d9f2dff-e441-4461-8d86-42fc408ed342	49	Christoph Groneuer	M	M25-29	49	9:36:56	1:10:06	0:05:43	5:03:12	0:01:34	3:16:21	DEU	
382857b1-bcd0-4b72-b756-df2115bdea77	50	Matt Desmond	M	MPRO	50	9:37:07	1:04:42	0:03:24	5:10:45	0:03:09	3:15:07	US	
46a3334d-440b-4c23-b8a8-750390f83cf0	51	Richard Nixon	M	M40-44	51	9:37:23	1:01:24	0:04:37	5:01:50	0:01:50	3:27:42	United States	
d3a04a19-d342-4a66-b008-d75de84c8587	52	Joe Company	M	MPRO	52	9:37:24	1:03:41	0:04:05	4:55:57	0:03:05	3:30:36	USA	
a0e9460c-4572-4bc4-9f13-e73ece5dbafa	53	Bart Decru	M	M25-29	53	9:37:29	0:55:50	0:03:03	5:05:36	0:01:54	3:31:06	Belgium	
