ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
805208	DNS	Craig Kerr	M	M40-44	0							China	DNS
506949	DNF	Scott Barnett	M	M35-39	0		0:26:19	0:04:33	3:19:21			Singapore	DNF
805209	DNS	Yiu Ka On	M	M35-39	0							Hong Kong	DNS
644097	DNS	James Shum	M	M35-39	0							Hong Kong	DNS
805212	DNS	Mark Stanley	M	M40-44	0							United Kingdom	DNS
805215	DNF	Giovannie Croes	M	M35-39	0		0:42:47	0:06:05	3:27:39	0:04:31		Aruba	DNF
163542	DNS	Dennis West	M	M60-64	0							United States	DNS
805216	DNS	Lui Hung Chung	M	M45-49	0							Hong Kong	DNS
805217	DNF	Bochun Qiu	M	M25-29	0		0:41:15	0:03:58	3:02:59	0:03:52		China	DNF
805218	DNF	Kian Seng Lim	M	M30-34	0		1:16:35	0:06:03	3:55:09	0:07:57		Singapore	DNF
732909	DNS	Jeffrey Reece	M	M25-29	0							China	DNS
805219	DNS	Yu Liang Chang	M	M30-34	0							Taiwan 	DNS
805220	DNS	Philip Tiffin	M	M35-39	0							Hong Kong	DNS
300425	DNS	Claudia Olivares	F	F40-44	0							Mexico	DNS
805223	DNS	Nichol Bradford	F	F35-39	0							United States	DNS
805224	DNF	Johan Perch Houuaren	M	M30-34	0		0:36:44	0:04:54	2:57:16	0:05:05		Switzerland	DNF
489030	DNF	Bill Mccormack	M	M40-44	0		0:33:56	0:03:26	2:55:06			Singapore	DNF
805145	DNF	Irene Tan	F	F40-44	0		1:13:23	0:09:19	5:24:30	0:07:19		Singapore	DNF
805146	DNS	Nick Andrews	M	M45-49	0							Hong Kong	DNS
805148	DNF	William Liu	M	M30-34	0		1:03:35	0:05:54	4:40:54	0:06:05		United States	DNF
121140	DNS	Fredrik Croneborg	M	M25-29	0							Sweden	DNS
228382	DNF	Sebastien Boiteux	M	M25-29	0		0:36:41	0:06:20	4:58:33			China	DNF
805150	DNF	Edward Manco	M	M50-54	0		0:34:57	0:06:22	4:03:09	0:37:50		United States	DNF
162556	DNF	Kenneth Yip	M	M25-29	0		0:26:25	0:03:08	2:40:01	0:02:40		Hong Kong	DNF
560778	DNS	Martin Lee	M	M40-44	0							Hong Kong	DNS
805151	DNF	Andreas Neuber	M	M40-44	0		0:36:55	0:07:29	3:41:27			Korea 	DNF
805152	DNS	Stacey Travis	F	F35-39	0							United States	DNS
805153	DNS	Xin Li	M	M25-29	0							China	DNS
805156	DNF	Ye Xu	M	M25-29	0		1:07:34	0:06:54	3:55:26			China	DNF
796614	DNS	Aya Morita	F	F35-39	0							Hong Kong	DNS
805158	DNF	Loganathan Ramachandra	M	M40-44	0		1:15:30					Singapore	DNF
805159	DNS	Mike Halkes	M	M25-29	0							Hong Kong	DNS
796321	DNF	Manfred Bollschweiler	M	M50-54	0		1:04:22	0:09:13	5:01:31			Germany	DNF
132537	DNS	Robert Tan	M	M40-44	0							China	DNS
805162	DNS	Steven Carpenter	M	M45-49	0							China	DNS
805163	DNF	Nicole Sandercoe	F	F30-34	0		0:35:18	0:04:12	3:54:13			Australia	DNF
530415	DNS	Carin Molchan	F	F25-29	0							United States	DNS
805165	DNF	Daniel Sng	M	M35-39	0		0:43:39	0:39:15	3:50:52	0:12:00		Singapore	DNF
692761	DNS	Audrey Schroeder	F	F40-44	0							China	DNS
95648	DNS	Martin Riley	M	M30-34	0							China	DNS
805168	DNS	Deryk Fournier	M	M35-39	0							China	DNS
805169	DNS	Robert Vermylen	M	M35-39	0							China	DNS
805170	DNS	Carol Lau	F	F35-39	0							Hong Kong	DNS
790242	DNS	Gary French	M	M40-44	0							United Kingdom	DNS
35730	DNS	Marc Bossis	M	F45-49	0							France	DNS
560600	DNS	Alan Collins	M	M55-59	0							Hong Kong	DNS
805171	DNF	Paul Chiu	M	M55-59	0		1:15:40					China	DNF
805172	DNS	Liwei Wang	M	M45-49	0							China	DNS
761878	DNF	Mike Jakeman	M	M55-59	0		1:05:46	0:12:26	4:22:08	0:10:08		China	DNF
95519	DNF	Bernard Poon	M	M40-44	0		0:52:48	0:07:12				Hong Kong	DNF
805173	DNS	Alexander Baumstark	M	M30-34	0							China	DNS
805174	DNS	Robert Davies	M	M40-44	0							Thailand	DNS
805178	DNS	Cong Nguyen	M	M35-39	0							Hong Kong	DNS
805180	DNS	Ren Hua Ho	M	M25-29	0							United States	DNS
805181	DNS	Aj Anderson	M	M30-34	0							Singapore	DNS
736737	DNS	Titus Rund	M	M30-34	0							United States	DNS
791420	DNS	Georgina Jones	F	F35-39	0							Singapore	DNS
67691	DNS	Kunihito Watanabe	M	M45-49	0							Hong Kong	DNS
452637	DNF	Kert Davis	M	M65-69	0		0:50:21	0:06:11	4:54:11			United States	DNF
201463	DNF	Lawrence Mills	M	M45-49	0		1:07:21	0:06:59	2:45:37			Hong Kong	DNF
567564	DNF	Matthew Mctee	M	M50-54	0		0:41:12	0:10:35	4:01:18	0:14:34		India	DNF
805185	DNS	Patrick Moisy	M	M40-44	0							Hong Kong	DNS
805187	DNS	Chris Illidge	M	M65-69	0							Thailand	DNS
805188	DNS	James Riley	M	M45-49	0							Hong Kong	DNS
805191	DNS	Brad Marshall	M	M40-44	0							United States	DNS
805192	DNS	Verona Ho	F	F25-29	0							Hong Kong	DNS
343302	DNF	Michael Rouse	M	M35-39	0		0:34:39	0:05:10	4:11:42			China	DNF
172069	DNF	Christine Sanz	F	F50-54	0		0:53:10	0:07:12	6:02:01			United States	DNF
414897	DNS	Jeremy Bartlett	M	M50-54	0							Hong Kong	DNS
652675	DNS	Leslie Bird	M	M55-59	0							Thailand	DNS
665787	DNS	Marc Harvey	M	M40-44	0							Hong Kong	DNS
805193	DNF	Michelle Merrihew	F	F35-39	0		0:54:40	0:06:21	3:52:43	0:06:51		United States	DNF
398496	DNS	Joseph Henry	M	M40-44	0							Thailand	DNS
800808	DNS	David Chitayat	M	M30-34	0							China	DNS
805194	DNS	Andrew Rickards	M	M45-49	0							Hong Kong	DNS
492916	DNS	Adrian Halkes	M	M50-54	0							Hong Kong	DNS
805196	DNF	Andy Laib	M	M25-29	0		0:45:26	0:07:28	4:02:59	0:07:38		China	DNF
805197	DNF	Jason Khaw	M	M50-54	0		1:14:31	0:06:06	2:52:53			Singapore	DNF
561047	DNS	Stuart Elliott	M	M30-34	0							Hong Kong	DNS
805200	DNS	Qingchao Wang	M	M45-49	0							China	DNS
414661	DNS	Jurgen Swinckels	M	M40-44	0							Viet Nam	DNS
766927	DNS	Freek Boelen	M	M45-49	0							China	DNS
805202	DNS	Wing Leung	M	M35-39	0							Hong Kong	DNS
805203	DNS	Kenro Kobayashi	M	M55-59	0							Japan	DNS
805204	DNF	Sharon Teng	F	F35-39	0		1:10:42	0:06:51	3:46:01	0:06:30		Singapore	DNF
805149	1	Chris Mccormack	M	MPRO	1	4:04:44	0:19:38	0:01:41	2:14:35	0:01:32	1:27:18	United States	FIN
32057	2	Luke Mckenzie	M	MPRO	2	4:23:34	0:19:16	0:01:39	2:19:43	0:01:50	1:41:06	Australia	FIN
79855	3	Mark Jansen	M	M35-39	1	4:38:11	0:26:39	0:02:28	2:21:33	0:02:00	1:45:31	Singapore	FIN
805186	4	Ken Glah	M	M45-49	1	4:46:12	0:25:24	0:02:06	2:27:57	0:02:41	1:48:04	United States	FIN
143770	5	Paul Matthews	M	MPRO	3	5:00:00	0:18:36	0:01:51	2:26:54	0:01:39	2:11:00	Australia	FIN
222940	6	Bruce Pye	M	M40-44	1	5:04:58	0:33:10	0:05:18	2:39:45	0:03:16	1:43:29	Hong Kong	FIN
805176	7	Kevin Clark	M	M30-34	1	5:11:40	0:20:42	0:02:04	2:30:35	0:01:52	2:16:27	Hong Kong	FIN
118527	8	Brad Williams	M	M18-24	1	5:16:34	0:35:05	0:03:31	2:33:56	0:02:51	2:01:11	United States	FIN
757315	9	Erwann Mahe	M	M30-34	2	5:22:10	0:35:46	0:05:09	2:37:30	0:02:20	2:01:25	Thailand	FIN
132622	10	Richard Greaves	M	M35-39	2	5:25:46	0:27:37	0:04:31	2:42:32	0:02:44	2:08:22	China	FIN
99978	11	Miroslav Blanarik	M	M35-39	3	5:26:00	0:37:15	0:04:21	2:42:38	0:03:30	1:58:16	Malaysia	FIN
23843	12	Eric Reid	M	M35-39	4	5:27:43	0:31:13	0:03:47	2:38:19	0:03:14	2:11:10	United States	FIN
805183	13	Amanda Balding	F	FPRO	1	5:28:55	0:26:19	0:02:28	2:48:05	0:02:25	2:09:38	Australia	FIN
137189	14	Hans Weytjens	M	M40-44	2	5:30:26	0:32:16	0:03:58	2:39:55	0:02:23	2:11:54	Germany	FIN
290845	15	Antony Bell-Scott	M	M30-34	3	5:31:18	0:28:46	0:01:50	2:36:25	0:02:05	2:22:12	United Kingdom	FIN
235967	16	Darren Benson	M	M35-39	5	5:31:24	0:33:38	0:03:26	2:40:47	0:02:10	2:11:23	Hong Kong	FIN
132528	17	Tomoya Tsuruta	M	M30-34	4	5:31:36	0:32:24	0:03:16	2:50:37	0:02:08	2:03:11	Singapore	FIN
252902	18	Neil Van Heerden	M	M35-39	6	5:32:02	0:31:55	0:03:23	2:39:59	0:01:53	2:14:52	Singapore	FIN
781743	19	Patrick Heckelmann	M	M40-44	3	5:32:29	0:33:12	0:03:11	2:56:26	0:02:33	1:57:07	China	FIN
368216	20	Michael O Grady	M	M45-49	2	5:35:09	0:36:32	0:05:13	2:51:45	0:03:39	1:58:00	Ireland	FIN
261903	21	Bernd Kiesel	M	M40-44	4	5:37:10	0:25:50	0:02:53	2:43:16	0:02:20	2:22:51	Germany	FIN
94438	22	Mark Lampard	M	M40-44	5	5:38:23	0:29:56	0:04:04	2:40:25	0:03:40	2:20:18	Singapore	FIN
634974	23	Julian Hudson	M	M35-39	7	5:41:53	0:36:06	0:04:03	2:36:26	0:03:07	2:22:11	Singapore	FIN
430159	24	Dughall Aitken	M	M40-44	6	5:44:06	0:25:06	0:02:24	2:36:08	0:02:52	2:37:36	Singapore	FIN
89084	25	Kent Wong	M	M35-39	8	5:47:41	0:35:46	0:02:32	2:54:16	0:03:27	2:11:40	Hong Kong	FIN
235681	26	Richard Parkinson	M	M40-44	7	5:48:52	0:30:11	0:03:39	2:42:31	0:02:07	2:30:24	Singapore	FIN
187954	27	Liam Winston	M	M35-39	9	5:50:17	0:32:53	0:02:51	3:03:08	0:02:23	2:09:02	Hong Kong	FIN
153062	28	Gary Ong	M	M40-44	8	5:50:40	0:34:35	0:03:36	2:50:02	0:03:36	2:18:51	Hong Kong	FIN
805222	29	Andy Lai	M	M35-39	10	5:51:19	0:31:26	0:03:27	2:58:47	0:02:53	2:14:46	Hong Kong	FIN
805175	30	Mark Collins	M	M30-34	5	5:52:20	0:31:59	0:04:53	2:54:52	0:03:37	2:16:59	Hong Kong	FIN
94535	31	Olivier Baillet	M	M35-39	11	5:52:57	0:25:00	0:02:41	2:48:43	0:03:06	2:33:27	Hong Kong	FIN
99893	32	Miguel Huelamo	M	M30-34	6	5:53:11	0:37:25	0:04:43	2:42:02	0:03:04	2:25:57	China	FIN
805190	33	Gemma Keogh Peters	F	F30-34	1	5:53:40	0:27:45	0:04:47	3:06:12	0:03:33	2:11:23	Singapore	FIN
805206	34	Jun Kau Wong	M	M30-34	7	5:56:03	0:36:38	0:04:35	2:52:52	0:03:59	2:17:59	China	FIN
777005	35	Justin Keyes	M	M35-39	12	5:58:53	0:37:27	0:03:30	2:49:22	0:03:22	2:25:12	Hong Kong	FIN
456387	36	Jutta WeÃŸling	F	F25-29	1	5:59:52	0:35:36	0:03:03	3:02:55	0:03:13	2:15:05	Germany	FIN
280511	37	zennon kapron	M	M30-34	8	6:00:54	0:32:55	0:03:25	2:49:12	0:03:01	2:32:21	China	FIN
805166	38	Andy Lam	M	M40-44	9	6:01:03	0:43:19	0:02:41	3:03:57	0:02:48	2:08:18	Hong Kong	FIN
120696	39	Anne Knecht-Boyer	F	F50-54	1	6:01:23	0:31:30	0:03:33	3:08:49	0:04:15	2:13:16	Hong Kong	FIN
644015	40	Wai Chung Christopher Tong	M	M35-39	13	6:01:51	0:33:52	0:02:52	2:37:48	0:02:17	2:45:02	China	FIN
223833	41	Rudolf Fleischmann	M	M35-39	14	6:02:16	0:41:56	0:04:43	3:03:50	0:03:30	2:08:17	Hong Kong	FIN
78634	42	Neil Franks	M	M50-54	1	6:05:01	0:40:12	0:04:50	2:53:04	0:04:14	2:22:41	Singapore	FIN
