ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
569463	DNS	Garrett Quigley	M	M40-44	0							Hong Kong	DNS
789527	DNS	Matt Emsley	M	M40-44	0							United Kingdom	DNS
131397	DNF	Michael Tse	M	M45-49	0		0:52:56	0:03:12	2:30:55	0:03:09		Hong Kong	DNF
789322	DNF	Franchesca Carpo	F	F30-34	0		1:01:02					Philippines 	DNF
89036	DNS	Gerrie Calinawan	M	M25-29	0							Philippines 	DNS
789435	DNF	Michael Mandap	M	M30-34	0		0:43:06	0:03:15	2:42:44			Philippines 	DNF
789436	DNS	James Wood	M	M40-44	0							Australia	DNS
775073	DNS	Raul Cuevas	M	M35-39	0							Philippines 	DNS
789536	DNF	Margaret Buot	F	F35-39	0		1:11:56	0:09:03	4:14:59			Philippines 	DNF
789438	DNS	Christopher Bailey	M	M30-34	0							United Kingdom	DNS
789326	DNS	Prakan Visittikun	M	M35-39	0							Viet Nam	DNS
181780	DNS	Richard Ridao	M	M50-54	0							United States	DNS
789333	DNF	Rico Quicho	M	M30-34	0		0:50:16	0:06:22	4:10:14			Philippines 	DNF
95237	DNS	Claus Schuermann	M	M40-44	0							Germany	DNS
789440	DNS	Eugene Skinner	M	M45-49	0							Japan	DNS
789441	DNS	Nori Poblador	M	M40-44	0							Philippines 	DNS
430168	DNF	Taisun Tee	M	M50-54	0		0:54:18	0:08:06	3:49:00	0:08:15		Malaysia	DNF
789442	DNS	Jose Carlos	M	M40-44	0							Philippines 	DNS
114260	DNS	Graeme Torre	M	M45-49	0							United Kingdom	DNS
377980	DNS	William Dobson	M	M45-49	0							Thailand	DNS
497839	DNS	Nicole Nufer	F	F45-49	0							United Kingdom	DNS
789446	DNF	Haley Cooper- Scott	F	FPRO	0		0:32:05	0:02:20	2:41:32			United States	DNF
789337	DNS	Stephan Meinhardt	M	M40-44	0							Switzerland	DNS
534140	DNS	Paul Alton	M	M50-54	0							United Kingdom	DNS
122296	DNS	Ali Fowler	F	F35-39	0							United Kingdom	DNS
789338	DNS	Sebastien Hitier	M	M35-39	0							France	DNS
789447	DNS	Martin Howard	M	M25-29	0							United Kingdom	DNS
213317	DNF	Manuel Nicolas	M	M40-44	0		1:12:05	0:05:36	4:17:47	0:07:44		Philippines 	DNF
132556	DNF	Fenella Ng	F	F40-44	0		0:32:24	0:06:37	3:01:46			Hong Kong	DNF
789343	DNS	Xavier Garcia	M	M35-39	0							Spain	DNS
31663	DNS	Assad Attamimi	M	M35-39	0							Australia	DNS
414707	DNS	Annemarie Munk	F	F35-39	0							Hong Kong	DNS
789451	DNF	Simon Ashworth	M	M25-29	0		0:35:45	0:03:21	2:34:46	0:02:47		United Kingdom	DNF
789553	DNS	Justin Cole	M	MPRO	0							Australia	DNS
90713	DNF	Vincent Garcia	M	M45-49	0		1:00:47	0:04:58				Philippines 	DNF
776738	DNS	Trevor White	M	M30-34	0							Ireland	DNS
789452	DNS	Nicola Buswell	F	F35-39	0							United Kingdom	DNS
789351	DNF	George Carag	M	M50-54	0		0:48:22	0:07:04	3:03:54	0:06:18		Philippines 	DNF
758400	DNS	Jeneane Paxson	F	F30-34	0							United States	DNS
789557	DNS	Jaime Santos	M	M40-44	0							Philippines 	DNS
32038	DNF	Cameron Brown	M	MPRO	0		0:27:26	0:02:05	3:01:26			New Zealand	DNF
469715	DNS	Rune Stroem	M	M45-49	0							Norway	DNS
613073	DNF	Joselito Lontok	M	M45-49	0		0:44:30	0:04:37	2:49:59	0:04:06		Philippines 	DNF
455241	DNS	Thomas Seymour	M	M35-39	0							United Kingdom	DNS
557871	DNS	Eric Cooke	M	M25-29	0							Northern Mariana Islands 	DNS
789463	DNS	Czar Manglicmot Ii	M	M40-44	0							Philippines 	DNS
89027	DNS	Jarand Fjeld	M	M35-39	0							Norway	DNS
789464	DNS	Michael Hargreaves	M	M50-54	0							United Kingdom	DNS
789361	DNS	Johnny Escaler	M	M40-44	0							Philippines 	DNS
789362	DNS	Renato Peralejo	M	M45-49	0							Philippines 	DNS
775060	DNF	Jody Jacinto	M	M35-39	0		0:48:14	0:04:08	3:04:36	0:07:05		Philippines 	DNF
789466	DNS	Bodeck Fernando	M	M35-39	0							Philippines 	DNS
789365	DNS	Andres Buitrago	M	M18-24	0							United States	DNS
789468	DNS	Carmela Serina	F	F25-29	0							Philippines 	DNS
775187	DNS	Elmer Santiago	M	M30-34	0							Philippines 	DNS
789471	DNF	Staffan Westenberg	M	M35-39	0		0:26:42	0:02:33	2:24:14	0:02:42		United States	DNF
757137	DNS	Jay Ramos	M	M40-44	0							Philippines 	DNS
789473	DNS	Hubert Tan	M	M30-34	0							Philippines 	DNS
36670	DNF	Diego Carballo	M	M25-29	0		0:28:51	0:02:52	2:49:35			Philippines 	DNF
789372	DNS	Paul Healing	M	M40-44	0							United States	DNS
789374	DNS	Greg Doronilla	M	M35-39	0							Philippines 	DNS
79800	DNS	Mark Betts	M	M45-49	0							Australia	DNS
775105	DNF	Alvin Lopez	M	M40-44	0		1:01:29	0:05:42	3:14:55	0:05:18		Philippines 	DNF
429713	DNS	Richard Smerin	M	M25-29	0							Hong Kong	DNS
665787	DNS	Marc Harvey	M	M40-44	0							United Kingdom	DNS
789481	DNF	Antonio Lopez	M	M35-39	0		0:54:11	0:07:20	3:52:31			Philippines 	DNF
