ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
a398f134-39ed-4a18-b70c-d3dd64dafd1f	99999	Kenneth Snyder	M	M35-39	99999							United States	DNS
4a8d180d-39d5-4ecd-aa22-4021c273e5ae	99999	Abilio Vieira	M	M50-54	563	6:37:26	0:39:49	0:05:26	3:46:18	0:02:10	2:03:43	CA	
321bf771-67e9-4825-a46d-4e9e515594c0	99999	Lianne Mclellan	F	F30-34	455	6:19:42	0:42:00	0:06:44	3:31:48	0:01:49	1:57:21	Canada	
4c74d112-fbc7-4f35-9844-f15a8d911403	99999	Rob Brown	M	M35-39	358	6:05:38	0:39:08	0:07:52	3:12:30	0:03:42	2:02:26	Canada	
c71e893c-1663-4f2f-97ad-b7b989bac8cf	99999	Steve Putman	M	M40-44	693	7:11:24	0:42:47	0:06:24	3:41:00	0:02:37	2:38:36	CA	
036f6f25-b5db-4c2a-88e9-282f3bb0f58b	99999	Christopher Murrer	M	M25-29	662	7:04:23	0:41:47	0:22:40	3:37:00	0:07:59	2:14:57		
258de51e-419a-4f21-9b54-0c90ffecadb9	99999	Shahid Amlani	M	M25-29	762	7:42:05	0:45:12	0:05:15	3:54:51	0:02:28	2:54:19	Canada	
e760c8d8-5874-4b0b-8cbc-2e400296a7e2	99999	Shawn Leroux	M	M30-34	53	5:07:00	0:34:05	0:04:00	2:49:07	0:00:57	1:38:51	Canada	
f23af33e-086a-4710-88e1-9021cd4ecb1a	99999	Ryan Jackson	F	F35-39	99999		1:01:55	0:07:54				Canada	DNF
7ca91809-8e93-4344-a55e-713b996a038e	99999	Gabriel Hurtubise	M	M30-34	797	8:18:03	0:45:42	0:07:52	4:14:50	0:02:35	3:07:04	CA	
edb03f60-43fe-4e9f-b1d9-9a7baa1532bb	99999	Leandro Barroso	M	M35-39	99999							CA	DNS
60ad4a5c-797d-4c96-96b3-9bf0425368c5	99999	Brian Mcgee	M	M50-54	88	5:19:50	0:34:32	0:04:38	2:50:16	0:01:20	1:49:04	CA	
a9427c64-855a-437f-8300-2204dc7d9797	99999	Lisa Raftis	F	F50-54	510	6:28:10	0:47:11	0:05:30	3:32:27	0:01:26	2:01:36	Canada	
c6f67593-3eb9-496a-9006-f5b8a053e741	99999	Ken Williams	M	M55-59	191	5:39:53	0:36:49	0:04:17	2:56:18	0:01:24	2:01:05	CA	
aec29765-1fa8-4c46-bd1a-d2a311d4699d	99999	Ray Haywood	M	M55-59	565	6:37:54	0:46:46	0:06:53	3:23:25	0:05:36	2:15:14	CAN	
123a8fac-ca2b-4579-9e79-9b2d793a3c0c	99999	Jason Hansen	M	M35-39	171	5:36:18	0:41:55	0:04:10	2:56:19	0:01:15	1:52:39	CA	
8e5e990c-7a07-488c-929b-8e4fcd7ad3b6	99999	Marianne Bialkowski	F	F50-54	453	6:19:37	0:45:26	0:04:36	3:29:58	0:01:49	1:57:48	CA	
56943d40-3c47-43aa-9da5-69cca0740ed7	99999	Donald Gravill	M	M35-39	738	7:31:00	1:06:12	0:08:19	3:21:04	0:06:37	2:48:48	Canada	
6d94d9b7-a8c6-414a-91e8-e19a9424d054	99999	Sharon Kozicki	F	F45-49	515	6:28:58	0:39:03	0:05:09	3:19:45	0:01:47	2:23:14	CA	
1ec92074-ea1d-493a-869b-80b40b16943b	99999	Indra Winters	F	F35-39	99999							Canada	DNS
35dab951-7dda-4e96-9766-89df12f66f78	99999	Anna Mcdonald	F	F30-34	670	7:05:44	0:44:34	0:07:20	3:47:54	0:03:40	2:22:16	CA	
e0b20013-8d7e-4dce-ba12-c4b556e4ab5c	99999	George Su	M	M30-34	683	7:09:27	0:47:40	0:09:19	3:40:13	0:04:25	2:27:50	Canada	
dc5bfaea-9028-4ad4-bc71-735c3f99bdca	99999	Amber Playford	F	F40-44	99999							Canada	DNS
869bf0bf-5bf6-4069-ab93-d70aa222ee08	99999	Sue Ackerman	F	F45-49	660	7:03:47	0:58:40	0:10:20	3:44:20	0:04:36	2:05:51	Canada	
1d5fbc7c-935c-4752-9550-3b330acdb6b7	99999	Stephen Saunders	M	M55-59	626	6:52:40	0:52:25	0:06:22	3:33:09	0:01:56	2:18:48	CA	
68f3cef4-0fea-488e-aa3c-96383170c586	99999	Tyler Harvey	M	M30-34	180	5:37:45	0:34:18	0:06:45	2:59:20	0:01:52	1:55:30	Canada	
29926d09-135b-465f-8eff-d561b984c603	99999	Dave Tompkins	M	M40-44	432	6:16:48	0:38:38	0:04:36	3:06:44	0:03:09	2:23:41	CA	
f0bb92cc-e115-4660-9d4f-ebc59dfad81e	99999	Philip Drader	M	M30-34	436	6:17:16	0:36:59	0:04:40	3:19:21	0:02:07	2:14:09	Canada	
50f91a6f-7483-4bbb-a979-a6e0a23b33a2	99999	Trevor Leboeuf	M	M35-39	524	6:29:43	0:59:28	0:08:33	3:16:03	0:03:06	2:02:33	CA	
8bea6121-1e63-4d58-b0f7-5f60fe18a4e0	99999	Marlene Line	F	F35-39	310	5:58:29	0:43:12	0:05:30	3:12:13	0:01:53	1:55:41	CAN	
6727ffa5-c802-4158-97ef-a958e0e02a20	99999	Ross Chandler	M	M50-54	326	6:01:35	0:37:57	0:05:48	3:17:07	0:02:55	1:57:48	CA	
e97834ce-1add-4394-a568-79c19a2affe1	99999	Melissa French	F	F30-34	113	5:25:28	0:34:58	0:03:45	3:04:04	0:01:42	1:40:59	CA	
65e22b1f-f39b-48ff-a9b4-f1395aac2b15	99999	Richard Kelch	M	M45-49	445	6:18:29	0:40:07	0:04:09	3:21:58	0:02:14	2:10:01	CA	
47af3f4c-54e8-46df-a0fe-d64984886647	99999	Marc Trudeau	M	M50-54	119	5:27:39	0:39:01	0:04:48	2:54:20	0:02:06	1:47:24	CA	
926b3abc-173b-4016-83b2-02f90d91cbfd	99999	Francis Pare	M	M25-29	462	6:20:51	0:39:09	0:04:03	3:22:38	0:01:17	2:13:44	CA	
cdb1a268-1948-40d3-9751-976de28d27eb	99999	Brian Ivak	M	M40-44	433	6:16:57	0:43:27	0:06:14	3:15:43	0:02:57	2:08:36	Canada	
2f0f0514-ee25-4ad5-b3a6-ffb5fb8b59a7	99999	Kevin Bambury	M	M45-49	529	6:30:13	0:39:30	0:06:21	3:26:06	0:03:01	2:15:15	USA	
6902873e-3f79-4830-a9d9-68b2575b5f8d	99999	Nicholas Baca	M	M25-29	635	6:56:09	0:46:46	0:06:14	3:33:18	0:06:30	2:23:21	United States	
4d422160-951b-490a-a8e3-bfdec09a8a33	99999	John Ramsell	M	M45-49	374	6:07:35	0:41:49	0:04:36	2:54:40	0:03:28	2:23:02	CA	
f729a9c1-38fc-47b4-b6e9-b2112fd798f7	99999	Janice Field	F	F40-44	99999							CAN	DNS
0ed4d32e-6448-48a0-89a3-260cfb9a4c47	99999	Gord Willcocks	M	M60-64	99999							Canada	DNS
6bfec3ff-63bc-499d-ba62-44ea658469b2	99999	Christina Nigro	F	F18-24	99999							Canada	DNS
c8d6eeee-0216-4270-99de-8ffe25ebb7fd	99999	Robert Gauthier	M	M35-39	230	5:46:27	0:38:43	0:05:44	3:08:46	0:02:57	1:50:17	CA	
250ab578-6bf9-4be4-a02f-eb86fa471809	99999	Kent Poli	M	M50-54	476	6:23:31	0:40:59	0:07:33	3:16:31	0:03:48	2:14:40	United States	
273c6c48-20f5-44a3-bb90-40e5fcbc8b33	99999	Boguslaw Wojewodka	M	M40-44	98	5:21:54	0:36:17	0:05:08	2:55:30	0:01:49	1:43:10	CAN	
115f08a6-fa7e-4fbb-befd-9dfb875d73a1	99999	Gary Cooper	M	M25-29	315	5:59:14	0:43:22	0:06:25	3:17:47	0:02:54	1:48:46	CA	
7a7df99a-99f4-4d8d-84be-3ea4ffc5a25e	99999	Ron Krueger	M	M50-54	99999							CA	DNS
674fbd04-5c8b-4c96-8717-8ca4e94c1b0b	99999	Martin Rocheleau	M	M35-39	474	6:22:52	0:46:40	0:06:28	3:02:58	0:02:47	2:23:59	CA	
0c6c4e07-b89f-458f-9d66-4264791441c8	99999	Keith Marchant	M	M18-24	20	4:48:14	0:30:51	0:03:17	2:44:56	0:00:54	1:28:16	AU	
d51d9efb-6036-4ce8-aa74-a331d59a65dc	99999	Shawn Parker	M	M40-44	260	5:52:17	0:39:03	0:05:01	3:08:14	0:03:14	1:56:45	CA	
15d31594-1f24-4c75-a7c6-0c9e00369cda	99999	Jennifer Snyder	F	F30-34	99999							CA	DNS
9fa9c22e-5503-4b32-a75d-b37bd9f81204	99999	Kristan Robinson	F	F35-39	552	6:34:26	0:45:14	0:05:19	3:12:32	0:03:05	2:28:16	Canada	
56b5d16a-c0b5-4a3e-b852-23e34bd754ea	99999	Doug Neudorf	M	M45-49	295	5:57:03	0:40:46	0:08:28	3:24:54	0:03:31	1:39:24	CA	
0280a43d-42a6-4b52-9d63-97cac746023e	99999	Tom Madden	M	M35-39	400	6:11:48	0:43:30	0:07:37	3:13:13	0:02:34	2:04:54	CA	
658a3a03-c07a-4e8e-90c5-a78e99d69a26	99999	Maria Benadik	F	F30-34	568	6:39:05	0:40:36	0:05:18	3:42:34	0:01:41	2:08:56	Canada	
530cd399-c9dc-4456-9ed7-0c2491f48d1d	99999	Judy Rynbeek	F	F45-49	259	5:52:13	0:32:09	0:04:42	3:06:20	0:01:27	2:07:35	CA	
ebabedc1-f8f9-472c-b85a-7c4bf30881b3	99999	Ryan Dipede	M	M40-44	511	6:28:12	0:43:45	0:07:45	3:18:06	0:02:26	2:16:10	US	
f8a0c0dc-aca9-491d-abb1-aa8ff655e13e	99999	Joseph Cutcher	M	M55-59	591	6:44:03	0:46:04	0:06:19	3:23:27	0:03:13	2:25:00	US	
e508c6e1-fb65-4b83-9263-d23c8d2f6871	99999	Simon Guthrie	M	M35-39	617	6:50:56	0:38:04	0:06:52	3:32:21	0:02:56	2:30:43	CA	
f277d161-1024-435a-881d-807b43c51585	99999	Bryan Gerson	M	M30-34	238	5:48:14	0:38:39	0:04:49	3:07:25	0:01:49	1:55:32		
aeb671a9-ab82-409d-ac60-c49ecf158cce	99999	Mike Heiber	M	M45-49	519	6:29:02	0:37:25	0:06:30	3:15:12	0:02:30	2:27:25	CA	
9a215a01-93cb-4ca9-bff1-5fb760d7e502	99999	Gibson Tam	M	M25-29	554	6:34:44	0:49:36	0:07:46	3:15:12	0:03:07	2:19:03	Canada	
e2cc0b9a-3ff6-401b-85ac-a1fa1865fb5b	99999	Matthew Williams	M	M25-29	99999							United Kingdom	DNS
a182a3c2-d8e4-4e5a-970b-eb5168c501cc	99999	Rob West	M	M40-44	99999							Canada	DNS
dc32198c-9157-445e-b6e4-2b20ce7b223c	99999	Mindy Fernando	F	F30-34	118	5:27:28	0:35:12	0:03:26	3:07:31	0:01:05	1:40:14	US	
dd020bb5-7538-4398-9871-8041bc36021d	99999	Jennifer Ryell	F	F45-49	803	8:27:51	1:01:49	0:09:29	4:24:24	0:03:49	2:48:20	Canada	
a4ba155f-7886-4196-a3d7-8643e6c210ca	99999	Julie Lemaire	F	F35-39	99999							Canada	DNS
a5c93c5f-207a-4f09-b548-a09cee463944	99999	Suzanne Morton	F	F40-44	491	6:25:50	0:45:41	0:05:46	3:13:19	0:02:46	2:18:18	unknown	
3d3bc414-98f3-4928-b2f2-ab7d292f3b5f	99999	Regan Correia	M	M40-44	422	6:15:00	0:54:57	0:05:27	3:13:17	0:02:45	1:58:34	CA	
e82514c4-a81d-4a4a-9cab-b7885f5b29c8	99999	Colin Morrison	M	M35-39	135	5:30:53	0:33:34	0:04:15	2:53:54	0:05:46	1:53:24	CA	
c3b537dc-346f-4df3-9331-23e0abbf269b	99999	Robert Wales	M	M45-49	329	6:01:56	0:37:55	0:06:01	2:55:11	0:03:12	2:19:37	CA	
83e6fcd1-63cd-4a42-a331-3a274bc096f7	99999	Wendy Jones	F	F35-39	216	5:44:37	0:33:58	0:03:52	3:18:38	0:02:09	1:46:00	Canada	
0f6564ff-82c9-4b18-82d5-a1a8034225d6	99999	Anatoly Andriyash	M	M40-44	584	6:43:05	0:40:47	0:07:58	3:28:49	0:04:37	2:20:54	RU	
b4c3812e-e059-448b-8ce2-8d3adb2a17a1	99999	Marie-Loup Tremblay	F	F30-34	649	7:01:14	0:40:13	0:04:06	3:34:36	0:02:40	2:39:39	Canada	
d5361575-8e51-40e5-9ab5-8727922079f3	99999	Chris Morton	M	M25-29	79	5:15:57	0:29:55	0:03:55	2:53:27	0:01:33	1:47:07	CA	
ff53806c-a166-40b5-90b8-3185d99e6184	99999	Donna Radik	F	F45-49	99999		0:37:48	0:06:21	3:40:26	0:02:06		Canada	DNF
9d4f7125-056c-4e83-9489-f064fb45024b	99999	Cathy Putman	F	F35-39	534	6:31:20	0:43:43	0:04:25	3:26:23	0:01:33	2:15:16	CA	
b3251b58-fc35-4563-87d0-9da605c55531	99999	Tyler Chamberlain	M	M30-34	469	6:21:44	0:35:48	0:05:21	3:18:57	0:02:07	2:19:31	CA	
34f27622-aed8-4cf1-9e65-1e52deb1503d	99999	Kevin Mcfaul	M	M25-29	645	6:59:08	0:33:04	0:05:00	3:22:20	0:01:43	2:57:01	CA	
986fa454-1abe-47fa-8bc8-7a2ee9ad0325	99999	Hannah Fraser	F	F30-34	196	5:40:48	0:28:07			3:50:04	1:50:44	CA	
