ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
33143	DNF	Massimo Cigana	M	MPRO	0		0:29:21	0:01:37				Italy	DNF
380807	DNF	Hyo Sun Lee	M	M55-59	0		0:45:52	0:06:48				Korea 	DNF
671008	DNF	Fernando Aguilar Rosello	M	M40-44	0		0:36:45	0:03:34	3:00:56	0:02:41		Spain	DNF
236451	DNS	Leighton Matheson	M	M35-39	0							Singapore	DNS
305292	DNF	Maximilian Beilharz	M	M30-34	0		0:42:01	0:03:20	2:49:43	0:03:10		United Arab Emirates 	DNF
236869	DNS	Koki Watanabe	M	M45-49	0							Japan	DNS
763953	DNS	Tamara Baker	F	F30-34	0							Cambodia	DNS
593654	DNS	Jakub Charaszkiewicz	M	M35-39	0							Poland	DNS
68966	DNS	Lukas Haerder	M	M50-54	0							Germany	DNS
49031	DNS	Mark Hughes	M	M35-39	0							United Kingdom	DNS
182838	DNF	Roy Baerwolf	M	M55-59	0		0:56:00	0:09:46	3:50:47	0:33:15		United States	DNF
758622	DNF	Jamie Campbell	M	M35-39	0		0:29:28	0:02:50	4:40:45			Singapore	DNF
256737	DNS	Angelo Tavares	M	M55-59	0							Macao	DNS
509764	DNS	Stephen Owen	M	M40-44	0							Singapore	DNS
763954	DNS	Christian Vang	M	M50-54	0							Singapore	DNS
182269	DNS	Ellyn Brown	F	F60-64	0							United States	DNS
398131	DNS	Danny Easterby	M	M18-24	0							Canada	DNS
183494	DNS	Chang Liu	M	M25-29	0							China	DNS
95237	DNS	Claus Schuermann	M	M45-49	0							Hong Kong	DNS
763955	DNS	Catherine Mcmaster	F	F45-49	0							Australia	DNS
763956	DNS	Jason Skillicorn	M	M35-39	0							Hong Kong	DNS
305228	DNS	Richard Julian Parkinson	M	M45-49	0							Singapore	DNS
495254	DNS	William Forwood	M	M40-44	0							Singapore	DNS
235019	DNS	Meshelle Araceli Villanueva	F	F35-39	0							Philippines 	DNS
752989	DNS	Brian Peace	M	M55-59	0							Thailand	DNS
121140	DNS	Fredrik Croneborg	M	M30-34	0							Sweden	DNS
636070	DNF	Nick Froude	M	M35-39	0		0:38:10	0:03:56	3:21:01	0:03:30		Singapore	DNF
763957	DNS	Gregory Leon	M	M35-39	0							United States	DNS
763958	DNS	Simon Little	M	M35-39	0							Hong Kong	DNS
256929	DNS	Lina Shehadeh	F	F35-39	0							Jordan	DNS
354563	DNS	Emiliano Bernardini	M	M35-39	0							Singapore	DNS
763959	DNS	Daniel Van Zyl	M	M30-34	0							United Arab Emirates 	DNS
47316	DNS	Antonio Galloso	M	M40-44	0							Italy	DNS
758619	DNS	Natchanan Thanacholvilai	M	M30-34	0							Thailand	DNS
310184	DNS	Husain Bushehri	M	M25-29	0							Kuwait	DNS
732909	DNS	Jeffrey Reece	M	M30-34	0							China	DNS
763893	DNS	Paul Rosenberg	M	M30-34	0							United States	DNS
763894	DNS	Ukrit Rittidej	M	M35-39	0							Thailand	DNS
763895	DNS	Jamie Partington	M	M35-39	0							Thailand	DNS
78577	DNS	Rob Depinto	M	M40-44	0							Hong Kong	DNS
356276	DNF	Uwe Warncke	M	M55-59	0		0:45:07	0:04:59	3:08:48	0:04:18		Thailand	DNF
758349	DNF	Hadleigh Crysell	M	M30-34	0		0:35:54	0:04:05				China	DNF
748400	DNS	Minoru Matsumoto	M	M40-44	0							Japan	DNS
763896	DNS	Leanda Cave	F	FPRO	0							United Kingdom	DNS
68241	DNF	Hermann Holst	M	M40-44	0		0:33:32	0:03:18	2:47:26	0:02:28		Hong Kong	DNF
259343	DNS	Pablo Trovero	M	M40-44	0							Argentina	DNS
152570	DNS	Catherine Fullford	F	F50-54	0							Australia	DNS
763897	DNS	Teerayuth Namkanisorn	M	M45-49	0							Thailand	DNS
181110	DNF	Andy Wibowo	M	M30-34	0		0:26:42	0:02:22				Indonesia	DNF
201904	DNS	Hasan Itani	M	M40-44	0							United Arab Emirates 	DNS
