ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
188744	DNS	Jose Perez	M	M25-29	0							Nicaragua	DNS
115213	DNF	Herbert Bucaro	M	M35-39	0		0:33:06	0:05:54	4:04:38	0:06:55		Guatemala	DNF
442825	DNS	Arturo ZÃ¡rate	M	M25-29	0							Mexico	DNS
34285	DNS	Dalton Cabral	M	M35-39	0							Brazil	DNS
442911	DNF	Jaime De Saint Malo	M	M35-39	0		0:23:52	0:03:25				Panama	DNF
84284	DNS	Rawny Garay	M	M35-39	0							United States	DNS
442866	DNS	Ivars Grinbergs	M	M35-39	0							Chile	DNS
442858	DNS	Tomas Guardia	M	M35-39	0							United States	DNS
196902	DNS	Alvaro Sierra	M	M60-64	0							United States	DNS
442824	DNS	Federico Hidalgo Carballo	M	M35-39	0							Costa Rica	DNS
442871	DNS	Diego Jaramillo	M	M35-39	0							Colombia	DNS
160581	DNS	Chris Johnson	M	M35-39	0							United States	DNS
171857	DNS	Sean Killen	M	M35-39	0							United States	DNS
57838	DNS	Philip Lahaye	M	M35-39	0							United States	DNS
442895	DNS	Roger Leandro	M	M35-39	0							Costa Rica	DNS
	DNS	Marinaldo Brito	M	M65-69	0							Brazil	DNS
442841	DNS	Andres Londono	M	M35-39	0							Colombia	DNS
442916	DNS	Manuel Aguilar	M	MPC	0							Panama	DNS
442849	DNS	Daniel Lugo MuÃ±oz	M	M35-39	0							Colombia	DNS
421396	DNS	Mark Mcdaniel	M	M35-39	0							United States	DNS
86337	DNS	Jorge Medina	M	M35-39	0							United States	DNS
442822	DNS	Adrian MontaÃ£Â±o	M	M35-39	0							Panama	DNS
100710	DNF	Valentina Carvallo	F	FPRO	0		0:22:51	0:02:23				Chile	DNF
86644	DNF	Ricardo Pacheco	M	M35-39	0		0:24:08	0:04:19	3:18:19	0:04:47		Venezuela	DNF
143819	DNF	Jessica Chong	F	FPRO	0		0:23:01	0:02:39				United States	DNF
442886	DNS	Ali Palencia	M	M35-39	0							Venezuela	DNS
442828	DNF	Tenille Hoogland	F	FPRO	0		0:20:15	0:02:32				United States	DNF
442908	DNS	Jose Parra	M	M35-39	0							Colombia	DNS
31843	DNS	Nina Kraft	F	FPRO	0							Germany	DNS
73538	DNS	Sergio Radovcic	M	M35-39	0							United States	DNS
442850	DNF	Eva Ledesma Calvet	F	FPRO	0		0:21:36	0:02:15	2:46:31	0:02:24		Italy	DNF
442915	DNS	Nicolas Reyes	M	M35-39	0							Colombia	DNS
36215	DNS	Magali Tisseyre	F	FPRO	0							Canada	DNS
442855	DNS	Eduardo Ruiz	M	M35-39	0							Venezuela	DNS
442888	DNS	Luis Ruiz	M	M35-39	0							Venezuela	DNS
34313	DNS	Eduardo Sarhan	M	M35-39	0							Brazil	DNS
38403	DNS	Rodney Scott	M	M35-39	0							United States	DNS
442892	DNS	Alexandre Silva	M	M35-39	0							Brazil	DNS
442845	DNS	Haroldo Soto	M	M35-39	0							Guatemala	DNS
44936	DNS	Tiago Sousa	M	M35-39	0							Brazil	DNS
442914	DNS	Pablo Tamayo	M	M35-39	0							Ecuador	DNS
442863	DNS	Marlon Vargas	M	M35-39	0							Costa Rica	DNS
442877	DNS	Pamela Quintero	F	F18-24	0							Panama	DNS
189476	DNS	Leonardo Vazquez	M	M35-39	0							Mexico	DNS
442887	DNS	Yukiko Uno	F	F18-24	0							Japan	DNS
115085	DNS	Andres Walteros	M	M35-39	0							Colombia	DNS
295013	DNF	Carlos Zamora	M	M35-39	0		0:27:59	0:05:02	3:04:12	2:09:49		Costa Rica	DNF
258806	DNS	Carolina Ardila	F	F25-29	0							United States	DNS
411858	DNS	Jennifer Liles	F	F25-29	0							United States	DNS
162328	DNS	Kaitlin Saunders	F	F25-29	0							United States	DNS
442823	DNS	Nora Serracin	F	F25-29	0							Panama	DNS
442862	DNS	Luiza Arruda	F	F30-34	0							Brazil	DNS
442898	DNS	Edis Katherine Castillo De Gracia	F	F30-34	0							Panama	DNS
81040	DNS	Emily Cova	F	F30-34	0							United States	DNS
80414	DNS	Maruquel Donado	F	F30-34	0							Panama	DNS
352161	DNS	Kimberly Eagens	F	F30-34	0							United States	DNS
442852	DNS	ada fandino	F	F30-34	0							Venezuela	DNS
442900	DNS	Maria Teresa Guerrero	F	F30-34	0							Brazil	DNS
442917	DNS	Jenny Miranda	F	F30-34	0							United States	DNS
442847	DNS	Lynette Page	F	F30-34	0							United States	DNS
158740	DNS	Julio Alberto Spiegel	M	M40-44	0							Panama	DNS
127512	DNS	Victor Angulo	M	M40-44	0							Costa Rica	DNS
442879	DNS	Carlos Arce Jimenez	M	M30-34	0							Costa Rica	DNS
33554	DNS	Da Cunha Neto Dias Antonio	M	M40-44	0							Brazil	DNS
442874	DNS	Rose Angry	F	F35-39	0							United States	DNS
146567	DNS	Javier Bermeo	M	M30-34	0							Ecuador	DNS
258958	DNS	Marcelo Arango	M	M40-44	0							Colombia	DNS
49740	DNS	Isabel Reyna	F	F35-39	0							Colombia	DNS
146835	DNS	Eduardo Blanco	M	M30-34	0							Costa Rica	DNS
87184	DNS	Mauricio Arango	M	M40-44	0							Colombia	DNS
442889	DNS	Gabriela Ruidiaz	F	F35-39	0							Panama	DNS
88607	DNS	Carlos Bordim Neto	M	M30-34	0							Brazil	DNS
114293	DNS	Carlos Barreto	M	M40-44	0							Venezuela	DNS
46213	DNS	Maria M Silva	F	F35-39	0							United States	DNS
118526	DNS	Alejandro Jose Boschian Romero	M	M30-34	0							Venezuela	DNS
202661	DNS	Jose Barzallo	M	M40-44	0							Ecuador	DNS
442865	DNS	Maria Teresa Turbay Rodriguez	F	F35-39	0							Colombia	DNS
82805	DNS	Chris Caliendo	M	M30-34	0							United States	DNS
442913	DNS	Carlos Beckles	M	M40-44	0							Costa Rica	DNS
80758	DNS	Luis Cova	M	M30-34	0							Venezuela	DNS
34115	DNS	Ricardo Veras Braga	M	M40-44	0							Brazil	DNS
442899	DNS	Juan De La Rosa	M	M30-34	0							Costa Rica	DNS
83366	DNS	Otavio Calvet	M	M40-44	0							Brazil	DNS
96019	DNS	David Diaz	M	M30-34	0							Venezuela	DNS
442838	DNS	Fernando Campos	M	M40-44	0							Costa Rica	DNS
442909	DNS	Sergio Espitia	M	M30-34	0							Colombia	DNS
80604	DNS	Paul Chalem	M	M40-44	0							United States	DNS
34533	DNS	Rodrigo Fiorentini	M	M30-34	0							Brazil	DNS
88224	DNF	Ricardo Chemmer	M	M40-44	0		0:25:15	0:04:24	3:11:09			Brazil	DNF
379522	DNS	Luis Flores	M	M30-34	0							Guatemala	DNS
77514	DNS	Gustavo Adolfo Combariza	M	M40-44	0							Colombia	DNS
154917	DNS	Luiggi Gallardo Bisogno	M	M30-34	0							Venezuela	DNS
349115	DNS	Matias Corral	M	M40-44	0							Colombia	DNS
442827	DNF	Mateo Jaramillo	M	M30-34	0		0:24:23	0:06:51	3:31:28	0:14:19		Comoros	DNF
251461	DNS	Joaquin Da Silva	M	M40-44	0							Venezuela	DNS
442868	DNS	Jurgen Kaiser	M	M30-34	0							Colombia	DNS
442890	DNS	Francisco Del Valle	M	M40-44	0							Mexico	DNS
377955	DNS	Nori Ko	M	M30-34	0							Japan	DNS
442912	DNS	Federico Delgado Mora	M	M40-44	0							Costa Rica	DNS
442853	DNS	John Late	M	M30-34	0							United States	DNS
442869	DNS	Jorge Enrique Estrada	M	M40-44	0							Honduras	DNS
442842	DNS	Pierre Lavie	M	M30-34	0							United States	DNS
57344	DNS	Ricardo Franceschi	M	M40-44	0							Costa Rica	DNS
442875	DNS	Juan Lopez Salvador	M	M30-34	0							Ecuador	DNS
442896	DNS	Oscar Gamboa	M	M40-44	0							United States	DNS
442831	DNS	Julio Maltez	M	M30-34	0							Panama	DNS
128786	DNS	William Gongora	M	M40-44	0							Colombia	DNS
88054	DNS	Eduardo Marques	M	M30-34	0							Brazil	DNS
174394	DNS	Scott Hacking	M	M40-44	0							United States	DNS
83625	DNS	Patricia Cherman	F	F40-44	0							Brazil	DNS
442826	DNS	Denis Daniel May martinez	M	M30-34	0							Mexico	DNS
