ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
173728	DNS	Mark Moerman	M	M50-54	0							Australia	DNS
244056	DNF	Cecilia Benedict	F	F45-49	0		0:32:44	0:02:33	3:22:16			Australia	DNF
186750	DNS	Te-Shen Gan	M	M35-39	0							Malaysia	DNS
378127	DNS	John Quinn	M	M45-49	0							New Zealand	DNS
591677	DNS	Ollie Whistler	M	MPRO	0							Australia	DNS
132783	DNS	Mia Cottrell-Dormer	F	F35-39	0							Australia	DNS
754062	DNS	Jacqueline Dwyer	F	F30-34	0							Australia	DNS
73520	DNS	Laagan Whalan	M	M30-34	0							Australia	DNS
133283	DNS	Paul Felgate	M	M50-54	0							Australia	DNS
219680	DNS	James Burton	M	M40-44	0							Australia	DNS
92551	DNF	Joseph Lampe	M	MPRO	0		0:23:12	0:01:24				Australia	DNF
754063	DNS	Andrew Hall	M	M35-39	0							Australia	DNS
590789	DNF	Maxine Coultham	F	F40-44	0		0:49:49					Australia	DNF
754064	DNS	Matthew Colquhoun	M	M30-34	0							Australia	DNS
754065	DNF	Tim Christensen	M	M30-34	0		0:23:51	0:02:38	3:10:31			Australia	DNF
128113	DNS	Kristen Barling	F	F30-34	0							Australia	DNS
269820	DNS	Brendan Manning	M	M35-39	0							Australia	DNS
72349	DNF	Brad Hough	M	M45-49	0		0:34:16	0:02:10				Australia	DNF
754066	DNS	Bryce Dickes	M	M25-29	0							Australia	DNS
125651	DNS	Jon Cook	M	M50-54	0							Australia	DNS
152485	DNS	Sharon Lane	F	F50-54	0							Australia	DNS
79316	DNS	Damian Smith	M	M30-34	0							Australia	DNS
490790	DNF	Raymond Neill	M	M30-34	0		0:31:36	0:01:53	2:30:10	0:01:15		Australia	DNF
754067	DNF	Tonette Fung	F	F35-39	0		0:33:16	0:02:06				Australia	DNF
124864	DNF	Anthony Khoo	M	M25-29	0		0:35:25	0:02:20				Australia	DNF
518911	DNS	Peter Hughes	M	M30-34	0							Australia	DNS
