ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
d9a71330-e459-4498-b050-0b68d67335c8	1	Benjamin Hoffman	M	MPRO	1	8:32:51	0:52:13	0:04:11	4:37:59	0:01:55	2:56:33	usa	
a3612b4f-b172-4647-96e0-09cf7597457e	2	Eduardo Sturla	M	MPRO	2	8:46:29	0:54:40	0:04:20	4:49:29	0:02:32	2:55:28	Argentina	
647535ba-6774-4e08-9144-90dc228d43da	3	Michael  Tobias Göhner	M	MPRO	3	8:54:53	0:54:50	0:04:40	4:48:57	0:02:01	3:04:25	DE	
de28cb8c-3e60-47e7-8c5a-ac902ac47ab7	4	Justin Daerr	M	MPRO	4	8:55:46	0:54:33	0:04:18	4:45:38	0:01:49	3:09:28	US	
75bc32c9-fe33-4540-9589-94bd0629239a	5	Blake Becker	M	MPRO	5	8:56:35	0:54:40	0:04:15	4:56:50	0:02:06	2:58:44	US	
22b35028-4a49-4dca-9a57-68c4b1261b54	6	Thomas J Gerlach	M	MPRO	6	8:58:20	0:54:42	0:04:26	4:45:22	0:01:31	3:12:19	US	
ff3ca85c-36ad-4839-9851-0309f1e07846	7	Andrés Felipe Castillo Latorre	M	MPRO	7	9:02:25	0:49:01	0:04:34	4:53:48	0:01:58	3:13:04	CO	
ca3550e9-f540-40d0-b3e0-1c50815f7406	8	Kevin Taddonio	M	MPRO	8	9:05:35	1:04:47	0:04:47	4:52:16	0:01:55	3:01:50	usa	
f9a9c158-c4da-4f0c-8f8f-7814658831a0	9	Nick Waninger	M	MPRO	9	9:07:35	0:54:35	0:03:57	5:06:23	0:01:46	3:00:54	United States	
ca7bbaaf-63ec-4a8e-b628-6595d77e1961	10	Thomas Brunold	M	M40-44	1	9:08:18	1:00:32	0:05:59	4:54:50	0:02:13	3:04:44	US	
48a33a9b-5d1b-4fad-96e9-deffb4e90ba2	11	Dominik Berger	M	MPRO	10	9:11:34	0:50:55	0:04:22	4:55:25	0:02:07	3:18:45	Österreich	
059286b2-ce45-4a8b-b8d2-bfed599a338b	12	Billy Edwards	M	MPRO	11	9:17:44	1:03:42	0:04:08	4:56:51	0:01:58	3:11:05	US	
f83305d6-9182-4408-bac2-5f487fab86e8	13	Joe Kurian	M	M30-34	1	9:21:09	1:01:30	0:05:16	4:59:59	0:03:09	3:11:15	United States	
2d429f9e-033b-4b24-92e6-232dbd79350e	14	Markus Ressler	M	MPRO	12	9:24:17	0:54:11	0:04:20	4:53:36	0:02:34	3:29:36	AT	
3dea3c7c-6576-4af0-b703-9501edffd248	15	Jonathan Shearon	M	MPRO	13	9:28:54	0:54:41	0:04:49	4:51:18	0:02:04	3:36:02	US	
1d29dd51-1310-4b35-84ef-e24019652ffc	16	Robert Adams	M	M40-44	2	9:29:20	1:07:05	0:05:47	5:05:29	0:02:10	3:08:49	USA	
e850f4b1-fade-400d-96c7-77bc7d024d13	17	Mark Harms	M	M35-39	1	9:32:18	0:56:56	0:05:18	5:10:13	0:01:35	3:18:16	USA	
f7d50e25-1ca9-4598-9e8d-3f79fb2ce3c2	18	Jared Milam	M	MPRO	14	9:32:40	0:54:36	0:04:33	5:26:17	0:02:15	3:04:59	US	
