ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
fd59d1a2-670f-4c64-9426-940149d7deb9	1	Joe Gambles	M	MPRO	1	3:44:41	0:24:48	0:01:09	2:03:25	0:00:49	1:14:30	US	
a9a1399a-872b-48a7-90de-10b03d69048a	2	Greg Bennett	M	MPRO	2	3:46:23	0:24:44	0:01:15	2:03:24	0:00:43	1:16:17	AUS	
e54f02e1-00b8-4be9-9750-5de28d3db74e	3	Callum Millward	M	MPRO	3	3:47:53	0:24:27	0:01:17	2:03:39	0:00:47	1:17:43	AU	
ba938107-ea46-4c45-a8af-a0f83023916b	4	Paul Ambrose	M	MPRO	4	3:51:40	0:24:45	0:01:11	2:03:27	0:00:38	1:21:39	aus	
2d7ebde2-ab9d-4761-932b-e1c680b36854	5	Jordan Jones	M	MPRO	5	3:53:20	0:25:28	0:01:19	2:08:32	0:00:54	1:17:07	US	
13fc1090-bd81-4496-afbc-897325313b99	6	Mario De Elias	M	MPRO	6	3:53:55	0:25:26	0:01:17	2:08:27	0:00:38	1:18:07	arg	
d9a71330-e459-4498-b050-0b68d67335c8	7	Benjamin Hoffman	M	MPRO	7	3:54:23	0:24:55	0:01:19	2:09:05	0:00:46	1:18:18	usa	
2fc77a5a-c056-4d26-a74c-a5a8eb1ac6cf	8	Michael Lovato	M	MPRO	8	3:55:12	0:26:13	0:01:30	2:10:53	0:00:43	1:15:53	USA	
de28cb8c-3e60-47e7-8c5a-ac902ac47ab7	9	Justin Daerr	M	MPRO	9	3:55:37	0:25:42		2:08:32	0:01:05	1:20:18	US	
96b33ecd-af65-4509-8d45-fed9fe0bf760	10	Adam Bohach	M	MPRO	10	3:56:44	0:27:31	0:01:24	2:11:32	0:00:40	1:15:37	US	
5b4f513c-2bcf-42f7-8c39-52e20af65d84	11	James Seear	M	MPRO	11	3:56:50	0:23:18	0:01:21	2:04:28	0:00:43	1:27:00		
5b99913f-2faf-40ee-bc2c-3ade0ae5db8a	12	Bryan Rhodes	M	MPRO	12	3:58:25	0:24:21	0:01:15	2:05:00	0:00:43	1:27:06	NZ	
2f9104c5-7bea-46c3-afa0-e989a3700daf	13	Steve Johnson	M	M35-39	1	3:59:05	0:28:37	0:01:57	2:06:32	0:00:46	1:21:13	US	
