ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
748722	DNS	David Malem	M	M25-29	0							United Kingdom	DNS
748723	DNS	Ben Blamires	M	M40-44	0							Australia	DNS
73017	DNF	Andrew Hardy	M	M35-39	0		0:38:37	0:04:43				Australia	DNF
219063	DNS	Jamie Huggett	M	MPRO	0							Australia	DNS
563257	DNF	Damian Williamson	M	M50-54	0		0:48:49	0:06:48				Australia	DNF
449963	DNS	Craig Fitzsimon	M	M25-29	0							Australia	DNS
748724	DNF	Duncan Dark	M	M30-34	0		0:53:39	0:07:11				Australia	DNF
748725	DNS	Brendan Ward	M	M40-44	0							Australia	DNS
186739	DNS	Peter Speers	M	M30-34	0							Australia	DNS
79517	DNF	Adam Denison	M	M18-24	0		0:40:04	0:04:03				Australia	DNF
320517	DNF	Thomas Stevens	M	M25-29	0		0:39:09	0:04:49				Australia	DNF
748726	DNS	Noelle Lowry	F	F40-44	0							United Kingdom	DNS
78988	DNS	Tim Van Berkel	M	MPRO	0							Australia	DNS
152196	DNS	Gareth Chang	M	M30-34	0							Australia	DNS
748727	DNF	Jason Preece	M	M18-24	0		0:48:36	0:07:56				Australia	DNF
622952	DNF	Andrew Harris	M	M55-59	0		0:35:00	0:11:00	3:07:25	0:07:59		Australia	DNF
73094	DNS	Dean Wilson	M	M50-54	0							New Zealand	DNS
236458	DNS	Wendy Mcalpine	F	FPRO	0							Australia	DNS
147528	DNS	Andrew Mcdermott	M	M35-39	0							Australia	DNS
748728	DNS	Robert E	M	M30-34	0							Australia	DNS
132901	DNF	Alfonso Tiscareno Cabello	M	M40-44	0		0:43:27	0:04:14	2:41:10	0:01:40		Australia	DNF
591110	DSQ	Alex Roland	M	M18-24	0							Australia	DQ
649298	DNF	Brendan Murray	M	M25-29	0		0:34:25					Australia	DNF
748729	DNS	Joseph Stephen	M	M30-34	0							Australia	DNS
152028	DNS	Jamie Simmonds	M	M35-39	0							Australia	DNS
748730	DNS	Ben Sharp	M	M40-44	0							Australia	DNS
95344	DNF	Piyush Aggarwala	M	M30-34	0		0:56:41	0:07:03				Canada	DNF
73580	DNF	Steven Mackay	M	M45-49	0		0:39:50	0:05:17	2:39:03	0:03:55		Australia	DNF
79106	DNF	Paul Roberts	M	M45-49	0		0:33:26	0:04:08	2:35:01	0:01:42		Australia	DNF
748731	DNS	Vanessa Lenihan	F	F30-34	0							Australia	DNS
79171	DNS	Luke Mclean	M	M30-34	0							Australia	DNS
737693	DNS	Rebecca Ford	F	F25-29	0							United Kingdom	DNS
748732	DNS	Johan Mulder	M	M45-49	0							Australia	DNS
450031	DNS	Patrick Byrne	M	M55-59	0							Australia	DNS
73107	DNS	Steve Lawrence	M	M40-44	0							Australia	DNS
748733	DNF	Joshua Maeder	M	MPRO	0		0:24:17	0:02:53				Australia	DNF
132952	DNS	Lucas Mcbeath	M	M30-34	0							Australia	DNS
748734	DNS	Matt Schulz	M	M35-39	0							Australia	DNS
748735	DNS	Aleks Carey	F	F18-24	0							Australia	DNS
133494	DNF	Matilda Reynolds	F	FPRO	0		0:29:57	0:03:13				Australia	DNF
591357	DNF	Dan Hatchett	M	M40-44	0		0:33:50	0:04:26				Australia	DNF
449926	DNS	Peter Yates	M	M45-49	0							Australia	DNS
748736	DNS	Eamonn Crellin	M	M18-24	0							Australia	DNS
66967	DNS	Ryan Rosello	M	M30-34	0							Australia	DNS
133271	DNS	Jason James	M	M40-44	0							Australia	DNS
363017	DNF	Rodney Apps	M	M40-44	0		0:41:55	0:05:28	2:15:53			Australia	DNF
44885	DNS	Chris Mcdonald	M	MPRO	0							Australia	DNS
748737	DNS	Simon Head	M	M45-49	0							Australia	DNS
32019	DNF	Paul Amey	M	MPRO	0		0:27:42	0:02:55				United Kingdom	DNF
92541	DNS	Nicholle Sparkes	F	F35-39	0							Australia	DNS
748738	DNS	Patrick Maddern	M	M25-29	0							Australia	DNS
92187	DNS	Brett Smith	M	M35-39	0							Australia	DNS
748739	DNS	Barry Hughes	M	M30-34	0							United Kingdom	DNS
748740	DNS	Stephen Logan	M	M40-44	0							Australia	DNS
