ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
736f0179-0e1e-4593-bca6-b015dcbe22ce	1	Josh Amberger	M	MPRO	1	3:56:48	0:23:57	0:01:28	2:10:10	0:00:48	1:20:25	AU	
17ecf878-c1d6-4258-aba8-47c65f2084d7	2	Sam Appleton	M	MPRO	2	4:00:11	0:24:27	0:01:23	2:18:30	0:00:49	1:15:02	US	
87fd6d0a-9491-4b01-8f03-4b3fde1e38f1	3	Joseph Lampe	M	MPRO	3	4:01:35	0:23:58	0:01:28	2:18:15	0:00:44	1:17:10		
d0bb79c9-a920-46ae-bac9-6bc7294917a2	4	Tim Van Berkel	M	MPRO	4	4:01:45	0:25:47	0:01:22	2:15:53	0:02:04	1:16:39	AU	
1d26d225-b8aa-4b81-967f-02f91fb98648	5	Casey Munro	M	MPRO	5	4:02:50	0:24:29	0:01:17	2:14:16	0:02:03	1:20:45	AU	
86074423-e201-43a9-9ae8-8fad3015f9c1	6	Tom Davison	M	MPRO	6	4:04:24	0:24:24	0:01:16	2:15:05	0:00:57	1:22:42	NZ	
a30f7f0a-b118-4bf6-b93a-604bb6c57595	7	Alex Reithmeier	M	MPRO	7	4:07:28	0:25:41	0:01:32	2:21:01	0:00:59	1:18:15	AU	
ba938107-ea46-4c45-a8af-a0f83023916b	8	Paul Ambrose	M	MPRO	8	4:08:43	0:25:36	0:01:32	2:17:11	0:00:45	1:23:39	aus	
6f06a716-8acf-47a0-9187-9c8c9ff86e95	9	Todd Israel	M	MPRO	9	4:09:22	0:26:11	0:01:45	2:18:05	0:01:10	1:22:11	AU	
38c28a97-a68c-4f7e-9414-71d25bc3c6dd	10	Lindsey Wall	M	MPRO	10	4:10:13	0:25:37	0:01:29	2:20:46	0:02:03	1:20:18	AU	
a34d0417-bccf-4d75-a6fb-49d586b5edc4	11	Daniel Macpherson	M	M25-29	1	4:14:45	0:26:58	0:01:45	2:21:11	0:01:14	1:23:37	AU	
8f0d455b-8992-f011-b4cb-7ced8d700b9f	12	Matt Burton	M	MPRO	11	4:15:14	0:28:38	0:01:38	2:19:26	0:02:03	1:23:29	AU	
bdec387c-741f-4551-b93f-3af7f29bc2f4	13	Ben Bell	M	M35-39	1	4:16:33	0:29:26	0:01:25	2:27:45	0:00:41	1:17:16	aus	
2357aaeb-a1b0-4154-96ee-723e385ad053	14	Michael Fox	M	MPRO	12	4:17:53	0:24:26	0:01:23	2:23:15	0:00:51	1:27:58	aus	
a3706ee7-ae38-41e1-ac46-752dcb396a61	15	David Mainwaring	M	MPRO	13	4:19:35	0:25:38	0:01:27	2:17:18	0:00:47	1:34:25	AU	
5344a16f-a693-4f07-9e29-53986df5cc54	16	Clint Kimmins	M	M25-29	2	4:19:45	0:28:12	0:02:06	2:21:20	0:01:03	1:27:04	AU	
cd5c224b-f918-4ee8-b485-e281def11043	17	Jared Kahlefeldt	M	M25-29	3	4:20:51	0:28:13	0:01:39	2:25:13	0:01:12	1:24:34	aus	
b16c0afd-fd4a-41b1-9e10-472db30a2c26	18	Jason Shortis	M	MPRO	14	4:21:13	0:28:41	0:01:31	2:25:44	0:01:41	1:23:36	AU	
94e1ee1b-d69c-46c0-86de-dedfab665292	19	Tom Rodgers	M	MPRO	15	4:22:11	0:26:14	0:01:35	2:21:29	0:01:01	1:31:52	AU	
283bb3e9-758f-4254-914a-5d3c46b7040c	20	Emir Mujcinovic	M	M35-39	2	4:22:22	0:29:36	0:01:39	2:23:59	0:01:06	1:26:02	AU	
6ea195c1-d056-42f2-8fe6-5e191392083e	21	Ben Squiers	M	M30-34	1	4:24:26	0:24:10	0:01:45	2:30:55	0:01:13	1:26:23	AU	
ea8048b2-13f9-41e1-95af-63bad40714dc	22	Paul Dodd	M	M40-44	1	4:24:30	0:28:02	0:02:13	2:27:15	0:01:00	1:26:00	AU	
268656f0-1439-4d68-96f4-423230ea426c	23	Matthew Koorey	M	M40-44	2	4:25:12	0:28:17	0:02:18	2:26:28	0:01:18	1:26:51	AU	
425bf4a3-3686-49d2-856f-ed4969955576	24	Hayden Smith	M	M30-34	2	4:26:31	0:24:11	0:01:56	2:30:43	0:01:19	1:28:22	aus	
a54bfaa5-d1bd-4b24-8495-ee836e1c5cc7	25	James Sweeney	M	M40-44	3	4:26:34	0:29:29	0:02:18	2:29:34	0:01:10	1:24:03	AU	
970f5c71-abbb-4ff8-bc9a-5026732229f9	26	Sean Tully	M	M35-39	3	4:28:34	0:34:22	0:02:12	2:27:42	0:01:41	1:22:37	AU	
c908d0c7-2548-4c33-a524-415ff24ce85b	27	Nathan Ashton	M	M35-39	4	4:29:41	0:34:50	0:02:23	2:24:57	0:00:53	1:26:38	AU	
ecb03007-ce23-4d36-aa74-a974d53489bd	28	Jayson Gerde	M	M30-34	3	4:29:58	0:30:38	0:01:51	2:30:37	0:01:08	1:25:44	AU	
58d46c83-42f1-4b7e-894d-bec15e628f50	29	Lisa Marangon	F	FPRO	1	4:30:49	0:26:13	0:01:34	2:30:34	0:01:17	1:31:11	AU	
5846d766-4265-4dfc-91cc-ba1be87bbbe7	30	Craig Mcguigan	M	M40-44	4	4:31:03	0:27:10	0:01:47	2:27:53	0:01:06	1:33:07	AU	
69447269-f3fe-4b60-b7ab-d9f836ce5181	31	Luke Farrell	M	M18-24	1	4:31:13	0:26:08	0:01:31	2:30:31	0:01:30	1:31:33	AU	
a90a1fb8-0b8c-4076-9e6a-44918f81552f	32	Brad Pamp	M	M40-44	5	4:31:26	0:29:39	0:02:26	2:29:56	0:01:29	1:27:56	aus	
5f6ad693-ff92-4c6e-b48b-b8cd55a66297	33	Brad Wauer	M	MPRO	16	4:31:34	0:25:53	0:01:36	2:27:33	0:02:01	1:34:31	AU	
