ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
737809	DNS	Glyn Diwell	M	M35-39	0							Australia	DNS
236874	DNS	Shane Anspach	M	M40-44	0							Australia	DNS
152777	DNS	Donna Spowart	F	F25-29	0							Australia	DNS
737810	DNS	Glenn Young	M	M35-39	0							Australia	DNS
72615	DNS	Scott Gemmell	M	M40-44	0							Australia	DNS
243953	DNS	Dee Bradbery	F	F35-39	0							Australia	DNS
50121	DNS	Kirsten Gorman	F	F45-49	0							Australia	DNS
72901	DNF	Kerry Ireland	F	F45-49	0		0:34:40	0:04:03	2:39:49	0:01:59		Australia	DNF
737811	DNS	Brett Sharpe	M	M45-49	0							Australia	DNS
737812	DNS	Adam Willis	M	M35-39	0							Australia	DNS
737813	DNS	Reynier Louw	M	M40-44	0							Australia	DNS
337157	DNS	David Doyle	M	M35-39	0							Australia	DNS
32745	DNS	Timothy Beardall	M	MPRO	0							Australia	DNS
219542	DNS	Petra Zink	F	F25-29	0							Australia	DNS
372642	DNS	Natasha Alford	F	F30-34	0							Australia	DNS
320386	DNS	Linda Adams	F	F45-49	0							Australia	DNS
737814	DNF	Chrissy Arthur	F	F40-44	0		0:38:48	0:05:55	3:18:34	0:04:00	2:21:12	Australia	DNF
372716	DNS	Brett O'Brien	M	M40-44	0							Australia	DNS
398959	DNS	Takeshi Sato	M	M50-54	0							Japan	DNS
605060	DNF	Peter Dawson	M	M30-34	0		0:27:09	0:02:18	2:16:46			Australia	DNF
737815	DNS	Douglas Gray	M	M50-54	0							Australia	DNS
124904	DNF	Brenton Spendelove	M	M40-44	0		0:34:06					Australia	DNF
79863	DNF	Danielle Barwood	F	F35-39	0		0:35:44	0:02:52	2:30:42	0:10:20		Australia	DNF
430144	DNS	Roald Du Plessis	M	M25-29	0							Australia	DNS
137022	DNS	Jacinta Worland	F	F40-44	0							Australia	DNS
737816	DNS	MarÃ­a Cervantes	F	F30-34	0							Australia	DNS
73161	DNS	Nicky Crane	F	F30-34	0							Australia	DNS
72301	DNS	Stefan Dooney	M	M30-34	0							Australia	DNS
152907	DNS	Andrew Shearer-Smith	M	M40-44	0							Australia	DNS
79484	DNS	Shane Barwood	M	M40-44	0							Australia	DNS
737817	DNS	Clinton Teitz	M	M35-39	0							Australia	DNS
243956	DNF	Chris Hunter	M	M40-44	0		0:39:01	0:09:46	3:06:10	0:05:53	2:01:19	Australia	DNF
519212	DNS	Bruce Woods	M	M35-39	0							Australia	DNS
372371	DNF	Sara Dolley	F	F45-49	0		0:41:14	0:03:04	2:53:44	0:02:22		Australia	DNF
72103	DNS	Scott Hobson	M	M30-34	0							Australia	DNS
372211	DNF	Calum Lazenby	M	M30-34	0		0:32:53	0:03:04	2:26:22	0:01:51		Australia	DNF
111146	DNS	Francis Scarce	M	M55-59	0							Australia	DNS
79299	DNS	Jeff Boon	M	M40-44	0							Australia	DNS
737818	DNF	James Wilson	M	M35-39	0		0:35:52	0:04:12	2:56:33	0:02:20		Australia	DNF
92213	DNS	Bernard Smith	M	M50-54	0							Australia	DNS
137578	DNS	Dirk Baxendell	M	M40-44	0							Australia	DNS
165398	DNS	Stuart Harris	M	M30-34	0							Australia	DNS
269992	DNS	Tony Ganter	M	M45-49	0							Australia	DNS
92547	DNS	Andrea Forrest	F	FPRO	0							Australia	DNS
490840	DNS	Chantell Mcnamara	F	F30-34	0							Australia	DNS
521178	DNS	Kim Gillard	M	M40-44	0							Australia	DNS
733566	DNS	Chris Hurrell	M	M30-34	0							Australia	DNS
737819	DNS	Luke Tallis	M	M30-34	0							Australia	DNS
560820	DNF	Sam Steven	M	M30-34	0		0:27:08	0:03:26	2:25:46	0:01:38		Australia	DNF
320610	DNF	Conan Hansen	M	M35-39	0		0:33:55	0:04:41	2:46:54	0:05:02		Australia	DNF
186705	DNS	Lee Smith	M	M35-39	0							Australia	DNS
