ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
4cbf18fd-7dc6-4d52-b121-313c319302cd	1	Andrew Starykowicz	M	MPRO	1	3:47:27	0:25:48	0:00:54	2:02:13	0:01:05	1:17:27	US	
fd703b14-263e-4039-80e5-6ef3e96a6bbb	2	Timothy O'Donnell	M	MPRO	2	3:47:32	0:25:42	0:00:52	2:05:25	0:00:54	1:14:39	US	
7f9530a9-05d3-4b30-a9a7-af60eaf4f70d	3	Leon Griffin	M	MPRO	3	3:52:11	0:27:20	0:00:54	2:08:43	0:00:59	1:14:15		
ce25d191-fc65-435b-b903-e87145f70115	4	Bevan Docherty	M	MPRO	4	3:52:51	0:25:31	0:00:59	2:10:33	0:00:55	1:14:53	USA	
63ee5d0c-cb29-4053-a85e-3ed210d42c6d	5	Eric Limkemann	M	MPRO	5	3:53:30	0:25:24	0:01:01	2:05:50	0:01:06	1:20:09		
4e9147f7-7d4b-4a86-ba18-216ebb3cab08	6	Kyle Buckingham	M	MPRO	6	3:54:41	0:27:24	0:01:00	2:08:46	0:01:01	1:16:30	ZA	
3d2d00eb-074a-4c2f-9bc9-f1816bad9524	7	James Cotter	M	MPRO	7	3:56:12	0:26:19	0:01:00	2:10:00	0:01:16	1:17:37		
1e2bca8f-143a-49b8-a8ec-084b58b4e72a	8	Viktor Zyemtsev	M	MPRO	8	4:00:58	0:27:18	0:00:58	2:08:49	0:01:07	1:22:46	US	
883b721d-f460-4def-9ebb-73dec8ecafc8	9	Kyle Pawlaczyk	M	MPRO	9	4:01:10	0:29:55	0:01:06	2:08:38	0:00:59	1:20:32	US	
98448d00-7fb9-42d3-991a-c56700ac6156	10	Justin Metzler	M	MPRO	10	4:01:40	0:28:56	0:01:08	2:11:35	0:01:04	1:18:57	US	
6378e7bc-7060-459c-ae84-1a8978ab465e	11	Andrew Yoder	M	MPRO	11	4:02:19	0:25:27	0:01:12	2:02:34	0:01:15	1:31:51	US	
542f8ffb-4533-4365-9d4a-474f81f98f40	12	Mike Caiazzo	M	MPRO	12	4:03:48	0:30:06	0:01:05	2:12:23	0:01:12	1:19:02	USA	
9c30db17-61cd-48c4-9e55-716d18fa6a9d	13	Christopher Thomas	M	M40-44	1	4:05:43	0:29:55	0:01:24	2:13:01	0:01:20	1:20:03	US	
eed891a1-8b62-4113-a778-51c3c38bd4cb	14	Patrick Mckeon	M	M25-29	1	4:05:54	0:31:27	0:01:10	2:14:54	0:01:08	1:17:15	usa	
90b5cf86-f32a-4753-9faa-8d8399188e04	15	Chuck Perreault	M	M40-44	2	4:07:17	0:27:04	0:01:01	2:14:35	0:01:23	1:23:14	CA	
4a708f71-c7cf-4c51-b2da-11509f6ec7a3	16	Todd Burns	M	M30-34	1	4:08:44	0:27:20	0:01:22	2:16:28	0:01:30	1:22:04	US	
7b506d62-947b-4cb9-be6d-78d68cd569ab	17	Ben Meer	M	M30-34	2	4:08:53	0:32:35	0:02:38	2:11:08	0:01:37	1:20:55	US	
5fc8b222-fb93-46dd-abdc-964576f6bbe9	18	Jonathan Tryoen	M	MPRO	13	4:09:14	0:27:21	0:00:50	2:15:24	0:01:05	1:24:34	FR	
d34b8ff3-50af-4bd8-9e88-ed458fd357df	19	Martin Nocera	M	M25-29	2	4:09:58	0:28:47	0:01:01	2:17:39	0:01:12	1:21:19	US	
47fbe407-fef7-4487-a2df-80c79e1053f0	20	Heather Wurtele	F	FPRO	1	4:11:03	0:30:05	0:01:09	2:15:37	0:01:11	1:23:01	CA	
4200ae11-e026-4c4b-b831-63c9ff7f048c	21	Jerome Bresson	M	M30-34	3	4:11:15	0:31:31	0:01:07	2:10:51	0:01:30	1:26:16	CA	
b038c0d5-b8a6-476a-a766-5c39c081ad51	22	Caitlin Snow	F	FPRO	2	4:11:39	0:28:29	0:01:14	2:21:49	0:01:10	1:18:57	USA	
da966b34-71ea-429c-a390-992205e10cb9	23	Pierre-Marc Doyon	M	M18-24	1	4:11:47	0:26:07	0:01:11	2:19:12	0:01:22	1:23:55	CA	
b7be9831-b649-4808-b003-89ffa099a7c4	24	Reilly Smith	M	M30-34	4	4:11:50	0:30:46	0:02:38	2:09:31	0:01:42	1:27:13	US	
6307758e-46a3-40a9-a791-5fc78b91c570	25	James Chesson	M	MPRO	14	4:12:00	0:32:06	0:01:02	2:13:52	0:01:13	1:23:47	US	
f2dd4b1c-76fd-4944-8572-1a2e9ebd2183	26	Lucas Mccollum	M	M30-34	5	4:12:31	0:30:48	0:01:53	2:11:02	0:01:24	1:27:24	US	
1823d124-f390-476a-8637-146ca06b1670	27	Benjamin Bartlett	M	M25-29	3	4:13:17	0:28:17	0:01:23	2:13:37	0:01:44	1:28:16	US	
33e3b60d-fa20-465f-8af6-7c3b645aeb99	28	Yann Gauduchon	M	M35-39	1	4:13:25	0:33:15	0:01:32	2:11:16	0:01:26	1:25:56	FR	
d462163c-334a-4011-98df-892858dc3fb9	29	Mark Kenny Petersen	M	M30-34	6	4:13:52	0:34:02	0:01:24	2:13:15	0:01:52	1:23:19	DK	
5290a43f-7185-4fea-a783-abeeea60e3db	30	Pierre-Yves Gigoux	M	M25-29	4	4:14:21	0:30:26	0:01:07	2:14:09	0:01:23	1:27:16	CA	
d41fb6d6-eaac-47b5-b24e-45f987874a90	31	Dave Harju	M	M45-49	1	4:15:26	0:30:33	0:01:18	2:14:49	0:01:42	1:27:04	CA	
389f4fcc-15c7-4ddb-a51a-db3726f01dc7	32	Cesar Valera	M	M35-39	2	4:16:02	0:30:35	0:01:09	2:14:50	0:00:59	1:28:29	US	
1fe5b2a7-f76f-43db-9f20-6355b6c3409b	33	Michael Welch	M	M30-34	7	4:16:27	0:33:32	0:01:22	2:12:57	0:01:29	1:27:07	US	
389802eb-f512-449e-b93a-e01b5db41b5d	34	Jonathan Balabuck	M	M35-39	3	4:16:33	0:30:16	0:01:15	2:17:15	0:01:24	1:26:23	CA	
99de9c6a-f69b-4404-abbe-23e663bc8d58	35	Juan Valencia	M	M35-39	4	4:16:55	0:28:08	0:01:42	2:17:15	0:01:41	1:28:09	CO	
7fe69968-a69a-4ed5-9177-3b76cc0c15d6	36	Rach McBride	F	FPRO	3	4:17:37	0:29:58	0:01:29	2:15:13	0:00:56	1:30:01	CA	
2cb55f4d-de2f-4589-b606-b1b5cbf90f11	37	Karl Schilling	M	M25-29	5	4:17:50	0:31:00	0:01:10	2:16:06	0:01:02	1:28:32	US	
dad9a90a-481c-4480-bfc9-209ecda9f03e	38	David Forsee	M	M45-49	2	4:18:17	0:31:16	0:01:42	2:19:52	0:01:57	1:23:30		
7c1bba1b-436d-4cc0-9e7c-276fd2598d97	39	Owen Kendall	M	M30-34	8	4:18:21	0:30:49	0:01:14	2:18:11	0:01:32	1:26:35	US	
