ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
d47a3607-666c-41d7-9a40-12a266288ae9	1	Brent Mcmahon	M	MPRO	1	3:59:35	0:24:39	0:02:03	2:12:38	0:01:14	1:19:01	CAN	
123d3944-fe4b-4544-bcba-89df12b6b4da	2	Benjamin Williams	M	MPRO	2	4:18:36	0:27:41	0:02:08	2:26:10	0:01:23	1:21:14	US	
870eb888-eca3-4d47-b9fa-7a641d2d1109	3	Karl Bordine	M	MPRO	3	4:22:08	0:27:47	0:02:39	2:13:43	0:01:21	1:36:38	US	
aa301fbe-3910-433e-8d4b-3fa3e6c08f61	4	Vinicius Canhedo	M	M30-34	1	4:22:16	0:27:36	0:02:36	2:19:46	0:02:02	1:30:16	USA	
e5cf20e5-f54d-4aff-b2c3-2152c767b5e0	5	Richard Munro	M	M35-39	1	4:24:36	0:27:34	0:02:42	2:21:30	0:01:56	1:30:54	AUS	
e2aaf678-58ab-4d6d-a1dd-a2206731b3e0	6	Kevin Coady	M	M35-39	2	4:28:12	0:31:53	0:02:50	2:25:08	0:02:56	1:25:25	US	
b144b0dd-64b1-4fab-9f17-fd6e763749df	7	John Newsom	M	M35-39	3	4:28:43	0:27:46	0:02:53	2:28:35	0:02:03	1:27:26	NZ	
31ef8e5c-c8d6-4826-bb1c-0494efc60428	8	Niall Murray	M	M30-34	2	4:29:51	0:33:17	0:03:11	2:25:14	0:01:49	1:26:20	US	
2301c6d8-9eaf-45bd-a956-1347c99f1d6d	9	Angela Naeth	F	FPRO	1	4:30:53	0:28:37	0:02:18	2:26:48	0:01:21	1:31:49	US	
e3c33c60-4d81-4885-a9a4-3d3a290f55cf	10	Calvin Zaryski	M	M45-49	1	4:31:42	0:29:58	0:03:19	2:24:54	0:01:46	1:31:45	can	
0bee52d9-d606-4b23-b269-2697128d102a	11	Nathan Duncan	M	M30-34	3	4:32:46	0:32:04	0:04:14	2:29:26	0:01:50	1:25:12	US	
00daa664-20f3-4b4b-8ea1-cc1e0f796f03	12	Jamie Hunt	M	M40-44	1	4:33:03	0:27:37	0:02:40	2:29:48	0:01:34	1:31:24	NZ	
2ea8a48c-068e-47ff-a542-b3996b21b6b9	13	Bree Brown	F	FPRO	2	4:33:20	0:28:32	0:02:27	2:31:57	0:01:23	1:29:01	US	
6c695c49-c2dd-4031-8de6-712143e880ae	14	Melanie McQuaid	F	FPRO	3	4:34:33	0:28:34	0:02:23	2:26:41	0:01:21	1:35:34	CA	
67a82cd9-c31a-4c26-b4b3-1161dd9ae44e	15	Brett Dunstan	M	M45-49	2	4:35:27	0:33:18	0:03:09	2:26:26	0:02:25	1:30:09	AU	
c7f820ba-259e-4737-99fc-f96342a472e9	16	Tim Sheeper	M	M50-54	1	4:36:31	0:27:51	0:03:13	2:25:47	0:02:19	1:37:21	usa	
1084913a-bd35-4953-b39c-f523a43d81b8	17	Lachlan Kerin	M	MPRO	4	4:37:08	0:25:09	0:02:07	2:22:26	0:01:47	1:45:39	aus	
503c834d-a691-4a61-ac9f-003d821eeb7d	18	John Garita	M	M25-29	1	4:37:20	0:32:05	0:02:48	2:35:18	0:01:27	1:25:42	CR	
decb9f8e-9b45-4309-af6f-c0d03b3f3a10	19	Magali Tisseyre	F	FPRO	4	4:38:32	0:27:43	0:02:25	2:30:50	0:01:32	1:36:02	CA	
02f9482d-7547-439f-ade0-a12caee06420	20	Dillon Hollinger	M	M18-24	1	4:38:39	0:32:27	0:03:23	2:26:23	0:02:30	1:33:56	US	
26ca7aa6-bc31-445c-8577-c41656e953b9	21	Mike Ferreira	M	M50-54	2	4:40:11	0:32:43	0:02:37	2:31:02	0:01:35	1:32:14	US	
1e6a877e-d93c-498a-8324-df3715db9ca8	22	Donovan Watts	M	M35-39	4	4:40:29	0:32:34	0:03:04	2:30:46	0:01:36	1:32:29	CA	
2ec230fc-48eb-44bb-97ee-d1b7074d9880	23	Christine Hammond	F	FPRO	5	4:41:04	0:27:40	0:02:22	2:35:08	0:01:30	1:34:24	US	
5d8eaa24-4a8e-485a-bc7a-37a80a820f82	24	Rob Radcliffe	M	M35-39	5	4:41:17	0:32:13	0:03:12	2:29:35	0:01:28	1:34:49	US	
58381020-4e2c-4b48-a8d2-a3c3722b1ed5	25	Clint Rowlings	M	M25-29	2	4:41:21	0:29:34	0:02:39	2:30:49	0:02:21	1:35:58	AU	
a87b16c1-eeae-4504-ada3-0ea5200d4d4d	26	Karen Thibodeau	F	FPRO	6	4:41:22	0:27:43	0:02:39	2:32:38	0:01:21	1:37:01	CA	
1765cef7-a2db-4de8-b35b-523528d781d6	27	Jan Bretschneider	M	M40-44	2	4:41:36	0:31:55	0:03:18	2:20:40	0:02:03	1:43:40	US	
451a0783-4580-4886-b91a-ae6113f72a17	28	Sarah Graves	F	FPRO	7	4:42:25	0:35:36	0:02:59	2:32:35	0:01:40	1:29:35	US	
c2bfd948-ce83-4699-90bb-c299db5baf5c	29	Stefan Judex	M	M45-49	3	4:42:40	0:31:10	0:02:59	2:32:25	0:01:58	1:34:08	US	
66c2b0ff-1bd7-4964-8238-9d2af1c23c1f	30	Sergio Florian	M	M35-39	6	4:44:26	0:29:52	0:02:50	2:29:48	0:02:07	1:39:49	usa	
a09a4a7d-9fd0-45ab-8973-6631ffab0c78	31	Rebecca Preston	F	FPRO	8	4:45:16	0:30:06	0:02:40	2:35:04	0:01:54	1:35:32	AUS	
b91d24c7-6152-40e3-b4df-0ebc608a1bfd	32	Joseph I Kali	M	M25-29	3	4:46:27	0:32:19	0:03:10	2:28:35	0:01:27	1:40:56	US	
1c33793f-f820-4a66-8722-275d678dfd6e	33	Kyle Welch	M	M50-54	3	4:47:43	0:28:39	0:02:51	2:30:12	0:02:05	1:43:56	US	
5df7db48-7b04-4098-9817-22973c24fcee	34	Ben Ferris	M	M30-34	4	4:47:57	0:34:10	0:03:16	2:32:40	0:01:31	1:36:20	AU	
e2ccf02b-5353-48c3-9482-5d6a16dde2a4	35	Jason Dolbeck	M	M45-49	4	4:48:06	0:33:21	0:02:50	2:28:40	0:01:39	1:41:36	US	
d0c501e2-8693-4873-8b2f-388c3866cc86	36	Traveller Hill	M	M35-39	7	4:48:11	0:33:02	0:04:44	2:35:21	0:01:36	1:33:28	US	
f3afdef8-11c8-4c1b-a250-0e65d0455722	37	Aaron Zuzack	M	M35-39	8	4:48:14	0:30:23	0:03:15	2:22:33	0:01:40	1:50:23	US	
d653a4da-1720-4310-8a37-b4dd8ef04020	38	Cory Mccord	M	M30-34	5	4:48:33	0:33:21	0:03:10	2:29:16	0:02:43	1:40:03	USA	
d0845c21-f241-4539-b7f2-09b19df8fded	39	Phil Paterson	M	M35-39	9	4:48:43	0:35:10	0:04:08	2:35:17	0:02:31	1:31:37	NZ	
ef10d6fe-7cb4-4666-8c4b-17bb3b0f7a88	40	Aaron Wallen	M	M40-44	3	4:48:46	0:32:24	0:03:01	2:31:53	0:02:02	1:39:26	US	
27131d73-80d2-40af-b747-3ef0e55f8219	41	Paul Brinkmann	M	M55-59	1	4:48:53	0:30:22	0:02:57	2:36:08	0:02:06	1:37:20	US	
1873f9d8-83b9-46cd-a1ed-a64877341e87	42	Jason Fitzhugh	M	M45-49	5	4:49:15	0:32:26	0:03:32	2:35:35	0:01:54	1:35:48	US	
7411baee-0b4a-4091-9ad6-1af8fc28bb63	43	Stefano Giordano	M	M40-44	4	4:49:18	0:36:08	0:04:03	2:26:29	0:02:32	1:40:06	JP	
2e32fb26-8b08-415d-93d6-d5e1f108666f	44	Gerald Lies	M	M40-44	5	4:49:36	0:29:33	0:04:01	2:34:45	0:01:41	1:39:36	JP	
77bb3515-15c8-4b8e-ae53-4144167256e4	45	Andrew Rowlings	M	M50-54	4	4:50:24	0:33:27	0:03:17	2:33:51	0:02:10	1:37:39	AU	
1fb58b50-bd22-4c45-9d53-0973a76bddf3	46	Lectie Altman	F	F30-34	1	4:50:43	0:26:57	0:03:03	2:39:58	0:01:56	1:38:49	US	
1673eaa4-a192-4d04-b92b-b69ec3026d08	47	Dusty Nabor	M	M35-39	10	4:51:55	0:29:58	0:03:24	2:32:53	0:01:54	1:43:46	US	
bd66ead6-3e42-4d96-90e6-a08e7197fd5d	48	Colleen Dereuck	F	F50-54	1	4:52:01	0:33:17	0:04:50	2:45:58	0:02:28	1:25:28	US	
8180ce53-c51a-49a3-b11b-a3113a06b30e	49	Keish Doi	M	M45-49	6	4:52:17	0:33:39	0:02:53	2:33:10	0:01:43	1:40:52	US	
5b6de15c-be13-47c1-bcf9-b16b69a72d89	50	Michael Metzger	M	M25-29	4	4:52:27	0:32:09	0:03:08	2:32:14	0:01:56	1:43:00	US	
b5b45389-1358-4b78-9a24-9b938877f602	51	Mark Webb	M	M35-39	11	4:52:27	0:34:45	0:02:56	2:37:52	0:02:07	1:34:47	USA	
2b67381e-b5a1-4388-afd5-3080dee44ffa	52	Dale Londos	M	M50-54	5	4:53:09	0:30:31	0:03:41	2:40:36	0:02:28	1:35:53	US	
0a0c926e-099d-44ae-bffb-52108852f499	53	Roger Hastie	M	M40-44	6	4:53:12	0:31:51	0:04:00	2:39:52	0:01:38	1:35:51	PG	
14e7c5b5-c0cf-473e-ae90-0a12e0c3b67b	54	Jeremy Wallace	M	M25-29	5	4:53:40	0:32:50	0:02:44	2:31:04	0:02:06	1:44:56	AU	
45f40714-a6e8-4afc-9109-96bfef3c760b	55	Kevin Tanner	M	M25-29	6	4:53:58	0:33:38	0:03:08	2:33:27	0:02:23	1:41:22	AU	
456d3133-f4dc-47d4-be9b-36a2e41b9d1a	56	Jess Smith	F	FPRO	9	4:54:29	0:28:31	0:02:59	2:35:49	0:01:44	1:45:26	US	
6c4efba1-a02d-4138-abbd-e9a66e1b5ee6	57	Ed Merriken	M	M30-34	6	4:54:33	0:32:32	0:03:30	2:32:58	0:02:23	1:43:10	US	
ab2d6a42-a3f0-465b-bab5-a2b3df8b9d94	58	Charles Rivers	M	M30-34	7	4:54:43	0:28:49	0:03:32	2:36:17	0:01:54	1:44:11	US	
