ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
730114	DNS	ìš°íƒ ê¹€	M	M25-29	0							Korea 	DNS
730115	DNS	Park Sunmuk	M	M45-49	0							Korea 	DNS
730116	DNS	Kim Jangwon	M	M40-44	0							Korea 	DNS
32745	DNS	Timothy Beardall	M	MPRO	0							Australia	DNS
730117	DNS	Sin Changseong	M	M40-44	0							Korea 	DNS
495511	DNS	Kobayashi Kazuki	M	M25-29	0							Japan	DNS
86256	DNS	Kuba Zielinski	M	M35-39	0							South Africa	DNS
89974	DNS	Nino Ray Aguirre	M	M35-39	0							Philippines 	DNS
730118	DNF	Kwon Daehyeon	M	M45-49	0		0:15:31	0:05:33		3:11:16		Korea 	DNF
730119	DNS	Kim Myeongsu	M	M30-34	0							Korea 	DNS
730120	DNF	Lee Hongjae	M	M30-34	0			0:05:18				Korea 	DNF
730121	DNF	Lee Hwayeong	M	M30-34	0			0:06:08		3:26:37		Korea 	DNF
730122	DNF	Lee Sangdal	M	M35-39	0		0:16:27	0:04:01		3:08:02	2:00:50	Korea 	DNF
730123	DNF	Gang Gyeongmuk	M	M45-49	0		0:20:14	0:05:49		3:08:53		Korea 	DNF
730124	DNS	Hwang Igyeong	F	F40-44	0							Korea 	DNS
730125	DNS	Yun Yeonggeun	M	M55-59	0							Korea 	DNS
228939	DNS	Felix Penningsfeld	M	M25-29	0							Germany	DNS
425334	DNS	Charles Kingston	M	M18-24	0							Australia	DNS
730126	DNS	Lee Sanggyu	M	M35-39	0							Korea 	DNS
730127	DNS	Seo Jeonggyo	M	M40-44	0							Korea 	DNS
730128	DNS	Bae Janghyeon	M	M35-39	0							Korea 	DNS
730129	DNS	Yuk Jongdal	M	M45-49	0							Korea 	DNS
730130	DNF	Kim Hyeongyul	M	M55-59	0		0:27:03	0:10:37		3:05:40	2:04:26	Korea 	DNF
730131	DNF	Kim Haseok	M	M40-44	0		0:20:51	0:10:03		4:07:39		Korea 	DNF
720892	DNS	Young Gu Kim	M	M35-39	0							Korea 	DNS
730132	DNS	Mun Minho	M	M35-39	0							Korea 	DNS
730133	DNS	Lee Michael	M	M40-44	0							Korea 	DNS
730134	DNS	Lee Jeongpyo	M	M40-44	0							Korea 	DNS
730135	DNF	Lim Yubin	M	M30-34	0		0:23:36	0:06:11		4:28:53		Korea 	DNF
730136	DNS	An Yeonghyeon	M	M40-44	0							Korea 	DNS
730137	DNS	Kim Kwangho	M	M40-44	0							Korea 	DNS
717801	DNS	Yaowen Choong	M	M30-34	0							Malaysia	DNS
730138	DNS	Bae Cheolmin	M	M30-34	0							Korea 	DNS
730139	DNF	Gang Yeongsik	M	M35-39	0		0:17:41	0:07:10		3:12:46	1:49:48	Korea 	DNF
148197	DNF	Andrey Nosov	M	M30-34	0		0:15:41	0:03:54		3:24:35		Russian Federation 	DNF
612614	DNS	Russell Dempsey	M	M40-44	0							United Kingdom	DNS
293604	DNS	Kwang Park	M	M45-49	0							Korea 	DNS
730140	DNS	Jo Yeonhui	M	M55-59	0							Korea 	DNS
131609	DNS	Romain Demare	M	M25-29	0							France	DNS
730141	DNS	Cristina Monaco	F	F25-29	0							United States	DNS
730142	DNF	Mun Seonhwa	F	F30-34	0			0:40:02		4:42:41	3:11:57	Korea 	DNF
730143	DNS	Chris Mccormack	M	MPRO	0							Australia	DNS
92012	DNS	Brad Kahlefeldt	M	M35-39	0							Australia	DNS
730144	DNS	Kim Byeongsik	M	M35-39	0							Korea 	DNS
730145	DNS	Kim Yonghui	F	F45-49	0							Korea 	DNS
686018	DNS	Jun Oh	M	M35-39	0							Korea 	DNS
150660	DNS	Philipp Podsiedlik	M	MPRO	0							Austria	DNS
730146	DNF	Lee Kwangyun	M	M35-39	0			0:04:14		2:57:20	1:43:54	Korea 	DNF
236918	DNS	Motoaki Nakajima	M	M30-34	0							Japan	DNS
280015	DNF	Yi Xing Chan	M	M30-34	0			0:09:41		4:19:09		Singapore	DNF
730147	DNS	Oh Sangmi	F	F35-39	0							Korea 	DNS
730148	DNS	Cari Stromski	F	F35-39	0							United States	DNS
730149	DNS	Lee Suyeol	M	M40-44	0							Korea 	DNS
730150	DNS	Kim Seonung	M	M50-54	0							Korea 	DNS
730151	DNS	Sin Misik	M	M40-44	0							Korea 	DNS
730152	DNS	Song Taeseong	M	M55-59	0							Korea 	DNS
730153	DNS	Song Yongseok	M	M25-29	0							Korea 	DNS
730154	DNS	Choi Yeongseok	M	M40-44	0							Korea 	DNS
730155	DNS	Lee Yunwon	M	M45-49	0							Korea 	DNS
730156	DNS	An Yongseok	M	M50-54	0							Korea 	DNS
730157	DNS	Kim Sanggeun	M	M40-44	0							Korea 	DNS
597807	DNS	Thomas Arms	M	M30-34	0							United States	DNS
712620	DNF	Taras Litoshenko	M	M30-34	0		0:25:58					Ukraine	DNF
121140	DNS	Fredrik Croneborg	M	MPRO	0							Sweden	DNS
730158	DNS	Jeon Gapsu	M	M40-44	0							Korea 	DNS
253446	DNS	Wai Yan Chan	F	F35-39	0							Hong Kong	DNS
730159	DNS	Yu Honggeun	M	M50-54	0							Korea 	DNS
730160	DNS	Lee Chanjin	M	M30-34	0							Korea 	DNS
730161	DNS	Woo Suung	M	M45-49	0							Korea 	DNS
94394	DNS	Rodrigo Acevedo Van Arcken	M	MPRO	0							Colombia	DNS
730162	DNF	Hwang Geumcheol	M	M50-54	0		0:28:10	0:08:50		4:48:37		Korea 	DNF
730163	DNS	Go Daesan	M	M35-39	0							Korea 	DNS
730164	DNS	Jeon Taegeol	M	M50-54	0							Korea 	DNS
305610	DNS	Jarriel Lang	M	M40-44	0							United States	DNS
730165	DNF	Hwang Boyeong	M	M40-44	0					2:52:30	2:07:43	Korea 	DNF
730166	DNF	Lee Daegeun	M	M30-34	0		0:19:07	0:06:12			6:39:34	Korea 	DNF
730167	DNS	Park Seongjo	M	M40-44	0							Korea 	DNS
730168	DNF	Park Jonghoe	M	M50-54	0		0:17:33	0:07:08		4:00:25	2:07:56	Korea 	DNF
116438	DNS	Joshua Rix	M	M35-39	0							Australia	DNS
92027	DNS	Radka Kahlefeldt	F	FPRO	0							Czechia	DNS
152021	1	Courtney Atkinson	M	MPRO	1	3:47:15	0:11:00	0:01:45		2:26:00	1:21:15	Australia	FIN
289771	2	Allan Steen Olesen	M	MPRO	2	3:56:56	0:12:12	0:01:54		2:30:09	1:26:47	Denmark	FIN
495977	3	Rasmus Petraeus	M	MPRO	3	4:02:09	0:12:39	0:01:52		2:35:26	1:26:43	Denmark	FIN
729777	4	Kim Beeoh	M	M30-34	1	4:13:19	0:14:04	0:03:09		2:42:53	1:30:26	Korea 	FIN
95443	5	Nakamichi Yuya	M	M35-39	1	4:14:12	0:22:19	0:04:26		2:44:01	1:30:11	Japan	FIN
729778	6	Park Seongjae	M	M35-39	2	4:16:05	0:15:44	0:03:21		2:44:18	1:31:47	Korea 	FIN
131373	7	Thomas Butter	M	M35-39	3	4:16:30	0:14:27	0:02:35		2:44:00	1:32:30	Austria	FIN
729779	8	Kim Yuno	M	M40-44	1	4:16:42	0:16:36	0:02:52		2:51:52	1:24:50	Korea 	FIN
120337	9	Younghwan Oh	M	MPRO	4	4:17:11	0:13:43	0:02:22		2:42:44	1:34:27	Korea 	FIN
729780	10	Joshua Hammervold	M	M25-29	1	4:18:30	0:11:18	0:03:43		2:43:09	1:35:21	United States	FIN
269540	11	Oskar Booth	M	M30-34	2	4:21:19	0:21:20	0:11:06		2:54:26	1:26:53	Australia	FIN
136824	12	Katy Duffield	F	FPRO	1	4:21:41	0:13:28	0:02:44		2:49:09	1:32:32	Australia	FIN
