ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
579280	DNF	Nathan Oliver	M	M18-24	0		0:28:13	0:02:50	2:30:37	0:01:34		Australia	DNF
728949	DNF	Dean Templeton	M	M35-39	0		0:29:01	0:04:37	3:12:57	0:04:20		Australia	DNF
122135	DNF	Andrew Jones	M	M50-54	0		0:29:20	0:03:25	3:02:06	0:02:11		Australia	DNF
121575	DNF	Stuart Durham	M	M40-44	0		0:26:57	0:01:59	2:26:33			Australia	DNF
66484	DNF	Justin Martin	M	M40-44	0		0:32:18	0:07:17				Australia	DNF
129917	DNF	Garrod Delfs	M	M35-39	0		0:29:20	0:03:09	2:32:06	0:01:38		Australia	DNF
121695	DNF	Victor Popescu	M	M45-49	0		0:32:18	0:05:17				Australia	DNF
121583	DNF	Mark Batten	M	M55-59	0		0:24:56	0:02:49				Australia	DNF
490894	DNF	Roger Piggott	M	M45-49	0		0:30:15	0:04:28	2:41:21	0:03:29		Australia	DNF
728950	DNF	Chris Pennifold	M	M50-54	0		0:28:08	0:03:12	2:26:01	0:01:19		Australia	DNF
649322	DSQ	Daniel Roberts	M	M25-29	0							Australia	DQ
605178	DNF	Kevin Norris	M	M60-64	0		0:35:01	0:08:18	2:55:58			Australia	DNF
579549	DNF	Kylie Hansen	F	F25-29	0		0:29:12	0:03:47				Australia	DNF
130765	DNF	Shannon Byrne	F	F18-24	0		0:28:38	0:03:25	2:44:11	0:03:02		Australia	DNF
728951	DNF	Jesse Sullivan	M	M35-39	0		0:27:29	0:04:12	2:58:18	0:02:11		Australia	DNF
728952	DNF	William Brooks	M	M25-29	0		0:29:58	0:03:05	2:41:18	0:02:09		Australia	DNF
579666	DNF	Timothy Pugh	M	M30-34	0		0:31:17	0:04:00	2:55:34	0:03:03		United Kingdom	DNF
490890	DNF	Rich Hayers	M	M45-49	0		0:29:04	0:04:16	2:35:34	0:03:30		Australia	DNF
728953	DNF	Paul Burkinshaw	M	M35-39	0		0:34:03	0:03:36	2:40:40	0:03:23		Australia	DNF
122376	DNF	Jean Eichaker	M	M40-44	0		0:25:38	0:02:23				France	DNF
318328	DNF	Robert Czerwiec	M	M50-54	0		0:35:44	0:04:46				Australia	DNF
579667	DNF	Ryan Jones	M	M30-34	0		0:27:11	0:03:37				Australia	DNF
169420	DNF	Mel Hauschildt	F	FPRO	0		0:24:06	0:01:51	2:12:48	0:00:49		Australia	DNF
522039	DNF	Maryanne Spiers-Taylor	F	F50-54	0		0:26:23	0:03:40	2:47:59	0:04:15		Australia	DNF
525832	DNF	Len Eldridge	M	M30-34	0		0:32:34	0:07:18	2:50:53	0:05:05		Spain	DNF
145240	DNF	John Polson	M	MPRO	0		0:20:19	0:01:30				Australia	DNF
72615	DNF	Scott Gemmell	M	M40-44	0		0:27:25	0:02:19	2:31:53	0:01:43	1:39:42	Australia	DNF
122018	DNF	Christine Golder	F	F45-49	0		0:31:36	0:03:27				Australia	DNF
130180	DNS	Aaron Hocking	M	M35-39	0							Australia	DNS
318078	DNF	Cameron Murray	M	M35-39	0		0:25:02	0:04:40	2:35:24	0:03:44		Australia	DNF
121473	DNS	Chris Gibbons	M	M50-54	0							Australia	DNS
236465	DNF	Julian Le Plastrier	M	M35-39	0		0:24:42	0:02:28	2:17:33	0:01:45		Australia	DNF
728954	DNF	Tigh Van Leeuwen	M	M30-34	0		0:38:54	0:03:51	3:19:04	0:04:44		Australia	DNF
181105	DNF	Dane Roberts	M	M25-29	0		0:25:48					Australia	DNF
728955	DNF	Jonathan Lindley	M	M25-29	0		0:33:23	0:03:46	2:41:57	0:03:55		Australia	DNF
122337	DNF	Richard Burnell	M	M55-59	0		0:27:03	0:04:12	2:29:41	0:01:31		Australia	DNF
92012	DNF	Brad Kahlefeldt	M	MPRO	0		0:20:13	0:01:34				Australia	DNF
579648	DNF	Emily Symons	F	F25-29	0		0:34:22	0:03:42				Australia	DNF
66900	DNF	Anna Russell	F	FPRO	0		0:23:47	0:01:59	2:21:04	0:01:08		New Zealand	DNF
219676	DNF	Jamie Stanley	M	MPRO	0		0:22:14	0:01:41				Australia	DNF
728956	DNF	Mark Spencer	M	M40-44	0		0:36:59	0:03:53	3:25:04	0:03:50		Australia	DNF
378022	DNF	Andrew Boxsell	M	M35-39	0		0:24:54	0:03:18	2:20:30	0:03:43		Australia	DNF
728957	DNF	Gabriel Lim	M	M35-39	0		0:47:21					Singapore	DNF
130591	DNS	Louise Scott	F	F45-49	0							Australia	DNS
579289	DNF	Craig Park	M	M45-49	0		0:24:20	0:03:13	2:28:57	0:01:56		Australia	DNF
152932	DNF	Kylie Beutel	F	F25-29	0		0:28:14	0:03:19	2:41:14	0:01:14		Australia	DNF
579752	DNF	Sean Hayward	M	M45-49	0		0:30:59	0:03:56				Australia	DNF
129950	DNF	Kris Thyer	M	M25-29	0		0:36:34	0:03:41	2:45:21	0:01:28	3:48:06	Australia	DNF
318353	DNF	Brad Wellings	M	M25-29	0		0:36:00	0:05:08	3:09:23	0:02:41		Australia	DNF
487298	DNF	David Clear	M	M50-54	0		0:39:22	0:06:10	3:42:17			Australia	DNF
649368	DNS	Graham Haughey	M	M45-49	0							Australia	DNS
728958	DNF	Mike Gresham	M	M40-44	0		0:26:28	0:03:49	2:47:46	0:02:53		New Zealand	DNF
122489	DNF	Mike Bosch	M	M55-59	0		0:30:25	0:04:51	2:26:14	0:01:28		Australia	DNF
728959	DNS	Lana Warner-Gillon	F	F45-49	0							Australia	DNS
728960	DNF	Benjamin Dorant	M	M18-24	0		0:35:36	0:04:06	3:21:07			Australia	DNF
130101	DNF	Derek Cleven	M	M35-39	0		0:35:11	0:04:20	2:40:54	0:02:56		Australia	DNF
378281	DNF	Ashleigh Davis	F	F25-29	0		0:29:21	0:03:04	3:03:57			Australia	DNF
318390	DNF	Justin Palmer	M	M45-49	0		0:22:38	0:03:05	2:27:53	0:22:12		Australia	DNF
649395	DNF	Donna Dixon	F	F45-49	0		0:28:26	0:04:05	2:44:11	0:02:19		Australia	DNF
728961	DNF	Cassandra Lear	F	F30-34	0		0:28:35	0:03:09	2:40:27	0:01:33		Australia	DNF
719326	DNF	Robert Bodley	M	M18-24	0		0:28:16	0:02:49	2:32:38	0:01:57		Australia	DNF
23792	DNF	Tyler Butterfield	M	MPRO	0		0:21:29	0:01:34	2:04:34	0:01:27		Australia	DNF
176813	1	Michael Raelert	M	MPRO	1	3:35:55	0:20:08	0:01:31	2:00:38	0:00:53	1:12:45	Germany	FIN
143769	2	Timothy James Reed	M	MPRO	2	3:38:42	0:20:16	0:01:28	2:00:36	0:00:51	1:15:31	Australia	FIN
193111	3	Christian Kemp	M	MPRO	3	3:39:48	0:20:09	0:01:37	2:00:39	0:00:50	1:16:33	Australia	FIN
31556	4	Luke Bell	M	MPRO	4	3:43:49	0:20:18	0:01:40	2:00:23	0:00:51	1:20:37	Australia	FIN
23790	5	Ruedi Wild	M	MPRO	5	3:47:26	0:20:12	0:01:36	2:04:36	0:00:53	1:20:09	Switzerland	FIN
33223	6	Craig Alexander	M	MPRO	6	3:48:38	0:20:21	0:01:36	2:04:17	0:00:52	1:21:32	Australia	FIN
23789	7	Denis Chevrot	M	MPRO	7	3:50:06	0:20:19	0:01:35	2:08:41	0:01:15	1:18:16	France	FIN
67942	8	James Bowstead	M	MPRO	8	3:53:09	0:20:59	0:01:41	2:07:55	0:01:01	1:21:33	New Zealand	FIN
78989	9	Matt Burton	M	MPRO	9	3:54:20	0:22:32	0:01:35	2:04:43	0:00:55	1:24:35	Australia	FIN
77372	10	Simon Billeau	M	MPRO	10	3:58:03	0:22:55	0:01:56	2:09:41	0:00:53	1:22:38	France	FIN
129667	11	Annabel Luxford	F	FPRO	1	4:02:20	0:21:47	0:01:39	2:13:48	0:00:54	1:24:12	Australia	FIN
414889	12	Derek Cross	M	M35-39	1	4:02:55	0:22:04	0:01:48	2:09:11	0:00:56	1:28:56	Australia	FIN
68138	13	Caroline Steffen	F	FPRO	2	4:03:08	0:22:03	0:01:52	2:13:45	0:00:54	1:24:34	Australia	FIN
59592	14	Nikki Butterfield	F	FPRO	3	4:03:49	0:24:21	0:01:35	2:12:44	0:00:53	1:24:16	Australia	FIN
46509	15	Anja Beranek	F	FPRO	4	4:04:24	0:22:05	0:01:44	2:11:06	0:00:59	1:28:30	Germany	FIN
130902	16	Ben Madsen	M	M35-39	2	4:06:39	0:24:27	0:02:22	2:15:55	0:01:22	1:22:33	Australia	FIN
