ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
29811	DNS	Reto MÃ¼hlebach	M	M18-24	0							Switzerland	DNS
732798	DNS	Edward Mitchell	M	M35-39	0							United Kingdom	DNS
33055	DNF	Markus Jochum	M	M60-64	0		0:38:05	0:05:07	2:36:39	0:03:32		Austria	DNF
387295	DNS	Ruan Ferreira	M	M30-34	0							South Africa	DNS
47631	DNS	Flemming Steen	M	M45-49	0							Denmark	DNS
34345	DNS	Marcelo Snoeck	M	M45-49	0							Brazil	DNS
193084	DNS	Peter Nietfeld	M	M50-54	0							Germany	DNS
223824	DNS	Bernhard DaxbÃ¶ck	M	M30-34	0							Austria	DNS
732799	DNS	Gyula Borza	M	M35-39	0							Hungary	DNS
732800	DNS	Carla Alessandra Ferner	F	F45-49	0							Brazil	DNS
48838	DNS	Hugo Keating	M	M45-49	0							United Kingdom	DNS
488489	DNS	Nadja Dubler	F	F30-34	0							Switzerland	DNS
284968	DSQ	Luis Hofer	M	M45-49	0							Italy	DQ
732801	DNS	Stephan Schweiger	M	M40-44	0							Austria	DNS
246737	DNS	Alexnder Lenz	M	M35-39	0							Germany	DNS
223163	DNS	Mario Thielen	M	M35-39	0							Germany	DNS
121225	DNS	Andreas Giglmayr	M	MPRO	0							Austria	DNS
139267	DNS	Michael Strasser	M	M18-24	0							Austria	DNS
192871	DNS	Stefan Tweraser	M	M45-49	0							Austria	DNS
732802	DNS	Massimo Hrovatin	M	M40-44	0							Italy	DNS
157016	DNS	Julian Wurst	M	M18-24	0							Germany	DNS
547749	DNF	Patrick Wolfsjaeger	M	M18-24	0		0:35:52	0:05:46	3:08:13	0:04:50		Austria	DNF
46433	DNF	Mark Threlfall	M	MPRO	0		0:25:18	0:02:00	2:25:43	0:02:21		United Kingdom	DNF
192994	DNF	Gerd Ebner	M	M45-49	0		0:36:44	0:03:45				Austria	DNF
732803	DNS	Aaron Togher	M	M25-29	0							Ireland	DNS
65587	DSQ	Durdica Orepic	F	F50-54	0							Croatia	DQ
732804	DNS	Andreas Bader	M	M25-29	0							Austria	DNS
47001	DNS	Filippe Geenens	M	M35-39	0							Belgium	DNS
678779	DNS	Marcel Stein	M	M25-29	0							Germany	DNS
260849	DNS	Carsten Niederberger	M	M35-39	0							Germany	DNS
32967	DNF	Erika Csomor	F	FPRO	0		0:33:35	0:02:22	2:42:40	0:04:44		Hungary	DNF
732805	DNS	Cem Ozenc	M	M35-39	0							Turkey	DNS
732806	DNS	Thomas Jaretz	M	M45-49	0							Austria	DNS
226570	DNS	Nicholas Scott	M	M30-34	0							United Kingdom	DNS
118516	DNS	Filip Ospaly	M	MPRO	0							Czechia	DNS
25393	DNS	Reinhold Reiter	M	M35-39	0							Austria	DNS
192777	DNF	Andreas Schweighofer	M	M35-39	0		0:56:11	0:06:11				Austria	DNF
679376	DNS	Wolfgang Dormuth	M	M35-39	0							Austria	DNS
679950	DNS	Manfred Gfrerer	M	M50-54	0							Austria	DNS
586787	DNS	Andrea Fischer	F	F40-44	0							Germany	DNS
220011	DNS	Carlo Fragiacomo	M	M45-49	0							Italy	DNS
413295	DNF	Johann Geringer	M	M55-59	0		0:38:04	0:05:01	2:52:52	0:03:29		Austria	DNF
732807	DNS	Georg SchÃ¶pf	M	M25-29	0							Austria	DNS
732808	DNS	GÃ¼nther BÃ¤uerlein	M	M45-49	0							Germany	DNS
732809	DNS	Tim Page	M	M35-39	0							United Kingdom	DNS
300386	DNS	Sepp Lohninger	M	M35-39	0							Austria	DNS
46502	DNS	Sebastian Gaugl	M	M25-29	0							Austria	DNS
198616	DNS	Anker Hansen	M	M45-49	0							Denmark	DNS
