ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
17ecf878-c1d6-4258-aba8-47c65f2084d7	1	Sam Appleton	M	MPRO	1	3:48:55	0:22:58	0:02:18	2:08:21	0:01:02	1:14:16	US	
501a1d40-0177-4a0f-ba20-a8f0cbfffbc4	2	Craig Alexander	M	MPRO	2	3:52:57	0:23:09	0:02:20	2:10:51	0:00:51	1:15:46	AU	
08d437ae-1889-44fd-a9e6-874e7b868bb2	3	Timothy Reed	M	MPRO	3	3:55:39	0:23:17	0:02:19	2:10:46	0:00:57	1:18:20	AU	
d0bb79c9-a920-46ae-bac9-6bc7294917a2	4	Tim Van Berkel	M	MPRO	4	3:57:55	0:23:19	0:02:25	2:12:14	0:00:57	1:19:00	AU	
453cc72a-0c85-482a-838b-b15da1cbfdfa	5	Ben Wriede	M	MPRO	5	4:06:31	0:24:01	0:02:42	2:11:36	0:01:22	1:26:50		
b69ca7be-fe5c-455e-af63-040c88ee2c23	6	Nicholas Hull	M	MPRO	6	4:11:06	0:24:36	0:02:39	2:17:28	0:01:01	1:25:22	AU	
6f06a716-8acf-47a0-9187-9c8c9ff86e95	7	Todd Israel	M	MPRO	7	4:11:09	0:24:34	0:02:37	2:18:36	0:01:10	1:24:12	AU	
9a80ebfc-5ba1-4424-987b-88821c308049	8	Swindale Ricky	M	MPRO	8	4:11:49	0:24:36	0:02:50	2:21:21	0:01:45	1:21:17	AU	
d34d4fca-54f9-43e1-acf7-7f688219952b	9	Clayton Fettell	M	MPRO	9	4:12:49	0:22:54	0:02:26	2:19:18	0:00:56	1:27:15	aus	
7ac92595-a170-4775-9889-5a20048185e6	10	Tim Green	M	MPRO	10	4:13:38	0:23:18	0:02:34	2:19:59	0:01:07	1:26:40	AU	
b62e2abc-3125-4822-94b1-0c7502220053	11	Dylan Hill	M	MPRO	11	4:14:10	0:28:29	0:02:41	2:20:04	0:01:36	1:21:20	AU	
066b010b-5baa-4da4-bb82-8d6fb04c3190	12	John Polson	M	MPRO	12	4:14:40	0:23:10	0:02:13	2:18:45	0:01:09	1:29:23	AU	
38c28a97-a68c-4f7e-9414-71d25bc3c6dd	13	Lindsey Wall	M	MPRO	13	4:15:19	0:23:18	0:02:16	2:18:34	0:01:10	1:30:01	AU	
1e7cc7b5-5e44-4888-b7a3-683c44d757ec	14	Matt Franklin	M	MPRO	14	4:15:49	0:23:15	0:02:34	2:12:37	0:00:56	1:36:27	NZ	
eded5f5a-86b6-472c-a10d-a031d533bc1e	15	Stephen Thompson	M	MPRO	15	4:16:53	0:24:47	0:03:01	2:21:05	0:02:06	1:25:54	AUS	
ed872c5c-a926-4d69-a248-02939d3c206f	16	Hayden Armstrong	M	M35-39	1	4:17:05	0:26:17	0:03:20	2:15:11	0:01:53	1:30:24	AU	
967f97b7-2f6e-4044-9f68-d92cc5040f7f	17	James Dimsey	M	M30-34	1	4:19:40	0:29:41	0:02:25	2:18:58	0:01:19	1:27:17	AU	
580157ba-5eb8-47c9-a9c2-c8a7067a4178	18	Caroline Steffen-Murray	F	FPRO	1	4:19:41	0:25:45	0:02:25	2:26:36	0:01:10	1:23:45	AU	
3f3ad5a9-989e-4cbf-a342-4889cdcd54a4	19	Paul Mckenzie	M	M40-44	1	4:19:57	0:26:24	0:03:12	2:19:54	0:01:36	1:28:51	AU	
