ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
709377	DNF	Ayyan Bari	M	M30-34	0			0:00:01	4:18:26	0:09:30		United Kingdom	DNF
670314	DNS	Gernot Lorber	M	M35-39	0							Austria	DNS
29636	DNS	Matteo Sironi	M	M40-44	0							Italy	DNS
29386	DNS	Rodolfo Garzella	M	M40-44	0							Italy	DNS
718208	DNS	Helen Pink	F	F45-49	0							United Kingdom	DNS
718209	DNS	Philipp Bastians	M	M25-29	0							Germany	DNS
176882	DNS	Alessandro Allegrucci	M	M40-44	0							Italy	DNS
201695	DNS	Sven Schreiber	M	M45-49	0							Germany	DNS
712346	DNS	Fiorenzo Lacerra	M	M55-59	0							Italy	DNS
718210	DNS	Elena Solomides	F	F25-29	0							United Kingdom	DNS
196951	DNF	Giorgio Poli	M	M55-59	0			0:00:01	3:42:35	0:12:12		Italy	DNF
300274	DNS	Gregor Pirc	M	M45-49	0							Slovenia	DNS
709206	DNS	Monique Drews	F	F45-49	0							Germany	DNS
46644	DNS	Kurt Lichtkoppler	M	M40-44	0							Austria	DNS
24194	DNS	Salvatore Alioto	M	M40-44	0							Italy	DNS
718211	DNS	Giovanni Lo Grande	M	M35-39	0							Italy	DNS
157133	DNS	Enrico Bonivento	M	M35-39	0							Italy	DNS
457051	DNF	Walter Schirra	M	M60-64	0			0:00:01	3:55:34	0:09:21		Germany	DNF
718212	DNS	Paolo Mandelli	M	M35-39	0							Italy	DNS
710330	DNF	Alessandro Campello	M	M25-29	0			0:00:01	2:54:57	0:01:44		Italy	DNF
460594	DNS	William Keravuori	M	M45-49	0							United States	DNS
65620	DNS	Jonathan De Oliveira	M	M30-34	0							South Africa	DNS
256547	DNS	Anton Leonov	M	M35-39	0							Russian Federation 	DNS
718213	DNS	Boban Brasanac	M	M50-54	0							Serbia	DNS
513058	DNS	Servaas Malherbe	M	M30-34	0							South Africa	DNS
49017	DNS	Filipe Da Lomba	M	M35-39	0							South Africa	DNS
262292	DNS	Ruggero Cresta	M	M30-34	0							Italy	DNS
718214	DNS	Christian Coco	M	M40-44	0							Italy	DNS
710507	DNS	Nicola Lancerin	M	M40-44	0							Italy	DNS
192297	DNS	Gianluca Moroni	M	M45-49	0							Italy	DNS
192756	DNF	Marion Buchholz	F	F60-64	0			0:00:01	3:49:35	0:06:03		Germany	DNF
668010	DNS	Jane Amelia Harries	F	F45-49	0							United Kingdom	DNS
718215	DNS	Gudrun Walter	F	F50-54	0							Austria	DNS
276636	DNS	Andre Van Der Westhuizen	M	M50-54	0							South Africa	DNS
215184	DNS	Nathanael KÃ¤ser	M	M25-29	0							Switzerland	DNS
337755	DNS	Greg Eden	M	M35-39	0							South Africa	DNS
262576	DNF	Cody Stevens	M	M25-29	0			0:00:01	4:04:24	0:08:52		United States	DNF
678937	DSQ	Ulfried Oberth	M	M30-34	0							Austria	DQ
559414	DNS	Loris Perlini	M	M30-34	0							Italy	DNS
718216	DNS	Michelle Buess	F	F45-49	0							Brazil	DNS
718217	DNS	Stefano Zoccatelli	M	M40-44	0							Italy	DNS
202986	DNF	Maria Fernanda Rosero Gallegos	F	F40-44	0			0:00:01	4:01:41	0:08:55		Ecuador	DNF
30972	DNS	Maria Klockare	F	F50-54	0							Sweden	DNS
718218	DNS	Wouter Kolk	M	M45-49	0							Netherlands 	DNS
335639	DNF	Federica Bazzocchi	F	F35-39	0			0:00:01	2:55:19	0:02:24		Italy	DNF
157575	DNS	Lukas Haenel	M	M35-39	0							Switzerland	DNS
285079	DNS	Dione Wang	F	F18-24	0							Singapore	DNS
48376	DNF	Nicola Pasquini	M	M45-49	0			0:00:01	4:28:21	0:04:29		Italy	DNF
31487	DNS	Alberto Fazi	M	M45-49	0							Italy	DNS
718219	DNS	Giovanni Trabacchin	M	M30-34	0							Italy	DNS
261066	DNF	Mike Stead	M	M35-39	0			0:00:01	3:37:27	0:04:21		United Kingdom	DNF
666020	DNS	Georg Dujmovits	M	M25-29	0							Austria	DNS
679176	DNS	Sabine Nittmann	F	F45-49	0							Germany	DNS
640436	DSQ	Caroline Rakowitz	F	F30-34	0							Austria	DQ
66532	DNS	Pedro Tavares De Andrade Lopes	M	M30-34	0							Brazil	DNS
