ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
cfd0a46c-8045-4e5b-89f6-25223a19ff58	1	Alessandro Degasperi	M	MPRO	1	8:56:49	0:51:10	0:03:01	5:12:12	0:03:10	2:47:15	Italy	
26a2e03a-9e34-47fe-8fb3-7ac288d58645	2	Christian Kramer	M	MPRO	2	8:59:30	0:48:20	0:02:53	5:05:51	0:03:10	2:59:14	DE	
7857006e-9308-434e-bb7d-014fa4ca33ca	3	Mauro Baertsch	M	MPRO	3	9:04:45	0:52:04	0:03:57	5:10:48	0:03:41	2:54:13	CH	
b4167939-bd83-4981-9c33-797d4d810ad6	4	Miquel Blanchart Tinto	M	MPRO	4	9:10:25	0:48:33	0:03:04	5:24:26	0:02:38	2:51:42	ES	
c2084ad9-b00c-44f0-b3aa-e36692b0dcc5	5	Bert Jammaer	M	MPRO	5	9:12:05	0:48:25	0:02:47	5:09:27	0:03:08	3:08:17	BE	
fde0572e-3b68-4c54-9f63-e47974611e94	6	Daniel Herlbauer	M	MPRO	6	9:25:58	0:51:26	0:03:31	5:20:29	0:03:07	3:07:24	AT	
3430542c-254a-4c14-863a-b1219fc8fbff	7	Sergio Marques	M	MPRO	7	9:27:58	0:54:42	0:03:09	5:29:57	0:03:10	2:56:58	PT	
3529afba-0934-4f8b-a2f7-d8a619eed64b	8	Will Clarke	M	MPRO	8	9:28:31	0:48:19	0:02:55	5:17:29	0:03:11	3:16:36	GB	
b662a4fe-547f-4350-a56b-76e96ae5714b	9	Malte Bruns	M	M18-24	1	9:32:46	0:53:28	0:03:50	5:27:41	0:05:31	3:02:14	DE	
9e3c2484-3c3f-435b-81c0-6a98425f2827	10	Cedric Lassonde	M	MPRO	9	9:39:15	0:53:36	0:03:55	5:23:22	0:03:59	3:14:21	GB	
d5ac05b6-e922-4bc6-aa67-52facac5a541	11	Roman Deisenhofer	M	MPRO	10	9:40:57	0:51:29	0:03:02	5:21:27	0:03:25	3:21:32	GERMANY	
1cffaa72-b782-452f-b9b2-491334700d2f	12	Michael Smith Larsen	M	M30-34	1	9:43:44	0:59:38	0:04:28	5:23:35	0:04:21	3:11:41	DK	
6b5e32dc-507f-4b0d-8938-96fa20a54d60	13	Guy Crawford	M	MPRO	11	9:44:09	0:48:21	0:03:16	5:17:24	0:04:18	3:30:49	USA	
834f41d3-ed40-4f18-ab90-1d175ecac51c	14	Nicholas Peter Koniarsk	M	M30-34	2	9:46:00	0:55:43	0:04:15	5:34:17	0:06:10	3:05:33	ES	
1e095bc5-64be-46df-88d2-edbb49e13745	15	Mark Oude Bennink	M	MPRO	12	9:47:40	0:48:11	0:03:14	5:36:11	0:04:39	3:15:23	NL	
25518c88-c8ce-452b-aa23-c63ef2ce3009	16	Henrik Oftedal	M	MPRO	13	9:50:18	0:58:13	0:04:22	5:22:40	0:04:45	3:20:16	NO	
51c86213-36a0-4632-a44c-9ec6777ae68a	17	Jonathan Lawaetz	M	M25-29	1	9:50:50	0:57:09	0:03:57	5:35:06	0:04:11	3:10:25	DK	
04977d80-4a9e-4299-9d61-c12d6717a372	18	Brian W Fogarty	M	M30-34	3	9:53:35	1:04:21	0:03:52	5:26:30	0:04:42	3:14:08	GB	
3abd7fdf-e7db-472f-bacd-140b44a42af0	19	Cristian Martã­n Guerrero	M	M35-39	1	9:54:12	0:50:20	0:04:06	5:38:35	0:04:44	3:16:25	ES	
a0a0bd84-50bb-46be-ad75-1eb0b2be90da	20	Diana Riesler	F	FPRO	1	9:56:03	0:55:40	0:03:27	5:37:11	0:03:24	3:16:20	DE	
67060c8c-6a8d-4361-8178-20e16024501e	21	Marcus Hultgren	M	MPRO	14	9:57:19	0:56:22	0:03:49	5:39:46	0:03:11	3:14:09	SWEDEN	
47ad9543-3c28-4a7b-bfa1-e5f20d15bbd2	22	Jordi Matos Pardo	M	M35-39	2	9:58:17	0:57:56	0:03:28	5:34:20	0:04:15	3:18:17	ES	
b15c8576-c86e-4453-850d-dfbb00b0109b	23	David Roselló	M	M30-34	4	9:58:21	1:00:29	0:05:59	5:30:41	0:04:10	3:17:01	ES	
0974d84a-9942-4cf1-8d3d-c3b60318f31a	24	Anthony Adam	M	M35-39	3	10:01:40	0:57:45	0:03:49	5:39:40	0:04:11	3:16:13	FR	
