ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
514551	DNF	Bob Lowe	M	M75-79	0		1:44:00	0:18:29				New Zealand	DNF
514552	DNF	Robert Kilburn	M	M60-64	0		1:49:57	0:14:21	8:14:35	0:06:56		New Zealand	DNF
63951	DNF	Ian Mclachlan	M	M60-64	0		1:49:55	0:11:18				New Zealand	DNF
320974	DNF	Andy Lian Kee Ng	M	M60-64	0		1:55:50	0:16:27				Singapore	DNF
514549	DNF	Apolone Tefono	M	M50-54	0		1:29:04	0:12:44				Unknown	DNF
	DNF	Kim Smith	M	M45-49	0		2:03:03	0:11:00				New Zealand	DNF
152439	DNF	Lewis Donaldson	M	M35-39	0		1:23:01	0:10:41	8:16:24			New Zealand	DNF
514553	DNF	Graeme Williams	M	M60-64	0		1:55:32	0:15:08	8:16:54	0:08:40		New Zealand	DNF
176698	DNF	Daniel Afoa	M	M50-54	0		1:31:51	0:12:05	7:35:20	0:08:12		SAM	DNF
514558	DNF	Hercio Takashima	M	M40-44	0		1:49:01	0:12:41				Brazil	DNF
	DNF	Carolyn Martin	M	M60-64	0		1:45:41	0:08:26	7:31:35			New Zealand	DNF
62661	DNF	Hayden Harper	M	M35-39	0		0:58:27	0:05:09	5:07:53	0:02:09		New Zealand	DNF
190075	DNF	Bruce Beehre	M	M65-69	0		1:46:43	0:10:01				New Zealand	DNF
133294	DNF	Lee Varney	M	M40-44	0		1:33:02	0:09:02	8:36:00	0:05:48		Australia	DNF
64004	DNS	Anthony Byrne	M	M65-69	0							Australia	DNS
116283	DNF	Ken Clifford	M	M50-54	0		1:30:56	0:09:28	5:50:08	0:06:07		United States	DNF
120073	DNF	Timothy Cornell	M	M65-69	0		1:33:54	0:14:23				United States	DNF
68096	DNF	Mike Gaffaney	M	M65-69	0		1:52:47	0:09:50	7:32:25			New Zealand	DNF
320670	DNF	Rubin Levin	M	M65-69	0		1:38:04	0:23:56				New Zealand	DNF
514556	DNF	Laurie O'neill	M	M65-69	0		2:22:25					New Zealand	DNF
229896	DNS	Chris Dyason	M	M50-54	0							Singapore	DNS
	DNF	Nicole Anderson	M	M40-44	0		1:27:49	0:11:19	7:28:19			Australia	DNF
514557	DNF	Lee Whiley	M	M65-69	0		2:18:01	0:15:31				New Zealand	DNF
