ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
689966	DNS	Hirano Hiroyuki	M	M35-39	0							Japan	DNS
411271	DNS	Aoki Ken	M	M40-44	0							Japan	DNS
690003	DNS	Hatsuya Kazunori	M	M35-39	0							Japan	DNS
221442	DNS	Kibo Kondo	M	M40-44	0							Japan	DNS
690010	DNF	Matsumura Kengo	M	M35-39	0		0:47:16	0:12:40	3:55:06			Japan	DNF
689980	DNS	Imamura Kunihiro	M	M40-44	0							Japan	DNS
95163	DNS	Ross Maree	M	M35-39	0							Ireland	DNS
689981	DNF	Nakaya Masakazu	M	M40-44	0		0:58:49	0:08:09	3:41:59	0:16:00		Japan	DNF
689975	DNS	Oishi Masahiro	M	M35-39	0							Japan	DNS
690012	DNS	Furukawa Masanori	M	M40-44	0							Japan	DNS
411244	DNS	Yujiro Tokunaga	M	M35-39	0							Japan	DNS
690023	DNS	Koichi Murakawa	M	M40-44	0							Japan	DNS
690031	DNS	Shinomiya Toshiki	M	M35-39	0							Japan	DNS
689983	DNS	Kiriishi Noriyuki	M	M40-44	0							Japan	DNS
224711	DNS	Oishi Toshio	M	M35-39	0							Japan	DNS
294052	DNS	Kobkiat Sangwanich	M	M40-44	0							Thailand	DNS
689994	DNS	Naoki Tsuji	M	M35-39	0							Japan	DNS
63051	DNS	Hideki Sato	M	M40-44	0							Japan	DNS
690014	DNS	Shibano Tsuyoshi	M	M35-39	0							Japan	DNS
293684	DNS	Hidenobu Satoh	M	M40-44	0							Japan	DNS
690024	DNS	Sasaki Yuhei	M	M35-39	0							Japan	DNS
690027	DNS	Inoue Shinichiro	M	M40-44	0							Japan	DNS
411311	DNS	Yasuhisa Shiraishi	M	M40-44	0							Japan	DNS
690019	DNS	Yamada Taiichiro	M	M40-44	0							Japan	DNS
689996	DNS	Fumikura Taishi	M	M40-44	0							Japan	DNS
689968	DNS	Asakura Takaaki	M	M40-44	0							Japan	DNS
689999	DNS	Muramoto Akio	M	M45-49	0							Japan	DNS
690005	DNF	Kanazashi Takashi	M	M40-44	0		1:05:15					Japan	DNF
147636	DNS	Hidekazu Baba	M	M45-49	0							Japan	DNS
689989	DNS	Seita Takehiro	M	M40-44	0							Japan	DNS
225730	DNS	Tsujimoto Haruhisa	M	M45-49	0							Japan	DNS
689998	DNS	Motoike Takuroh	M	M40-44	0							Japan	DNS
690013	DNS	Matsuo Hirohide	M	M45-49	0							Japan	DNS
690017	DNS	Sato Toshiki	M	M40-44	0							Japan	DNS
680105	DNS	Kamimoto Hiromasa	M	M45-49	0							Japan	DNS
516229	DNS	Masaki Yokokawa	M	M40-44	0							Japan	DNS
689977	DNF	Sakatani Hiroyuki	M	M45-49	0		1:07:23					Japan	DNF
689997	DNS	Kouduki Yoshiomi	M	M40-44	0							Japan	DNS
236907	DNS	Maeyama Hitoshi	M	M45-49	0							Japan	DNS
690033	DNS	Yasumura Yoshitake	M	M40-44	0							Japan	DNS
221305	DNS	Kenichi Inamoto	M	M45-49	0							Japan	DNS
207101	DNS	Nobuaki Ito	M	M45-49	0							Japan	DNS
688163	DNS	Tatsushi Iwasaki	M	M45-49	0							Japan	DNS
120470	DNS	Takanori Kajiwara	M	M45-49	0							Japan	DNS
690035	DNS	Takada Kiyohiko	M	M55-59	0							Japan	DNS
690030	DNS	Kawanishi Keisuke	M	M45-49	0							Japan	DNS
69993	DNS	Atsunori Matsushita	M	M55-59	0							Japan	DNS
