ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
668d26f0-5179-469e-bb75-a5228bee49d5	1	Benjamin Hammer	M	M30-34	1	4:06:21	0:32:51	0:02:25	2:08:57	0:01:27	1:20:41	US	
23741fd0-0c15-4dfa-9f4d-9f4ba7721f3e	2	Kevin Denny	M	M25-29	1	4:09:33	0:27:27	0:02:30	2:13:43	0:01:21	1:24:32	US	
62d400e3-1788-471e-b57b-6c5c6280f847	3	Michael Vanacora	M	M30-34	2	4:10:36	0:28:40	0:02:15	2:15:45	0:01:17	1:22:39	US	
82782fcf-ba98-45f7-84af-9bd86ec7807d	4	Jonathan Feddock	M	M35-39	1	4:12:17	0:31:04	0:02:17	2:14:42	0:01:25	1:22:49	US	
36eba750-b44e-4f2e-93ff-2160caab70e2	5	Scott Iott	M	M40-44	1	4:13:38	0:32:52	0:03:07	2:12:27	0:01:17	1:23:55	US	
465d2bbb-1353-48d6-adee-5522b92923a4	6	James Defilippi	M	M35-39	2	4:15:20	0:30:51	0:02:17	2:14:57	0:01:33	1:25:42	US	
d9713e69-e0c1-40ec-834d-1d88a05c5abe	7	Bentley Walker	M	M35-39	3	4:17:42	0:28:50	0:02:57	2:17:52	0:01:30	1:26:33		
42824b1e-fbe8-48aa-b575-68d2485d34c5	8	Thomas Odom	M	M30-34	3	4:17:48	0:29:32	0:02:36	2:13:03	0:01:13	1:31:24	US	
a4045e47-5cf6-4e0e-af75-30cb11faf43d	9	Will Battaile	M	M35-39	4	4:17:58	0:29:43	0:02:32	2:16:00	0:01:34	1:28:09	US	
3b95f15e-73a4-4b1b-9dac-3e1c77052fa0	10	Anthony Chan	M	M25-29	2	4:18:23	0:38:10	0:02:09	2:12:14	0:01:31	1:24:19	usa	
97749950-6675-4fa5-88ec-24137f5eb599	11	Thierry Guertin	M	M40-44	2	4:19:31	0:34:12	0:02:31	2:10:35	0:01:33	1:30:40	CA	
6aa1b7f4-c638-48be-a946-133897f0f609	12	Neal Ross	M	M25-29	3	4:20:02	0:27:28	0:03:12	2:19:13	0:01:23	1:28:46	US	
700bf491-d7ea-4cb7-8ab2-641b4d156d43	13	Nicholas Rizzo	M	M25-29	4	4:20:07	0:37:36	0:02:31	2:19:53	0:01:49	1:18:18	US	
dad9a90a-481c-4480-bfc9-209ecda9f03e	14	David Forsee	M	M45-49	1	4:21:03	0:30:16	0:02:44	2:19:01	0:02:01	1:27:01		
c91e28a1-1bb9-4706-9c82-697c436c5304	15	Tyler Cox	M	M30-34	4	4:22:07	0:31:07	0:02:48	2:18:04	0:01:30	1:28:38	US	
4213a07f-8081-4995-a1be-be75cd704df7	16	Ryan Wolfe	M	M30-34	5	4:22:11	0:30:59	0:02:39	2:19:26	0:01:21	1:27:46	US	
c7a57146-5518-41b0-b06f-4285cf391f5f	17	Ross Germani	M	M40-44	3	4:22:50	0:31:00	0:03:00	2:16:13	0:01:27	1:31:10	US	
de390f31-7ca6-4196-9387-b3ac74e41872	18	Scott Dickie	M	M30-34	6	4:22:51	0:31:48	0:02:48	2:16:21	0:01:41	1:30:13	CA	
30ae3824-9450-47d9-bda0-70bd60625b7a	19	Chris Nasser	M	M25-29	5	4:23:11	0:34:26	0:02:27	2:19:51	0:01:45	1:24:42	US	
d979c0d3-e69f-454a-8e84-ee0dfd26069d	20	Bob Larue	M	M30-34	7	4:24:08	0:39:40	0:02:39	2:17:46	0:01:26	1:22:37	USA	
af029f7d-e3c8-4a15-b664-20f3c65d58fa	21	Allen Stanfield	M	M35-39	5	4:24:36	0:33:16	0:02:23	2:16:19	0:01:52	1:30:46	US	
c3fa3dd6-126b-477a-92ba-1ad5434b9de3	22	Matthew Woodrow	M	M25-29	6	4:24:51	0:30:43	0:03:37	2:25:23	0:01:59	1:23:09	US	
999b8424-f7d1-4e75-b1b5-182429316a63	23	Gordon Powell	M	M35-39	6	4:24:52	0:33:52	0:02:16	2:16:34	0:01:39	1:30:31	USA	
fa7fc661-7f63-424c-a046-d048b47072ec	24	Samuel Hall	M	M30-34	8	4:25:10	0:30:26	0:02:11	2:19:39	0:01:22	1:31:32	US	
0a7fcb96-45a7-414a-8c29-d65f40bf8b75	25	Eric Lashway	M	M30-34	9	4:25:28	0:33:08	0:02:19	2:18:19	0:01:14	1:30:28	US	
6f47b8cb-4274-47b0-b32d-0523223e10b2	26	Michael Girard	M	M35-39	7	4:25:42	0:31:37	0:02:20	2:13:50	0:01:41	1:36:14	US	
8dd380da-4435-40a9-bcf5-f0ca5323a736	27	Jeff Vandusen	M	M35-39	8	4:26:03	0:34:58	0:02:42	2:12:47	0:02:45	1:32:51	US	
cae74271-781f-4a08-9ca5-4efcc5958803	28	Curtis Anderson	M	M30-34	10	4:26:31	0:30:34	0:03:07	2:16:53	0:02:15	1:33:42	US	
f2f5d173-10d1-4cd9-a6a3-e05e11be0d9a	29	Rick Weslock	M	M40-44	4	4:27:45	0:42:27	0:02:54	2:14:27	0:01:48	1:26:09	US	
7e9b4823-46c5-40a8-b8df-75b5258a59f3	31	Bruce Gennari	M	M50-54	1	4:27:55	0:26:12	0:02:57	2:16:58	0:02:16	1:39:32	US	
653bea4c-0e69-46cf-b7c3-def5e49b24bb	32	Jd Thalman	M	M35-39	9	4:28:04	0:31:38	0:02:56	2:21:17	0:01:43	1:30:30	US	
881c84e1-24c1-4e81-82ee-0b0f886a5e3f	33	Josh Madsen	M	M40-44	5	4:28:11	0:30:05	0:02:16	2:19:33	0:01:41	1:34:36	US	
9c46b67c-7891-40cf-b84a-fe3177164c39	34	James Harrington	M	M40-44	6	4:28:54	0:37:21	0:02:37	2:21:39	0:01:23	1:25:54	US	
7b89cdc5-58d6-40ed-90d6-1da17315d2fd	35	Colin Dunham	M	M35-39	10	4:29:27	0:34:07	0:02:36	2:21:23	0:01:46	1:29:35	US	
3ce3eac1-7a2b-4a56-84f4-515dfc39575b	36	Bryan Krabbe	M	M40-44	7	4:30:57	0:32:22	0:03:08	2:21:07	0:01:33	1:32:47	US	
306df6f1-bd3e-4d4b-a2ed-6b39a7790483	38	Jonathan Welty	M	M25-29	7	4:31:17	0:35:24	0:02:18	2:26:36	0:01:22	1:25:37	USA	
b3bcc406-3eb8-4ab7-95f9-b3859f172e24	39	Aaron Springhetti	M	M30-34	11	4:31:18	0:33:52	0:02:29	2:13:59	0:01:30	1:39:28	US	
c2f17f16-cfd4-4708-8ea3-c32e2a98eb6d	40	Daniel Dziubski	M	M30-34	12	4:31:31	0:33:39	0:04:24	2:19:32	0:01:16	1:32:40	US	
3236d927-c4aa-49c8-a866-49d61b6d4ce6	41	Scott Baldwin	M	M45-49	2	4:31:41	0:33:40	0:02:57	2:21:03	0:01:14	1:32:47	US	
fc05d7bf-f204-4f5c-85be-45207c509209	42	Todd Shellenberger	M	M45-49	3	4:31:43	0:30:23	0:02:50	2:18:44	0:01:43	1:38:03	USA	
5ab18695-1dad-42f7-a163-84cc6feb0351	43	Nate Littlefield	M	M30-34	13	4:33:31	0:35:00	0:03:04	2:22:14	0:02:20	1:30:53	US	
d99315db-72b9-ec11-983f-00224806de08	44	Glenn Rudolph		M25-29	8	4:33:41	0:36:28	0:03:10	2:13:08	0:01:31	1:39:24	USA	
ae2b4bb5-3408-491f-a9da-dcdf8a9d9193	45	Kirsten Sass	F	F35-39	1	4:33:43	0:32:35	0:02:15	2:26:54	0:01:24	1:30:35	US	
b8237895-5645-4dc6-9178-7e66515c7579	46	Colin Thornburg	M	M30-34	14	4:33:47	0:35:19	0:03:31	2:23:02	0:01:37	1:30:18	US	
5dd45a87-276d-4c99-8f94-67c9fffb2dd2	47	Curt Cotner	M	M45-49	4	4:33:50	0:35:52	0:03:00	2:25:03	0:01:38	1:28:17	US	
0d0fcfa5-99a0-416c-9a30-2a7a9d9da186	48	Peter Viscardo	M	M35-39	11	4:34:50	0:35:45	0:03:16	2:22:53	0:01:48	1:31:08	US	
3210c131-972c-40b2-8f88-7a5ce26b9d05	49	Christopher Swiecicki	M	M35-39	12	4:35:27	0:35:56	0:02:30	2:19:49	0:02:01	1:35:11	US	
77f3230f-56d6-4ad7-a65e-120d8bc085c1	50	Nathan Zimmer	M	M35-39	13	4:35:54	0:35:30	0:02:15	2:23:27	0:01:31	1:33:11	US	
92683c4f-d3a4-4ef2-9a90-803738baab2f	51	Jason Eagleston	M	M30-34	15	4:35:57	0:31:29	0:02:14	2:24:47	0:01:20	1:36:07	US	
a344e24c-6ab7-430f-a14d-fcef8827e1c7	53	Joel Fox	M	M40-44	8	4:36:20	0:35:52	0:03:36	2:29:16	0:03:02	1:24:34	US	
19676c2c-bd9d-4911-a085-1775a0e5c0df	54	Malachi Henry	M	M25-29	9	4:36:23	0:29:24	0:02:20	2:19:36	0:01:30	1:43:33	US	
87db2480-d5f4-48a3-8c69-ff92cc85b7af	55	Christopher Arnold	M	M30-34	16	4:36:56	0:32:57	0:05:23	2:19:46	0:03:17	1:35:33	US	
82c8bd56-c55c-4e5e-92b7-b602ccdc1ec5	56	Bill Kessler	M	M40-44	9	4:36:58	0:34:09	0:02:30	2:28:05	0:03:19	1:28:55	US	
6bc128ee-341e-4d4b-bf4b-f5fa1156f2d2	57	Sami Brahim	M	M45-49	5	4:37:12	0:36:42	0:02:26	2:19:23	0:01:59	1:36:42	US	
3cacc3f0-a024-4e93-b29a-4fc7c51b195f	58	Kraig Schmottlach	M	M50-54	2	4:37:16	0:36:31	0:02:45	2:27:03	0:02:12	1:28:45	US	
