ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
458684	DNS	Cassio Riccelli	M	M30-34	0							Argentina	DNS
34237	DNS	Adrian Pardo	M	M40-44	0							Argentina	DNS
263429	DNS	Joao Leal	M	M30-34	0							Brazil	DNS
453037	DNS	Pablo Benisso	M	M40-44	0							Argentina	DNS
426583	DNS	Geraldo Raszl Peres	M	M45-49	0							Brazil	DNS
710712	DNS	Mauro Martinez	M	M40-44	0							United States	DNS
638614	DNS	Sylla Dorneles Ferreira Da Costa	M	M55-59	0							Brazil	DNS
427172	DNS	Wagner Dias	M	M30-34	0							Brazil	DNS
710713	DSQ	Claudio Miranda	M	M50-54	0							Brazil	DQ
710714	DNF	Francisco Salvadori	M	M30-34	0		0:32:04					Brazil	DNF
88723	DNF	Marcos Castelo Branco	M	M40-44	0		0:25:24	0:03:22	2:28:32	0:02:04		Brazil	DNF
278435	DNS	Juliano Saddock De Sa	M	M30-34	0							Argentina	DNS
188340	DNS	Miguel Calvo	M	M45-49	0							Paraguay	DNS
88848	DNS	Victor Almeida	M	M45-49	0							Brazil	DNS
263780	DNS	Antonio Viveiros	M	M45-49	0							Paraguay	DNS
102308	DNS	Edward Rodriguez	M	M30-34	0							Brazil	DNS
33444	DNS	Roberto Azevedo	M	M60-64	0							Brazil	DNS
330006	DNF	Maria Laura Herrero Ferrario	F	F30-34	0		0:37:54	0:04:59	2:59:30	0:02:40		Spain	DNF
710715	DNS	AndrÃº Luiz Watanabe	M	M35-39	0							Brazil	DNS
140905	DNS	Marcelo Anjos	M	M35-39	0							Brazil	DNS
710716	DNF	Eduardo Morales	M	M45-49	0		0:34:48	0:04:00	3:03:37			Argentina	DNF
34756	DNS	Gustavo Iriarte	M	M55-59	0							Argentina	DNS
426621	DNS	Eduardo Rocha Filho	M	M30-34	0							Paraguay	DNS
710717	DNS	Jose Eduardo Claro Glorigiano	M	M35-39	0							Brazil	DNS
531069	DNF	Gustavo Tayar	M	M35-39	0		0:33:48	0:03:42	2:34:14	0:03:25		Brazil	DNF
88065	DSQ	Luis Olivera	M	M40-44	0							Brazil	DQ
65679	DNS	Filinto Muller	M	M30-34	0							Brazil	DNS
710718	DNS	Eduardo Frederico Parente Zukovski	M	M45-49	0							Brazil	DNS
62464	DNS	Alexandre Cafe Birman	M	M40-44	0							Brazil	DNS
661226	DNS	Emilia Raquel Armoa De Barresi	F	F50-54	0							Brazil	DNS
710719	DNS	Paulo Victor Almeida	M	M30-34	0							Brazil	DNS
235144	DNS	Guilherme Minozzo	M	M25-29	0							Brazil	DNS
62446	DNS	Samuel Oliveira	M	M50-54	0							Brazil	DNS
432842	DNS	MarÃ­a VerÃ³nica Dorronsoro	F	F40-44	0							Belize	DNS
33758	DNF	Soto Alfredo	M	M50-54	0		0:43:22	0:07:53				Argentina	DNF
638536	DSQ	Cesar Caino	M	M30-34	0							Argentina	DQ
147442	DNS	Guillermo Andres Vidic	M	M30-34	0							Paraguay	DNS
84315	DNS	Mariana Piza	F	F40-44	0							Brazil	DNS
83202	DNS	Daniela Maria Silvares Martins	F	F35-39	0							Brazil	DNS
83138	DNS	Wander Ama	M	M40-44	0							Brazil	DNS
84407	DSQ	Andrï¿½ Dahbar	M	M40-44	0							Brazil	DQ
33844	DNS	Cid Santos	M	M30-34	0							Brazil	DNS
83758	DNS	Rodolfo Lucarelli Granieri	M	M45-49	0							Brazil	DNS
710720	DNS	Nicholas Richardson	M	M30-34	0							Brazil	DNS
65294	DNS	Gustavo Duarte	M	M45-49	0							Brazil	DNS
710721	DNS	Paulo Renoldi	M	M45-49	0							Argentina	DNS
710722	DNS	Cassio Gomes	M	M35-39	0							Brazil	DNS
84247	DNF	Romeu Botelho Jr	M	M50-54	0		0:50:24	0:10:23				Brazil	DNF
710723	DNS	Edi Farias Junior	M	M45-49	0							Brazil	DNS
710724	DNS	Hugo Enrique Sosa Ortiz	M	M50-54	0							Paraguay	DNS
140699	DNS	Daniel De Melo Mendes	M	M35-39	0							France	DNS
84102	DSQ	Regis Lemes	M	M45-49	0							Paraguay	DQ
710725	DNS	Carlos Miguel Merlo	M	M45-49	0							Argentina	DNS
80583	DNS	Andres Martinez	M	M50-54	0							Uruguay	DNS
202700	DNS	Ana Vivar	F	F25-29	0							Ecuador	DNS
62327	1	Bruno Joaquim	M	M30-34	1	4:07:00	0:23:50	0:01:59	2:15:06	0:01:26	1:24:39	Brazil	FIN
34273	2	Marco Vinicius De Faria	M	M35-39	1	4:11:53	0:23:27	0:02:22	2:18:10	0:01:50	1:26:04	Brazil	FIN
32652	3	Thiago Menuci	M	M30-34	2	4:14:11		0:26:58	2:20:39	0:01:14	1:25:20	Brazil	FIN
82940	4	Alexandre Takenaka	M	M30-34	3	4:18:30	0:25:44	0:02:17	2:19:25	0:01:25	1:29:39	Brazil	FIN
