ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
569888	DNS	Shoki SAKANO	M	MPC	0							Japan	DNS
569883	DNS	Kensho SAKANO	M	M55-59	0							Japan	DNS
236877	DNF	Yuichiro SOMA	M	M30-34	0		1:15:38	0:11:41	6:38:57	0:11:12		Japan	DNF
164582	DNF	Fabrizio SITZIA	M	M45-49	0		1:21:30	0:06:06				Luxembourg	DNF
132927	DNF	Dustyn BROMLEY	M	M40-44	0		1:29:42	0:06:39	5:29:57	0:11:07		Australia	DNF
73497	DSQ	Travis GRAY	M	M35-39	0							Australia	DQ
95057	DNS	Bert GROBBEN	M	M40-44	0							Belgium	DNS
63325	DNF	Fu Long TING	M	M30-34	0		1:24:07	0:11:16				Singapore	DNF
569881	DNF	Willy WONG	M	M30-34	0		2:08:25	0:11:41	7:32:04	0:10:20		Malaysia	DNF
132952	DNF	Lucas MCBEATH	M	M30-34	0		1:00:06	0:05:08	5:02:29	0:02:27		Australia	DNF
72883	DNF	Gareth PRICE	M	M55-59	0		1:11:30	0:09:06	5:24:11	0:19:42		Australia	DNF
63927	DNF	Tony SUTERS	M	M60-64	0		1:10:28	0:04:23				Australia	DNF
121343	DNF	Beau WATERS	M	M30-34	0		1:06:59	0:04:18	4:41:04	0:06:34		Australia	DNF
63923	DNF	Marshall SCOTT	M	M40-44	0		1:06:42	0:04:08	5:16:45	0:07:23		Australia	DNF
147828	DNF	Mathew PATTERSON	M	M40-44	0		1:12:26	0:08:20				Australia	DNF
197427	DSQ	Adam BARBALET	M	M30-34	0							Australia	DQ
569884	DNF	Ivan RADONIC	M	M40-44	0		1:05:07	0:06:37				Australia	DNF
86149	DNF	Joerg DOMKE	M	M50-54	0		1:12:39	0:04:53				Germany	DNF
79156	DNF	Stu CAMERON	M	M40-44	0		0:59:43	0:03:44	4:55:06	0:03:30		Australia	DNF
149903	DNF	Nathan FALLOWFIELD	M	M35-39	0		1:08:28	0:04:42	5:05:30	0:05:35		Australia	DNF
569716	DNF	Kent GOH	M	M18-24	0		1:14:58	0:08:31	7:06:27	0:08:47		Singapore	DNF
197217	DNF	Graham COOPER	M	M50-54	0		1:04:58	0:06:00				Australia	DNF
73385	DNF	Julian STOCKWELL	M	M40-44	0		1:01:07	0:04:40				Australia	DNF
569887	DNF	Elijah OXENHAM	M	M18-24	0		1:11:09					Australia	DNF
186487	DNF	Aimee FALLINS	F	F35-39	0		1:21:45	0:08:10	6:02:31	0:05:17		Australia	DNF
569885	DNF	Will BUCKLEY	M	M25-29	0		1:12:49	0:06:04	6:07:07	0:06:17		Australia	DNF
152867	DNF	Kristine ARNOLD	F	F50-54	0		1:35:34	0:10:50	8:10:19	0:09:37		Australia	DNF
569649	DNS	Jason Jee Khing NG	M	M35-39	0							Malaysia	DNS
197783	DNF	Melinda COOPER	F	F50-54	0		1:18:30	0:11:07				Australia	DNF
121836	DNF	Cale SYMONS	M	M25-29	0		1:04:46	0:07:12	5:37:55	0:05:58		Australia	DNF
72450	DNF	Jaie SKINNER	M	M35-39	0		1:12:39	0:07:40	6:04:28	0:06:14		Australia	DNF
148127	DNF	Geok Pheng TAN	F	F40-44	0		1:48:00	0:14:57	8:21:02	0:06:19		Singapore	DNF
206848	DNF	Jason BARBER	M	M45-49	0		1:24:41	0:09:24	5:40:12	0:05:16		United Kingdom	DNF
569880	DNF	Ping Woon WONG	M	M35-39	0		1:57:25	0:17:20				Singapore	DNF
148061	DNF	David WOOD	M	M35-39	0		1:08:10	0:05:14				Australia	DNF
495515	DNF	Muhammad Hafiz ABU SAMAH	M	M30-34	0		2:06:58	0:09:41				Singapore	DNF
152259	DNF	Brett DOYLE	M	M45-49	0		1:11:31	0:06:00				Australia	DNF
197540	DNF	Sheridan BROWN	F	F35-39	0		1:15:49	0:07:02				Australia	DNF
50797	DNF	Stephen EDWARDS	M	M45-49	0		1:12:43	0:09:44	5:29:20	0:07:38		Australia	DNF
318220	DNF	Stefan SAENGER	M	M55-59	0		1:22:24	0:14:29				Germany	DNF
