ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
85968	DNS	Eugenio Roldan Gil	M	M40-44								Spain	DNS
973085	DNS	Luigi Lando	M	M60-64								Italy	DNS
495488	DSQ	Alejandro Martin	M	M40-44								Argentina	DQ
845428	DNF	Chantal Cummings	F	FPRO			0:28:41	0:02:02	5:11:07			United Kingdom	DNF
539272	DNF	Carolina Velez Velasco	F	F30-34			1:11:12					Colombia	DNF
957830	DNS	Michael Savage	M	M50-54								United Kingdom	DNS
499099	DNS	Ezequiel Pini	M	M30-34								Argentina	DNS
973078	DNS	Trine Ahlburg	F	F55-59								Denmark	DNS
539271	DNS	Ravindra Wani	M	M45-49								India	DNS
30072	DNS	Michael Simmonds	M	M55-59								Switzerland	DNS
973170	DNS	William Pretorius	M	M35-39								South Africa	DNS
539244	DNF	Ian Arnott	M	M45-49			0:37:37	0:05:19	2:55:45	0:03:14		United Kingdom	DNF
539274	DNF	Fadwa Ibrahim	F	F45-49			1:24:02					Brazil	DNF
539273	DNS	Amer Ebrahim	M	M35-39								Bahrain	DNS
66545	DNS	Yousef Alfadalah	M	M30-34								Kuwait	DNS
300318	DNS	Georg Lazzari	M	M50-54								Croatia	DNS
943344	DNS	Alison Rose-Quirie	F	F55-59								United Kingdom	DNS
305261	DNS	Andrew O'Reilly	M	M35-39								Ireland	DNS
539275	DNF	Sureshkumar Rajendran	M	M40-44			1:10:39		0:30:44	0:05:54		India	DNF
539276	DNF	Simone Kumhofer	F	FPRO			0:29:49	0:02:03	2:22:18			Austria	DNF
539027	DNS	Bryan Harris	M	M45-49								South Africa	DNS
539277	DNF	Mohamed Ghayyath	M	M30-34			0:50:53	0:07:10	4:34:50			Bahrain	DNF
492331	DNS	Aldwin Arevalo	M	M40-44								Philippines	DNS
123377	DNS	Mykola Siutkin	M	M40-44								Ukraine	DNS
138572	DNS	Christian Stirm	M	M35-39								Germany	DNS
355258	DSQ	Ismail Megder	M	M30-34								Morocco	DQ
973171	DNF	Stephen Davis	M	M35-39			0:39:04	0:05:18	2:51:57	0:06:53		United Kingdom	DNF
256500	DNS	Timothy O'Donnell	M	M40-44								South Africa	DNS
66781	DNS	Josef Kadwell	M	M50-54								South Africa	DNS
202251	DNS	Jerri Taylor	F	F45-49								United States	DNS
539220	DNS	Saad Thani	M	M30-34								Bahrain	DNS
973172	DNS	Dan Dowding	M	M45-49								United Kingdom	DNS
70409	DNS	Hanny Elmessiry	M	M50-54								Egypt	DNS
355170	DNF	Ali Obaid	M	M30-34			0:31:34	0:04:22	2:29:04	0:33:44		Bahrain	DNF
524277	DNS	Olivier Ancely	M	M35-39								France	DNS
192016	DNS	Jonathan Robinson	M	M30-34								New Zealand	DNS
539243	DNF	Tobias Hertfelder	M	M40-44								Germany	DNF
539182	DNS	Michael Looby	M	M45-49								Ireland	DNS
46491	DNS	Natascha Schmitt	F	FPRO								Germany	DNS
134642	DNS	Maria Czesnik	F	FPRO								Poland	DNS
539242	DNS	Andrew Keddis	M	M30-34								Egypt	DNS
539245	DNF	Fajer Aldoseri	F	F25-29			1:25:30					Bahrain	DNF
539246	DNS	Matthew Mazat	M	M40-44								United States	DNS
539244	DNS	Ian Arnott	M	M45-49								United Kingdom	DNS
52139	DNS	Michal Ivanco	M	MPRO								Slovakia	DNS
539241	DNS	Kevin Carscadden	M	M40-44								Canada	DNS
931817	DNS	Rafal Fazan	M	M45-49								Poland	DNS
896589	DNF	Antony Costes	M	MPRO			0:23:16	0:01:57	2:35:30			France	DNF
539240	DNF	Ahmed Bughammar	M	M25-29								Bahrain	DNF
828986	DNS	Dante Macalintal	M	M45-49								Philippines	DNS
958867	DNF	Sherif Ashram	M	M45-49			0:36:58	0:06:39				Egypt	DNF
355282	DNF	Salem Taher	M	M25-29			0:29:24	0:06:26	2:36:21	0:15:11		United Arab Emirates	DNF
539239	DNS	Sharifa Albinali	F	F25-29								Bahrain	DNS
539238	DNF	Mohammed Alhajeri	M	M25-29								Bahrain	DNF
972726	DNS	Amer Alaily	M	M35-39								Germany	DNS
204245	DNS	Vernie Ventura	M	M40-44								Philippines	DNS
539236	DNF	Hamad Alshamsi	M	M25-29			1:11:23					Bahrain	DNF
539237	DSQ	Alaudin Moosa	M	M30-34								Bahrain	DQ
539232	DNF	Maryam Turk	F	F30-34			0:50:46	0:07:41	3:32:50	0:08:55		Bahrain	DNF
871237	DNS	Marco Tucci	M	M35-39								Italy	DNS
539234	DNS	Faris Alnuwaysir	M	M35-39								Saudi Arabia	DNS
539235	DNS	Hasan Alajmi	M	M25-29								Bahrain	DNS
271318	DNS	Michael Goode	M	M50-54								United Kingdom	DNS
256543	DNS	Jasim Albastaki	M	M55-59								Bahrain	DNS
958821	DNS	Mark Lavender	M	M45-49								United Kingdom	DNS
973121	DNS	Renaud Cormier	M	M45-49								France	DNS
973163	DNF	Rene Schwarzenbach	M	M45-49			1:21:02		4:08:32	3:57:03		Switzerland	DNF
141091	DNS	Wim De Voeght	M	M45-49								Belgium	DNS
263592	DNS	Peter Wilhelmsen	M	M45-49								Denmark	DNS
306989	DNS	Alex Libin	M	MPRO								United States	DNS
539247	DNS	Imran Alaradi	M	M35-39								Bahrain	DNS
301622	DNS	Kevan Rocher	M	M55-59								South Africa	DNS
256458	DNS	Sven Baccus	M	M25-29								Belgium	DNS
897181	DNS	Pavel Golikov	M	M30-34								Russian Federation	DNS
355173	DNS	Michael Ward	M	M35-39								United Kingdom	DNS
60986	DNS	Finn Zwager	M	M50-54								Netherlands	DNS
539248	DNS	Mohamed Hassan	M	M30-34								Bahrain	DNS
973164	DNS	Karl Sparks	M	M45-49								United Kingdom	DNS
958513	DNS	Mollie Nohave	F	F50-54								Sweden	DNS
539249	DNS	Michael Schaadt	M	M40-44								Denmark	DNS
355064	DNF	Wafi Mohamed	M	M25-29			0:41:15	0:09:23	4:46:19			Bahrain	DNF
