ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
4800027b-82f0-468f-b1a8-b7cf48e768a1	1	Tyler Jordan	M	M25-29	1	3:31:25			2:07:13	0:01:02	1:23:10	US	
771aa104-7dc6-4cf2-b619-243467f20c14	2	Matt Barcus	M	M35-39	1	3:41:22			2:09:45	0:00:54	1:30:43	US	
1881b4ad-a9f9-45c3-b9b0-7072c5894ed0	3	Adam Morgan	M	M35-39	2	3:44:45			2:11:29	0:01:34	1:31:42	US	
551737a6-5616-4654-965e-46b05de68bb9	4	Matthew Davis	M	M30-34	1	3:45:15			2:12:24	0:00:59	1:31:52	US	
fa08f3f7-6779-4528-bc72-5cb098f208c3	6	Jared Moore	M	M35-39	3	3:45:54			2:12:46	0:01:00	1:32:08	US	
fec1ac9f-aabf-40a7-97e3-08a6113a9f45	7	Tyler Pate	M	M35-39	4	3:46:25			2:10:42	0:01:36	1:34:07	US	
fc023701-0013-4b9b-95ab-afe9da14e485	8	Samuel Wenger	M	M25-29	2	3:47:26			2:13:27	0:00:57	1:33:02	CH	
8337cea1-17bd-4531-9543-7ad69ed5863e	9	Russell Simkins	M	M40-44	1	3:47:35			2:21:38	0:01:20	1:24:37	US	
af029f7d-e3c8-4a15-b664-20f3c65d58fa	10	Allen Stanfield	M	M35-39	5	3:48:34			2:18:48	0:01:51	1:27:55	US	
35775608-cc04-4f75-83d8-abb8ae1d3297	11	Kevin Wessinger	M	M40-44	2	3:49:23			2:12:59	0:01:13	1:35:11	US	
fcfbf88c-c924-4d03-87a7-b1976dc3a387	12	Kevin Cart	M	M45-49	1	3:50:04			2:12:36	0:01:05	1:36:23	US	
e1d20ca3-0cf8-49cb-8c98-22de720ca252	13	Aubrey Aldy	M	M35-39	6	3:51:05			2:14:34	0:01:26	1:35:05	USA	
fb2b7f1b-f7db-4c00-86c2-a9698a6c5424	14	Johannes Olind	M	M25-29	3	3:53:25			2:14:59	0:01:10	1:37:16	US	
4300c002-27fb-446b-a4e0-394e47dab35c	15	Jeremy Johnson	M	M35-39	7	3:53:49			2:19:31	0:02:34	1:31:44	US	
8739eb8e-ecf5-4e13-909d-52229eca7f29	16	Kris Carpenter	M	M40-44	3	3:53:56			2:19:42	0:01:09	1:33:05	US	
52db3d16-24a3-4a03-8da8-e2524d5162ee	17	Daniel Rodarte	M	M35-39	8	3:54:19			2:19:54	0:01:15	1:33:10	BR	
11be9ca8-0369-41b6-afb0-ef1317fa97aa	18	Justin Burrows	M	M30-34	2	3:54:22			2:22:22	0:01:00	1:31:00	US	
9325ecaf-140d-4adf-b3dc-f74efff7e7b0	19	Randall Howard	M	M40-44	4	3:54:25			2:22:27	0:01:31	1:30:27	US	
2befeb67-b027-43e1-87e8-799aaa0642c9	20	Gerard Hubbard	M	M30-34	3	3:55:05			2:18:43	0:00:51	1:35:31	US	
4e9d6a92-4388-4533-9026-9dae4bb90659	22	Brandon Krout	M	M30-34	4	3:56:13			2:19:50	0:01:10	1:35:13	US	
67b256fc-5467-4559-9ad2-00a8291735fd	23	Edward Dailey	M	M45-49	2	3:56:25			2:19:22	0:01:31	1:35:32	USA	
fe2d76d8-ee53-4a77-b22d-bc41fd48c4ff	24	Jason Jones	M	M35-39	9	3:56:45			2:16:34	0:01:01	1:39:10	US	
c7facddf-b3fa-4c03-ab3f-c5f2a3abf2ce	25	Phillip Falkner	M	M45-49	3	3:57:00			2:21:36	0:01:06	1:34:18	US	
8f442a4c-17c3-46f8-922a-b36895d4b66f	26	Marcus Carson	M	M25-29	4	3:57:38			2:20:28	0:01:34	1:35:36	US	
f030fe41-a92f-40ae-a899-8cf241627302	27	Joseph Mcleod	M	M30-34	5	3:57:56			2:18:00	0:01:18	1:38:38	US	
fd28416b-c7ab-473c-93dd-25c7a60749c9	28	Daniel Reyes	M	M30-34	6	3:58:10			2:12:18	0:01:03	1:44:49	VE	
b8f0cd57-198b-41be-86c6-5d412d131ebf	29	Sam Kuykendall	M	M35-39	10	3:58:25			2:18:08	0:01:24	1:38:53	USA	
6afff3c3-6e69-4997-9d33-1630b4189e07	30	Stephen Kinsey	M	M45-49	4	3:58:33			2:20:39	0:01:23	1:36:31	US	
10ce3a13-2c80-4059-9ae9-4cd280b9b5ec	31	Andrew Mcgilvray	M	M30-34	7	3:58:34			2:21:50	0:01:35	1:35:09	US	
82b140a4-5c49-45dc-af4f-c1410896aded	32	Gerardo Delvillar	M	M30-34	8	3:58:35			2:24:13	0:01:04	1:33:18	MX	
5fd8af56-7b95-42a4-b5e5-757acaab5dd8	33	César Villalba López	M	M30-34	9	3:58:37			2:17:23	0:01:06	1:40:08	US	
793558e6-6c54-4c16-a7ed-562e0ef10c52	34	Frank Green	M	M55-59	1	3:58:52			2:21:59	0:02:03	1:34:50	US	
c72d7f3e-a2d3-4529-aed7-dd6b1663a6ab	35	Ted Westerheide	M	M50-54	1	3:59:09			2:18:03	0:01:15	1:39:51	US	
8de3da81-8929-4def-9627-1a96d5571237	36	David Schmidt	M	M30-34	10	3:59:52			2:10:20	0:00:54	1:48:38	US	
6d523df6-e12a-4f0b-bbb7-16dae9eaebfc	37	Fabiano Giometti Sandoval Santos	M	M40-44	5	4:00:21			2:20:47	0:01:33	1:38:01	BR	
09bfcc63-d43a-4721-96af-ecc03b0fa521	38	Rachel Olson	F	F25-29	1	4:00:23			2:26:19	0:00:54	1:33:10	US	
8e1f5eb5-9102-4c86-935d-2ba079b3deb2	39	Andrew Lashlee	M	M30-34	11	4:00:24			2:18:33	0:01:16	1:40:35	US	
5ad60d84-8535-4c4d-a7a7-a3b5b91690aa	40	John Hanna	M	M45-49	5	4:00:29			2:19:18	0:00:59	1:40:12	US	
9e47d010-88af-4d3c-8463-569500349c66	41	Don Packard	M	M50-54	2	4:00:36			2:18:51	0:01:15	1:40:30	US	
877fa000-8dd0-4699-8e57-baf0479ad927	42	Shawn Johnson	M	M35-39	11	4:00:43			2:20:16	0:01:04	1:39:23	US	
88df7a99-3fdd-4486-9f33-6608577beed2	43	Paco Aspuru	M	M35-39	12	4:00:47			2:15:44	0:01:28	1:43:35	US	
8c7827e0-90d9-4943-a2d0-2ef4254f92da	44	Don Autore	M	M40-44	6	4:01:15			2:17:22	0:01:52	1:42:01	US	
a35f8b7f-29fb-4b0e-8e7f-f5f4f6c31cf7	45	Michael Mendoza	M	M35-39	13	4:01:29			2:16:51	0:01:54	1:42:44	US	
6b01cbda-5691-4aaf-b725-6678779bf98a	46	Todd Ransonet	M	M35-39	14	4:01:31			2:16:33	0:01:54	1:43:04	US	
9784dff7-0af3-4dfd-a4a1-591b1dbf95a3	47	Jeffrey Tramuta	M	M35-39	15	4:01:41			2:20:44	0:01:08	1:39:49	USA	
ebf8fdc0-181a-430e-a380-02a42869ae52	48	John Robertson	M	M40-44	7	4:01:59			2:23:47	0:02:08	1:36:04	USA	
832abfa5-4276-4a5f-aef2-88594533bbf2	49	Justin Royer	M	M35-39	16	4:02:20			2:27:14	0:01:18	1:33:48	US	
9e95af1d-3590-4844-b939-456649418924	50	Jose Herrera	M	M30-34	12	4:02:59			2:23:02	0:01:09	1:38:48	US	
28c27e24-5c42-48e2-9c29-b03ed15b9a76	51	Yorlliry Moreno	M	M25-29	5	4:03:12			2:18:12	0:00:50	1:44:10	US	
e5348d38-44be-4b39-8733-45064e76b866	52	Brad Rollins	M	M45-49	6	4:03:14			2:21:04	0:01:31	1:40:39	US	
