ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
b55484c5-913f-4fd2-b0d5-763cad92ab73	1	Lionel Sanders	M	MPRO	1	3:46:04	0:26:21	0:02:44	2:01:53	0:01:05	1:14:01	US	
f2d3670f-38f0-41d8-9e73-71b1ad67c051	2	Taylor Reid	M	MPRO	2	3:52:18	0:23:53	0:02:51	2:10:15	0:00:52	1:14:27	CAN	
7fd0a0e7-8871-471b-8448-3b749ee5600a	3	Cody Beals	M	MPRO	3	3:54:26	0:24:35	0:03:10	2:10:10	0:00:54	1:15:37	CA	
f0eab8f9-8c00-49e8-a3b1-6e3008ecd5c2	4	Jackson Laundry	M	MPRO	4	3:57:25	0:23:57	0:02:49	2:10:00	0:01:07	1:19:32	CA	
11a93828-98e8-4c66-b844-1d2c9e115426	5	Antoine Jolicoeur Desroches	M	MPRO	5	3:59:39	0:23:41	0:02:52	2:11:56	0:00:45	1:20:25	CAN	
dd9e339e-8d6b-4dbf-ae91-ff4aeff2c19b	6	Jordan Monnink	M	MPRO	6	4:00:13	0:26:01	0:03:06	2:13:38	0:01:03	1:16:25	CA	
a498adae-e9af-4a14-9dec-291ad9e50b9a	7	Sean Jefferson	M	MPRO	7	4:01:03	0:23:55	0:02:50	2:16:09	0:01:22	1:16:47	US	
9b0ba35d-76cc-4ecf-83cb-d8edf9b300ba	8	Lucas Pozzetta	M	MPRO	8	4:02:20	0:23:48	0:03:02	2:12:59	0:01:20	1:21:11	US	
572fc964-e4e7-46ce-b94d-b007050eb305	9	Kevin Portmann	M	MPRO	9	4:03:00	0:26:02	0:03:12	2:12:37	0:00:55	1:20:14	US	
dfe70657-d786-42f2-9880-e8933a0d8dea	10	Mikael Staer Nathan	M	MPRO	10	4:04:22	0:26:00	0:03:02	2:13:41	0:00:59	1:20:40	CA	
44e14532-b50c-47da-a01c-9ed8c8f70a57	11	Christopher Busset	M	M25-29	1	4:06:56	0:28:25	0:02:59	2:15:37	0:01:04	1:18:51	CA	
b23d669d-8e95-4a2c-9836-0c9af046d258	12	Scott Cooper	M	MPRO	11	4:11:18	0:29:29	0:03:19	2:16:35	0:01:15	1:20:40	CA	
850ed221-ad33-4a5d-ac18-233a8b16034e	13	Alexandre Boule	M	M40-44	1	4:14:20	0:27:02	0:03:14	2:21:54	0:01:05	1:21:05	CA	
4200ae11-e026-4c4b-b831-63c9ff7f048c	13	Jerome Bresson	M	M35-39	1	4:14:20	0:29:15	0:03:25	2:19:10	0:00:57	1:21:33	CA	
0e58e7da-9094-49b2-8bd1-abc4666dceb0	15	Holly Lawrence	F	FPRO	1	4:14:24	0:24:35	0:03:00	2:19:30	0:01:01	1:26:18	US	
781140f3-181a-4997-a0eb-bf28de753ece	16	Victor Larocque	M	M25-29	2	4:14:38	0:25:49	0:03:06	2:25:24	0:01:30	1:18:49	CA	
35454806-a724-4e43-a18f-30568bc830ac	17	Pierre-Luc Blais	M	M30-34	1	4:14:47	0:28:42	0:03:10	2:15:40	0:00:58	1:26:17	CA	
dadc9a77-66f4-41ca-b3bd-bb985b423a7d	18	Laurent Gervais Robert	M	M25-29	3	4:15:43	0:27:47	0:04:47	2:21:11	0:01:00	1:20:58	CA	
be803c83-2365-4878-a1b5-0483f78222b5	19	Lee Roy	M	M35-39	2	4:15:48	0:30:24	0:03:35	2:20:05	0:01:20	1:20:24	CA	
56728ea8-21a9-461d-9567-1b0cf4f99c77	20	Elliot-Olivier Pellerin	M	M30-34	2	4:16:22	0:28:04	0:03:29	2:18:49	0:01:49	1:24:11	CA	
168b9791-aa87-4be1-926f-84c76099acd7	21	Simon Lalonde	M	M18-24	1	4:16:49	0:26:32	0:03:12	2:15:34	0:00:58	1:30:33	CA	
63f0e8a5-a71d-44b3-8e1a-97025148546f	22	Philippe Reynolds	M	M35-39	3	4:17:47	0:28:28	0:03:22	2:22:07	0:01:29	1:22:21	CA	
5a0a66a7-0dd9-42c3-bb5e-5627af25944f	23	Alexander Vanderlinden	M	MPRO	12	4:18:13	0:25:59	0:02:59	2:26:01	0:01:08	1:22:06	CA	
2baed1dc-fc7e-4052-9a76-b71c8a2cbb68	24	Sarah True	F	FPRO	2	4:18:21	0:24:36	0:02:55	2:28:24	0:01:01	1:21:25	US	
1aa528c5-8b38-4078-b5a0-392bc5156293	25	David Lacombe	M	MPRO	13	4:18:40	0:28:49	0:03:04	2:21:10	0:01:01	1:24:36	CAN	
2c094852-0817-4fcf-9a2a-d2d9491bb6eb	26	Marc Flageole	M	M50-54	1	4:19:01	0:27:58	0:03:25	2:18:25	0:01:13	1:28:00	CA	
decb9f8e-9b45-4309-af6f-c0d03b3f3a10	27	Magali Tisseyre	F	FPRO	3	4:19:17	0:26:32	0:03:28	2:25:20	0:00:54	1:23:03	CA	
bced3323-cc63-47af-95a3-56b4bde72cb6	28	Antoine Matteau	M	M25-29	4	4:19:34	0:27:52	0:04:10	2:21:47	0:01:30	1:24:15	CA	
28ffaf83-3e6b-42ce-9de1-4dc3a3c187aa	29	Jordan Lemaire	M	M25-29	5	4:20:03	0:27:53	0:03:25	2:21:53	0:01:41	1:25:11	CA	
bfc61fb0-a5c5-4156-9f9c-6f55433dd94f	30	Gabriel Sanfacon	M	M25-29	6	4:20:13	0:29:17	0:03:26	2:20:39	0:01:03	1:25:48	CA	
d581fcfa-a703-4342-804b-a9d321508e3d	31	Olivier Moraine	M	M30-34	3	4:20:17	0:30:34	0:03:29	2:24:02	0:01:59	1:20:13	CA	
eafcea74-a979-4918-bfa1-eeb840e10c7d	32	Sacha Cavelier	M	MPRO	14	4:20:41	0:27:15	0:03:37	2:24:01	0:00:51	1:24:57	CA	
2c059638-3e5b-4ddb-a2ec-7232e786dbb6	33	Julien Schoenborn	M	M35-39	4	4:21:41	0:30:57	0:03:52	2:21:11	0:01:08	1:24:33	CAN	
67c57581-894e-4ce0-adad-c9c6e4bc9961	34	Charles Brault	M	M18-24	2	4:22:06	0:25:46	0:03:10	2:30:28	0:01:13	1:21:29	CAN	
