ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
566094	DNF	Jun Onishi	M	M40-44	0		1:03:23	0:03:12	3:58:33			Japan	DNF
702827	DNF	Brad Ruszala	M	M40-44	0		0:49:30	0:02:12	3:47:30	0:03:03		Northern Mariana Islands 	DNF
95443	DNS	Nakamichi Yuya	M	M40-44	0							Japan	DNS
163320	DNF	Kenichi Ogomi	M	M35-39	0		0:58:33	0:04:31	4:06:48			Japan	DNF
702828	DNS	Kiyotaka Miyazato	M	M25-29	0							Japan	DNS
94407	DNS	Wai Kit Lam	M	M25-29	0							Singapore	DNS
702829	DNF	Inamoto Kenichi	M	M50-54	0		0:48:17	0:02:26				Japan	DNF
702830	DNF	Keitaro Nakamura	M	M45-49	0		0:54:03	0:06:16	4:10:57			Japan	DNF
212379	DNF	Brittany Schenkel	F	F35-39	0		1:05:21	0:06:02	3:51:09			United States	DNF
554308	DNF	Hiromi Yamaguchi	M	M55-59	0		0:58:50	0:06:30	3:56:55			Japan	DNF
702831	DNF	Salazar David	M	M40-44	0		0:57:04	0:05:21	3:47:13	0:03:28		Spain	DNF
121286	DNS	Shoichiro Aoyama	M	M60-64	0							Japan	DNS
120894	DNS	Hideki Oshima	M	M45-49	0							Japan	DNS
702809	DNF	Hidehiko Okamoto	M	M50-54	0		0:58:20	0:04:06	4:13:27			Japan	DNF
702810	DNF	Yun Jung Jang	F	F25-29	0		0:28:28	0:01:21	2:54:05	0:05:22		Korea 	DNF
457719	DNS	Cyril Daccord	M	M35-39	0							France	DNS
702811	DNF	Kwong Grace	F	F40-44	0		0:58:34	0:04:03	4:00:14			Hong Kong	DNF
518858	DNS	Nobumitsu Takami	M	M50-54	0							Japan	DNS
702812	DNF	Park Sehee	F	F30-34	0			0:41:22	3:34:01			Korea 	DNF
702813	DNF	Baek Seunghan	M	M30-34	0		0:54:55	0:06:42	4:23:16			Korea 	DNF
702814	DNF	John Dax Moreno	M	M45-49	0		1:01:12	0:02:43	3:46:05	0:04:41		Unknown	DNF
702815	DNF	Mami Tani	F	F35-39	0		0:40:36	0:02:46				Japan	DNF
702816	DNS	Wataru Oshiro	M	M18-24	0							Japan	DNS
370356	DNS	Ying Jie Chen	M	M35-39	0							China	DNS
702817	DNS	Mari Umeda	F	F55-59	0							Japan	DNS
686245	DNF	Hyungju Kim	M	M25-29	0		0:50:19	0:05:38	3:52:58	0:06:26		Korea 	DNF
702818	DNS	Takenaka Satoru	M	M35-39	0							Japan	DNS
702819	DNS	Takeshi Matsuoka	M	M45-49	0							Japan	DNS
686730	DNF	Gunwoo Lee	M	M30-34	0		0:57:05	0:04:31	4:18:36			Korea 	DNF
251153	DNS	Kazuya Hochi	M	M40-44	0							Japan	DNS
702820	DNF	Koji Minowa	M	M45-49	0		1:02:42	0:04:43	4:10:01			Japan	DNF
702821	DNF	Yuyeong Cheon	F	F25-29	0		0:31:16	0:01:01	3:07:16	0:01:24		Korea 	DNF
337147	DNF	ä¸€è‹± å²©å´Ž	M	M55-59	0		0:52:42	0:07:14	2:48:27			Japan	DNF
221355	DNF	Takeo Yokose	M	M50-54	0		0:50:05	0:05:30	3:45:08			Japan	DNF
702822	DNS	Escobar William	M	M35-39	0							United States	DNS
702823	DNF	Kohei Kinebuchi	M	M45-49	0		0:51:36	0:10:11	4:34:07			Japan	DNF
702824	DNS	Mitsuyoshi Fujishita	M	M45-49	0							Japan	DNS
690917	DNF	Satoshi Yamamoto	M	M50-54	0		1:02:48	0:03:54	4:03:40			Japan	DNF
702825	DNF	Kyoung Sang Kwon	M	M30-34	0		1:00:09	0:07:18	3:33:25	0:03:22		Korea 	DNF
431544	DNS	Stephen Elliott	M	M45-49	0							United Kingdom	DNS
516617	DNF	Hiu Yan Cristal Law	F	F35-39	0		0:55:20	0:06:10	3:53:37	0:09:47		Hong Kong	DNF
487822	DNS	Jianzhang Yu	M	M30-34	0							China	DNS
433658	DNF	Nicole Harkness	F	F25-29	0		0:58:54	0:10:20	4:20:37			Northern Mariana Islands 	DNF
702826	DNF	Toshiya Ikeda	M	M35-39	0		1:05:28	0:03:48	4:04:30			Japan	DNF
702758	1	Kwang Hoon Lee	M	M18-24	1	4:46:19	0:28:28	0:01:22	2:34:07	0:01:02	1:41:20	Korea 	FIN
702759	2	Gyu Hyung Lee	M	M18-24	2	4:49:12	0:28:22	0:01:29	2:44:13	0:01:11	1:33:57	Korea 	FIN
185442	3	Igor Lysov	M	M30-34	1	4:50:23	0:31:45	0:01:57	2:33:09	0:01:18	1:42:14	Russian Federation 	FIN
94428	4	Yamada Kensaku	M	M35-39	1	4:56:20	0:39:18	0:00:50	2:36:31	0:01:20	1:38:21	Japan	FIN
228233	5	Chunxu Hu	M	M25-29	1	5:02:18	0:43:22	0:01:27	2:37:25	0:01:09	1:38:55	China	FIN
702760	6	Park Kyungtae	M	M25-29	2	5:11:47	0:37:15	0:01:28	2:40:51	0:01:30	1:50:43	Korea 	FIN
35964	7	Tetsuya Habe	M	M30-34	2	5:15:59	0:39:25	0:02:35	2:47:04	0:01:50	1:45:05	Japan	FIN
61005	8	Erik Graffner	M	M30-34	3	5:19:01	0:41:27	0:01:27	2:34:05	0:01:28	2:00:34	Sweden	FIN
702761	9	Choi Suk Hyeon	F	F18-24	1	5:19:38	0:30:30	0:01:25	2:52:09	0:02:16	1:53:18	Korea 	FIN
24226	10	Jayme Bograd	F	F35-39	1	5:23:40	0:37:30	0:01:54	2:47:52	0:01:31	1:54:53	United States	FIN
702762	11	Yasuhito Tada	M	M35-39	2	5:26:52	0:42:18	0:01:21	2:44:14	0:01:28	1:57:31	Japan	FIN
702763	12	Seiya Hayashi	M	M18-24	3	5:28:44	0:31:33	0:05:18	2:53:37	0:01:56	1:56:20	Japan	FIN
702764	13	Hyun Woong Jung	M	M18-24	4	5:30:49	0:28:21	0:01:34	2:48:23	0:01:53	2:10:38	Korea 	FIN
702765	14	Jung Gee Kim	M	M18-24	5	5:34:53	0:28:33	0:01:20	2:57:05	0:01:13	2:06:42	Korea 	FIN
702766	15	Minoru Takano	M	M40-44	1	5:35:43	0:41:28	0:02:36	2:54:33	0:01:15	1:55:51	Japan	FIN
436519	16	Arthur Guerrero	M	M50-54	1	5:39:16	0:37:33	0:01:58	2:48:24	0:03:15	2:08:06	Guam	FIN
124486	17	Kazuo Ishii	M	M40-44	2	5:39:50	0:39:17	0:01:12	2:41:28	0:01:53	2:16:00	Japan	FIN
378896	18	Darshaun Nadeau	M	M40-44	3	5:44:11	0:33:31	0:01:09	2:47:10	0:01:45	2:20:36	United States	FIN
293274	19	Masaki Imai	M	M40-44	4	5:44:29	0:48:51	0:01:41	2:52:46	0:03:04	1:58:07	Japan	FIN
233283	20	Jennifer Harmon	F	F35-39	2	5:45:06	0:41:40	0:03:14	2:55:56	0:01:54	2:02:22	United States	FIN
702767	21	Wonjeong Choi	F	F25-29	1	5:47:23	0:31:48	0:00:53	3:03:14	0:02:08	2:09:20	Korea 	FIN
137613	22	Seiji Yamauchi	M	M45-49	1	5:49:40	0:45:30	0:03:02	2:59:07	0:03:03	1:58:58	Japan	FIN
680181	23	Rachel Martin	F	F30-34	1	5:50:10	0:37:22	0:02:20	3:03:43	0:02:55	2:03:50	Guam	FIN
67748	24	Richard Leone	M	M50-54	2	5:52:08	0:47:46	0:02:38	2:45:07	0:01:24	2:15:13	United States	FIN
52037	25	Shane Peed	M	M30-34	4	5:52:17	0:48:54	0:01:43	2:45:57	0:02:49	2:12:54	United States	FIN
68957	26	Suguru Yamashita	M	M45-49	2	5:52:59	0:49:20	0:04:03	2:54:31	0:03:23	2:01:42	Japan	FIN
69884	27	Wai Kin Yeung	M	M40-44	5	5:56:35	0:47:40	0:03:36	3:08:06	0:02:53	1:54:20	Hong Kong	FIN
148817	28	Maxence Vanderlynden	M	M35-39	3	5:57:16	0:41:47	0:02:16	2:54:48	0:01:04	2:17:21	France	FIN
702768	29	Ayako Shirato	F	F45-49	1	5:58:05	0:43:16	0:01:49	3:12:48	0:01:45	1:58:27	Japan	FIN
182015	30	Nilson Araujo	M	M45-49	3	5:58:50	0:39:36	0:01:16	2:53:12	0:01:37	2:23:09	Brazil	FIN
83710	31	John Toohey	M	M50-54	3	6:00:44	0:45:06	0:02:34	2:55:56	0:02:31	2:14:37	Australia	FIN
702769	32	Charlie Senoin	M	M30-34	5	6:02:03	0:46:51	0:02:14	3:03:22	0:02:29	2:07:07	Unknown	FIN
132497	33	Sara Ng	F	F25-29	2	6:02:42	0:43:11	0:01:33	3:12:11	0:01:09	2:04:38	Singapore	FIN
702770	34	Tyce Mister	M	M50-54	4	6:05:15	0:39:28	0:01:33	3:02:37	0:02:07	2:19:30	United States	FIN
702771	35	Wang Enfeng	M	M18-24	6	6:06:07	0:37:20	0:02:12	3:19:00	0:02:49	2:04:46	China	FIN
459718	36	Ken Takahashi	M	M35-39	4	6:06:37	0:41:52	0:02:03	3:01:17	0:04:21	2:17:04	Japan	FIN
702772	37	Cheung Tsja Ming	M	M35-39	5	6:06:47	0:47:37	0:01:45	3:04:26	0:01:51	2:11:08	Netherlands 	FIN
124087	38	Hideaki Inoue	M	M50-54	5	6:09:54	0:43:21	0:04:00	3:11:43	0:02:56	2:07:54	Japan	FIN
702773	39	Choi Yelim	F	F25-29	3	6:11:18	0:49:13	0:04:45	3:00:12	0:02:50	2:14:18	Korea 	FIN
121274	40	Hiroshi Sudo	M	M30-34	6	6:13:47	0:44:40	0:02:58	3:11:48	0:02:25	2:11:56	Japan	FIN
702774	41	Takeshi Yamada	M	M40-44	6	6:16:15	0:41:57	0:06:11	3:14:01	0:02:34	2:11:32	Japan	FIN
702775	42	Jerry Jaraplasan	M	M40-44	7	6:19:59	1:06:01	0:02:37	3:01:56	0:03:15	2:06:10	Philippines 	FIN
702776	43	Joe Mcdowell	M	M35-39	6	6:23:06	0:36:10	0:02:29	2:43:08	0:02:38	2:58:41	United States	FIN
120851	44	Hiroyuki Mirokuji	M	M35-39	7	6:26:15	0:50:27	0:02:24	3:01:30	0:02:51	2:29:03	Japan	FIN
690505	45	Tanaka Toyoyuki	M	M35-39	8	6:27:30	0:50:01	0:01:18	3:24:53	0:02:00	2:09:18	Japan	FIN
