ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
4cbf18fd-7dc6-4d52-b121-313c319302cd	1	Andrew Starykowicz	M	MPRO	1	3:46:28	0:19:23	0:02:33	2:00:37	0:01:45	1:22:10	US	
f0eab8f9-8c00-49e8-a3b1-6e3008ecd5c2	2	Jackson Laundry	M	MPRO	2	3:47:16	0:19:55	0:02:16	2:07:14	0:01:24	1:16:27	CA	
1a181d9a-4343-42a8-8314-2d990c53270a	3	Adam Otstot	M	MPRO	3	3:48:13	0:21:15	0:02:28	2:07:06	0:01:36	1:15:48	US	
f0aceb2e-38e0-4710-a642-96ffac884501	4	Matt Hanson	M	MPRO	4	3:49:24	0:21:03	0:02:35	2:06:24	0:01:46	1:17:36	US	
fd59d1a2-670f-4c64-9426-940149d7deb9	5	Joe Gambles	M	MPRO	5	3:50:27	0:20:17	0:02:37	2:08:52	0:01:39	1:17:02	US	
f66fea10-9985-4456-b338-1c648fc0d038	6	Kevin Collington	M	MPRO	6	3:51:10	0:19:20	0:02:24	2:09:09	0:01:25	1:18:52	usa	
81dc0e69-1d60-4446-bfa9-f1bc83dca1e4	7	Matt Russell	M	MPRO	7	3:51:41	0:22:18	0:02:32	2:06:09	0:01:39	1:19:03	USA	
11a93828-98e8-4c66-b844-1d2c9e115426	8	Antoine Jolicoeur Desroches	M	MPRO	8	3:54:02	0:19:13	0:02:20	2:08:10	0:01:33	1:22:46	CAN	
7eb89474-4eb2-4a20-980a-c6dde7fe7f2e	9	Andy Potts	M	MPRO	9	3:55:09	0:19:17	0:02:34	2:16:45	0:01:52	1:14:41	USA	
73877c15-8e88-4cd9-8ce2-adb7f45f6bbd	10	Steven Zawaski	M	MPRO	10	3:55:25	0:20:37	0:02:32	2:07:41	0:01:32	1:23:03		
e73e96bf-8686-4b98-8d18-00269faa2667	11	Patrick Brady	M	MPRO	11	3:57:11	0:23:49	0:02:41	2:12:06	0:01:42	1:16:53	US	
889d5b97-64c7-429e-80ea-c32211b11886	12	Benson Hall	M	MPRO	12	3:57:41	0:21:16	0:02:34	2:07:52	0:01:45	1:24:14	US	
5bd74a78-aa66-4708-a8ea-13755255058d	13	Kevin Ryan	M	MPRO	13	3:59:55	0:19:49	0:02:38	2:09:23	0:01:39	1:26:26	US	
75bc32c9-fe33-4540-9589-94bd0629239a	14	Blake Becker	M	MPRO	14	4:00:00	0:21:37	0:02:35	2:07:38	0:01:18	1:26:52	US	
68cd620c-a885-4096-bc3f-d0ceef267129	15	Ricky Flynn	M	MPRO	15	4:00:01	0:21:14	0:03:22	2:17:21	0:01:37	1:16:27	US	
88c2bcd1-586f-42ab-9354-5c7736c81ed4	16	Colin Laughery	M	MPRO	16	4:01:17	0:21:25	0:03:04	2:14:12	0:01:40	1:20:56	US	
3dfcacc7-c6e1-44e0-ac91-253a48bc3c79	17	Andre Lopes	M	MPRO	17	4:01:52	0:20:55	0:02:45	2:14:03	0:01:08	1:23:01	US	
c51200f4-321c-4e39-993c-addf4c731cca	18	Aj Baucco	M	MPRO	18	4:02:05	0:20:46	0:02:27	2:13:36	0:01:41	1:23:35	US	
a523b3b1-37ee-438f-be4b-38377f399683	19	Jonathan Fecik	M	MPRO	19	4:03:48	0:22:02	0:02:28	2:14:12	0:01:39	1:23:27	US	
351bb18d-f7ab-4fcf-bce4-54174b782b28	20	Elliot Bach	M	MPRO	20	4:05:12	0:21:29	0:02:32	2:10:54	0:01:25	1:28:52	US	
731c8d05-dc0c-434e-800f-8a087d37d425	21	Nicholas Chase	M	MPRO	21	4:05:30	0:21:40	0:02:34	2:13:24	0:01:46	1:26:06	US	
3773991f-67bd-4846-ba50-8072d8837688	22	David Alberto Guete Quintero	M	MPRO	22	4:06:40	0:20:33	0:02:20	2:20:32	0:01:38	1:21:37	CO	
1aa528c5-8b38-4078-b5a0-392bc5156293	23	David Lacombe	M	MPRO	23	4:07:20	0:23:50	0:02:39	2:15:33	0:01:50	1:23:28	CAN	
f98d8976-4c5f-492b-9953-c4d516135e67	24	Jeremy Stagg	M	MPRO	24	4:08:06	0:23:52	0:03:01	2:11:46	0:01:51	1:27:36	US	
237c07d0-5cd3-432a-8e98-09f151eff475	25	Seth Ruhling	M	M18-24	1	4:09:09	0:23:43	0:03:01	2:20:23	0:01:21	1:20:41	usa	
dfe70657-d786-42f2-9880-e8933a0d8dea	26	Mikael Staer Nathan	M	MPRO	25	4:11:07	0:21:23	0:02:29	2:14:53	0:01:35	1:30:47	CA	
