ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
244415	DNF	Paula Findlay	F	FPRO	0		0:28:28	0:01:29	2:24:01	0:01:31		Canada	DNF
230178	DNS	Laura Mathews	F	FPRO	0							United States	DNS
49305	DNF	Kelly O'Mara	F	FPRO	0		0:32:51	0:01:52	2:45:49	0:10:02		United States	DNF
77861	DNS	Lisa Roberts	F	FPRO	0							United States	DNS
46221	DNS	Jennifer Spieldenner	F	FPRO	0							United States	DNS
133504	DNS	Kelsey Withrow	F	FPRO	0							United States	DNS
143783	DNS	Patrick Allaire	M	M40-44	0							Canada	DNS
512404	DNF	Rogelio Joel Bautista GarcÃ­a	M	M40-44	0		1:01:54	0:04:42				Mexico	DNF
263850	DNS	Jesus Carmona	M	M40-44	0							Venezuela	DNS
512379	DNS	Patrice Castaignede	M	M40-44	0							France	DNS
512389	DNS	Devynn Pruett	F	F18-24	0							United States	DNS
481728	DNF	Omar Cedillos	M	M40-44	0		0:55:10	0:03:21	3:44:16	0:02:47		Mexico	DNF
130339	DNS	Sai Chan	M	M40-44	0							United States	DNS
512373	DSQ	Jorge Esquer	M	M40-44	0							Mexico	DQ
257781	DNS	Antonio Galdeano Lanz	M	M40-44	0							Mexico	DNS
212058	DNS	Paolo Ghelfi	M	M40-44	0							Italy	DNS
512348	DSQ	Cesar Manuel Guzman Sanchez	M	M40-44	0							Mexico	DQ
512376	DNS	Leonardo Hermosillo	M	M40-44	0							Mexico	DNS
193699	DNS	Fernandez Galindo Javier E	M	M40-44	0							Mexico	DNS
331702	DNF	Roberto Kelly	M	M40-44	0		0:40:10	0:03:22	2:25:04			Chile	DNF
512394	DNS	Cameron Lee	M	M40-44	0							United States	DNS
503427	DNS	Carlos Lopez	M	M40-44	0							Mexico	DNS
185449	DNS	Seth Barnes	M	M25-29	0							United States	DNS
512343	DNF	Charlie Lopezquintana	M	M40-44	0							Spain	DNF
428954	DNF	Cesar David Garcia Acosta	M	M25-29	0		0:31:09	0:04:26				Mexico	DNF
344651	DNS	David Salvador Lyncet Mejorado	M	M40-44	0							Mexico	DNS
429173	DSQ	Rodolfo Gayol	M	M25-29	0							Mexico	DQ
189802	DNS	Geraldo Maia	M	M40-44	0							Brazil	DNS
169672	DNS	Andres Kuri BreÃ±a	M	M25-29	0							Mexico	DNS
512375	DNS	Juan Pablo Maltez	M	M40-44	0							Guatemala	DNS
145422	DNS	Robbie Larocque	M	M25-29	0							United States	DNS
398035	DNF	Ojeda Cervantes Marcos	M	M40-44	0		1:19:49			0:05:42		Mexico	DNF
295385	DNS	Javier Eduardo Licea PÃ©rez	M	M25-29	0							Mexico	DNS
376263	DSQ	Rafael Martinez Albarran	M	M40-44	0							Mexico	DQ
512386	DNS	Enrique Nieto Junco	M	M25-29	0							Mexico	DNS
512356	DSQ	Enrique Olvera Vargas	M	M40-44	0							Mexico	DQ
512403	DNF	Fernando Ochoa Martinez	M	M25-29	0		0:53:36	0:08:08				Mexico	DNF
512363	DSQ	Miguel Angel Perez Aguirre	M	M40-44	0							Mexico	DQ
27410	DNS	Jacob Pearlman	M	M25-29	0							United States	DNS
512396	DNS	Abraham Vargas	M	M40-44	0							Mexico	DNS
322126	DNF	Thalia Giesemann Riedl	F	F25-29	0		0:30:52	0:01:44	2:45:21	0:01:44		Mexico	DNF
467846	DNF	Luis Fernando Sanchez Machorro	M	M25-29	0		0:41:47	0:33:36	2:32:06	0:04:11	1:57:38	Mexico	DNF
182516	DNS	Andres Villaquiran	M	M40-44	0							United States	DNS
277815	DNS	Alyssa Mcbride	F	F25-29	0							United States	DNS
228791	DNS	Justin Shields	M	M25-29	0							United States	DNS
351349	DNS	Alex Warr	M	M40-44	0							United States	DNS
393822	DNS	Barbara Schoenfeld	F	F25-29	0							Guatemala	DNS
512349	DNS	Jesus Trujillo	M	M25-29	0							United States	DNS
305899	DNS	Jorge Alberto Zenteno Penagos	M	M40-44	0							Mexico	DNS
393818	DNS	Daniela Schoenfeld	F	F25-29	0							Guatemala	DNS
512388	DNS	Jorge Violante	M	M25-29	0							Mexico	DNS
512370	DNS	Heidi Simmons	F	F25-29	0							United States	DNS
	DNF	Santiago Taladrid hernÃ¡nez	F	F25-29	0							Mexico	DNF
512338	DNF	Emely Benitez	F	F30-34	0		0:57:52	0:09:23	3:33:45	0:07:14	2:42:37	El Salvador	DNF
512367	DNS	Claudia Herrera	F	F30-34	0							Guatemala	DNS
512346	DNS	Haze Holtorf	F	F30-34	0							United States	DNS
327145	DNS	Anastasia Kvyatkovskaya	F	F30-34	0							United States	DNS
512392	DNF	Maria Mexia	F	F30-34	0		0:49:41	0:10:18	4:29:58	0:11:32		Mexico	DNF
260275	DNS	Daniela NuÃ±ez De Caceres Alava	F	F30-34	0							Mexico	DNS
306978	DNS	Erika Lopez Veana	F	F35-39	0							Mexico	DNS
325603	DNS	Jennifer Vollmann	F	F35-39	0							United States	DNS
397942	DNS	Alejandro Carus	M	M30-34	0							Mexico	DNS
300700	DSQ	Enrique Federico Cota Gomez Tagle	M	M30-34	0							Mexico	DQ
512372	DNF	Gabriel GarduÃ±o	M	M30-34	0		0:42:17	0:05:27	3:31:29	0:04:21	2:30:25	Mexico	DNF
428760	DNS	Renato Abramovch	M	M45-49	0							Brazil	DNS
300440	DNF	Homan Talik Gonzalez Sierra	M	M30-34	0		0:31:26	0:02:01	2:52:24	0:02:27		Mexico	DNF
512399	DNF	Manuel Aguirre Ceron	M	M45-49	0							Mexico	DNF
305858	DSQ	Abrahan Hernandez Santillan	M	M30-34	0							Mexico	DQ
512364	DNS	Rafael CastaÃ±eda	M	M45-49	0							Mexico	DNS
512406	DNF	Patricio Jaik	M	M30-34	0		0:50:42	0:08:58	4:33:58	0:06:14	2:52:38	Mexico	DNF
512359	DNS	Jorge De La Fuente	M	M45-49	0							Mexico	DNS
293008	DNS	Cuauhtemoc Jimenez De La Pena	M	M30-34	0							Mexico	DNS
87115	DSQ	Alessandro Ferrareis	M	M45-49	0							Italy	DQ
512387	DNF	Pablo Johnson	M	M30-34	0		1:10:39	0:05:21				Mexico	DNF
367129	DNF	Timothy Green	M	M45-49	0		1:10:54	0:07:38	3:40:10	0:07:14	2:21:48	United States	DNF
37759	DNS	Diane Allard	F	F40-44	0							Canada	DNS
245482	DNS	Charles Lubbat	M	M30-34	0							United States	DNS
78454	DNS	Miguel Mendoza	M	M45-49	0							Mexico	DNS
341569	DNS	K Ballard	F	F40-44	0							United States	DNS
505246	DNS	Javier Madero Blasquez	M	M30-34	0							Mexico	DNS
512390	DNS	Oscar Morando Villa	M	M45-49	0							Mexico	DNS
300663	DSQ	Rosio Barrera Amador	F	F40-44	0							Mexico	DQ
512353	DNS	Paulino Madrazo MartÃ­n	M	M30-34	0							Mexico	DNS
421625	DNS	Scott Olofson	M	M45-49	0							United States	DNS
300482	DNF	Rosa GÃ³mez	F	F40-44	0		0:43:05	0:02:56	3:12:20	0:03:10		Mexico	DNF
512355	DNS	Jose Andres Martinez	M	M30-34	0							Mexico	DNS
512351	DNS	Enrique Perez	M	M45-49	0							Mexico	DNS
512358	DNS	Katya Kuhlmann	F	F40-44	0							Mexico	DNS
80150	DNS	IÃ±igo MartÃ­nez Gil	M	M30-34	0							Mexico	DNS
231416	DNF	Tony Pham	M	M45-49	0		1:00:32	0:06:41	3:40:54	0:07:23		United States	DNF
188552	DNS	Andrea Martinez	F	F40-44	0							Mexico	DNS
185131	DNF	Pablo Martinez Hernandez	M	M30-34	0		1:10:38	0:04:35	3:37:56	0:06:12	2:36:06	Mexico	DNF
288053	DNS	Matthew Pixa	M	M45-49	0							United States	DNS
459384	DNF	Bella Martinez	F	F40-44	0		1:02:32	0:09:23	3:43:36	0:06:46	1:57:38	United States	DNF
512402	DSQ	Emiliano Mejia	M	M30-34	0							Mexico	DQ
512369	DNS	Stewart Ritchie	M	M45-49	0							Canada	DNS
512398	DNS	Niki Schreiber	F	F40-44	0							United States	DNS
512397	DNF	Alberto Reyes	M	M30-34	0		1:18:17					United States	DNF
479305	DSQ	Ricardo Sanchez Ramirez	M	M45-49	0							Mexico	DQ
47981	DNS	Josimar Sanchez	M	M30-34	0							Mexico	DNS
512339	DNS	Santiago Sanchez Sierra	M	M30-34	0							Mexico	DNS
393803	DNF	Sergio Sarmiento Aguilar	M	M30-34	0		0:29:26	0:01:30	2:52:06	0:05:42		Mexico	DNF
512337	DNS	Bradley Stough	M	M30-34	0							United States	DNS
512385	DNF	Erick Ivan Torres Cardona	M	M30-34	0		0:38:33	0:03:00			2:00:17	Mexico	DNF
512400	DNS	Andrew Tuckett	M	M30-34	0							United States	DNS
397924	DNF	Alejandro Eugenio Valdes Muttio	M	M30-34	0		0:39:27	0:03:48	2:16:09	0:05:23		Mexico	DNF
512401	DNS	Daniel Vargas	M	M30-34	0							Mexico	DNS
512371	DNS	Isaac Zaga	M	M30-34	0							Mexico	DNS
512360	DNS	Candice Alvarez	F	F45-49	0							United States	DNS
188928	DNS	Carol Ann Browning	F	F45-49	0							United States	DNS
119868	DNS	Michelle Butterfield	F	F45-49	0							United States	DNS
512361	DNF	Jill Ciolli	F	F45-49	0		0:54:17	0:05:54	4:25:47	0:03:39	3:18:52	United States	DNF
36518	DNS	Myrianne Cote	F	F45-49	0							Canada	DNS
93459	DNS	Kristan Croom	F	F45-49	0							United States	DNS
512344	DNF	Carla Mata	F	F45-49	0		1:01:04	0:07:20	2:34:48	0:02:37		Costa Rica	DNF
512336	DNS	Ingrid Melgar	F	F45-49	0							Guatemala	DNS
512350	DNS	Gretchen Miller	F	F45-49	0							United States	DNS
42250	DNS	Pamela Rakoski	F	F45-49	0							United States	DNS
459230	DNF	Armand Cristobal	M	M50-54	0		1:16:09					United States	DNF
512378	DNS	Brenda Deem	F	F50-54	0							United States	DNS
97389	DNS	Christopher Hicks	M	M50-54	0							United States	DNS
512382	DNF	Tere Garcia	F	F50-54	0		0:48:18	0:08:21	4:02:29	0:05:02	3:31:00	Mexico	DNF
284291	DNS	John Landberg	M	M50-54	0							United States	DNS
41379	DNS	Michele Niermann	F	F50-54	0							United States	DNS
512405	DNS	Oscar Murillo	M	M50-54	0							Colombia	DNS
137069	DNS	Michaella Trigg	F	F50-54	0							New Zealand	DNS
117691	DNS	Michael Reiser	M	M50-54	0							United States	DNS
171441	DSQ	Catalina Voit	F	F50-54	0							Ecuador	DQ
34493	DNS	Carlos Sandoval	M	M50-54	0							Guatemala	DNS
512362	DNS	Antonio Soroa	M	M50-54	0							Mexico	DNS
185829	DNS	Marianne Badenhorst	F	F55-59	0							Canada	DNS
189465	DNS	Judy Coon	F	F55-59	0							United States	DNS
512383	DNF	Vera Hutchins	F	F55-59	0		0:56:54	0:06:58	3:42:41	0:05:43		United States	DNF
480685	DNS	Jackie Landberg	F	F55-59	0							United States	DNS
232003	DNF	Karen Satriano	F	F60-64	0		1:18:58					United States	DNF
