ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
514296	DNS	Le Quang	M	M25-29	0							Vietnam	DNS
514228	DNS	Stephen Simpson	M	M25-29	0							United States	DNS
386044	DNS	Simon SjÃ¶rÃ©n	M	M25-29	0							Sweden	DNS
514271	DNS	Rayson Tan	M	M25-29	0							Singapore	DNS
	DNF	Dinh Thach Nguyen	M	M25-29	0		1:15:40	0:08:32	3:31:27	0:09:58	3:02:09	Vietnam	DNF
514238	DNS	Bui Minh Tien	M	M25-29	0							Vietnam	DNS
514298	DNS	Nam Tran	M	M25-29	0							Vietnam	DNS
514252	DNS	KhiÃªm Tráº§n	M	M25-29	0							Vietnam	DNS
514281	DNS	Diosdado Jr Bautista	M	M50-54	0							Singapore	DNS
514241	DNS	Duong Vu	M	M25-29	0							Vietnam	DNS
228259	DNS	Lars Bergmann	M	M50-54	0							Denmark	DNS
89453	DNS	Stephen Choy	M	M50-54	0							Singapore	DNS
514293	DNS	Jimmy Goh	M	M50-54	0							Singapore	DNS
459814	DNF	Sunari Kateni	M	M50-54	0							Singapore	DNF
370487	DNF	Boonkwong Lee	M	M50-54	0							Malaysia	DNF
95451	DSQ	NHáº¤T TRÃ NGUYá»„N	M	M50-54	0							Vietnam	DQ
141017	DNS	Richard Roper	M	M50-54	0							United Kingdom	DNS
514256	DSQ	Soonchang Song	M	M50-54	0							Korea	DQ
514284	DNS	Rowell Tan	M	M50-54	0							Vietnam	DNS
130730	DNS	Steffen Wolf	M	M50-54	0							Germany	DNS
269657	DNS	Grant Yeo	M	M50-54	0							New Zealand	DNS
148090	DNS	Sinuhe Arroyo	M	M40-44	0							Spain	DNS
80611	DNS	Dissica Calderaro	M	M40-44	0							Brazil	DNS
95816	DNS	Eric Carfi	M	M40-44	0							France	DNS
514240	DNF	Philip Chiam	M	M40-44	0							Malaysia	DNF
411344	DNS	Andrew Eddy	M	M40-44	0							Canada	DNS
95891	DNS	Dane Fort	M	M40-44	0							Vietnam	DNS
514279	DNS	Michiel Haasbroek	M	M40-44	0							Netherlands	DNS
514288	DNS	John Higgs	M	M40-44	0							United Kingdom	DNS
142264	DNS	Pierre Humblot	M	M40-44	0							France	DNS
414748	DNS	Stephen Isaacs	M	M40-44	0							United Kingdom	DNS
142400	DNS	Joselito Garcia	M	M55-59	0							Philippines	DNS
514297	DNF	Nipone Jongprasartsuk	M	M40-44	0		0:51:06	0:04:01	2:54:03	0:07:11		Thailand	DNF
144793	DNF	Rick Jankowiak	M	M55-59	0		0:42:53	0:06:08	3:56:49			United States	DNF
95723	DNF	Nattee Komolwejakul	M	M40-44	0		0:47:54	0:05:56	2:58:04	0:05:50		Thailand	DNF
514232	DNS	Volker Miss	M	M55-59	0							Germany	DNS
95569	DNF	Hung Le	M	M40-44	0		1:03:03	0:07:55	3:39:32	0:08:25		Vietnam	DNF
95041	DNS	Satoru Nakano	M	M55-59	0							Japan	DNS
514230	DNS	Thien Le Duc	M	M40-44	0							Vietnam	DNS
124402	DNS	Satoru Nogami	M	M55-59	0							Japan	DNS
514250	DNF	Sang Ly	M	M40-44	0		0:55:14	0:10:19	3:47:17	0:13:50	3:25:42	Vietnam	DNF
514276	DNS	Andre Onraedt	M	M55-59	0							Belgium	DNS
315054	DNS	Shane Manning	M	M40-44	0							Australia	DNS
142307	DNS	Patrick Sallin	M	M55-59	0							Switzerland	DNS
95938	DNF	Yoshihiro Matsuda	M	M40-44	0		0:53:56	0:10:53	3:53:49	0:06:28		Japan	DNF
277351	DNF	Shigeki Sasaki	M	M55-59	0		0:41:52	0:03:27	2:22:26	0:03:23		Japan	DNF
95678	DNS	Kosuke Murakami	M	M40-44	0							Japan	DNS
121210	DSQ	Takuji Shotani	M	M55-59	0							Japan	DQ
69530	DNF	Almeric Ong	M	M40-44	0		0:45:35	0:04:06	2:57:22			Singapore	DNF
130738	DNF	Wichak Sirisae	M	M55-59	0		1:05:13	0:08:25	3:52:12	0:08:41		Thailand	DNF
414852	DNS	Chad Ovel	M	M40-44	0							United States	DNS
459830	DNS	Rahul Soman	M	M55-59	0							India	DNS
514234	DNS	Nguyen Quoc Thai	M	M40-44	0							Vietnam	DNS
335474	DSQ	Andreas Steiner	M	M55-59	0							Austria	DQ
124877	DNS	Jonathan Rees	M	M40-44	0							Australia	DNS
514236	DNS	Chris Royal	M	M40-44	0							Brazil	DNS
355017	DNS	Mahmoud Sofrata	M	M40-44	0							Egypt	DNS
378827	DNS	Koji Takahashi	M	M40-44	0							Japan	DNS
514245	DNS	Gernot Truecher	M	M40-44	0							Austria	DNS
514269	DNF	Narongphan Visvaporabutr	M	M40-44	0							Thailand	DNF
95639	DNF	Nhan Vo	M	M40-44	0		1:00:20	0:11:54	3:44:10	0:11:29	3:32:12	Vietnam	DNF
95283	DNF	Grant Wyatt	M	M40-44	0		0:53:44	0:10:07	3:50:45			United States	DNF
378492	DNF	Hoong Soon Yow	M	M40-44	0		0:31:29	0:03:37				Malaysia	DNF
378509	DNF	Vu Duong	M	M60-64	0							Vietnam	DNF
514295	DNS	Masami Nakamura	M	M65-69	0							Japan	DNS
94733	DNS	Gwynedd Pritchard	M	M65-69	0							United Kingdom	DNS
269978	DNF	Sze Mun Yee	M	M80-84	0							Malaysia	DNF
94411	DNS	Hughes Anthony	M	M35-39	0							Hong Kong	DNS
202403	DNS	Hayden Ashfield	M	M35-39	0							United Kingdom	DNS
514242	DNF	Kwangmae Cho	M	M35-39	0		1:09:26	0:07:55	3:13:26			Korea	DNF
514249	DNS	Kevin Chua	M	M35-39	0							Singapore	DNS
94402	DNF	Timothy Cosulich	M	M35-39	0		0:26:19	0:02:08	2:21:33	0:02:26		Italy	DNF
95050	DNF	Hoang Dao Xuan	M	M35-39	0							Vietnam	DNF
514266	DNS	Trung Thong Do	M	M35-39	0							Vietnam	DNS
514247	DNS	Do Dung	M	M35-39	0							Vietnam	DNS
123570	DNS	Irene Coletto	F	FPRO	0							Italy	DNS
514231	DNS	HoÃ n Duong	M	M35-39	0							Vietnam	DNS
122350	DNF	Sarah Lester	F	FPRO	0		0:31:37	0:01:42	2:52:42			Australia	DNF
201802	DNF	Jamie Edmunds	M	M35-39	0		0:29:31	0:02:29	2:33:36	0:03:45		United Kingdom	DNF
315488	DNS	James Ghamlouch	M	M35-39	0							United Kingdom	DNS
95534	DNF	Tran Trung Hieu	M	M35-39	0		0:42:53	0:20:31	3:19:26	0:11:54	3:57:04	Vietnam	DNF
95359	DNF	LÃª Van Hiá»‡u	M	M35-39	0		0:51:11	0:10:55	3:58:51	0:03:11	3:27:11	Vietnam	DNF
318414	DNS	Weng Hin Ho	M	M35-39	0							Singapore	DNS
95507	DNF	Ho Huynh Lam	M	M35-39	0		0:48:58	0:16:42	3:40:04	0:16:31	3:34:28	Vietnam	DNF
514270	DNF	Harish Kshirsagar	M	M35-39	0		1:00:41	0:15:59				India	DNF
228467	DNF	Yu Li	M	M35-39	0		0:43:46	0:03:14	2:41:09			Hong Kong	DNF
95833	DNS	Tiago Martinez	M	M35-39	0							Brazil	DNS
95266	DNF	Tien Ngo	M	M35-39	0							Vietnam	DNF
514267	DNF	Thuan Nguyen	M	M35-39	0							Vietnam	DNF
514282	DNS	NhÃ¢n Nguyá»…n	M	M35-39	0							Vietnam	DNS
95682	DNF	Thá» Nguyá»…n	M	M35-39	0		0:58:03	0:12:39	4:07:24	0:05:46		Vietnam	DNF
95598	DNF	Tuan Nguyen Quoc	M	M35-39	0		0:54:56	0:09:40	4:01:43	0:07:17		Vietnam	DNF
95847	DNF	Tung Pham	M	M35-39	0							Vietnam	DNF
514272	DNF	Harshit Sahdev	M	M35-39	0		1:06:59	0:08:51	3:54:55			India	DNF
94702	DNS	Holm Schimanski	M	M35-39	0							Germany	DNS
492510	DNS	Nicky Simpson	M	M35-39	0							United Kingdom	DNS
181808	DNS	Brittany Campbell	F	F25-29	0							Australia	DNS
95767	DNS	Benjamin Tay	M	M35-39	0							Singapore	DNS
514289	DNF	Nhung Nguyen	F	F25-29	0		1:05:38	0:06:21	3:58:44			Vietnam	DNF
514301	DNS	Koltai Tomi	M	M35-39	0							Hungary	DNS
514253	DNF	Han Truong	F	F25-29	0							Vietnam	DNF
95811	DSQ	Khoa Tran	M	M35-39	0							Vietnam	DQ
514294	DNF	Serena Yang	F	F25-29	0		0:28:22	0:03:01	3:04:07	0:05:41		Malaysia	DNF
514229	DNS	Chris Van Schalkwyk	M	M35-39	0							South Africa	DNS
514261	DNS	Yen Ping Wang	M	M35-39	0							Taiwan	DNS
495358	DNS	Foong Weisheng	M	M35-39	0							Singapore	DNS
514237	DSQ	Mao Yong	M	M35-39	0							China	DQ
514274	DNS	Abdulrahman Al-Hazeem	M	M30-34	0							Kuwait	DNS
514251	DSQ	Le Cuong	M	M30-34	0							Vietnam	DQ
514286	DNS	Ricardo Dabney Ferrer	M	M30-34	0							Mexico	DNS
94631	DSQ	Phong Dam	M	M30-34	0							Vietnam	DQ
95731	DNF	Linh Do	M	M30-34	0		1:04:57	0:07:19	4:05:50			Vietnam	DNF
94865	DNS	Gregoire Droz	M	M30-34	0							Switzerland	DNS
94920	DNS	Giang Hoang	M	M30-34	0							Vietnam	DNS
514265	DNF	Yohan Janeau	M	M30-34	0		0:35:18	0:03:05	2:23:52	0:03:04		France	DNF
120954	DNF	christopher john	M	M30-34	0		0:46:24	0:05:13	3:04:12	0:19:56		Malaysia	DNF
514244	DNS	Fernanda Calderaro	F	F30-34	0							Brazil	DNS
514275	DNS	Upinder Kataria	M	M30-34	0							India	DNS
95864	DNF	Nhan Lieu	F	F30-34	0							Vietnam	DNF
514299	DNS	Mai Anh Khoa	M	M30-34	0							Vietnam	DNS
514255	DNF	Asami Shotani	F	F30-34	0		0:53:23	0:15:05	4:18:26			Japan	DNF
95560	DNF	Thien Le	M	M30-34	0							Vietnam	DNF
378738	DNS	Darshini Subramaniam	F	F30-34	0							Malaysia	DNS
514257	DNF	Jeremy Reuben Weixiong Lim	M	M30-34	0							Singapore	DNF
94435	DNS	Merle Talviste	F	F30-34	0							Estonia	DNS
514264	DNF	Hoai Luong Duy	M	M30-34	0		0:56:12	0:10:42	4:14:49			Vietnam	DNF
468613	DNS	Thuong Vu	F	F30-34	0							Vietnam	DNS
95593	DNF	Zanh Quang Luu	M	M30-34	0		1:08:43	0:08:19	3:56:27	0:04:23	3:11:17	Vietnam	DNF
451162	DNF	Yik Ching Yeung	F	F30-34	0							Hong Kong	DNF
514258	DNF	Loc Nguyen	M	M30-34	0							Vietnam	DNF
514235	DNS	TrÃ­ Nguyá»…n	M	M30-34	0							Vietnam	DNS
514206	DNS	Nam Nguyen Phuong	M	M30-34	0							Vietnam	DNS
514260	DNS	Chau Nguyen Quang	M	M30-34	0							Vietnam	DNS
256765	DNS	Pererik Nordman	M	M30-34	0							Sweden	DNS
27098	DNF	Mark Organ	M	M30-34	0		0:42:32	0:03:25	2:48:22	0:04:32		Singapore	DNF
514283	DNS	Cong Pham	M	M30-34	0							Vietnam	DNS
514248	DNF	Ngo Phuong	M	M30-34	0		1:05:29	0:05:12	3:42:31	0:08:50		Vietnam	DNF
378566	DNS	Shio Chuan Quek	M	M30-34	0							Malaysia	DNS
95706	DNF	Cesar Quezada	M	M30-34	0		0:48:19	0:04:23	2:36:48	0:01:17		Mexico	DNF
514280	DNS	Poom Smithtinand	M	M30-34	0							Thailand	DNS
514291	DNS	Sinsamut Srisaenpang	M	M30-34	0							Thailand	DNS
120621	DSQ	Cheehui Tee	M	M30-34	0							Malaysia	DQ
514287	DNS	Anh Tran	M	M30-34	0							Vietnam	DNS
514254	DNS	Nguyá»…n Tuáº¥n	M	M30-34	0							Vietnam	DNS
94557	DNF	Lawrence Ka Ho Wong	M	M30-34	0		0:36:31	0:03:05	2:30:54			Hong Kong	DNF
378821	DNS	Mun Kit Mark Woo	M	M30-34	0							Malaysia	DNS
514290	DSQ	Ping Hua Yen	M	M30-34	0							Taiwan	DQ
265690	DNS	Abigail De Beer	F	F35-39	0							Hong Kong	DNS
120985	DNF	Huey Raei Heng	F	F35-39	0							Malaysia	DNF
451227	DNS	Wanwasa Kaewchompoo	F	F35-39	0							Thailand	DNS
514246	DNS	Juliana Ozores	F	F35-39	0							Brazil	DNS
95088	DNF	Thi Hai Pham	F	F35-39	0		0:57:24	0:13:35	3:08:28			Vietnam	DNF
514233	DNS	Rebecca Preston	F	F35-39	0							Australia	DNS
514259	DNS	Vlastimil Berka	M	M45-49	0							Australia	DNS
207370	DNS	Tengku Zafrul Bin Tengku Abdul Aziz	M	M45-49	0							Malaysia	DNS
256493	DNF	Georges Brunet	M	M45-49	0		0:29:00	0:02:53	2:29:27	0:02:56		France	DNF
396174	DNS	Francis Benjie L Castro	M	M45-49	0							Singapore	DNS
34534	DNF	Alexandre Coelho	M	M45-49	0		0:40:59	0:04:42				Brazil	DNF
147791	DNF	Andy Davies	M	M45-49	0		0:31:34	0:03:50	2:39:15	0:04:02		United Kingdom	DNF
265582	DNS	Henry De Beer	M	M45-49	0							Hong Kong	DNS
89010	DNS	Sam Betten	M	MPRO	0							Australia	DNS
94829	DNS	Roberto Guerra	M	M45-49	0							Italy	DNS
120334	DNF	Nathan Groch	M	MPRO	0		0:25:38	0:01:44	2:26:04	0:01:40		Australia	DNF
390706	DNS	Fergal Harris	M	M45-49	0							Ireland	DNS
23806	DNF	Brad Williams	M	MPRO	0		0:28:18	0:02:05				United States	DNF
458113	DNF	Hironori Hayashi	M	M45-49	0		0:52:39	0:11:44	3:41:32	0:12:36		Japan	DNF
514278	DNF	Chong Kuan Yee	M	M45-49	0		0:58:49	0:06:02	3:50:35	0:05:23		Malaysia	DNF
94928	DNS	Van Ly Le Nguyen	M	M45-49	0							Vietnam	DNS
90307	DNS	Wai Kong Leong	M	M45-49	0							Singapore	DNS
378756	DNS	Alan Ling	M	M45-49	0							Malaysia	DNS
212923	DNS	Jason Brian Marquez	M	M45-49	0							Philippines	DNS
514292	DNS	Vedant Jadhav	M	M18-24	0							India	DNS
