ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
147367	DNS	JOSE Alvarez	M	M45-49	0							Mexico	DNS
26518	DNF	MAURICIO Antonelli lehoczki	M	M45-49	0		0:28:00	0:06:59	5:40:17	0:03:10		Brazil	DNF
88350	DNS	ALEJANDRO Arias z	M	M45-49	0							Dominican Republic	DNS
147365	DNS	EDUARDO Beloqui	M	M45-49	0							Argentinia	DNS
147364	DNS	DANIEL Beloso	M	M45-49	0							Spain	DNS
147410	DNS	NAYARA Luni�re	F	FPRO	0							Brazil	DNS
147363	DNF	ROQUE GUSTAVO Bertolli	M	M45-49	0		0:25:28	0:04:43	5:26:27	0:03:41		Argentinia	DNF
26899	DNF	KIMBERLEY Morrison	F	FPRO	0		0:23:12	0:02:54	4:54:53	0:01:37		United Kingdom	DNF
26318	DNS	FEDERICO Campos	M	M45-49	0							Argentinia	DNS
62460	DNS	ANGELA Naeth	F	FPRO	0							Canada	DNS
34129	DNF	ALEJANDRO De beer	M	M45-49	0		0:28:07	0:06:47				Argentinia	DNF
33950	DNF	PAMELA Tastets	F	FPRO	0		0:23:13	0:02:50	5:22:54	0:02:15		Chile	DNF
147373	DNF	STEVE Frommer	M	M45-49	0		0:26:38	0:09:55				United States	DNF
29017	DNS	SVENJA Thoes	F	FPRO	0							Germany	DNS
147437	DNS	DARIO Frontera	M	M45-49	0							Argentinia	DNS
65755	DNS	JOAO Fuentes	M	M45-49	0							Brazil	DNS
34138	DSQ	OSCAR Galindez	M	M45-49	0							Argentinia	DQ
147378	DNS	MARTIN Galparsoro	M	M45-49	0							Argentinia	DNS
34536	DNF	LEONARDO Giglio	M	M45-49	0		0:26:22	0:04:42				Argentinia	DNF
147403	DNS	PABLO ALBERTO Hilgert	M	M45-49	0							Argentinia	DNS
147391	DNS	CARLOS DANIEL Japaze	M	M45-49	0							Argentinia	DNS
147413	DNS	OSVALDO Lanci	M	M45-49	0							Argentinia	DNS
34794	DSQ	BERNARDO Liguori	M	M45-49	0							Argentinia	DQ
147477	DSQ	JOSEPH Masvero	M	M45-49	0							United States	DQ
46615	DNS	RAFAL Medak	M	M45-49	0							Poland	DNS
147375	DNS	EDUARDO Mingo	M	M45-49	0							Argentinia	DNS
60980	DNS	LU�S Mira nunes	M	M45-49	0							Portugal	DNS
147382	DNS	MARIA PAZ Ibar saravia	F	F25-29	0							Chile	DNS
147428	DNS	CHRISTIAN Misle	M	M45-49	0							Chile	DNS
147396	DNS	JORGE Rivas	M	M45-49	0							Colombia	DNS
86545	DNF	FABIO Tavares	M	M45-49	0		0:32:19	0:06:25	7:09:22	0:09:51		Brazil	DNF
53837	DNS	MARCELO Weisselberger	M	M45-49	0							Chile	DNS
147398	DNS	WILLIAM Wilton	M	M45-49	0							Chile	DNS
147388	DNS	LEONARDO Zica`	M	M45-49	0							Brazil	DNS
147392	DNS	FEDERICO Alvarez	M	M30-34	0							Argentinia	DNS
147420	DNS	GONZALO Barrionuevo	M	M30-34	0							Argentinia	DNS
62215	DNS	HECHTER Hansen	M	M30-34	0							South Africa	DNS
147447	DNF	STEPHEN Mcwilliams	M	M30-34	0		0:27:03			0:05:07		Ireland	DNF
147426	DNF	LARISSA Fabrini	F	F30-34	0		0:32:16	0:07:25	5:50:27	0:02:10		Brazil	DNF
83012	DNS	FABIO BRONZE Moreira	M	M30-34	0							Brazil	DNS
147474	DNS	VALENTINA Romo	F	F30-34	0							Chile	DNS
140475	DNF	ALEXIS Pillet	M	M30-34	0		0:28:17	0:07:12	5:14:40	0:04:35		France	DNF
147472	DNF	LARISSA Segeren	F	F30-34	0		0:26:19	0:11:19				Brazil	DNF
147440	DNS	ANDR� Rentes	M	M30-34	0							Brazil	DNS
147445	DNF	KEVIN Rizzotto	M	M30-34	0		0:35:08	0:08:09	7:30:09	0:05:29		France	DNF
147459	DNF	MICHAL Zielinski	M	M30-34	0		0:24:01	0:03:39	5:05:00	0:02:18		Poland	DNF
147377	DNS	TAMARA Maxantova	F	F35-39	0							Czech Republic	DNS
40798	DNS	ALEXIS Ressler	F	F35-39	0							United States	DNS
45266	DNS	LUZ Serrano	F	F35-39	0							United States	DNS
147374	DNS	ANALIA Silva	F	F35-39	0							Argentinia	DNS
53737	DNS	MICHELLE Tristain	F	F35-39	0							Chile	DNS
147381	DNS	ISIS Paz portinho	F	F40-44	0							Brazil	DNS
80119	DNS	KATHERINE Rivera	F	F40-44	0							Puerto Rico	DNS
44751	DNF	AUDREY Seale	F	F40-44	0		0:29:43	0:05:26	5:44:35	0:03:47		South Africa	DNF
55959	DNS	ELEANOR Standen	F	F40-44	0							United Kingdom	DNS
147439	DNS	VERONICA Vara	F	F40-44	0							Argentinia	DNS
86159	DNS	FERNANDO Alfaro	M	M40-44	0							Panama	DNS
147464	DNS	CARLOS Alric	M	M40-44	0							Argentinia	DNS
83031	DNF	ARTHUR Alvim faria da silva	M	M40-44	0		0:26:00	0:20:41				Brazil	DNF
83138	DNS	WANDER Ama	M	M40-44	0							Brazil	DNS
34576	DNS	SERGIO Ayala	M	M40-44	0							Argentinia	DNS
147443	DNS	DIEGO Barbaresi	M	M40-44	0							Argentinia	DNS
146835	DNS	EDUARDO Blanco	M	M40-44	0							Costa Rica	DNS
147411	DNS	EURICO Campos	M	M40-44	0							Brazil	DNS
147454	DNS	ARIEL Caparelli	M	M40-44	0							Argentinia	DNS
147383	DNS	JORGE Conroy	M	M40-44	0							Peru	DNS
147446	DNF	ANTONIO Cuscona	M	M40-44	0		0:34:52	0:12:42				Argentinia	DNF
147450	DNS	JULIAN Del moral	M	M40-44	0							Switzerland	DNS
87965	DNS	MAURICIO Falce	M	M40-44	0							Argentinia	DNS
147471	DNS	HIRO Fujimori	M	M40-44	0							Japan	DNS
47083	DNS	ALICJA Medak	F	F45-49	0							Poland	DNS
146761	DNS	GONZALO Garcia	M	M40-44	0							Ecuador	DNS
86664	DNS	MARIA CECILIA Pieroni	F	F45-49	0							Argentinia	DNS
147419	DNS	LUPO Geronazzo alman	M	M40-44	0							Italy	DNS
147478	DNS	JORGE Gigena	M	M40-44	0							Argentinia	DNS
147360	DNS	CAMILO Godoy	M	M40-44	0							Chile	DNS
147435	DNS	DARIO JORGE Gomez	M	M40-44	0							Argentinia	DNS
83921	DNS	ALVARO Gresta	M	M40-44	0							Argentinia	DNS
147453	DNS	ALFREDO Jeffe	M	M40-44	0							Brazil	DNS
147389	DNS	LUCAS Latorre	M	M40-44	0							Argentinia	DNS
77936	DNS	MANUEL Lozano	M	M40-44	0							Mexico	DNS
147433	DNS	MARCELA ALEJANDRA Abregu	F	F50-54	0							Argentinia	DNS
147465	DNS	OSVALDO MAXIMILIANO Malvezzi martinez	M	M40-44	0							Argentinia	DNS
147412	DNF	HERNANI Barletta	F	F50-54	0		0:33:43	0:07:37				Argentinia	DNF
147362	DNS	MARIANO AGUSTIN Marsili	M	M40-44	0							Argentinia	DNS
83501	DNS	MARCEL Almeida	M	M50-54	0							Brazil	DNS
48841	DNS	CARMEN Centeno	F	F50-54	0							Venezuela	DNS
147400	DNS	ANDERSON Navi	M	M40-44	0							Brazil	DNS
147414	DNF	SERGIO Cardoso	M	M50-54	0		0:37:22	0:06:06				United States	DNF
147417	DNS	CALDERON Mariana	F	F50-54	0							Argentinia	DNS
147401	DNS	GOVINDA Pai	M	M40-44	0							India	DNS
147457	DNS	HECTOR Casas	M	M50-54	0							Argentinia	DNS
140563	DNS	ADRIAN Parada	M	M40-44	0							Argentinia	DNS
34211	DNS	ALEJANDRO Cosentino	M	M50-54	0							Argentinia	DNS
147394	DNF	NICOL�S Pardo	M	M40-44	0		0:31:27	0:09:13	7:19:58	0:05:02		Argentinia	DNF
147416	DNF	HERV� Cournet	M	M50-54	0		0:26:30	0:04:33	5:32:26	0:04:47		France	DNF
147402	DNS	FERNANDO Petracci	M	M40-44	0							Argentinia	DNS
147462	DNS	CHRISTOPHER Freeman	M	M50-54	0							United Kingdom	DNS
147385	DSQ	SABINA Barrella	F	F55-59	0							Argentinia	DQ
147476	DNS	JUAN LUIS Poclava	M	M40-44	0							Argentinia	DNS
147469	DNF	ALBERTO Gamez cersosimo	M	M50-54	0		0:31:12	0:09:11	6:22:53	0:08:51		Costa Rica	DNF
147361	DNF	ANNE-CHRISTINE Calvel	F	F55-59	0		0:34:39	0:12:12	7:11:23			France	DNF
147408	DNS	IGNACIO Quiles lara	M	M40-44	0							Spain	DNS
83636	DNF	WELLINGTON Jesuino	M	M50-54	0		0:57:36					Brazil	DNF
66652	DNS	RAQUEL Cardoso de oliveira andr	F	F55-59	0							Brazil	DNS
83422	DNS	PABLO Quinteros	M	M40-44	0							Argentinia	DNS
140573	DNF	PANTER Molina	M	M50-54	0		0:30:50	0:04:01	6:43:01	0:03:53		Argentinia	DNF
51720	DNS	DELLA Irby	F	F55-59	0							United States	DNS
147430	DNS	RAFAEL Ribeiro madke	M	M40-44	0							Brazil	DNS
147452	DNF	JORGE LUIS Prado	M	M50-54	0		0:30:15	0:04:30	5:50:19			Argentinia	DNF
26758	DNS	JACQUELINE Nunes	F	F55-59	0							United States	DNS
147397	DNS	MARTIN Richardet	M	M40-44	0							Argentinia	DNS
147386	DNF	LORENZO Rubin	M	M50-54	0		0:46:30	0:09:44	5:03:19			Venezuela	DNF
147409	DNS	GONZALO Rodriguez treo	M	M40-44	0							Argentinia	DNS
147429	DNS	GUSTAVO ARIEL Torrente	M	M50-54	0							Argentinia	DNS
83210	DNS	MARCELO Ruiz	M	M40-44	0							Argentinia	DNS
147379	DNF	JOSE LUIS Velasco	M	M50-54	0		0:36:10	0:07:30				Argentinia	DNF
140774	DNS	PATRICIO Salas	M	M40-44	0							Argentinia	DNS
147444	DNS	SIMON Wood	M	M50-54	0							United Kingdom	DNS
147387	DNS	MARCELO P Sambudio	M	M40-44	0							Brazil	DNS
34372	DNF	MOACIR Yoshida	M	M50-54	0		0:34:50	0:08:47	5:40:46	0:02:51		Brazil	DNF
147449	DNS	JOSE PAULO Scheliga	M	M40-44	0							Brazil	DNS
147425	DNF	MATTEO Sclosa	M	M40-44	0		0:27:57	0:04:07				Italy	DNF
147422	DNS	JUAN SEBASTI�N Soler	M	M40-44	0							Argentinia	DNS
147384	DNS	MARIANO Sosa ribicich	M	M40-44	0							Argentinia	DNS
147466	DNF	RICARDO Tonetti	M	M40-44	0		0:24:41	0:04:41				Brazil	DNF
