ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
f167ec42-c73e-4413-bd58-344bea40bff6	1	Braden Currie	M	MPRO	1	7:54:58	0:46:45	0:02:10	4:24:52	0:01:10	2:39:59	nzl	
36dbaa95-60db-473a-b17e-1d2297ed5c50	2	Javier Gomez	M	MPRO	2	7:56:38	0:46:41	0:02:14	4:25:08	0:01:31	2:41:02	ES	
a0f2e54b-1345-40be-96a2-f03b16b9fcde	3	Terenzo Bozzone	M	MPRO	3	8:00:06	0:48:43	0:01:58	4:22:31	0:00:54	2:45:59	NZ	
fd703b14-263e-4039-80e5-6ef3e96a6bbb	4	Timothy O'Donnell	M	MPRO	4	8:00:54	0:46:42	0:02:12	4:24:58	0:01:00	2:46:00	US	
78048b93-7376-4c38-875b-04acdeabde24	5	Denis Chevrot	M	MPRO	5	8:07:25	0:48:46	0:02:09	4:22:17	0:01:12	2:52:59	FR	
4e9147f7-7d4b-4a86-ba18-216ebb3cab08	6	Kyle Buckingham	M	MPRO	6	8:12:38	0:48:52	0:02:06	4:22:47	0:01:20	2:57:31	ZA	
d0bb79c9-a920-46ae-bac9-6bc7294917a2	7	Tim Van Berkel	M	MPRO	7	8:15:11	0:48:47	0:02:07	4:25:38	0:01:09	2:57:28	AU	
08d437ae-1889-44fd-a9e6-874e7b868bb2	8	Timothy Reed	M	MPRO	8	8:17:48	0:48:49	0:02:11	4:22:46	0:01:14	3:02:46	AU	
5fab2357-60b9-4629-a601-073e26805bba	9	David Plese	M	MPRO	9	8:18:35	0:55:02	0:03:26	4:26:51	0:01:37	2:51:36	SI	
e54f02e1-00b8-4be9-9750-5de28d3db74e	10	Callum Millward	M	MPRO	10	8:19:51	0:48:53	0:02:07	4:35:56	0:01:19	2:51:34	AU	
8b433f2c-94c9-4573-b330-a31d3d7e02d9	11	Daniil Sapunov	M	MPRO	11	8:40:43	0:48:51	0:02:13	4:38:15	0:01:31	3:09:51	UA	
d39319e7-295c-4d53-8b72-34dc0a05288d	12	Balazs Csoke	M	MPRO	12	8:48:02	0:48:50	0:02:07	4:50:34	0:02:07	3:04:22	CHE	
1d26d225-b8aa-4b81-967f-02f91fb98648	13	Casey Munro	M	MPRO	13	8:48:18	0:46:48	0:02:22	4:49:20	0:01:48	3:07:59	AU	
5fadfd32-9f2f-485a-b852-18d14b5c8fd7	14	Teresa Adam	F	FPRO	1	8:53:16	0:50:41	0:02:25	4:50:12	0:01:11	3:08:44	NZ	
9f6f48b6-4aa7-467b-82be-ae789c02f9eb	15	Jason Hall	M	MPRO	14	8:57:04	0:53:04	0:02:24	5:01:34	0:01:46	2:58:14	nzl	
e6ef9035-bd98-4af0-a404-f6bb22878d0c	16	Jarrod Owen	M	M35-39	1	8:59:00	1:01:39	0:03:31	4:47:29	0:01:42	3:04:37	aus	
b41a5d69-e278-4721-ba42-d92841998088	17	Mirinda Carfrae	F	FPRO	2	8:59:17	1:01:05	0:02:12	4:50:30	0:02:08	3:03:19		
2269d57a-e8b2-4540-9314-65232903b560	18	Reon Park	M	M45-49	1	9:01:00	0:55:50	0:03:59	4:44:35	0:01:22	3:15:13	NZ	
8cd946a0-d47c-4d34-8392-ac4b15f87a5b	19	Steve Eccleston	M	M40-44	1	9:02:57	1:00:17	0:03:47	4:45:22	0:01:58	3:11:31	AU	
5d0cbec9-cbce-4e62-933f-b073b51d5741	20	Jordy Wright	M	M30-34	1	9:03:10	0:57:46	0:02:46	4:46:56	0:01:26	3:14:13	aus	
dcbf40fb-c84f-4294-9ce1-e5ebb0bc129e	21	Beth Mckenzie	F	FPRO	3	9:03:10	1:01:38	0:02:44	5:01:26	0:01:57	2:55:23	aus	
9bc36abd-7473-4dfb-b37a-49f075cf8979	22	Damien Angus	M	M40-44	2	9:05:13	0:57:42	0:02:50	4:48:40	0:01:22	3:14:38	AU	
ee87c8cf-21ae-4ef7-a8b0-5d4bae212723	23	Chris Breheny	M	M30-34	2	9:07:35	1:02:04	0:03:01	4:49:14	0:02:18	3:10:56	AUS	
fabacc95-3f9c-4c6e-9488-261c474a6ff7	24	Gurutze Frades Larralde	F	FPRO	4	9:09:52	1:01:36	0:02:34	5:01:34	0:01:09	3:02:58	ES	
9468f846-caa5-42a7-a318-e1a48bd6a044	25	Sean Richardson	M	M30-34	3	9:11:11	0:59:56	0:04:07	4:52:02	0:01:35	3:13:30	aus	
82e327e6-7582-e911-a987-000d3a34edeb	26	Melanie Burke	F	FPRO	5	9:12:31	1:01:39	0:02:45	4:56:49	0:01:11	3:10:06	NZ	
fdbca431-2391-42e2-8ffe-8cef7bb13bfc	27	Nichloas Burt	M	M45-49	2	9:13:41	0:59:17	0:03:44	4:53:17	0:01:46	3:15:35	AU	
9dac971e-86de-4e74-b7ca-7a872434793a	28	Marshall Mcneice	M	M30-34	4	9:13:49	0:54:31	0:03:15	5:05:10	0:01:07	3:09:44	NZ	
1dd010a4-5657-464e-95a4-9aa6928f3518	29	Steve Guy	M	M40-44	3	9:13:53	1:02:43	0:04:07	5:00:33	0:02:21	3:04:08	AU	
59f9dafd-06d0-4cba-a245-4d930a98765d	30	Kevin Robertson	M	M40-44	4	9:13:58	1:02:51	0:04:00	5:05:15	0:02:09	2:59:41	AUS	
d613276c-60a3-4847-9d46-923fa559cd93	31	Chris Auditore	M	M40-44	5	9:16:33	0:57:26	0:02:53	5:02:56	0:01:48	3:11:27	AU	
7d0b3f19-2101-4edc-ae3f-0d65dfab8495	32	Mitch Dean	M	M35-39	2	9:16:54	0:52:14	0:03:02	4:54:56	0:02:08	3:24:31	AU	
c947bc61-a436-4453-b9a1-e43a415fa9ac	33	Donal Sheehy	M	M35-39	3	9:18:04	0:58:15	0:03:02	4:54:48	0:02:04	3:19:53	IE	
fabd2ddc-5978-4545-b3f4-29fa4a30e76a	34	Åsa Lundström	F	FPRO	6	9:18:57	1:01:35	0:02:16	5:01:46	0:01:14	3:12:05	SE	
914c2f36-0d3e-401d-8993-ad306a21ae63	35	Tom Beechey	M	M35-39	4	9:19:00	1:10:00	0:02:57	4:51:58	0:01:36	3:12:28	aus	
29c48c22-9915-434f-9ce4-28bed79d1511	36	Cheyne Murphy	M	M35-39	5	9:19:18	0:58:32	0:03:42	4:55:21	0:01:56	3:19:45	AU	
bd0966bb-33c5-450b-a086-da4852e4e8c4	37	Kieran Birch	M	M30-34	5	9:19:39	0:57:40	0:02:35	5:01:34	0:01:33	3:16:15	AU	
62cecf13-23d4-4ecf-a341-a52783cbe6b4	38	Lauren Brandon	F	FPRO	7	9:20:28	0:48:39	0:02:16	4:57:38	0:01:33	3:30:21		
296836da-fa51-4b75-8ba8-2d6ea64163ae	39	Cadeyrn Douglas	M	M30-34	6	9:21:25	0:57:29	0:03:12	4:54:41	0:03:41	3:22:20	AU	
26885fb0-a68d-4e4b-89ff-38451b1b391c	40	Yu Shinozaki	M	M35-39	6	9:24:13	0:58:20	0:03:22	4:45:55	0:02:34	3:34:01	JP	
1dd63345-7d4f-4fee-8f37-c86a02d9e2a2	41	Nathan Sandford	M	M35-39	7	9:24:54	1:01:24	0:04:05	4:53:40	0:01:29	3:24:14	AU	
ace8f95a-1d1d-48a8-bc67-f151dc7c9c90	42	Magnus Anderson	M	M30-34	7	9:24:56	1:05:34	0:03:07	4:53:33	0:02:00	3:20:40	AU	
48922449-4786-4652-83fd-13a1d6ea0340	43	Martin Parent	M	M30-34	8	9:25:11	1:00:52	0:03:21	4:54:58	0:02:54	3:23:04	CA	
17193e09-b1c1-424d-9abd-69f490cfd5be	44	Ian Lack	M	M45-49	3	9:25:52	0:59:15	0:02:45	4:55:41	0:01:38	3:26:31	AU	
fc8f96a4-40e2-4703-84e9-d80225ae21f9	45	Kenji Takeya	M	M45-49	4	9:26:02	1:15:56	0:03:11	4:43:23	0:02:39	3:20:52	JP	
329cbd9b-d3e3-46e0-8def-24233ed8a3c9	46	Robert Dendle	M	M30-34	9	9:27:51	1:09:50	0:04:53	4:56:07	0:01:30	3:15:29	AU	
c5b7d4d9-fb70-4209-8823-a93bbd20556a	47	Andy De Sousa	M	M30-34	10	9:28:15	1:02:44	0:03:42	4:50:25	0:01:23	3:29:58	ES	
a3706ee7-ae38-41e1-ac46-752dcb396a61	48	David Mainwaring	M	MPRO	15	9:28:54	0:53:07	0:02:14	4:58:36	0:01:54	3:33:02	AU	
cda0311f-1cd3-4ad7-91b2-e206a3883457	49	Hideki Kitahara	M	M40-44	6	9:29:32	1:03:17	0:03:57	5:06:58	0:02:14	3:13:05	JP	
9253d975-d7b4-48a5-be0f-3206e82d7012	50	Nathan Sims	M	M40-44	7	9:29:56	1:07:34	0:04:33	5:04:32	0:03:05	3:10:10	AU	
6e7dc130-2fd2-4429-9ca8-e3a698b0dea0	51	Benjamin Wyllie	M	M40-44	8	9:31:16	0:56:18	0:03:17	4:57:01	0:02:25	3:32:14	AUS	
3188034d-e1e1-4636-bb30-a1597ab4c22b	52	Miguel Uribe	M	M30-34	11	9:31:29	1:01:27	0:06:36	5:00:41	0:03:45	3:18:59	CO	
b22261ad-c607-4e6b-b735-511d960a6a11	53	John Hughes	M	M45-49	5	9:31:56	1:14:50	0:03:54	5:01:45	0:02:18	3:09:08	aus	
65110846-f44e-41b1-8d71-99e0ac516ee9	54	Nathan Martin	M	M35-39	8	9:33:45	1:10:27	0:04:22	4:55:21	0:01:49	3:21:45	NZL	
4359f923-9dd6-49da-8d8e-dc55c9a819c2	55	Ricky Leyonhjelm	M	M25-29	1	9:34:17	1:00:01	0:03:14	5:03:12	0:01:26	3:26:22	aus	
e7e1e27c-8620-4391-b617-14de03fd48ac	56	Damien Barbour	M	M35-39	9	9:35:41	1:06:21	0:03:28	5:04:47	0:01:28	3:19:34	AU	
ab9f19ec-c98f-4238-b7f3-c4b8f4625ae4	57	Simon Johnson	M	M40-44	9	9:37:34	1:03:34	0:02:45	5:01:21	0:01:25	3:28:27	AUS	
440d7d1f-c6a6-4687-b92a-87d4eca285d0	58	Luca Killick	M	M25-29	2	9:38:07	1:10:26	0:03:13	4:59:26	0:01:19	3:23:41	NZ	
494a6392-6950-4fa7-babf-f0c1ba171981	59	Jackson Brazzale	M	M25-29	3	9:39:05	1:14:33	0:03:58	4:52:53	0:02:18	3:25:21	AU	
685089ab-e85d-4ed8-8896-90884d36e50a	60	Brendan Flanagan	M	M40-44	10	9:40:49	1:04:35	0:03:34	4:50:40	0:04:05	3:37:53	aus	
9c9d91d9-26af-4b11-b4a3-1a95dfc0ab8d	61	Amanda Wilson	F	FPRO	8	9:40:51	1:01:13	0:02:46	5:14:03	0:01:38	3:21:10	AU	
22ee07ad-5d7c-4329-9208-76b53c38899c	62	Glenn Sparidaans	M	M35-39	10	9:41:42	1:07:19	0:03:20	5:06:30	0:03:40	3:20:50	AU	
ee53cb6a-9115-440f-ac66-bf36f03faba4	63	Mark Rohde	M	M40-44	11	9:42:18	1:09:20	0:04:53	4:52:51	0:01:23	3:33:50	AU	
d478a783-e8f4-4a3a-9b41-6f18e44d7ea9	64	Michael Buxey	M	M30-34	12	9:43:11	1:03:21	0:03:13	5:06:24	0:01:25	3:28:47	aus	
a169878c-a202-42d3-ab34-93e4ab986f7f	65	Noriyuki Akiba	M	M45-49	6	9:43:47	0:57:47	0:03:41	5:02:34	0:01:53	3:37:51	JP	
6350ba15-67b6-496f-b2cb-306ccd756e2c	66	Laurent Rivalin	M	M35-39	11	9:43:55	1:04:02	0:04:49	5:13:22	0:03:21	3:18:19	AU	
258b2bbb-8a60-46e3-ba45-9d166f9dfdb1	67	Craig Alers	M	M30-34	13	9:44:17	1:03:30	0:02:55	5:06:17	0:02:04	3:29:29	AU	
567b0523-470d-4a28-a458-2f4a494e306d	68	Kieron Paterson	M	M40-44	12	9:45:21	1:04:51	0:03:23	5:11:45	0:01:12	3:24:08	AU	
6f80b26e-a21c-4224-8f00-062538376494	69	Timmy Hortz	M	M30-34	14	9:45:32	1:01:42	0:05:09	5:02:45	0:02:12	3:33:43	aus	
1084913a-bd35-4953-b39c-f523a43d81b8	70	Lachlan Kerin	M	MPRO	16	9:45:32	0:48:42	0:02:15	4:42:20	0:03:15	4:08:58	aus	
cb8d6eb1-8325-48a8-a204-fd2a5bb80ab1	71	Jack Wheatley	M	M30-34	15	9:45:55	1:03:19	0:03:19	5:08:09	0:03:30	3:27:36	AU	
997904ff-7413-4de2-af1f-65422e1ee99a	72	Tim Kassebaum	M	M30-34	16	9:46:18	0:59:19	0:04:15	5:05:31	0:02:22	3:34:49	AU	
42285834-a060-4d6c-92c0-a95ee30dc353	73	Kirron Duncan	M	M40-44	13	9:46:34	1:00:13	0:02:22	5:08:54	0:01:04	3:33:59	AU	
0adf841a-5e1f-4112-a747-c8a11b6e0534	74	Michael Musk	M	M40-44	14	9:46:39	1:03:40	0:03:44	4:57:36	0:02:41	3:38:56	AU	
5a59b405-9e1d-4f28-9bdd-2db908bfe009	75	RYUICHI KAWASIMA	M	M50-54	1	9:47:18	1:08:59	0:03:49	5:10:53	0:02:05	3:21:30	JP	
b609d210-8d4a-4d68-9f16-dc7b4916ae47	76	Barry Oelofsen	M	M35-39	12	9:47:45	0:56:38	0:03:01	4:41:49	0:02:20	4:03:55	AU	
a0dc8dcc-49e8-4035-9471-b8fc98b0340e	77	Thomas Bouvier	M	M40-44	15	9:49:07	1:10:03	0:04:47	5:07:56	0:02:06	3:24:13	HK	
4a31858b-6192-4e10-a744-a9c480466ad2	78	Kenta Osanai	M	M30-34	17	9:51:09	1:09:45	0:03:28	5:03:36	0:01:50	3:32:29	JP	
7c656fd6-8fd3-469f-88ac-e2638b373515	79	Andy Ryan	M	M35-39	13	9:51:31	1:07:35	0:03:38	4:57:59	0:02:23	3:39:55	AU	
d7492449-81b6-45a0-a5a7-d9b5f2136756	80	Chee-Ky Dunlop	M	M30-34	18	9:51:56	1:03:12	0:02:59	4:54:14	0:01:33	3:49:57	AU	
d8335e6c-49ab-4eee-8fd5-2745ab8df00b	81	Mark Gleeson	M	M45-49	7	9:52:28	1:01:48	0:05:00	5:03:31	0:01:58	3:40:10	aus	
d7058e1e-e3f0-450a-9f15-574c43f9ed5e	82	Juan Torres	M	M40-44	16	9:52:31	1:17:24	0:04:07	5:05:30	0:02:47	3:22:41	AU	
816a4d0d-d6d3-48e7-a440-c2bfa190b7da	83	David Halpin	M	M30-34	19	9:52:34	1:06:22	0:02:43	5:11:15	0:00:49	3:31:22	AUS	
80e9b520-b65a-404d-bc01-52f2f42015bf	84	Nathan Meade	M	M30-34	20	9:52:56	1:01:46	0:03:52	4:56:25	0:02:52	3:47:59	AU	
ef28300f-d4d8-4c17-89f3-b77025460f62	85	Chris Pike	M	M35-39	14	9:53:08	1:05:07	0:03:21	5:09:05	0:02:44	3:32:49	AU	
3a4bf354-4b3d-4b22-a630-1a34816eb39b	86	Noriyuki Tanaka	M	M35-39	15	9:53:16	1:03:12	0:06:35	5:13:14	0:02:34	3:27:38	US	
f8698a34-b4a1-4cf2-852e-44e113459df8	87	Stephen Natoli	M	M40-44	17	9:53:17	1:05:27	0:03:40	4:56:38	0:01:31	3:45:58	AU	
8e0e3b25-6e9e-4be6-a044-b8a1ca0aad88	88	Markcus Brown	M	M35-39	16	9:53:41	1:10:09	0:02:54	5:15:57	0:01:26	3:23:13	AU	
56234eb1-a05e-4f9c-991a-3b52dd2d2658	89	Jonathan Roper	M	M40-44	18	9:53:57	1:01:15	0:03:12	5:05:25	0:01:55	3:42:08	aus	
881c9319-be6a-4353-af49-46329b49c228	90	Keisuke Endo	M	M35-39	17	9:54:56	1:01:39	0:03:48	5:19:56	0:03:00	3:26:31	JP	
694ecc83-f697-44fe-a7cc-61339fbe53e8	91	John Shiels	M	M35-39	18	9:55:12	1:10:49	0:03:30	5:02:31	0:01:58	3:36:22	AU	
15983cc9-e7d7-44fc-ab5a-c83d7945f662	92	Augusto Cesar Pocas	M	M45-49	8	9:56:01	1:09:33	0:04:36	5:10:47	0:03:03	3:27:59	BR	
e5866a4f-863c-4a0d-89a8-06b2fa17174e	93	Fiona Whelan	F	F40-44	1	9:56:12	1:03:59	0:04:35	5:16:53	0:01:20	3:29:24	AU	
448ed14d-948c-43c8-be98-82fc7974beba	94	James O'Gorman	M	M25-29	4	9:56:23	1:01:57	0:03:49	5:11:48	0:02:14	3:36:33	AU	
ec5496aa-8079-4f9a-bf55-03f2be3b253a	95	Shelden Walker	M	M35-39	19	9:56:53	1:14:56	0:03:59	5:00:48	0:01:27	3:35:40	AU	
ad7c39f9-030d-43af-8e3e-b894818704e2	96	Leigh Rudd	M	M40-44	19	9:56:59	1:04:11	0:04:13	5:07:44	0:01:41	3:39:07	AU	
9a78f682-6448-4691-83b4-4019b8cc9ebb	97	Qi Dang	M	M40-44	20	9:57:13	0:57:56	0:03:46	5:14:26	0:02:41	3:38:23	CHN	
9d93d73c-cbaf-4b6e-a5b7-67fe0b7a2a15	98	David Clark	M	M35-39	20	9:57:18	1:11:58	0:03:55	4:57:40	0:02:19	3:41:24	AU	
1d3f70d7-79fb-4928-b51b-8f9e89a4b819	99	Richard Jefferies	M	M35-39	21	9:57:29	0:58:49	0:03:44	5:03:21	0:02:46	3:48:48	AU	
2dd9cfd9-cad8-4843-aefa-eab0a3a5a686	100	Lesley West	F	F30-34	1	9:58:00	1:12:41	0:04:16	5:17:32	0:03:43	3:19:45	AU	
