ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
5e0a328a-5b34-409e-b95e-a245e79029b7	1	Jan Frodeno	M	MPRO	1	8:00:58	0:48:42	0:02:54	4:28:36	0:01:39	2:39:06	ES	
acaa3f06-919e-4ef3-b81f-76306ff14d12	2	Patrik Nilsson	M	MPRO	2	8:08:15	0:48:46	0:02:59	4:28:45	0:01:43	2:46:02	SE	
5c32c662-7ff9-4c8c-b4e1-63ef360d3a48	3	Patrick Lange	M	MPRO	3	8:09:26	0:48:43	0:02:50	4:29:01	0:01:37	2:47:15	AT	
323eb2d4-349e-4d66-a9cf-a846518e4216	4	Nicholas Kastelein	M	MPRO	4	8:18:45	0:48:43	0:03:00	4:32:44	0:01:45	2:52:33	aus	
736f0179-0e1e-4593-bca6-b015dcbe22ce	5	Josh Amberger	M	MPRO	5	8:26:16	0:46:53	0:03:07	4:29:53	0:01:43	3:04:40	AU	
18344de3-466e-42fa-960f-4a17a3fb627c	6	Philipp Koutny	M	MPRO	6	8:32:13	0:52:50	0:03:14	4:34:33	0:02:07	2:59:29	CH	
ab744cdc-b409-420c-b238-225e3fa457c3	7	Daniela Ryf	F	FPRO	1	8:38:44	0:53:11	0:03:34	4:40:55	0:02:11	2:58:53	CH	
a4ca2f4e-e1c1-4535-8e7f-eb39ec4d6841	8	Tyler Butterfield	M	MPRO	7	8:38:58	0:49:34	0:02:59	4:33:30	0:10:01	3:02:53	US	
8874e44e-80e2-47be-84d6-33160f6bfb0c	9	Mark Bowstead	M	MPRO	8	8:40:31	0:52:50	0:03:08	4:44:31	0:02:05	2:57:58	nzl	
c37dd0bf-ce70-4870-beb6-5799c0923cd0	10	David Berthou	M	MPRO	9	8:48:13	0:55:35	0:03:34	4:49:31	0:01:57	2:57:37	FR	
47f5e111-8796-485d-8b70-d35bd1ebadff	11	Philipp Mock	M	MPRO	10	8:48:42	1:00:48	0:03:45	4:35:52	0:02:12	3:06:04	DE	
f7092da8-3a3f-431a-aff1-278aab891e7b	12	Lucas Amirault	M	MPRO	11	8:51:14	0:55:43	0:03:18	4:49:47	0:03:13	2:59:14	FR	
b7afce6f-bea4-4191-905d-e6dee0ef9765	13	Toon Veldeman	M	M35-39	1	8:58:12	0:55:01	0:04:39	4:56:43	0:02:04	2:59:45	BE	
b53f1725-5e9c-4345-a8e3-3984afc175b9	14	Damien Collins	M	MPRO	12	9:01:03	0:56:18	0:03:17	4:58:03	0:03:06	3:00:19	aus	
bdd8b806-d215-4b98-803e-361b116eddc1	15	Urs Schiess	M	M35-39	2	9:01:13	0:54:50	0:03:42	4:59:17	0:02:19	3:01:05	CH	
