ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
8179be6b-ba86-49b1-86a8-65da5940de26	1	Daniel Fontana	M	MPRO	1	7:47:35	0:04:28	0:03:04	4:34:50	0:02:27	3:02:46	IT	
d6fe9b3a-3cd1-41fc-860c-b4d9c4551f50	2	Jarrod Harvey	M	MPRO	2	7:50:29	0:04:35	0:03:06	4:34:41	0:02:23	3:05:44	AU	
495e283c-09a2-4c94-b827-33c584de172d	3	Alexander Polizzi	M	MPRO	3	8:01:21	0:04:20	0:03:06	4:39:31	0:02:28	3:11:56	AU	
77f5e447-c9a3-49e9-b52d-85856fcaa591	4	Domenico Passuello	M	MPRO	4	8:04:40	0:05:25	0:03:25	4:40:50	0:02:20	3:12:40	ITALY	
10d45a8f-8ee8-44bb-b7a8-d011b4a3c171	5	Gerhard De Bruin	M	MPRO	5	8:11:33	0:04:39	0:03:06	4:45:43	0:02:48	3:15:17	SOUTH AFRICA	
d39319e7-295c-4d53-8b72-34dc0a05288d	6	Balazs Csoke	M	MPRO	6	8:15:35	0:04:22	0:03:14	4:50:22	0:02:40	3:14:57	CHE	
12ee62d6-cb07-4202-8f0f-8c282ebe90f1	7	Deak Zsombor	M	MPRO	7	8:19:31	0:05:29	0:03:10	5:01:12	0:02:13	3:07:27	RO	
49d74904-e4d8-47c5-b039-d7b33dbb91c2	8	Eneko Elosegui Armendariz	M	MPRO	8	8:21:29	0:05:28	0:03:06	4:53:18	0:02:00	3:17:37	ES	
0a0e574d-472d-44ad-8eb9-8b32a0503c36	9	Imanol Sagarzazu Pego	M	MPRO	9	8:24:44	0:05:40	0:03:03	5:06:42	0:02:01	3:07:18	ES	
93df4886-bd29-46a2-ae3d-4fc3eaeb817f	10	Sue Huse	F	FPRO	1	8:25:03	0:06:28	0:03:52	5:00:18	0:02:04	3:12:21	US	
43e1fa7a-92d5-43a2-8d68-d5bd80e0fcc1	11	Sonia Bracegirdle	F	FPRO	2	8:31:59	0:05:18	0:03:53	4:54:49	0:02:26	3:25:33	nzl	
2cd1c0dc-3a4c-4024-b8d1-c2138be0f8f7	12	Ismael Ben-Al-Lal	M	M30-34	1	8:32:45	0:08:23	0:04:13	5:07:42	0:02:37	3:09:50	BE	
96870a7c-a0de-4d33-8d7d-a208e6a2e41e	13	Katharina Grohmann	F	FPRO	3	8:34:40	0:06:31	0:03:20	5:07:21	0:01:38	3:15:50	DE	
8432599e-3685-4569-87de-30ea03be8f58	14	Judith Corachan Vaquera	F	FPRO	4	8:37:39	0:05:16	0:03:12	5:01:37	0:01:59	3:25:35	ESP	
56ec7cf2-4d3b-49ad-bc2e-a5c6c8ff19dd	15	Martin Johansen	M	M30-34	2	8:39:36	0:08:14	0:04:38	5:12:14	0:03:42	3:10:48	DK	
927b6597-197b-4e17-b5af-7c041d93346b	16	Jennie Hansen	F	FPRO	5	8:39:39	0:06:31	0:03:57	5:08:22	0:03:04	3:17:45	US	
b4820c16-4d15-4ac7-9f0c-25c073209a85	17	Justin Ghosh	M	M18-24	1	8:43:35	0:06:19	0:04:14	5:03:55	0:03:04	3:26:03	AUS	
cf53c939-706d-47eb-924d-271d2f30eace	18	Chin-Ching Wang	M	M40-44	1	8:43:48	0:07:17	0:04:29	5:05:25	0:02:52	3:23:45	TW	
fab8c2e4-f533-4700-83cd-3e3b1d952d2a	19	Kephren Izzard	M	M35-39	1	8:43:49	0:06:33	0:04:28	5:12:37	0:02:34	3:17:37	AU	
adf4d560-5aaf-4940-a042-a350b662390e	20	kelly fillnow	F	FPRO	6	8:49:06	0:06:35	0:03:22	5:07:35	0:02:30	3:29:04	US	
4eb98c14-78e1-4655-906f-68f82e2b2879	21	Loris Gerini	M	M40-44	2	8:52:41	0:07:14	0:04:48	5:09:35	0:02:29	3:28:35	IT	
