BibNumber	Name	Division	Gender	Gross_Time	Total_Time	Div_Rank	Overall_Rank	Lap_19km	Split_19km	Lap_20km	Split_20km	Lap_Finish
10051	佐々木 遼	MPRO	M	0:57:44	0:57:40	1	1	0:47:47	00:47:51	0:02:25	00:50:16	0:07:28
10048	西村 育人	MPRO	M	0:57:46	0:57:41	3	2	0:47:46	00:47:51	0:02:24	00:50:15	0:07:31
10006	濵野 巧勝	MPRO	M	0:57:45	0:57:42	2	3	0:47:48	00:47:51	0:02:25	00:50:16	0:07:29
10007	宿谷 英男	MPRO	M	0:57:47	0:57:44	7	4	0:47:47	00:47:50	0:02:26	00:50:16	0:07:31
10030	加藤 大貴	MPRO	M	0:57:46	0:57:45	4	5	0:47:49	00:47:50	0:02:25	00:50:15	0:07:31
10003	大野 拓也	MPRO	M	0:57:47	0:57:45	5	6	0:47:42	00:47:44	0:02:31	00:50:15	0:07:32
10001	森本 誠	MPRO	M	0:57:47	0:57:45	6	7	0:47:49	00:47:51	0:02:24	00:50:15	0:07:32
10014	大島 浩明	MPRO	M	0:57:53	0:57:52	8	8	0:47:51	00:47:52	0:02:25	00:50:17	0:07:36
10012	狩野 敦	MPRO	M	0:57:57	0:57:53	11	9	0:47:48	00:47:52	0:02:25	00:50:17	0:07:40
110	布留川 恒太朗	MPRO	M	0:57:56	0:57:53	9	10	0:47:49	00:47:52	0:02:22	00:50:14	0:07:42
10005	嘉瀬 峻介	MPRO	M	0:57:57	0:57:56	10	11	0:47:51	00:47:52	0:02:23	00:50:15	0:07:42
10004	楠本 将平	MPRO	M	0:57:58	0:57:56	12	12	0:47:47	00:47:49	0:02:29	00:50:18	0:07:40
10047	池田 隆人	MPRO	M	0:57:58	0:57:56	13	13	0:47:52	00:47:54	0:02:25	00:50:19	0:07:39
10020	長島 教之	MPRO	M	0:58:05	0:58:03	14	14	0:47:51	00:47:53	0:02:25	00:50:18	0:07:47
114	梅川 陸	MPRO	M	0:58:29	0:58:25	15	15	0:47:48	00:47:52	0:02:16	00:50:08	0:08:21
103	中村 俊介	MPRO	M	0:58:40	0:58:37	16	16	0:47:50	00:47:53	0:02:26	00:50:19	0:08:21
10021	山口 篤	MPRO	M	0:58:53	0:58:49	17	17	0:47:54	00:47:58	0:02:34	00:50:32	0:08:21
10011	佐川 拓也	MPRO	M	0:58:56	0:58:51	20	18	0:47:52	00:47:57	0:02:34	00:50:31	0:08:25
129	土肥 桂介	MPRO	M	0:58:55	0:58:51	19	19	0:47:47	00:47:51	0:02:26	00:50:17	0:08:38
10032	田中 佑季	MPRO	M	0:58:55	0:58:52	18	20	0:47:52	00:47:55	0:02:36	00:50:31	0:08:24
10034	齊藤 雅仁	MPRO	M	0:58:58	0:58:53	21	21	0:47:53	00:47:58	0:02:35	00:50:33	0:08:25
10017	井上 周	MPRO	M	1:00:00	0:59:58	22	22	0:47:52	00:47:54	0:02:50	00:50:44	0:09:16
10053	鶴岡 慶太	MPRO	M	1:00:29	1:00:27	23	23	0:49:43	00:49:45	0:02:51	00:52:36	0:07:53
10002	兼松 大和	MPRO	M	1:00:31	1:00:28	24	24	0:48:27	00:48:30	0:02:48	00:51:18	0:09:13
10018	小林 成輔	MPRO	M	1:00:32	1:00:30	25	25	0:49:55	00:49:57	0:02:38	00:52:35	0:07:57
111	落合 明	MPRO	M	1:00:38	1:00:34	26	26	0:49:52	00:49:56	0:02:40	00:52:36	0:08:02
10062	Christopher Drew Butler	MPRO	M	1:00:39	1:00:38	27	27	0:49:54	00:49:55	0:02:39	00:52:34	0:08:05
10013	福島 秀彰	MPRO	M	1:00:40	1:00:39	28	28	0:49:55	00:49:56	0:02:38	00:52:34	0:08:06
10024	中川 真也	MPRO	M	1:00:43	1:00:41	29	29	0:49:53	00:49:55	0:02:38	00:52:33	0:08:10
10041	松下 成章	MPRO	M	1:00:46	1:00:44	30	30	0:49:04	00:49:06	0:02:49	00:51:55	0:08:51
10043	赤井 宏行	MPRO	M	1:00:50	1:00:45	31	31	0:49:51	00:49:56	0:02:39	00:52:35	0:08:15
10026	犬井 健太	MPRO	M	1:00:53	1:00:46	33	32	0:49:50	00:49:57	0:02:38	00:52:35	0:08:18
10028	谷古宇 俊典	MPRO	M	1:00:53	1:00:50	32	33	0:49:54	00:49:57	0:02:39	00:52:36	0:08:17
104	武田 祥典	MPRO	M	1:00:53	1:00:52	34	34	0:49:56	00:49:57	0:02:40	00:52:37	0:08:16
10019	高橋 良太	MPRO	M	1:00:56	1:00:53	35	35	0:49:42	00:49:45	0:02:50	00:52:35	0:08:21
132	永塩 実	MPRO	M	1:01:10	1:01:08	36	36	0:49:53	00:49:55	0:02:38	00:52:33	0:08:37
10464	川勝 敦嗣	M19-29	M	1:02:16	1:01:12	1	37	0:50:41	00:51:45	0:02:33	00:54:18	0:07:58
10201	中野 圭	M19-29	M	1:02:09	1:01:24	2	38	0:51:00	00:51:45	0:02:34	00:54:19	0:07:50
