ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
231271	DNF	J RM	M	M35-39	0							Costa Rica	DNF
228523	DNF	Chrisstian Bernal Chavez	M	M35-39	0		0:27:44	0:01:11	2:23:04			Colombia	DNF
827855	DSQ	Rosario Vargas Arce	F	F35-39	0							Costa Rica	DQ
650276	DSQ	Rogelio MartÃ­nez Wagner	M	M40-44	0							Mexico	DQ
397192	DNS	Eduardo Lozano	M	M30-34	0							Mexico	DNS
706251	DSQ	Joseth Rojas Delgado	F	F40-44	0							Costa Rica	DQ
827856	DNS	Hao Zeng	M	M35-39	0							China	DNS
827750	DNF	Roberto Chavarria Rojas	M	M35-39	0		0:40:54	0:03:50	2:58:09	0:04:46		Costa Rica	DNF
114845	DNF	Alejandro Padilla	M	M55-59	0				2:45:31	0:04:19		Guatemala	DNF
827751	DNS	Carla Solano	F	F35-39	0							Costa Rica	DNS
620654	DNF	Ronny Leiton	M	M40-44	0		0:33:06	0:02:35	2:48:08	0:03:27		Costa Rica	DNF
701421	DSQ	Jeffry Rodriguez	M	M35-39	0							Costa Rica	DQ
66551	DNS	Guilherme Favaro	M	M30-34	0							Brazil	DNS
711298	DNS	Aleop Tur Behar	M	M55-59	0							Italy	DNS
827857	DNF	Rogelio Granados Mendoza	M	M55-59	0		2:32:12					Costa Rica	DNF
701110	DNF	Jose Gonzalez	M	M18-24	0		0:28:02	0:01:12	4:33:25			Costa Rica	DNF
827858	DNS	Luis Carlos Rojas Kruse	M	M45-49	0							Costa Rica	DNS
701485	DNF	Christian Ramirez Chacon	M	M45-49	0		1:12:36	0:05:22	3:51:49	0:04:44	2:22:43	Costa Rica	DNF
79986	DNF	Josue Gomez	M	M30-34	0		0:31:48	0:02:45	2:42:25	0:02:18		Costa Rica	DNF
701565	DNS	Maria Garita Araya	F	F50-54	0							Costa Rica	DNS
827813	DNS	Alonso De La Pava VÃ©lez	M	M30-34	0							Colombia	DNS
827752	DNS	Maria GÃ³mez TristÃ¡n	F	F40-44	0							Costa Rica	DNS
333161	DNS	Giovanni RodrÃ­guez	M	M45-49	0							Costa Rica	DNS
701361	DSQ	AdriÃ¡n Solano	M	M35-39	0							Costa Rica	DQ
65213	DNS	Mariana Brugger	F	F35-39	0							Portugal	DNS
344697	DNS	Randy Duran	M	M35-39	0							Costa Rica	DNS
80356	DNS	Mauricio Flores	M	M35-39	0							Venezuela	DNS
71898	DNS	Patricio Vasquez	M	M45-49	0							Chile	DNS
397275	DNS	Juan Helgueros	M	M35-39	0							Mexico	DNS
827753	DNS	Idalieth Morales Lazo	F	F40-44	0							Costa Rica	DNS
512218	DNF	Guillermo Arturo Martinez Guerrero	M	M30-34	0		0:46:05	0:04:02	3:08:16			Mexico	DNF
827754	DNS	Luis Fernando ValerÃ­n Barboza	M	M30-34	0							Costa Rica	DNS
506545	DNF	Tremont Poole	M	M50-54	0		0:51:27	0:07:08	4:21:31	0:06:25	3:04:06	United States	DNF
827755	DNS	Alejandro CaÃ±as LÃ³pez	M	M25-29	0							Costa Rica	DNS
240392	DNS	Pablo Medina	M	M30-34	0							Colombia	DNS
827756	DNS	Almon Sheffield	M	M45-49	0							Costa Rica	DNS
827757	DSQ	Sergio Solano Viquez	M	M30-34	0							Costa Rica	DQ
334060	DNS	Juan Uriel Torres	M	M35-39	0							Mexico	DNS
34134	DNS	Antonio Sproesser	M	M65-69	0							Brazil	DNS
672374	DNS	Mauricio Casafont	M	M35-39	0							Costa Rica	DNS
230333	DNS	Julio Marcia	M	M35-39	0							Costa Rica	DNS
277048	DNS	Celso Fernando Garcia	M	M40-44	0							Argentina	DNS
363124	DNS	Cyndi Cortes	F	F25-29	0							Costa Rica	DNS
235351	DNF	Tomas Jesus Leiva De La Fuente	M	M18-24	0		0:30:53	0:02:28	2:53:50	0:02:28		Chile	DNF
457185	DNS	Carlos Manuel Araya Ramirez	M	M45-49	0							Costa Rica	DNS
827758	DNS	Karolina Solis Rojas	F	F30-34	0							Costa Rica	DNS
827759	DNS	Hugo Aguilar Fernandez	M	M40-44	0							Costa Rica	DNS
827760	DNS	Ronald Alberto Gonzalez Porras	M	M25-29	0							Costa Rica	DNS
86292	DNS	Cristina Mata	F	F30-34	0							Panama	DNS
701165	DNS	Alejandro Alpizar CÃ©spedes	M	M45-49	0							Costa Rica	DNS
206665	DSQ	Myron Lipson	M	M45-49	0							United Kingdom	DQ
827761	DNF	Diego Amuchastegui	M	M40-44	0		1:00:29	0:04:42	4:05:47	0:05:16		Mexico	DNF
701524	DNS	Juan Jose Marin Herra	M	M40-44	0							Costa Rica	DNS
827762	DSQ	Mauricio Alvarado.Rivera	M	M55-59	0							Costa Rica	DQ
397583	DNS	Tania Wilhelm	F	F40-44	0							Costa Rica	DNS
827763	DNS	Priscilla RÃ­os Godinez	F	F18-24	0							Costa Rica	DNS
701668	DSQ	Jose Bustamante	M	M40-44	0							Costa Rica	DQ
827764	DNS	Jose Mora	M	M40-44	0							Costa Rica	DNS
701531	DNS	Mario Retana	M	M30-34	0							Costa Rica	DNS
701262	DNS	Kristin Moretti	F	F35-39	0							United States	DNS
827765	DSQ	Elisa Dambrosio	F	F30-34	0							Costa Rica	DQ
701298	DNF	Roberto Tinoco Castro	M	M30-34	0		0:32:50	0:02:02				Costa Rica	DNF
827766	DNS	Julio Cesar Ballestero Jimenez	M	M30-34	0							Costa Rica	DNS
827767	DNS	Nayuribe Araya Cerdas	F	F40-44	0							Costa Rica	DNS
670756	DNS	Jose Armenta	M	M50-54	0							Mexico	DNS
306341	DSQ	Mayra Armenta	F	F25-29	0							Mexico	DQ
827768	DNS	Alexander Picado Chang	M	M35-39	0							Costa Rica	DNS
827769	DNS	Jose Protti Vargas	M	M30-34	0							Costa Rica	DNS
827770	DNS	Juan JosÃ© Lara Meneses	M	M45-49	0							Costa Rica	DNS
706222	DNS	Kendall Vasquez	M	M35-39	0							Costa Rica	DNS
284254	DNS	Christopher Sabat	M	M40-44	0							Costa Rica	DNS
711681	DNS	Pablo Sanchez	M	M25-29	0							United States	DNS
391029	DNF	Bill Ellsworth	M	M45-49	0		0:46:38	0:04:43	3:21:32	0:06:35		United States	DNF
827771	DNS	Aldo Delgado	M	M50-54	0							Venezuela	DNS
560229	DNS	VerÃ³nica Sacco	F	F25-29	0							Costa Rica	DNS
673666	DNS	Mariano Montero	M	M30-34	0							Costa Rica	DNS
827772	DNS	Marco Vargas	M	M30-34	0							Costa Rica	DNS
397583	DNS	Tania Wilhelm	F	F40-44	0							Costa Rica	DNS
827773	DNS	Maria Veronica Riboldi	F	F40-44	0							Costa Rica	DNS
827774	DNS	Juan Diego CalderÃ³n Meza	M	M40-44	0							Costa Rica	DNS
79988	DNF	Manuel Hernandez	M	M40-44	0		0:33:59	0:02:04	4:23:21			Costa Rica	DNF
550923	DNF	Andres Obando	M	M35-39	0		0:27:14	0:01:09	2:30:19	0:01:25		Costa Rica	DNF
45020	DNF	Victor Ortiz	M	M40-44	0		0:37:58	0:03:03	2:44:57	0:02:30		Panama	DNF
305939	DSQ	Esteban Cascante	M	M35-39	0							Costa Rica	DQ
512288	DNS	Luis Guillermo Gutierrez Castillo	M	M35-39	0							Costa Rica	DNS
364282	DNF	Carlos Eduardo Alvarez Rodriguez	M	M60-64	0							Costa Rica	DNF
827775	DNS	Marco Vargas	M	M40-44	0							Costa Rica	DNS
701155	DNF	Yurandir Leandro	M	M40-44	0		0:35:52	0:02:17	2:35:18	0:03:35		Costa Rica	DNF
701166	DSQ	Yerson Zuniga	M	M40-44	0							Costa Rica	DQ
827776	DNS	David Alonso ChavarrÃ­a GutiÃ©rrez	M	M30-34	0							Costa Rica	DNS
342790	DNF	Maria Soledad Restrepo Paredes	F	F40-44	0		0:50:36	0:03:34	2:54:50	0:12:53		Colombia	DNF
827777	DNS	Vernessa Poole	F	F45-49	0							United States	DNS
306749	DNS	Nancy Villanueva	F	F35-39	0							Mexico	DNS
827778	DNS	Willam Hernandez	M	M35-39	0							Costa Rica	DNS
495621	DSQ	Alejandro Mena	M	M50-54	0							Mexico	DQ
375671	DNF	Philippe Clerc	M	M65-69	0		0:43:04					France	DNF
701189	DSQ	Jose Arias	M	M35-39	0							Costa Rica	DQ
701366	DNF	Luis Daniel Conejo	M	M25-29	0		0:33:06	0:02:47	4:24:56			Costa Rica	DNF
827779	DNS	Gloriana Hernandez	F	F18-24	0							Costa Rica	DNS
701318	DNS	Gilbert Guevara Villegas	M	M50-54	0							Costa Rica	DNS
701348	DNS	Myrtha Morales	F	F35-39	0							Costa Rica	DNS
827780	DNS	Jefry Luciano Herrera Samudio	M	M40-44	0							Costa Rica	DNS
827781	DNS	Mathieu Criniere	M	M40-44	0							Costa Rica	DNS
367254	DNS	Ariel Castro Melendez	M	M35-39	0							Costa Rica	DNS
86789	DNS	Lysa Aued	F	F40-44	0							Panama	DNS
827782	DNS	Maximiliano Rojas Gutierrez	M	M40-44	0							Costa Rica	DNS
827783	DNS	Kimberly Baldizon	F	F30-34	0							Costa Rica	DNS
827784	DNS	Adriana Alpizar Corrales	F	F30-34	0							Costa Rica	DNS
827785	DNS	Julissa LeÃ³n NÃºÃ±ez	F	F18-24	0							Costa Rica	DNS
230516	DNF	Sergio AcuÃ±a Masis	M	M25-29	0		0:30:27	0:01:25	4:30:48			Costa Rica	DNF
827786	DNS	Andrea Maria ChacÃ³n Vargas	F	F30-34	0							Costa Rica	DNS
827787	DNS	Gabriel Salazar Arguello	M	M25-29	0							Costa Rica	DNS
512208	DSQ	Meztli Olarte	F	F30-34	0							Mexico	DQ
706098	DNS	Bernardo Leandro Hernandez	M	M30-34	0							Costa Rica	DNS
827788	DNS	Adrien Champoux	M	M25-29	0							France	DNS
245009	DNS	Jason Barnard	M	M35-39	0							United States	DNS
827789	DNS	Mario Guillen Rojas	M	M30-34	0							Costa Rica	DNS
145035	DNF	Yvonne Kinane-Wells	F	F60-64	0		0:54:30	0:05:39	4:20:00	0:04:44	3:08:05	United States	DNF
827790	DNS	Ismael Antonio Calvo Rojas	M	M55-59	0							Costa Rica	DNS
701514	DNS	Roberto Gutierrez Borbon	M	M45-49	0							Costa Rica	DNS
505686	DNS	Bielke Eric	M	M40-44	0							United States	DNS
827791	DNS	Carol Hernandez RodrÃ­guez	F	F40-44	0							Costa Rica	DNS
143968	DNS	Gina Correll	F	F50-54	0							United States	DNS
363948	DNF	Johann Fernandez	M	M45-49	0							Costa Rica	DNF
827792	DNS	Bryan Tenorio	M	M25-29	0							Costa Rica	DNS
827793	DNS	Roberto Vasquez Vargas	M	M30-34	0							Costa Rica	DNS
376206	DSQ	Carlos Araya	M	M35-39	0							Costa Rica	DQ
333999	DNF	Debra Ferraro	F	F55-59	0		0:49:35	0:06:34	4:25:10	0:07:56	3:08:22	United States	DNF
310908	DNS	Jacqueline Wesolow	F	F35-39	0							United States	DNS
827794	DNS	Silvia Magaly Vargas	F	F40-44	0							Costa Rica	DNS
701307	DNS	Mac Donald Beita	M	M40-44	0							Costa Rica	DNS
827795	DNS	Leo Orozco	M	M25-29	0							Costa Rica	DNS
827796	DNS	Victor Gerardo Alvarado Guevara	M	M25-29	0							Costa Rica	DNS
182145	DNS	Juan Carlos Ulloa	M	M40-44	0							Costa Rica	DNS
126349	DNS	Oscar Rodriguez	M	M45-49	0							Costa Rica	DNS
827797	DNS	Monica Porras	F	F25-29	0							Costa Rica	DNS
621585	DNS	Fabricio Alfaro	M	M40-44	0							Costa Rica	DNS
827798	DNS	Rony Ruiz JimÃ©nez	M	M35-39	0							Costa Rica	DNS
307034	DNS	Vanessa Huppenkothen	F	F30-34	0							Mexico	DNS
672386	DSQ	Rafael Vasquez	M	M25-29	0							Costa Rica	DQ
333920	DNS	Edgar Garcia	M	M35-39	0							United States	DNS
233929	DNS	Gloriana Villalobos	F	F30-34	0							Costa Rica	DNS
827799	DNS	AdriÃ¡n GutiÃ©rrez Fuentes	M	M35-39	0							Costa Rica	DNS
363890	DNS	Adrian Umana	M	M30-34	0							Costa Rica	DNS
827800	DNF	Dayana Elena Villalobos	F	F35-39	0		2:32:41					Costa Rica	DNF
701292	DNS	Willy Hernandez	M	M45-49	0							Costa Rica	DNS
827801	DSQ	Felipe Gomez	M	M25-29	0							Costa Rica	DQ
827802	DNS	Federico RamÃ­rez Araya	M	M40-44	0							Costa Rica	DNS
306436	DNF	Jimmy Murillo Cambronero	M	M35-39	0		0:46:08	0:03:30	4:42:04	0:03:12		Costa Rica	DNF
