ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
488111	DNS	Jarmo KÃ¤rkkÃ¤inen	M	M50-54	0							Finland	DNS
261400	DNF	Andrei Melnik	M	M35-39	0							Russian Federation	DNF
823475	DNS	Ville Taipale	M	M45-49	0							Finland	DNS
823476	DNS	Tiina Saloranta	F	F45-49	0							Finland	DNS
823477	DNF	Kirsti Ihalainen	F	F45-49	0							Finland	DNF
185611	DNF	Clare Browne	F	F50-54	0							United Kingdom	DNF
548446	DNF	Ville Palviainen	M	M40-44	0							Finland	DNF
823478	DNS	Timo Ansamaa	M	M35-39	0							Finland	DNS
548190	DNF	Simo Ahlgren	M	M50-54	0							Finland	DNF
548810	DNS	Tommi Suutarinen	M	M45-49	0							Finland	DNS
823479	DNS	Jenni Mattila	F	F40-44	0							Finland	DNS
65539	DNS	Adam Comfort	M	M35-39	0							United Kingdom	DNS
823480	DNS	Sharon Campbell	F	F45-49	0							United Kingdom	DNS
823481	DNS	Susanna Niemi	F	F40-44	0							Finland	DNS
548784	DNS	Matti Nurvo	M	M50-54	0							Finland	DNS
136233	DNS	Charles Hooren	M	M45-49	0							United Kingdom	DNS
534480	DNS	Jennie Anderson	F	F55-59	0							United Kingdom	DNS
548689	DNF	Jarmo Hillebrand	M	M60-64	0							Finland	DNF
200238	DNS	Olli Kinnunen	M	M55-59	0							Finland	DNS
823482	DNS	Janne Veneranta	M	M35-39	0							Finland	DNS
176790	DNS	Matteo Fontana	M	MPRO	0							Italy	DNS
823483	DNS	Nicole Merten	F	F40-44	0							Norway	DNS
28893	DNS	Claire Hann	F	FPRO	0							United Kingdom	DNS
823484	DNS	Ville Krannila	M	M40-44	0							Finland	DNS
548833	DNS	Minna Hakonen	F	F35-39	0							Finland	DNS
196362	DNS	Ville Viksten	M	M45-49	0							Finland	DNS
823485	DNS	Matti Jurvanen	M	M35-39	0							Finland	DNS
62540	DNF	Jari Jukarainen	M	M50-54	0							Finland	DNF
275489	DNF	Nick Swift	M	M45-49	0							Norway	DNF
823486	DNF	Kris Baldy	M	M35-39	0							United Kingdom	DNF
291104	DNS	Mari EtholÃ©n	F	F45-49	0							Finland	DNS
206468	DNS	Clare Gilronan	F	F45-49	0							United Kingdom	DNS
823487	DNS	Mia Bengts	F	F45-49	0							Finland	DNS
823488	DNS	Mari Tero	F	F45-49	0							Finland	DNS
823489	DNS	Mika Okkola	M	M35-39	0							Finland	DNS
548752	DNF	Lea Lottonen	F	F55-59	0							Finland	DNF
87565	DNS	MichÃ¨le Chan	F	F35-39	0							Switzerland	DNS
203268	DNF	Pekka MÃ¤kelÃ¤	M	M50-54	0							Finland	DNF
548386	DNS	Tarmo Laaksonen	M	M40-44	0							Finland	DNS
823490	DNS	Tuomo Leinonen	M	M35-39	0							Finland	DNS
166806	DNS	Tadas Sudnius	M	M35-39	0							Lithuania	DNS
548104	DNF	Sanna SeppÃ¤lÃ¤	F	F25-29	0							Finland	DNF
408351	DNS	Petri Mikkola	M	M40-44	0							Finland	DNS
138663	DNS	Sergey Raykov	M	M45-49	0							Bulgaria	DNS
823491	DNS	Mike Rytokoski	M	M55-59	0							Finland	DNS
135262	DNS	Karen De Klerk	F	F40-44	0							United Kingdom	DNS
823492	DNS	Renne Kaseva	M	M35-39	0							Finland	DNS
823493	DNS	Bernd Wilger	M	M25-29	0							Germany	DNS
823406	DNS	Carina Backlund	F	F55-59	0							Finland	DNS
337846	DNS	Michael Moffett	M	M40-44	0							United Kingdom	DNS
548041	DNS	Alex Bodson	M	M50-54	0							Finland	DNS
97880	DNS	Antti Lauslahti	M	M50-54	0							Finland	DNS
347703	DNS	Sergey Stepanenko	M	M40-44	0							Russian Federation	DNS
823494	DNS	Juha Lehtisuo	M	M45-49	0							Finland	DNS
823407	DNS	Henri SuurnÃ¤kki	M	M40-44	0							Finland	DNS
26962	DNS	Gabriel Carnwath	F	F35-39	0							United Kingdom	DNS
823408	DNS	Evgeniy Evgrafov	M	M35-39	0							Russian Federation	DNS
185672	DNF	Colin Browne	M	M55-59	0							United Kingdom	DNF
823409	DNS	Miia-Maarit Onikki	F	F40-44	0							Finland	DNS
109613	DNS	Olli Salo	M	M35-39	0							Finland	DNS
516251	DNS	Marko Kvist	M	M50-54	0							Finland	DNS
337814	DNS	Anu Junnila	F	F35-39	0							Finland	DNS
823410	DNF	Arto Kortelainen	M	M40-44	0							Finland	DNF
823495	DNF	Sheryll Borlagdan	F	F40-44	0							Sweden	DNF
361837	DNS	Henri Kortesoja	M	M40-44	0							Finland	DNS
291182	DNS	Alexander Docter	M	M45-49	0							Netherlands	DNS
140212	DNS	Dylan Magnien	M	MPRO	0							France	DNS
823496	DNF	Alex Alatalo	M	M25-29	0							Finland	DNF
61921	DNS	Olga Klukas	F	F35-39	0							Germany	DNS
337680	DNS	Johanna Vesa	F	F35-39	0							Finland	DNS
823411	DNS	Jess Moyer	F	F35-39	0							Australia	DNS
362971	DNS	David Burton	M	M55-59	0							Australia	DNS
549898	DNS	Fernando Olaso Echevarria	M	M50-54	0							Spain	DNS
389420	DNS	Vilhelm SundstrÃ¶m	M	M50-54	0							Finland	DNS
823412	DNS	Jami Arvola	M	M35-39	0							Finland	DNS
823497	DNS	Iuliia Bulycheva	F	F40-44	0							Russian Federation	DNS
548457	DNS	Pekka Turpeinen	M	M50-54	0							Finland	DNS
548271	DNS	Anu Silvasti	F	F45-49	0							Finland	DNS
494355	DNS	Tommi Tuovila	M	M45-49	0							Finland	DNS
515669	DNS	Kalle KivekÃ¤s	M	M45-49	0							Finland	DNS
823413	DNS	Hannu Partanen	M	M35-39	0							Finland	DNS
528395	DNF	Alberto Lazzaris	M	M45-49	0							Italy	DNF
548489	DNF	Eija Asikainen	F	F50-54	0							Finland	DNF
823498	DNS	Esko Parikka	M	M55-59	0							Finland	DNS
823414	DNF	Evgeni Kozlov	M	M30-34	0							Finland	DNF
436259	DNS	Tatiana Monakhova	F	F35-39	0							Russian Federation	DNS
165934	DNS	Kerri Dicicco	F	F45-49	0							United States	DNS
823499	DNS	Lauri Kurki	M	M35-39	0							Finland	DNS
46454	DNS	Lisa Huetthaler	F	FPRO	0							Austria	DNS
518696	DNF	Ferrix Hovi	M	M35-39	0							Finland	DNF
