ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
d6bfc850-895e-40df-8119-55b4199f1a63	1	Daniel Stubleski	M	M40-44	1	4:12:46	0:31:12	0:02:44	2:12:29	0:02:08	1:24:13	US	
1d879c2b-730c-4fbf-b8df-7489a9b8067e	2	Marcelo Moreira	M	M30-34	1	4:13:14	0:27:19	0:03:39	2:12:05	0:02:17	1:27:54	BR	
9930f8c1-0785-45c6-9a12-f608592e1c49	3	Ignacio Lopez Mancisidor	M	M35-39	1	4:19:50	0:30:48	0:02:27	2:14:55	0:02:23	1:29:17	US	
25e554f4-3afd-44c9-8a60-a481a642fa39	4	Nick Cosman	M	M35-39	2	4:24:20	0:30:11	0:02:15	2:12:49	0:02:23	1:36:42	CA	
4f6c574d-8fe5-4fb4-bab3-005231cf3250	5	Rafael Sousa	M	M40-44	2	4:25:02	0:26:06	0:02:50	2:12:50	0:02:17	1:40:59	BR	
a21a8979-bcfe-4f0b-a39c-48be4597c499	6	Josh Eaton	M	M30-34	2	4:25:25	0:29:17	0:02:13	2:18:41	0:01:57	1:33:17	US	
8f4b5740-4851-4f65-b939-d132bb4d30eb	7	James Hallberg	M	M40-44	3	4:27:20	0:30:54	0:02:44	2:16:06	0:02:33	1:35:03	US	
b1f6739b-e0a5-44ed-866c-ef5d60660ae4	8	Karel Sumbal	M	M40-44	4	4:27:33	0:32:16	0:02:37	2:22:23	0:02:28	1:27:49	usa	
e875960e-6931-4b05-9eb6-77f2d20fc4e2	9	Cheyenne Barraez Gil	M	M40-44	5	4:27:45	0:33:43	0:02:40	2:18:16	0:02:09	1:30:57	USA	
a6220bb7-b560-4a6b-ae11-997d51fecf91	10	Aaron Kolk	M	M30-34	3	4:28:08	0:35:24	0:02:57	2:14:52	0:02:13	1:32:42	US	
958631de-2f44-407f-b1a1-20258c99ce62	11	Gustavo Borges	M	M30-34	4	4:28:33	0:26:12	0:02:21	2:19:58	0:02:00	1:38:02	BR	
3297b885-1aa9-4505-8235-12e7464b64f4	12	Dj Snyder	M	M30-34	5	4:29:30	0:31:43	0:02:13	2:20:20	0:01:50	1:33:24	US	
79652bfd-4bea-48b2-8011-563269fe878a	13	Samuel Burkett	M	M40-44	6	4:29:40	0:31:04	0:02:50	2:21:46	0:01:50	1:32:10	US	
854b41e4-5f4b-4e0b-9f95-ef754baf90e0	14	Andre Bellaguarda	M	M35-39	3	4:29:44	0:33:46	0:02:48	2:20:03	0:01:58	1:31:09	BR	
8c15fc93-a44d-4148-8501-fb76cfbaaa85	15	Luis Pou	M	M40-44	7	4:32:08	0:34:26	0:02:43	2:23:28	0:02:29	1:29:02	US	
73ddf6d2-1cb5-4534-8fe2-690bc1f3350b	16	Jordan Green	M	M25-29	1	4:32:44	0:30:14	0:02:25	2:22:27	0:02:06	1:35:32	US	
ba7d9d83-db6f-4c0a-b638-6daafa6d61ae	17	Jonathan Staton	M	M18-24	1	4:33:39	0:32:02	0:02:15	2:20:12	0:02:01	1:37:09		
7721beac-b8c6-4b1d-ab55-dabf528b83ab	18	Julien Zutter	M	M30-34	6	4:34:06	0:26:17	0:02:44	2:21:42	0:02:12	1:41:11	FR	
2686fd3e-4482-412c-85f2-d12c55514095	19	Griffin Jaworski	M	M25-29	2	4:34:08	0:34:21	0:03:09	2:25:44	0:02:32	1:28:22	US	
2cb8f68e-abf8-43f5-b5e2-062a23686fce	20	Jone Costa	M	M40-44	8	4:34:26	0:30:12	0:03:05	2:18:41	0:02:07	1:40:21	BR	
de761640-0de0-4059-95ef-1e9d6b6ff630	21	Jason Ramdeen	M	M35-39	4	4:35:52	0:36:21	0:02:25	2:25:40	0:01:44	1:29:42	US	
4fe782fc-9e22-42ef-b5f8-60391d78123f	22	Joao Victor Terceiro	M	M35-39	5	4:36:12	0:35:49	0:02:38	2:20:03	0:02:18	1:35:24	US	
1e96ab22-1cde-4421-979b-45d21772dc49	23	Michael Stanek	M	M30-34	7	4:37:08	0:32:15	0:03:13	2:14:49	0:02:06	1:44:45	US	
9d08a1d8-d1c6-489f-a0dd-e81cbbcd4ecb	24	Teylor Arboleda	M	M35-39	6	4:37:35	0:26:33	0:02:56	2:24:02	0:02:03	1:42:01	US	
7c71a346-1bb1-4d54-b032-0c32fbc19bfb	25	Thiago Sardinha	M	M35-39	7	4:38:08	0:36:33	0:02:45	2:21:45	0:01:55	1:35:10	BR	
76e14c86-4d92-4f46-91d7-9d9fb38e6ba5	26	Enrico Cimador	M	M30-34	8	4:38:32	0:28:35	0:03:19	2:25:46	0:02:48	1:38:04	US	
94654eb2-f7f9-4b5a-9575-49bf53d035a8	26	Adam Kassem	M	M30-34	8	4:38:32	0:36:32	0:03:09	2:23:43	0:02:14	1:32:54	US	
2c059638-3e5b-4ddb-a2ec-7232e786dbb6	28	Julien Schoenborn	M	M35-39	8	4:38:39	0:39:43	0:02:43	2:21:59	0:02:12	1:32:02	CAN	
e1d20ca3-0cf8-49cb-8c98-22de720ca252	29	Aubrey Aldy	M	M35-39	9	4:39:11	0:34:37	0:02:33	2:22:49	0:02:23	1:36:49	USA	
86c8db91-06c6-48c2-8312-d6966054c1f7	30	Cristiano Santos	M	M40-44	9	4:40:04	0:36:03	0:04:12	2:21:19	0:03:13	1:35:17	BR	
4ecd52e4-5ba9-4794-b71d-b361ec006d63	31	Leo Hobi	M	M35-39	10	4:40:31	0:28:07	0:02:43	2:26:08	0:02:24	1:41:09	US	
5e81e0c6-2292-4a76-8157-2e1d0c165372	32	chris johnson	M	M40-44	10	4:41:42	0:33:51	0:02:41	2:26:14	0:02:22	1:36:34	US	
8750014d-1f0b-49ea-bcc3-42b51b477352	33	Paul Zychowicz	M	M30-34	10	4:41:58	0:32:55	0:02:31	2:19:24	0:01:58	1:45:10	US	
3d5ee6c5-3a5a-43a1-ae65-c0a6e92873d6	34	FRANCISCO BRANDAO JUNIOR	M	M35-39	11	4:42:29	0:35:07	0:03:35	2:26:02	0:03:25	1:34:20	US	
a027e38d-4706-40ac-abbb-43f6dc28362d	35	Andreas Moraitis	M	M35-39	12	4:42:30	0:38:23	0:02:12	2:22:42	0:02:13	1:37:00	US	
efeb6218-e236-4ddc-be2e-425969b21e3f	36	Ovidio Bilbao	M	M40-44	11	4:42:36	0:36:13	0:03:03	2:24:59	0:02:33	1:35:48	US	
dc605157-8a34-41a8-ba44-7a69b0e86446	37	Drew Sapp	M	M30-34	11	4:42:44	0:26:20	0:02:45	2:25:32	0:03:06	1:45:01	US	
ae445e2c-6f23-4216-a86e-1eb94ddf4acd	38	Jaxon Jurome	M	M25-29	3	4:42:49	0:35:45	0:03:05	2:20:51	0:02:24	1:40:44	CA	
b62f7148-87ff-4c1f-8310-92f21c42f13a	38	Joshua Myles Witt	M	M25-29	3	4:42:49	0:32:55	0:02:47	2:22:46	0:02:15	1:42:06	CA	
4bb2c791-7c9d-4874-8508-bda51a2b33eb	40	Jetson Swayze	M	M30-34	12	4:42:59	0:32:45	0:02:57	2:18:17	0:02:00	1:47:00	US	
63290102-55de-4fb7-81a8-402c81608fec	41	Joe Nagy	M	M30-34	13	4:43:14	0:34:45	0:02:41	2:20:02	0:02:46	1:43:00	US	
f19811bb-c9a1-40f9-95b1-cef5e50cd3cf	42	Vanessa Gianinni	F	F35-39	1	4:43:22	0:31:05	0:02:54	2:30:17	0:02:56	1:36:10	BR	
dd9e26e1-9f1b-4f02-ae90-73573efa143c	43	Miranda Tomenson	F	F30-34	1	4:44:08	0:28:49	0:02:42	2:33:30	0:02:16	1:36:51	CA	
3e6dd301-40a3-4ea1-8249-9d6c8eeb9743	44	Wesley Culbert	M	M25-29	5	4:44:28	0:32:36	0:02:50	2:30:48	0:02:01	1:36:13	US	
0d0fcfa5-99a0-416c-9a30-2a7a9d9da186	45	Peter Viscardo	M	M40-44	12	4:44:32	0:36:49	0:03:28	2:25:28	0:02:47	1:36:00	US	
3b6a8454-820d-4e0b-9e64-cb95abc25cbd	46	Pierre Bureau	M	M25-29	6	4:45:30	0:34:08	0:02:19	2:24:35	0:02:32	1:41:56	MQ	
