ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
688532	DNS	ケンタ サクライ	M	M50-54								Japan	DNS
688598	DNF	直美 小林	M	M70-74			0:49:07	0:13:35	4:06:50			Japan	DNF
937719	DNS	Naoki Kusumi	M	M45-49								Japan	DNS
688573	DNF	Yuji Kaneko	M	M40-44			0:49:10	0:13:10	3:45:11	0:09:19		Japan	DNF
158179	DNS	Masato Kamimura	M	M50-54								Japan	DNS
688610	DNF	雄二 橋本	M	M60-64			0:43:30	0:13:26				Japan	DNF
688606	DNS	はしもと だいすけ	M	M40-44								Japan	DNS
688588	DNS	とば たかあき	M	M45-49								Japan	DNS
688605	DNS	安東 毅	M	M35-39								Japan	DNS
688609	DNS	りゅういち あかがわ	M	M50-54								Japan	DNS
511800	DNS	Zhang Yilong	M	M50-54								China	DNS
181638	DNS	Ding Zhenhuan	M	M40-44								China	DNS
688604	DNF	Minjie Sun	M	M30-34			1:03:56					China	DNF
688611	DNS	西尾 政治	M	M65-69								Japan	DNS
688576	DNS	秀一 佐々木	M	M60-64								Japan	DNS
457642	DNS	Kai Xu	M	M45-49								China	DNS
688590	DNS	幸久 岡田	M	M55-59								Japan	DNS
688607	DNS	しげる いいづか	M	M55-59								Japan	DNS
688575	DNS	ゆうすけ たかはし	M	M60-64								Japan	DNS
688621	DNF	真也 外川内	M	M45-49			0:55:12	0:11:35				Japan	DNF
688582	DNS	よしふみ なかしま	M	M35-39								Japan	DNS
688594	DNF	源太 二階堂	M	M40-44								Japan	DNF
688587	DNS	Junichiro Katayama	M	M50-54								Japan	DNS
243297	DNS	さおり 飯塚	F	F40-44								Japan	DNS
688623	DNF	じゅんいち いまだ	M	M50-54								Japan	DNF
688608	DNS	Pang Mengru	F	F30-34								China	DNS
688579	DNF	あつし かわの	M	M40-44								Japan	DNF
379406	DNS	達信 香村	M	M45-49								Japan	DNS
429663	DNS	Yanlai Xu	M	M40-44								China	DNS
984888	DNS	Ayako Shirato	F	F50-54								Japan	DNS
688602	DNS	るり とまつ	F	F60-64								Japan	DNS
688613	DNS	細川 栄子	F	F55-59								Japan	DNS
368726	DNF	Xi Li	F	F35-39			1:04:05	0:11:07	3:27:35	0:05:57	2:46:11	China	DNF
985085	DNF	Ruohan Zhang	M	M30-34			1:04:23					China	DNF
688618	DNF	敦 後藤	M	M45-49			0:49:33	0:13:02	3:45:11	0:09:28		Japan	DNF
137289	DNF	Mieko Makimoto	F	F65-69			1:05:49					Japan	DNF
606640	DNF	Kento Iyoda	M	M25-29			0:39:30	0:05:54				Japan	DNF
688584	DNF	真宣 高山	M	M25-29			0:45:51	0:09:21				Japan	DNF
937459	DNS	Motonobu Goto	M	M50-54								Japan	DNS
688630	DNF	竹内 照貴	M	M40-44			0:58:25	0:08:47	3:09:18	0:05:37		Japan	DNF
688632	DNS	みちゆき やない	M	M30-34								Japan	DNS
688631	DNS	藤本 泰弘	M	M40-44								Japan	DNS
688629	DNS	しゅうじ こばやし	M	M50-54								Japan	DNS
