ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
468683	DNS	Dm Chung	M	M40-44								Hong Kong	DNS
468623	DNS	Yao-Hsien Li	M	M30-34								Taiwan	DNS
468786	DNF	Shi Guizhong	M	M35-39			0:53:20	0:19:50	4:08:56	0:13:04	2:58:27	Taiwan	DNF
457850	DNS	Tsai Hsiao-Yu	M	M45-49								Taiwan	DNS
468699	DNS	David Sulaiman	M	M40-44								Indonesia	DNS
468787	DNF	Yuk Lun Pang	M	M30-34			1:03:20	0:13:59	4:39:55	0:10:34	2:40:16	Hong Kong	DNF
468679	DNS	Chien-Feng Lin	M	M25-29								Taiwan	DNS
468732	DNS	Jr Ying Hsu	F	F40-44								Taiwan	DNS
468780	DNS	Tsang Sung Wu	M	M40-44								Taiwan	DNS
468677	DNF	Wei-Tai Chang	M	M50-54			1:18:16	0:14:14	3:42:02	0:10:28	2:22:51	Taiwan	DNF
468898	DNS	Wei-Chin Hsu	M	M50-54								Taiwan	DNS
142111	DNF	Chen-Feng Liu	M	M45-49			1:01:55	0:15:37	3:42:09	0:12:52	3:20:15	Taiwan	DNF
468706	DNF	Daniel Huang	M	M30-34			0:56:26	0:18:43	3:49:10	0:14:54	3:33:15	Taiwan	DNF
458275	DNF	Hsin Wen Huang	M	M45-49			0:58:50	0:19:49	4:15:03	0:15:17		Taiwan	DNF
142237	DNS	TI-CHUN WANG	M	M50-54								Taiwan	DNS
468718	DNF	Shih-Shiun Chang	M	M45-49			1:30:50					Taiwan	DNF
188211	DNS	Yiren Dai	M	M45-49								China	DNS
468769	DNF	Chen Chih Hsiung	M	M50-54								Taiwan	DNF
468703	DNF	Teng-Hsing Chiu	M	M35-39			1:04:25	0:17:01	4:15:57	0:11:32		Taiwan	DNF
468618	DNF	宜嘉 劉	F	F40-44			1:18:58	0:17:36	4:05:12	0:11:50	2:40:53	Taiwan	DNF
468749	DNS	Yu Chi Fanny Yan	F	F45-49								Hong Kong	DNS
451194	DNS	Tung Hsuan Lin	M	M45-49								Taiwan	DNS
468702	DNS	Chia Ming Lin	M	M65-69								Taiwan	DNS
468746	DNS	Chieh Kai Chang	M	M40-44								Taiwan	DNS
468696	DNF	Stanley Huang	M	M35-39			1:10:58	0:10:26	3:58:44	0:09:05	1:38:52	Taiwan	DNF
468690	DNF	Wen Chin Kuo	M	M50-54			1:15:33	0:15:15	3:22:23	0:10:09	2:26:04	Taiwan	DNF
468790	DNF	Hsu Feng Lin	M	M40-44			0:54:16	0:16:02	4:01:43	0:10:28		Taiwan	DNF
937498	DNS	David Huang	F	M40-44								Taiwan	DNS
141094	DNS	Ming Chuan Weng	M	M35-39								Taiwan	DNS
468758	DNF	Yu Hao Kuo	M	M30-34			0:51:25	0:14:01	3:35:55	0:09:58		Taiwan	DNF
468693	DNF	Isaac Chen	M	M30-34			0:56:52	0:15:31	4:27:26	0:12:55		Singapore	DNF
468947	DNF	Chao Wu Chen	M	M40-44			1:04:14	0:17:20	4:05:30	0:11:29		Taiwan	DNF
447576	DNS	Pairush Triwate	M	M40-44								Thailand	DNS
468737	DNF	Sakuma Hitomi	F	F55-59			0:48:59	0:17:30	4:45:26	0:12:14		Japan	DNF
220968	DNS	Julien Ollivier	M	M30-34								France	DNS
