ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
30251138-96c3-4bae-9286-a221c071ea13	1	Cameron Wurf	M	MPRO	1	8:06:17	0:49:09	0:02:18	4:22:53	0:01:37	2:50:20	AD	
08d437ae-1889-44fd-a9e6-874e7b868bb2	2	Timothy Reed	M	MPRO	2	8:09:50	0:44:53	0:02:07	4:36:40	0:01:40	2:44:30	AU	
78048b93-7376-4c38-875b-04acdeabde24	3	Denis Chevrot	M	MPRO	3	8:16:05	0:44:44	0:01:59	4:37:00	0:01:27	2:50:55	FR	
8874e44e-80e2-47be-84d6-33160f6bfb0c	4	Mark Bowstead	M	MPRO	4	8:29:20	0:44:47	0:02:09	4:36:03	0:01:39	3:04:42	nzl	
d34d4fca-54f9-43e1-acf7-7f688219952b	5	Clayton Fettell	M	MPRO	5	8:32:52	0:44:46	0:02:06	4:36:49	0:01:25	3:07:46	aus	
f7092da8-3a3f-431a-aff1-278aab891e7b	6	Lucas Amirault	M	MPRO	6	8:51:11	0:49:05	0:02:24	4:55:36	0:01:53	3:02:13	FR	
bdec387c-741f-4551-b93f-3af7f29bc2f4	7	Ben Bell	M	M40-44	1	8:59:02	0:52:39	0:02:08	5:06:15	0:01:21	2:56:39	aus	
3741ff83-bc46-47a4-abd9-1bd6c2ceae93	8	Ryan Miller	M	M35-39	1	8:59:57	0:54:48	0:02:23	4:57:27	0:01:59	3:03:20	aus	
5344a16f-a693-4f07-9e29-53986df5cc54	9	Clint Kimmins	M	MPRO	7	9:03:15	0:49:03	0:02:38	4:56:15	0:02:44	3:12:35	AU	
d591e36d-b17e-4580-9907-e126fc7553f9	10	Rhys Lawler	M	M35-39	2	9:04:24	0:54:59	0:03:31	5:00:18	0:01:37	3:03:59	aus	
1e7cc7b5-5e44-4888-b7a3-683c44d757ec	11	Matt Franklin	M	MPRO	8	9:11:39	0:44:44	0:02:12	4:44:58	0:02:05	3:37:40	NZ	
582ff553-e57e-464f-a96a-5735382e0509	12	Laura Siddall	F	FPRO	1	9:11:58	0:55:55	0:02:30	4:58:56	0:01:29	3:13:08	usa	
54e22a67-bd44-43c4-9413-4b956e026175	13	Nathan Taylor	M	M45-49	1	9:13:16	0:51:28	0:02:17	4:56:43	0:01:34	3:21:14	AU	
a84c3bf1-4d79-4826-ae9b-718e6b1d4b1a	14	James Davy	M	MPRO	9	9:13:18	0:44:48	0:02:09	5:18:51	0:01:48	3:05:42	AU	
519ba02e-6c9a-4d53-a80d-98892c1ba4bc	15	Josh Mccormack	M	M25-29	1	9:15:01	0:51:42	0:02:59	5:06:14	0:01:50	3:12:16	AU	
580157ba-5eb8-47c9-a9c2-c8a7067a4178	16	Caroline Steffen-Murray	F	FPRO	2	9:17:28	0:49:32	0:02:23	5:06:00	0:01:48	3:17:45	AU	
58381020-4e2c-4b48-a8d2-a3c3722b1ed5	17	Clint Rowlings	M	M30-34	1	9:17:33	0:49:35	0:03:07	5:08:59	0:01:50	3:14:02	AU	
82e00f2d-2976-4e42-9d05-f6403783d902	18	Jake Riley	M	M35-39	3	9:18:04	0:58:19	0:03:02	4:55:28	0:01:41	3:19:34	AU	
22698eef-2107-4067-b533-d0605509e946	19	Josh Bignell	M	M35-39	4	9:18:13	0:55:08	0:02:50	5:06:40	0:01:23	3:12:12	AU	
3e34c96b-d4be-472d-8b34-83e637eee4a3	20	Michael Whitehouse	M	M40-44	2	9:18:24	0:53:47	0:03:27	5:08:17	0:02:27	3:10:26	AU	
a315da8e-7042-47ce-8f03-2efc621a00ea	21	Mitchell Scott	M	M25-29	2	9:19:09	0:51:52	0:02:34	5:07:10	0:01:22	3:16:11	AU	
62b26a11-3556-4ad5-a416-d8436535fa0d	22	Kelsey Withrow	F	FPRO	3	9:19:11	0:49:28	0:02:19	5:13:38	0:02:38	3:11:08	US	
29852c3f-c0f6-46a7-8977-33b725e52b34	23	Tom Mort	M	M30-34	2	9:19:13	0:52:05	0:03:26	5:10:57	0:01:40	3:11:05	aus	
b7fc80ef-2d98-414b-b703-ebd5f830c926	24	Shaine Webber	M	M30-34	3	9:20:16	0:50:32	0:03:22	5:07:09	0:02:42	3:16:31	aus	
dcb4d6fd-b3d1-4423-8d53-5baa8df7133b	25	Nathan Jackson	M	M40-44	3	9:20:45	0:54:02	0:02:49	5:02:52	0:02:30	3:18:32	AU	
d460f402-3b4a-41f3-8d8c-b3e8dcc6999f	26	Daniel Beby	M	M40-44	4	9:22:55	0:54:54	0:02:52	5:12:21	0:02:22	3:10:26	AU	
b22261ad-c607-4e6b-b735-511d960a6a11	27	John Hughes	M	M45-49	2	9:23:14	1:00:20	0:03:02	5:07:27	0:02:13	3:10:12	aus	
e749e279-caf0-454a-8126-88cd6c6b3b17	28	Trent Harlow	M	M45-49	3	9:23:24	1:03:15	0:03:54	5:11:07	0:04:41	3:00:27	AU	
09fff05f-2398-48f4-a7dc-1bfd5a1632ef	29	Sam Dowthwaite	M	M40-44	5	9:25:13	0:56:16	0:03:21	5:04:09	0:02:16	3:19:11	aus	
4ab76b95-bf8b-48c7-a793-7a0d7989aca8	30	Rowan Walker	M	M45-49	4	9:26:05	1:02:27	0:03:45	5:18:42	0:01:58	2:59:13	AU	
2934962f-ee8d-4fd8-8fbd-4e2584fcd263	31	Martin Falk	M	M35-39	5	9:26:33	0:57:26	0:03:23	4:59:52	0:01:50	3:24:02	DE	
88e297f4-c72f-40b3-8a1b-d8f03e03b57e	32	Adam Williams	M	M40-44	6	9:26:43	0:53:36	0:02:47	4:55:18	0:03:18	3:31:44	AU	
82e327e6-7582-e911-a987-000d3a34edeb	33	Melanie Burke	F	FPRO	4	9:26:54	0:59:39	0:02:45	5:08:18	0:01:46	3:14:26	NZ	
5fe0b9ba-7ef8-4bdb-82e0-bf1335a3b9ae	34	Chris Beckmans	M	M25-29	3	9:29:15	0:55:57	0:03:11	5:16:59	0:02:10	3:10:58	AU	
4d565323-7323-4858-8d8c-61eed37b7b56	35	Guillermo Garcia	M	M30-34	4	9:32:23	0:54:20	0:02:38	5:09:22	0:01:47	3:24:16	AR	
863c2c39-905c-4958-85ba-7a086d04b17a	36	Mitch Baker	M	M30-34	5	9:33:06	0:58:16	0:03:41	5:04:07	0:01:21	3:25:41	AUS	
a7bd40a5-1c12-4c67-94fb-6d6879616208	37	Nicholas Foster	M	M25-29	4	9:34:23	1:03:20	0:04:05	5:07:13	0:01:45	3:18:00	aus	
325d1bd3-65e9-4fee-bf52-ca659cfa3228	38	Scott Donaldson	M	M40-44	7	9:34:44	0:52:30	0:03:36	5:13:15	0:01:47	3:23:36	aus	
258b2bbb-8a60-46e3-ba45-9d166f9dfdb1	39	Craig Alers	M	M30-34	6	9:36:17	0:54:27	0:02:35	5:10:44	0:01:56	3:26:35	AU	
1777b67b-72a0-40f3-b59b-c5046a5be978	40	Wayne Harding	M	M40-44	8	9:36:32	0:49:59	0:04:04	5:04:02	0:02:06	3:36:21	aus	
