ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
421513	DNS	Bevan Cross	M	M35-39								New Zealand	DNS
136096	DNS	Cassie Nicholson	F	F30-34								New Zealand	DNS
828851	DNS	Ben Janssen	M	M25-29								New Zealand	DNS
366064	DNF	David Heemi	M	M60-64			0:54:29	0:11:57	3:30:49	0:08:20		New Zealand	DNF
188215	DNS	Nick Dowling	M	M50-54								Australia	DNS
753005	DNS	Louise Oliver	F	F50-54								New Zealand	DNS
560303	DNS	Ines Rodriguez	F	F25-29								Venezuela	DNS
365803	DNF	Scott Ussher	M	M45-49			0:40:58	0:06:12	2:58:53	0:02:30	1:52:32	New Zealand	DNF
243132	DNS	Mina Vankawala	F	F50-54								India	DNS
746603	DNS	Brian Okorn	M	M30-34								United States	DNS
833055	DNS	Jess Crowe	F	F18-24								New Zealand	DNS
833056	DNF	Victoria Harhoff	F	F40-44			1:00:50	0:10:14	4:45:24			New Zealand	DNF
833057	DNS	Clegg Porter	M	M60-64								United States	DNS
447071	DNS	Ito Tomoyuki	M	M45-49								Japan	DNS
63089	DNS	Amanda Jayne Green	F	F35-39								New Zealand	DNS
67729	DNS	Sarah Hogg	F	F40-44								New Zealand	DNS
421508	DNS	Florence Loader	F	F25-29								New Zealand	DNS
832981	DNF	Suzanne Rapp	F	F30-34			0:40:48	0:07:45				France	DNF
95515	DNS	Martin Lee	M	M50-54								Australia	DNS
386219	DNS	Wade Eatts	M	M30-34								New Zealand	DNS
832982	DNS	Morag Virtue	F	F25-29								New Zealand	DNS
832983	DNF	Beverly Cobos	F	F25-29			1:10:24	0:09:14	4:12:53	0:04:41	3:27:05	Mexico	DNF
421658	DNF	Jan Esquilant	F	F50-54			0:58:03	0:14:54				New Zealand	DNF
469130	DNS	Mark Palmer	M	M40-44								New Zealand	DNS
708574	DNS	Natthaphon Pradchayathitkul	M	M35-39								New Zealand	DNS
120535	DNS	Tomoyuki Nagata	M	M40-44								Japan	DNS
469804	DNF	Severino Ramos	M	M50-54			1:12:40	0:09:09	3:39:51	0:05:02	3:00:37	Philippines	DNF
832984	DNS	Michael Stephens	M	M25-29								Australia	DNS
832985	DNS	David Shepherd	M	M35-39								United Kingdom	DNS
832986	DNS	Nathan Richmond	M	M40-44								New Zealand	DNS
832987	DNS	Nicki Sames	F	F30-34								New Zealand	DNS
832988	DNS	Delphine Lamande-Frearson	F	F45-49								France	DNS
289548	DNS	Joy Panyavaraporn	F	F40-44								Thailand	DNS
832989	DNS	Alex Pach	M	M40-44								New Zealand	DNS
624347	DNS	Stephen Bradley	M	M45-49								New Zealand	DNS
450654	DNS	Pao Lun Weng	M	M35-39								Taiwan	DNS
480604	DNF	Jan Mitchell	F	F65-69			0:53:10	0:13:23				New Zealand	DNF
832990	DNS	Janet Moller	F	F35-39								New Zealand	DNS
136479	DNS	Kaye King	F	F60-64								New Zealand	DNS
67857	DNS	Colin Little	M	M45-49								New Zealand	DNS
832991	DNS	Paul Peseski	M	M35-39								United States	DNS
62812	DNS	Cat Conlan	F	F40-44								Ireland	DNS
832992	DNS	Rory O'Logan	M	M35-39								New Zealand	DNS
