ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
936413	DNS	Samir El Bidadi	M	M35-39								Belgium	DNS
892393	DNS	Adele Baker	F	F40-44								United Kingdom	DNS
998378	DNS	Linda Van Den Berg	F	F45-49								South Africa	DNS
998379	DNF	Maria Sousa	F	F50-54			1:07:58	0:05:22				Brazil	DNF
998380	DNS	Ashraf Nabil	M	M35-39								Egypt	DNS
931480	DNS	Maksim Basmanovskii	M	M35-39								Russian Federation	DNS
998381	DNS	Maria Luisa Martinez	F	F40-44								Philippines	DNS
998382	DSQ	Mondy Tantawy	M	M60-64								Egypt	DQ
998383	DNS	Mostafa Talaat	M	M30-34								Egypt	DNS
998384	DNF	Bassem El Shafei	M	M35-39			0:52:50	0:08:04	5:34:23			Egypt	DNF
998385	DNF	Omnia Osama	F	F25-29			0:43:45	0:09:09	4:58:35	0:07:19	2:33:27	Egypt	DNF
998386	DNS	Diaa Raafat	M	M35-39								Egypt	DNS
944999	DNF	Hussein Abd El-Kader	M	M35-39			0:56:46	0:10:41	5:20:00	0:13:04	2:31:16	Egypt	DNF
998387	DNS	Zaky Zaki	M	M30-34								Egypt	DNS
997968	DNS	Gina Grant	F	F55-59								United Kingdom	DNS
972805	DNS	Nabil El-Gohary	M	M35-39								Egypt	DNS
997916	DNF	Nadine Zayed	F	F30-34			0:58:21	0:05:41				Egypt	DNF
998388	DNS	Ana Giron	F	F25-29								Guatemala	DNS
653807	DNS	Christian Berglehner	M	M50-54								Germany	DNS
31338	DNS	Pierre Decrauzat	M	M35-39								Switzerland	DNS
676198	DNF	Yasser Orief	M	M45-49			0:57:53	0:07:34	4:45:46	0:06:47	2:45:24	Egypt	DNF
976104	DNS	Jana Krüger	F	F35-39								Germany	DNS
998389	DNF	Abdel-Aty Saeed	M	M25-29			0:48:58	0:08:32	4:53:04	0:04:14	2:46:16	Egypt	DNF
997939	DNF	Najla Nagib	F	F50-54			1:08:36	0:09:01	5:17:10	0:10:43		Egypt	DNF
791220	DNS	Mazen Kabbara	M	M50-54								United States	DNS
945255	DNS	Heba Osman	F	F40-44								Egypt	DNS
998390	DNS	Walaa Taman	F	F35-39								Egypt	DNS
998391	DNS	Abdallah El Shehaby	M	M35-39								United States	DNS
897504	DNS	Ingrid Arning	F	F60-64								Paraguay	DNS
998392	DNS	Yusuf Eldaour	M	M25-29								Egypt	DNS
998393	DNF	Haitham Saif	M	M35-39			0:58:49	0:08:12	4:43:55	0:07:11	2:51:55	Egypt	DNF
998394	DSQ	Andrius Juodvirsis	M	M25-29								Lithuania	DQ
998395	DNS	Dale Haines	M	M60-64								United States	DNS
994165	DNS	Ivan Cavalcante Pereira	M	M25-29								Brazil	DNS
998396	DNF	Mai Hamdy	F	F40-44			1:03:23	0:08:01				Egypt	DNF
998397	DNF	Aphrodite Elseesy	F	F30-34			0:49:16	0:06:56	5:08:43	0:05:26		Egypt	DNF
931482	DNS	Wayne Keet	M	M45-49								South Africa	DNS
997919	DNF	Mohamed Gomaa	M	M30-34			0:46:47	0:07:21	4:51:32	0:04:22	2:52:23	Egypt	DNF
998264	DNS	Emmanuel Lavin	M	M30-34								Philippines	DNS
932624	DNS	Sergey Tambovtsev	M	M45-49								Russian Federation	DNS
878588	DNS	Sam Grischotti	M	M30-34								United Kingdom	DNS
880812	DNS	Sultan Akif	M	M40-44								Canada	DNS
923501	DNS	Patryk Bielik	M	M30-34								Poland	DNS
998398	DNS	Ashwaq Alsaieri	F	F35-39								Saudi Arabia	DNS
948600	DNS	Mohammed Alharbi	M	M35-39								Saudi Arabia	DNS
923788	DNS	Abdulla Alhemaidi	M	M35-39								Qatar	DNS
998265	DNS	Robert Nixon	M	M18-24								United States	DNS
998399	DNS	Mohamed Kamel	M	M35-39								Egypt	DNS
998266	DNS	Youssef Elqady	M	M30-34								Egypt	DNS
998400	DNF	Mostafa Madkour	M	M25-29			0:46:59	0:06:57				Egypt	DNF
998267	DNS	Sara Helal	F	F30-34								Egypt	DNS
973051	DSQ	Hesam Algadheeb	M	M30-34								Saudi Arabia	DQ
997934	DNS	Dalia Elmosallamy	F	F45-49								Egypt	DNS
932910	DNS	Justin Lynch	M	M30-34								United States	DNS
998268	DNS	Mostafa El Kallawy	M	M40-44								Egypt	DNS
948257	DNS	Christian Lenz-Cesar	M	M50-54								Brazil	DNS
997978	DNS	Mo Sayad	M	M40-44								Egypt	DNS
998401	DNS	Khalid Bin Hassan	M	M45-49								Kuwait	DNS
973038	DNS	Brian Strong	M	M50-54								Canada	DNS
998402	DNF	Joshua Ellis	M	M25-29			1:05:36	0:09:26				United States	DNF
948861	DNS	Brian Marshall	M	M35-39								South Africa	DNS
998403	DNS	Shady Magdy	M	M35-39								Egypt	DNS
998269	DNS	Justin Rice	M	M25-29								United States	DNS
998404	DNF	Mohamed Tantawy	M	M30-34			1:07:09	0:08:14	4:49:05	0:05:52	2:43:13	Egypt	DNF
997915	DNF	Rehab Mohiey	F	F40-44			0:54:42	0:07:39	4:57:51	0:07:47		United States	DNF
998405	DNF	Ziyad Medra	M	M25-29			0:57:42	0:08:01	5:33:10	0:17:27		Egypt	DNF
998270	DNS	Emma Stewart	F	F30-34								South Africa	DNS
998406	DNS	Mohamed Nashaat	M	M25-29								Egypt	DNS
997963	DNF	Amr Youssef	M	M50-54			0:51:24	0:12:18	4:39:43	0:07:25		Egypt	DNF
998407	DNS	Sunanda Holmes	F	F55-59								United States	DNS
998271	DNF	Hany Abdelrahman	M	M30-34			0:49:43	0:09:34	5:54:20	0:09:34		Egypt	DNF
998408	DNF	Moustafa Wasfy	M	M50-54			1:06:09	0:03:21	4:49:27	0:05:41		Egypt	DNF
665553	DNS	Thierry Delvaux	M	M50-54								Belgium	DNS
998409	DSQ	Mohamed El-Demerdash	M	M35-39								Egypt	DQ
998272	DNF	Nourtein Magdy	F	F25-29			0:53:30	0:06:32	6:01:21	0:06:27		Egypt	DNF
998410	DNS	Ahmed Morsy	M	M18-24								Egypt	DNS
998273	DNS	Tyshun Ross	F	F25-29								United States	DNS
