ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
78048b93-7376-4c38-875b-04acdeabde24	1	Denis Chevrot	M	MPRO	1	3:41:14	0:24:15	0:02:14	1:56:54	0:02:27	1:15:24	FR	
f3042e76-3065-46ef-8249-4849bd42194a	2	Arnaud Guilloux	M	MPRO	2	3:43:54	0:24:47	0:02:38	1:58:46	0:02:20	1:15:23	FR	
7e60cc55-0f3d-4aab-b72e-06cb55469b2e	3	Tomasz Brembor	M	MPRO	3	3:45:55	0:24:13	0:02:09	2:02:12	0:01:33	1:15:48		
3dafa1b8-e203-48b9-b30b-a1c3f10f96f2	4	Kacper Stepniak	M	MPRO	4	3:46:38	0:24:12	0:02:16	2:02:04	0:01:37	1:16:29	Poland	
9aca9919-2da4-4315-acd1-4aefaa08454a	5	Sergiy Kurochkin	M	MPRO	5	3:48:46	0:24:11	0:02:04	2:05:32	0:01:56	1:15:03	Ukraine	
77efc72c-60ea-4bdc-8966-19ff72236606	6	Chris Mintern	M	MPRO	6	3:49:29	0:24:12	0:02:08	1:57:39	0:01:53	1:23:37	IE	
c231bf8b-a52e-4248-8bdc-a4882ce5fb01	7	Piotr Lawicki	M	MPRO	7	3:53:42	0:27:08	0:02:09	2:07:21	0:01:33	1:15:31	PL	
b0beca36-fdd9-49a9-a8fb-1754773f8bb9	8	Colin Norris	M	MPRO	8	3:55:05	0:25:33	0:02:24	2:08:54	0:02:13	1:16:01	GB	
a9ab8bb6-519d-44b5-bae5-a54578e1e118	9	Renning Elischer	M	MPRO	9	3:58:04	0:25:38	0:02:22	2:05:49	0:01:41	1:22:34	Germany	
ddf37621-9f86-47b0-ae50-ee467c57c422	10	Robert De Korte	M	MPRO	10	3:59:01	0:28:14	0:02:25	2:06:05	0:02:12	1:20:05		
9e6dc257-5b2c-4090-9790-cec1221e0a46	11	Sergiusz Sobczyk	M	M30-34	1	3:59:03	0:28:09	0:02:09	2:08:30	0:01:43	1:18:32	Poland	
1aa164a4-913f-4c51-b357-6e4a6aeda6e6	12	Timmo Jeret	M	M25-29	1	3:59:06	0:30:33	0:02:49	2:06:03	0:01:48	1:17:53	EE	
3c57c157-aaa8-4023-a862-8e8b932d8a8a	13	Lukas Seifert	M	M18-24	1	4:01:02	0:26:17	0:02:21	2:03:01	0:01:53	1:27:30	Germany	
f6bd8c03-da56-48c9-858b-6bd655e21ca3	14	Ludovic Roussel	M	MPRO	11	4:02:18	0:28:01	0:02:39	2:09:09	0:02:32	1:19:57		
469d7c74-19c9-4582-8fc0-2758ffd3fe5b	15	Kasper Tochowicz	M	M25-29	2	4:02:47	0:29:05	0:02:46	2:08:24	0:01:55	1:20:37	PL	
86a6d751-2f07-4634-b099-bd2e03f98ace	16	Fannar Thor Heiduson	M	M18-24	2	4:04:04	0:29:08	0:02:48	2:12:45	0:01:47	1:17:36	Norway	
e9184251-3a23-4abc-9ef1-ec41ced0f0a9	17	Lukasz Lis	M	M35-39	1	4:05:42	0:26:06	0:02:11	2:10:24	0:02:13	1:24:48	POL	
2f8314e0-efe7-4cd6-b96a-ac5cdd10a97f	18	Frank Sorbara	M	MPRO	12	4:06:51	0:26:48	0:02:40	2:07:24	0:02:25	1:27:34	CA	
da8c7214-48ad-4389-999c-58f50393bd35	19	Pawel Najmowicz	M	MPRO	13	4:07:08	0:26:44	0:02:17	2:11:29	0:01:59	1:24:39	PL	
d26b08d6-dd39-4288-ab2c-e677be639e0a	20	Horst Reichel	M	MPRO	14	4:08:04	0:24:13	0:02:22	2:00:34	0:01:38	1:39:17	DE	
c9d3a16a-23e7-4eeb-a456-447377435aa1	21	Pawel Mlodzikowski	M	M30-34	2	4:08:56	0:31:10	0:02:54	2:10:37	0:01:57	1:22:18		
c48b2b3e-f428-4fdc-8248-f4a4d4855283	22	Sebastien Sahyoun	M	M35-39	2	4:10:44	0:28:44	0:03:06	2:13:18	0:02:09	1:23:27		
d311029b-3f56-4eaf-aa1c-60a944ad5dc5	23	Marcin Fabiszewski	M	M35-39	3	4:12:25	0:30:19	0:03:29	2:10:48	0:01:57	1:25:52		
2fc6cb44-c925-4d87-bcbe-6e2b9e463375	24	Ihor Polyvanyi	M	M18-24	3	4:12:46	0:30:09	0:03:03	2:16:18	0:02:07	1:21:09	UA	
3a3f52c6-fef9-4682-a526-c3b445d2c4a5	25	Graham Dillon	M	M35-39	4	4:13:58	0:33:16	0:03:37	2:14:36	0:01:43	1:20:46	IE	
76a14f90-f9ac-45a3-8b28-6d0d67d93e6d	26	Max Poplawski	M	M25-29	3	4:14:55	0:28:53	0:03:12	2:13:56	0:02:28	1:26:26	GB	
f2d33776-53c2-44eb-9a87-a4d933066f78	27	Diede Diederiks	F	FPRO	1	4:14:59	0:30:58	0:02:21	2:15:44	0:01:37	1:24:19	NLD	
41bf33a3-d69e-46bc-8606-0843014f5da5	28	Bartosz Sarbak	M	M25-29	4	4:16:05	0:31:01	0:03:35	2:15:29	0:01:50	1:24:10	POL	
c3549911-028a-4caa-943b-0f4ec75ed19b	29	Pawel Targoni	M	M45-49	1	4:16:57	0:30:38				1:26:55	PL	
77cef0c1-cd28-4767-a6eb-8b49d3bdce99	30	Jacek Jedrasiewicz	M	M30-34	3	4:17:46	0:31:11	0:03:08	2:10:25	0:08:12	1:24:50	Poland	
