ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
122226	DNF	Camilla Swenson	F	F35-39			0:38:08	0:03:55	2:41:08	0:03:37		Australia	DNF
923407	DNS	Sharon Lotufo	F	F35-39								Australia	DNS
922733	DNS	Natalie Morris	F	F25-29								Australia	DNS
923408	DNS	Amanda Horbert	F	F30-34								United States	DNS
923409	DNS	Stewart Hall	M	M35-39								Australia	DNS
923410	DNS	Chris Hanrahan	M	M50-54								Australia	DNS
923411	DNS	Peter O'Donohue	M	M35-39								Australia	DNS
923412	DNF	Michael Manus	M	M30-34								Australia	DNF
923413	DNS	Rachel Leggott	F	F35-39								Australia	DNS
922692	DNS	Cameron Roberts	M	M30-34								Australia	DNS
923414	DNS	Anton William Van Niekerk	M	M50-54								Australia	DNS
182089	DNS	Roy Chesters	M	M60-64								Australia	DNS
923415	DNS	Jordon Risstrom	M	M40-44								Australia	DNS
923416	DNS	Lisa Edmunds	F	F40-44								Australia	DNS
828798	DNS	Kim Crossan	F	F30-34								Australia	DNS
923417	DNS	Marty Coolican	M	M40-44								Australia	DNS
923418	DNS	Arthur Addinall	M	M40-44								Australia	DNS
922726	DNS	Nicholas Hodson	M	M18-24								Australia	DNS
921897	DNS	Ruth Johnstone	F	F45-49								Australia	DNS
923419	DNS	Garry Bickley	M	M45-49								Australia	DNS
923420	DNS	Teagan Franz	F	F18-24								Australia	DNS
122490	DNS	Ian Hainsworth	M	M55-59								Australia	DNS
923421	DNS	Matthew Bannister	M	M30-34								Australia	DNS
923422	DNS	Joen Yen Lee	M	M60-64								Singapore	DNS
832908	DNS	Michelle Pfeifhofer	F	F30-34								Australia	DNS
320382	DNS	Marcus Gilmore	M	M45-49								Australia	DNS
923423	DNS	Deanna Waters	F	F50-54								Australia	DNS
838156	DNS	Natasha Freeman	F	F45-49								Australia	DNS
137587	DNS	Nathan Gillard	M	M30-34								Australia	DNS
923028	DNS	Aaron Langenberg	M	M25-29								Australia	DNS
923424	DNS	Tom Marsh	M	M35-39								Australia	DNS
923425	DNS	Christine Baum	F	F35-39								Germany	DNS
923426	DNS	Daniel Alford	M	M35-39								Australia	DNS
923427	DNF	Kieran Whitehouse	M	M18-24			0:59:13	0:08:09	3:35:06	0:04:58	3:24:43	Australia	DNF
922331	DNS	Steven Norris	M	M35-39								Australia	DNS
923428	DNS	Leanne Thompson	F	F40-44								Australia	DNS
856954	DNS	Hector Rodriguez	M	M30-34								Mexico	DNS
923429	DNS	James Mcauliffe	M	M35-39								Australia	DNS
860637	DNS	Charmaine Carrick	F	F25-29								Australia	DNS
922766	DNS	Telisha Crannage	F	F30-34								Australia	DNS
922795	DNF	Luke Scarfone	M	M18-24			1:11:51	0:07:23	3:12:45	0:05:20	2:32:07	Australia	DNF
922584	DNS	Michael Ballem	M	M35-39								Australia	DNS
923430	DNS	Cassandra Ward	F	F30-34								Australia	DNS
923431	DNS	Alex Horsington	M	M18-24								United Kingdom	DNS
923432	DNS	Anya Hotinski	F	F35-39								Australia	DNS
129097	DNS	Glenn Sparidaans	M	M35-39								Australia	DNS
137580	DNS	Matthew Day	M	M35-39								Australia	DNS
923433	DNS	Samuel Mcphee	M	M25-29								Australia	DNS
63417	DNS	Matthew Kerrish	M	M50-54								Australia	DNS
121824	DNS	Floora De Wit	F	F35-39								Australia	DNS
923434	DNS	Philip Kiely	M	M30-34								United Kingdom	DNS
828580	DNS	Clinton Armstrong	M	M35-39								Australia	DNS
861193	DNS	Tania Quiskamp	F	F50-54								Australia	DNS
923435	DNS	Luke Ashman	M	M30-34								Australia	DNS
147793	DNS	Karen Ross	F	F50-54								Australia	DNS
923436	DNS	Andrew Hardy	M	M50-54								Australia	DNS
923437	DNS	Brett Sparnon	M	M30-34								Australia	DNS
860911	DNS	Callum Henderson	M	M35-39								New Zealand	DNS
923438	DNS	Samuel Cassells	M	M25-29								Australia	DNS
923439	DNS	Thomas Meharry	M	M30-34								Australia	DNS
137932	DNS	Ruth Roberts	F	F40-44								Australia	DNS
923440	DNS	Simon Parker	M	M50-54								Australia	DNS
129284	DNS	Pip Laufmann	F	F50-54								Australia	DNS
923441	DNS	Luke Cooke	M	M25-29								Australia	DNS
