ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
566feb72-056f-41bf-b773-2dc7a08405a4	1	Yannick Matejicek	M	M25-29	1	7:28:27			4:28:59	0:03:15	2:56:13	FR	
1dcebf05-386b-f011-bec3-000d3a5b50ba	2	Vanrisch McLean	M	M35-39	1	7:39:50			4:34:29	0:04:38	3:00:42		
2660d477-ea39-42e1-b2cf-a75dcc7b6755	3	Jorge  Borderias Abel Olivar	M	M40-44	1	7:45:11			4:35:08	0:04:56	3:05:07	ES	
51c51d95-b660-ef11-bfe3-6045bd0953ac	4	Wouter Gryp	M	M30-34	1	7:46:28			4:40:42	0:05:17	3:00:30	BE	
238b401b-fab5-4dc4-8923-1e9816436e49	5	Filipe Estafero Henriques	M	M30-34	2	7:47:33			4:45:25	0:03:50	2:58:19	PT	
5639c76c-2e3e-4dc3-9887-ae8e501ca73b	6	David Mercado Mendes	M	M30-34	3	7:47:54			4:43:28	0:03:25	3:01:01	ES	
7a8121e5-0277-41f9-bcce-d985cfcf9e46	7	Vicent Pastor Sanchis	M	M35-39	2	7:48:39			4:49:58	0:03:45	2:54:55	ES	
a8126fad-6341-4da5-877b-e947ced8f959	8	Imanol Recalde Esnoz	M	M25-29	2	7:49:07			4:42:45	0:04:06	3:02:16	ES	
a95a91a3-20a2-4ab6-834a-b99d296f0a77	9	Eduardo Calderay Saavedra	M	M30-34	4	7:49:44			4:46:32	0:03:54	2:59:18	ES	
13b07d9f-5d64-41ed-849c-0f31a20475c2	10	Stephen Magrath	M	M35-39	3	7:52:37			4:51:24	0:03:17	2:57:57	GB	
267ea958-a35e-49e2-a26f-83e5a4322230	11	Manuel Trijueque Biosca	M	M35-39	4	7:54:02			4:42:44	0:04:24	3:06:54	ES	
3e123735-c0d0-4736-b6c2-15b01ae866f1	12	Nacho Dominguez Martinez	M	M30-34	5	8:05:25			4:43:24	0:04:16	3:17:45	ES	
a095c2b7-8a2c-44b4-9e99-4c47019f8ab7	13	Francisco Manuel Ortega Serrano	M	M40-44	2	8:05:25			4:50:01	0:03:23	3:12:02	ES	
8362ad32-cbd3-4f48-9a9b-46b7b97923a4	14	Arek Podziewski	M	M45-49	1	8:06:04			4:38:03	0:04:38	3:23:23		
261e006d-ccc4-e911-a99a-000d3a34ef1d	15	Tom Davey	M	M35-39	5	8:08:58			4:52:52	0:04:31	3:11:36	GB	
007588f3-340b-40ec-af65-5397e72af434	16	Massimiliano Marsilli	M	M30-34	6	8:11:47			4:32:42	0:04:06	3:34:59	IT	
30c24d20-a033-416d-b20e-ddc4afc36eb7	17	Andries De Vocht	M	M25-29	3	8:13:34			4:56:49	0:05:32	3:11:13	BE	
9657d0f9-c7db-44c5-ae15-02937612a28e	18	Roberto Anson Monzon	M	M35-39	6	8:13:41			4:53:21	0:04:40	3:15:40	ES	
c1ead566-392a-4ffe-9f4c-094718c6fb44	19	Gorka Bizkarra Etxegibel	M	M35-39	7	8:15:45			4:55:07	0:05:28	3:15:10	ES	
4fe9e872-3a3b-46e4-a7ab-57346e4ae336	20	Olivier Philippe	M	M25-29	4	8:17:53			4:54:44	0:04:25	3:18:43	BE	
f84c12a3-12b0-440b-9070-3f504ddaac48	21	Gorka Garitaonandia Azueta	M	M50-54	1	8:20:09			4:56:32	0:04:28	3:19:09	ES	
f959b02e-ff68-4cc3-8ed3-ee06b43cc0b0	22	Ricard Marí	M	M35-39	8	8:20:24			4:56:11	0:04:10	3:20:02	ES	
4b38bf27-876d-4caa-b440-c2f1b39d66e9	23	José Ramón Lago Cives	M	M45-49	2	8:21:03			5:01:04	0:04:58	3:15:02		
a09d9ffe-10bc-4329-b691-a744c9782802	24	Martin Andrs	M	M30-34	7	8:23:12			4:59:31	0:04:19	3:19:22	CZE	
7cde2c74-3051-4346-b115-ecb082680c43	25	Alberto Estebanez De Miguel	M	M35-39	9	8:26:00			5:00:45	0:05:58	3:19:17		
44181079-2903-4a49-a26c-10c4bc921381	26	Sebastiaan Verhaert	M	M45-49	3	8:26:19			4:57:46	0:05:05	3:23:28	BE	
11be4dde-5d59-468f-a334-42ae9f5c2014	27	Pedro Echevarria	M	M40-44	3	8:29:55			4:57:13	0:05:10	3:27:32	ES	
55475563-b1ed-4881-a8fe-f7d20844f581	28	Ion Bermejo Yanguas	M	M18-24	1	8:30:13			4:55:07	0:03:58	3:31:08	ES	
e80e92ec-6215-4354-9e08-31bdad20968f	29	Stéphane Daudrix	M	M50-54	2	8:32:15			5:01:29	0:04:44	3:26:02	FR	
28fa8e4b-e867-4b6b-9ffb-c730660881a1	30	Danny Verdoorn	M	M40-44	4	8:32:22			4:53:01	0:04:40	3:34:40	nld	
17099810-e830-4ba5-9297-f89d60c99332	31	Lluis Herrero	M	M45-49	4	8:32:50			5:03:21	0:04:51	3:24:39	ES	
a96fdfaa-6fc6-4e63-9e53-dfc9431976e7	32	Jaime Abalos Garcia	M	M45-49	5	8:33:22			5:04:35	0:05:48	3:22:59	ES	
977bac44-f405-4f8a-bb0b-c930b3afed69	33	Sergi Valls Gimenez	M	M40-44	5	8:33:24			5:05:17	0:04:11	3:23:55	ES	
c82dc261-c59f-416a-bbde-5701cf187350	34	Santiago Del Puerto	M	M30-34	8	8:33:35			5:15:05	0:03:46	3:14:44	PT	
638a7b6a-f57f-401c-a0de-fe0ffea7c814	35	Francisco Navío Marín	M	M35-39	10	8:34:04			5:04:17	0:06:08	3:23:39	ES	
fafb238b-a52c-4edc-9305-604951cdd8f0	36	Josef Bonavia	M	M40-44	6	8:34:05			5:00:41	0:03:52	3:29:31		
f57e1af2-99d7-4351-8b37-2edf461ae84d	37	Fernando López Navarro	M	M50-54	3	8:34:20			5:10:59	0:04:58	3:18:23	ES	
c77231a1-e9a0-4f02-a264-0f9e3f4cf488	38	Alfonso Monclus	M	M45-49	6	8:35:06			5:03:06	0:04:32	3:27:28	ES	
7bf20712-62d8-4d0f-8abb-a0cee26ca537	39	Sera Sayar	F	F25-29	1	8:35:27			5:14:12	0:03:57	3:17:17	TR	
e7e22f4c-a2fe-4d08-8379-c76d519a82fb	40	Sam Edgerley	M	M30-34	9	8:35:48			5:05:40	0:05:26	3:24:42	GB	
98f20f8f-00ca-4fb7-8386-c6bbc9950136	41	Matthieu Seha	M	M30-34	10	8:35:54			5:16:30	0:05:15	3:14:09	BE	
99bda89c-ac0a-49fb-b152-1a61bc1b2702	42	Thibaut Cazorla	M	M40-44	7	8:37:25			4:57:30	0:06:50	3:33:05	FR	
d514514d-d287-4a0e-8915-4f7f25d58aa1	43	Estebe Lozano Corchete	M	M30-34	11	8:39:50			5:04:56	0:05:04	3:29:50	ES	
732628c6-5160-407d-8905-d53bba0f722e	44	Frank De Langhe	M	M30-34	12	8:40:39			4:54:10	0:03:50	3:42:39	BE	
55cc1a9e-7723-4dc0-9b3b-e81d78821d18	45	Xavier Solà Rubio	M	M40-44	8	8:40:54			5:12:33	0:04:28	3:23:52	ESP	
7bc2f936-f693-4071-b5f0-7d3f3bf3e156	46	Alexander Verweij	M	M25-29	5	8:40:54			5:20:24	0:08:03	3:12:27	NL	
07244cbf-82b1-4e54-ac52-199cb50831f3	47	Hernán Dall'Aglio	M	M35-39	11	8:41:09			4:58:25	0:05:10	3:37:34	ES	
2fdf28f8-3318-43b6-a866-6d55c07a9669	48	Antonio Cáliz Campal	M	M30-34	13	8:42:41			5:08:25	0:04:59	3:29:18	ES	
91406b7d-ff04-4cc6-8c16-0b20b5602bba	49	Benjamin Van Der Weerdt	M	M25-29	6	8:43:03			5:09:22	0:04:48	3:28:53	NL	
e19f5bd5-c6ac-e911-a981-000d3a36478d	50	Carlos Rosario	M	M45-49	7	8:43:52			5:14:12	0:04:10	3:25:31	PT	
f508ee9a-12ad-463a-90b8-c424ab774c18	51	Aitor Abadias Pelegrin	M	M35-39	12	8:44:47			5:14:28	0:04:48	3:25:31	ES	
3e90d7ea-61a7-400c-b3ab-5c105c8b93c8	52	Carlos Ruiz Rivero	M	M45-49	8	8:46:17			5:09:25	0:05:57	3:30:56	ES	
222f03de-b8dc-4935-bd1e-18e6ab1a84fb	53	Antonio Marquez Luque	M	M45-49	9	8:46:44			5:04:10	0:06:09	3:36:25	ES	
99fedd4b-4244-4683-a991-90c6264e9b83	54	Adrien Petteau	M	M30-34	14	8:47:40			5:08:29	0:04:53	3:34:18	BE	
93a87889-d6b3-49f4-897f-346eb3e417ce	55	Greg Sainz Pardo	M	M40-44	9	8:48:05			4:57:19	0:06:06	3:44:40	ES	
3721e03a-0771-48fa-a48a-7d1f4c08ca71	56	Fernando Parra	M	M40-44	10	8:48:46			4:40:34	0:04:53	4:03:19	ES	
f903f058-e847-48c2-8b3a-ce6b4e678b9a	57	Linard Denoth	M	M50-54	4	8:48:58			4:59:56	0:05:14	3:43:48	CH	
74f8f1a5-8f69-4ec5-b36c-2ddd377e9dae	58	Xavier Ortín Font	M	M45-49	10	8:49:02			5:27:05	0:07:13	3:14:44	ES	
adbc4821-4f1a-4ca4-82c1-e88f958fb20f	59	João Pedro Silva	M	M40-44	11	8:49:41			5:10:56	0:05:01	3:33:44	PT	
a7630404-26a2-4774-a9a1-a027deb260fe	60	Miguel Cabrera Fdez	M	M50-54	5	8:49:42			4:42:50	0:04:15	4:02:37	ES	
08b9a943-745a-4e24-aa00-0ce85a6f7b9f	61	tim seddon	M	M50-54	6	8:50:32			4:46:49	0:05:51	3:57:53	GB	
fbe93dd0-9b3a-4d4e-b99b-d61f4351fc27	62	Enrique Nieto Madruga	M	M30-34	15	8:50:33			5:02:14	0:04:58	3:43:21	ESP	
37cbc4b4-69ed-4201-88bb-ce51431e627e	63	David Van Rooij	M	M30-34	16	8:50:50			4:42:44	0:04:07	4:03:58	NL	
8917dfe3-cc12-4a51-9905-abfbd032da89	64	Ruben Timmermans	M	M30-34	17	8:50:50			5:14:28	0:04:30	3:31:52	BE	
ca66549f-7fd3-4266-99bc-c411ff02109e	65	Sergi Bermejo Barnils	M	M45-49	11	8:50:53			5:14:39	0:05:03	3:31:10	esp	
f581f778-99a6-4799-8c53-bb0887ecfb57	66	Nicolas Debusscher	M	M30-34	18	8:51:09			4:54:45	0:06:39	3:49:44	BE	
5103dc29-fb18-4455-bf9d-7d45df662229	67	Joel Benony	M	M45-49	12	8:51:28			4:59:31	0:04:21	3:47:35		
3f717e3a-b6b9-4f1b-8d90-a5ebf18bf995	68	Emili Valero	M	M45-49	13	8:51:50			5:06:32	0:09:00	3:36:19	ES	
a7a7f245-78b2-47e5-bab7-bd0b7c27656e	69	Hank Mees	M	M50-54	7	8:51:52			4:58:40	0:05:15	3:47:57	BE	
98b72ea9-42cc-4ec1-a242-4f0c8548c7c7	70	James Eacott	M	M35-39	13	8:52:01			4:47:16	0:04:12	4:00:34	GB	
5239508b-ac73-49be-8916-b5dbc1eefba2	71	Rafael Morgado Mora	M	M40-44	12	8:52:18			5:15:28	0:06:02	3:30:47	ES	
e8ef6bb4-d043-4f4d-8733-0c63ef2b61f9	72	Luke Worthington	M	M40-44	13	8:52:29			5:01:47	0:04:13	3:46:29	GB	
982b5f4f-3800-4d35-ba25-7778c531822e	73	Tanguy Grandjean	M	M30-34	19	8:53:37			4:51:16	0:04:46	3:57:34	BE	
5aecfdf7-4660-4c0c-8cc0-81e51ac807ba	74	Pascual Sanchez Sanchez	M	M40-44	14	8:53:55			5:01:10	0:04:55	3:47:50	ES	
652ee4dd-ee75-4081-9ebb-3e80b986364d	75	Borja Pernas Jiménez	M	M25-29	7	8:54:12			5:31:40	0:05:52	3:16:40	esp	
408c0446-a1c2-43dd-b3f2-3d688cbeb843	76	Joachim Verstraeten	M	M25-29	8	8:54:19			5:10:41	0:05:20	3:38:17	BE	
40d5a5ac-9aca-45fd-8987-92346d53144f	77	Olivier Verstraeten	M	M25-29	9	8:54:32			4:57:48	0:05:22	3:51:21	BE	
d83d4b31-bbd3-4a6e-b89f-330b625c0720	78	Romain Puissegur	M	M30-34	20	8:55:01			4:55:57	0:04:33	3:54:31	FR	
bf49c763-1bf3-4eb7-90b1-8df81d3a6184	79	Ner Albiol Bernal	M	M40-44	15	8:55:33			5:27:15	0:04:44	3:23:34	ES	
1e03a3b1-897d-4ece-8f3c-3c395f94df61	80	Andrey Ivanchikhin	M	M40-44	16	8:55:39			5:20:37	0:06:16	3:28:46	CY	
