総合順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	性別順位	年齢区分	年齢別順位
1	1	長沼 拳	28	男	北海道	6:35:05	0:36:10	6	4:12:37	2	4:48:47	2	1:46:18	9	1	20-29歳	
2	75	小池 賢	43	男	千葉県	6:37:51	0:31:14	2	4:21:47	3	4:53:01	3	1:44:50	6	2	40-49歳	
3	78	Jess Ripper	44	男	北海道	6:40:38	0:34:33	4	4:11:54	1	4:46:27	1	1:54:11	16	3	40-49歳	
4	19	Timothy Bontrager	30	男	北海道	6:42:52	0:33:31	3	4:28:07	4	5:01:38	4	1:41:14	4	4	30-39歳	1
5	64	嵜本 晃次	41	男	兵庫県	6:47:42	0:39:01	15	4:30:26	6	5:09:27	6	1:38:15	1	5	40-49歳	1
6	49	Francesco Frova	37	男	東京都	6:59:20	0:40:48	28	4:40:07	12	5:20:55	10	1:38:25	2	6	30-39歳	2
7	61	ノビック イアン	40	男	東京都	7:00:38	0:39:19	18	4:28:57	5	5:08:16	5	1:52:22	14	7	40-49歳	2
8	44	嶋田 耕士	37	男	東京都	7:02:20	0:38:20	12	4:36:12	8	5:14:32	7	1:47:48	11	8	30-39歳	3
9	12	北島 雄人	24	男	北海道	7:09:49	0:41:06	29	4:48:47	25	5:29:53	18	1:39:56	3	9	20-29歳	1
10	7	半沢 レオナルド	22	男	神奈川県	7:11:49	0:36:25	7	4:50:15	29	5:26:40	13	1:45:09	7	10	20-29歳	2
11	41	菱沼 卓也	36	男	東京都	7:12:20	0:38:06	11	4:36:38	9	5:14:44	8	1:57:36	21	11	30-39歳	4
12	55	James Baird	38	男	北海道	7:12:58	0:44:07	55	4:31:49	7	5:15:56	9	1:57:02	20	12	30-39歳	5
13	17	上野 陽貴	29	男	神奈川県	7:13:04	0:44:53	64	4:42:57	15	5:27:50	15	1:45:14	8	13	20-29歳	3
14	131	伊藤 仁浩	51	男	北海道	7:20:27	0:50:20	128	4:40:06	11	5:30:26	20	1:50:01	12	14	50-59歳	1
15	185	坂口 誠	57	男	東京都	7:25:06	0:43:59	52	4:42:57	16	5:26:56	14	1:58:10	22	15	50-59歳	2
16	211	あでりま えるねすと	61	男	神奈川県	7:26:19	0:42:17	38	4:45:35	18	5:27:52	16	1:58:27	23	16	60-69歳	1
17	29	本塚 直也	33	男	北海道	7:27:14	0:45:01	67	4:50:13	28	5:35:14	27	1:52:00	13	17	30-39歳	6
18	48	常田 昇	37	男	青森県	7:27:31	0:42:06	35	4:40:55	13	5:23:01	11	2:04:30	39	18	30-39歳	7
19	2	日下 順詞	54	男	千葉県	7:28:11	0:38:41	14	4:50:08	27	5:28:49	17	1:59:22	24	19	50-59歳	3
20	108	樋口 浩二	48	男	長崎県	7:34:44	0:44:15	57	4:48:12	24	5:32:27	21	2:02:17	33	20	40-49歳	3
21	77	竹村 浩和	44	男	福井県	7:36:18	0:48:20	101	4:47:22	20	5:35:42	28	2:00:36	30	21	40-49歳	4
22	62	水野 貴紀	40	男	北海道	7:37:43	0:43:23	49	5:12:05	62	5:55:28	59	1:42:15	5	22	40-49歳	5
23	141	吉澤 峰青	52	男	兵庫県	7:37:46	0:39:17	17	4:54:26	33	5:33:43	25	2:04:03	37	23	50-59歳	4
24	84	小口 崇紘	44	男	東京都	7:38:26	0:42:15	37	4:50:18	30	5:32:33	22	2:05:53	40	24	40-49歳	6
25	34	角田 直哉	35	男	埼玉県	7:38:31	0:55:31	168	4:56:14	34	5:51:45	55	1:46:46	10	25	30-39歳	8
26	174	八十嶋 弘一	56	男	北海道	7:40:40	0:47:25	93	4:45:38	19	5:33:03	23	2:07:37	45	26	50-59歳	5
27	172	小関 望	56	男	埼玉県	7:41:11	0:44:53	65	4:53:08	32	5:38:01	31	2:03:10	34	27	50-59歳	6
28	234	三浦 智穂	47	女	福岡県	7:41:26	0:42:39	41	5:01:47	40	5:44:26	38	1:57:00	19	1	40-49歳	
29	134	牧野 星	51	男	沖縄県	7:41:59	0:45:05	70	4:48:08	22	5:33:13	24	2:08:46	49	28	50-59歳	7
30	138	掛樋 勇次	51	男	兵庫県	7:42:42	0:43:21	48	4:59:44	37	5:43:05	36	1:59:37	26	29	50-59歳	8
31	160	Jean-Marc Morange	54	男	東京都	7:44:48	0:38:22	13	4:56:36	35	5:34:58	26	2:09:50	52	30	50-59歳	9
32	80	森広 浩二郎	44	男	北海道	7:45:38	0:49:55	126	4:48:09	23	5:38:04	32	2:07:34	44	31	40-49歳	7
33	107	遠藤 剛	48	男	青森県	7:47:05	1:00:04	194	4:42:52	14	5:42:56	35	2:04:09	38	32	40-49歳	8
34	106	唐木 誠	48	男	福岡県	7:47:13	0:49:44	123	4:57:35	36	5:47:19	43	1:59:54	27	33	40-49歳	9
35	51	川田 敦士	38	男	北海道	7:47:56	0:39:19	19	5:08:43	55	5:48:02	44	1:59:54	28	34	30-39歳	9
36	79	佐々原 亮一	44	男	佐賀県	7:48:09	0:49:23	117	4:49:05	26	5:38:28	33	2:09:41	51	35	40-49歳	10
37	57	森 陽平	39	男	沖縄県	7:48:34	0:41:23	30	5:07:40	54	5:49:03	46	1:59:31	25	36	30-39歳	10
38	182	新田 克也	57	男	東京都	7:50:50	0:44:07	54	4:52:49	31	5:36:56	30	2:13:54	68	37	50-59歳	10
39	115	中川 彰二	49	男	北海道	7:52:10	0:39:39	20	5:02:23	42	5:42:02	34	2:10:08	53	38	40-49歳	11
40	92	渡邉 大輔	46	男	北海道	7:53:09	0:46:45	85	5:02:46	44	5:49:31	49	2:03:38	35	39	40-49歳	12
41	144	Guillaume Calloud	52	男	東京都	7:54:24	0:40:39	27	5:05:44	50	5:46:23	41	2:08:01	46	40	50-59歳	11
42	148	松浦 潤	53	男	茨城県	7:54:38	0:44:35	62	5:13:48	66	5:58:23	64	1:56:15	18	41	50-59歳	12
43	8	日野 大輝	23	男	沖縄県	7:55:17	0:42:09	36	4:43:38	17	5:25:47	12	2:29:30	111	42	20-29歳	4
44	167	今井田 尚文	55	男	北海道	7:56:16	0:52:01	141	5:09:24	57	6:01:25	67	1:54:51	17	43	50-59歳	13
45	241	武田 紗由巳	42	女	神奈川県	7:56:34	0:49:15	114	5:00:45	38	5:50:00	52	2:06:34	41	2	40-49歳	
46	204	栗山 隆	60	男	北海道	7:58:28	0:48:11	100	4:47:47	21	5:35:58	29	2:22:30	93	44	60-69歳	2
47	175	蓼沼 嘉宏	56	男	東京都	8:00:48	0:45:11	71	5:06:57	53	5:52:08	56	2:08:40	48	45	50-59歳	14
48	147	Bryan Kipping	53	男	東京都	8:02:22	0:39:09	16	5:03:56	47	5:43:05	37	2:19:17	82	46	50-59歳	15
49	157	中井 俊光	54	男	大阪府	8:02:37	0:40:39	26	5:10:12	58	5:50:51	53	2:11:46	56	47	50-59歳	16
50	121	畑 知成	50	男	沖縄県	8:03:49	0:44:28	61	5:06:54	52	5:51:22	54	2:12:27	60	48	50-59歳	17
51	28	村上 慎太郎	33	男	北海道	8:05:52	0:49:22	116	5:03:06	45	5:52:28	57	2:13:24	63	49	30-39歳	11
52	59	須藤 弘	39	男	神奈川県	8:06:03	0:41:52	32	5:04:01	48	5:45:53	40	2:20:10	86	50	30-39歳	12
53	170	辻 剛一	55	男	北海道	8:07:31	0:37:46	9	5:11:18	60	5:49:04	47	2:18:27	80	51	50-59歳	18
54	236	孫崎 虹奈	27	女	神奈川県	8:07:36	0:39:42	22	5:15:24	69	5:55:06	58	2:12:30	62	3	20-29歳	
55	173	中川 健	56	男	北海道	8:09:07	0:40:37	25	5:08:47	56	5:49:24	48	2:19:43	84	52	50-59歳	19
56	103	藤田 晴之	48	男	香川県	8:10:27	0:43:57	51	5:22:51	79	6:06:48	76	2:03:39	36	53	40-49歳	13
57	163	上田 剛	55	男	東京都	8:11:12	0:48:51	106	5:11:51	61	6:00:42	66	2:10:30	54	54	50-59歳	20
58	5	山川 真広	21	男	東京都	8:11:13	0:47:26	94	5:29:46	86	6:17:12	92	1:54:01	15	55	20-29歳	5
