ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
856239	DNS	Galimzhan Yessenov	M	M40-44								Kazakhstan	DNS
912327	DNF	Niobe Menéndez	F	F55-59			0:39:27	0:10:09				Spain	DNF
202316	DNS	Kieran Ballard	F	F45-49								South Africa	DNS
1013632	DNS	Alexia Llobera	F	F25-29								Andorra	DNS
149744	DNS	Kevin Donaldson	M	M50-54								United Kingdom	DNS
1013633	DNS	Wim Roosens	M	M40-44								Belgium	DNS
930691	DNS	Silvia Bernabei	F	F35-39								Italy	DNS
1013634	DNF	Heidi Vietz	F	F50-54			0:44:19	0:13:09	5:42:32			United Kingdom	DNF
892813	DNS	Stuart Anderson	M	M45-49								United Kingdom	DNS
1013635	DNF	Nico Ruse	M	M50-54								Germany	DNF
1013636	DNS	Marc-Andre Maillet	M	M40-44								Canada	DNS
1013637	DNS	Joseph Tilley	M	M25-29								United Kingdom	DNS
1013638	DNS	Miguel Angel Toledo Villanueva	M	M50-54								Spain	DNS
911729	DNF	Alfredo Ereño Calzada	M	M25-29			0:58:34	0:10:43				Spain	DNF
1013639	DNF	Gines Morata	M	M60-64								Spain	DNF
1013640	DNS	Joseph Martens	M	M40-44								Netherlands	DNS
1013641	DNS	Clément Duhin	M	M25-29								France	DNS
1013642	DNS	Hans Engel	M	M60-64								Germany	DNS
1013643	DNS	Andrew Milan	M	M30-34								France	DNS
917268	DNS	Thomas Lippiett	M	M40-44								United Kingdom	DNS
1013644	DNS	Clement Daleas	M	M25-29								France	DNS
974347	DNS	Sergio Herrera Roman	M	M45-49								Spain	DNS
1013645	DNF	Nacho Cañellas	M	M45-49			0:36:07	0:14:05	4:48:08			Spain	DNF
553916	DNF	Rolf Daalder	M	M60-64			0:45:11	0:12:24	5:29:29	0:07:21		Netherlands	DNF
1013646	DNF	Sebastien Rispal	M	M40-44			0:52:08	0:09:59				France	DNF
1010834	DNS	Josep Maria Missé Cortina	M	M45-49								Andorra	DNS
571856	DSQ	David Millett	M	M30-34								Israel	DQ
1013647	DNS	David Sanchez Gonzalez	M	M40-44								Spain	DNS
1013648	DNS	Sebastien Martin	M	M45-49								France	DNS
836618	DNS	Mathieu Dhuicque	M	M25-29								France	DNS
252997	DNF	Thomas Bord	M	M40-44			0:36:45	0:09:14	4:06:06	0:03:47		Hong Kong	DNF
1013649	DNS	Eric Beuzet	M	M55-59								France	DNS
997618	DNS	Adam Munch	M	M18-24								Denmark	DNS
1013650	DNS	Angel Botello	M	M35-39								Spain	DNS
1013651	DNS	Serge Moulière	M	M70-74								France	DNS
980628	DNS	Louisa Bruck	F	F25-29								Germany	DNS
1013652	DNS	Victor Perez	M	M30-34								Spain	DNS
1013653	DNS	Ruairi Walsh	M	M45-49								Ireland	DNS
1013654	DNS	Xavier Grau Camacho	M	M35-39								Spain	DNS
1007258	DNS	Luis Muñoz Cruz	M	M35-39								Colombia	DNS
920755	DNS	Simeon Debeule	M	M30-34								Belgium	DNS
1013655	DNF	Cyrille Coquerel	M	M50-54								Germany	DNF
924507	DNF	Rodrigo Acevedo	M	MPRO			0:28:43	0:03:32				Colombia	DNF
1013656	DNS	Gregory Loaec	M	M50-54								France	DNS
933882	DNS	David Searle	M	M30-34								United Kingdom	DNS
1013657	DNS	Feico Tijmstra	M	M50-54								Netherlands	DNS
1013658	DNS	Pamela Kinga Gill	F	F30-34								Canada	DNS
148290	DNS	MAURICE Delabroye	M	M45-49								France	DNS
981294	DNF	Antonio Martí Peris	M	M18-24								Spain	DNF
1013659	DNS	Alejandro Bajo Vargas	M	M40-44								Spain	DNS
1013660	DNS	Oriol Jou Devesa	M	M25-29								Spain	DNS
1013661	DNF	Alaia Goñi Hernaez	F	F18-24			0:39:00	0:08:18				Spain	DNF
683287	DNF	Lucka Hamidouche	M	M25-29			0:34:16	0:05:42	3:32:51	0:01:54		France	DNF
1013662	DNS	Adria Romero Lopez	M	M25-29								Spain	DNS
958637	DNS	Guillaume Pissinis	M	M35-39								France	DNS
1013663	DNF	Llibert Fortuny	M	M45-49			0:28:38	0:04:46	3:35:33	0:03:04		Spain	DNF
1013664	DNS	Jordi Eudal	M	M45-49								Andorra	DNS
885105	DNS	Samuel Vega González	M	M35-39								Spain	DNS
634048	DNS	Tuvia Borok	M	M40-44								Israel	DNS
1013665	DNS	Michiel De Groot	M	M45-49								Netherlands	DNS
1013666	DNF	Sam Shanks	M	M25-29			0:46:15	0:07:36	5:46:45			United Kingdom	DNF
1013667	DNS	Diego Alcalá	M	M30-34								Spain	DNS
854879	DNS	Charline Bouyne	F	F30-34								France	DNS
524886	DNF	Rodolfo Garcia Sanchez	M	M25-29			0:36:31	0:05:58				Mexico	DNF
1013668	DNS	Antonio Escudero Lorente	M	M45-49								Spain	DNS
980261	DNS	Nicolas Eprinchard	M	M45-49								France	DNS
1013669	DNS	Roger Gabarró Solé	M	M30-34								Spain	DNS
274785	DNS	Christian Bouton	M	M60-64								France	DNS
513093	DNF	Sarah Tomalewicz	F	F40-44			0:57:23	0:13:48				United States	DNF
1013670	DNF	Diana Beatriz Gómez Esquinas	F	F35-39			0:40:48	0:13:59	5:39:28			Spain	DNF
553763	DNF	Maarten Baas	M	M55-59			0:46:12	0:11:50				Netherlands	DNF
1013671	DNF	Héctor López Rodríguez	M	M45-49			0:41:04	0:17:14	4:57:06	0:07:16		Spain	DNF
992775	DNS	Chris Cook	M	M45-49								Canada	DNS
974350	DNS	Luisro Bernal Sanchez	M	M40-44								Spain	DNS
206733	DNF	Michael Stollery	M	M70-74			0:51:23	0:09:13	2:43:21			United Kingdom	DNF
850000	DNF	Lotte De Vet	F	F25-29			0:29:49	0:04:17	3:27:01	0:00:56		Belgium	DNF
1013672	DNS	Alejandro Rovira Ventin	M	M30-34								Spain	DNS
149713	DNS	Etienne Diemunsch	M	MPRO								France	DNS
1013673	DNF	Santi Martinez Sese	M	M30-34								Spain	DNF
1013674	DNF	Andi Vietz	F	F25-29			0:46:17	0:11:09	5:37:33	0:04:26		United Kingdom	DNF
244665	DNF	Joaquin Quinonero Candela	M	M45-49			0:53:20	0:14:16	5:03:11	0:05:37		Spain	DNF
1013675	DNS	Euan Cameron	M	M25-29								United Kingdom	DNS
1013676	DNS	Carlos Martin	M	M50-54								United States	DNS
1013677	DNS	Jose Maria Ros	M	M50-54								Spain	DNS
272544	DNS	Hugo Penguilly	M	M35-39								France	DNS
1013678	DNS	Carla Palomar Rivas	F	F25-29								Spain	DNS
43950	DNS	Kent Hauptfleisch	M	M30-34								South Africa	DNS
1011325	DNF	Jeff Morris	M	M45-49			0:46:27	0:09:12				United Kingdom	DNF
250170	DNS	Francisco Gomez Moreno	M	M40-44								Spain	DNS
1013679	DNS	Mike Karch	M	M50-54								United States	DNS
1013680	DNF	Manel Castellano Alcoberro	M	M45-49								Spain	DNF
924892	DNS	Vinicius Canhedo	M	MPRO								Brazil	DNS
856367	DNS	Dayana Amirova	F	F30-34								Kazakhstan	DNS
215645	DNS	Adrien Scapaticci	M	M40-44								France	DNS
1013681	DNS	Magí Moyes Badia	M	M45-49								Spain	DNS
660771	DNS	Alvaro Trigo Puig	M	M25-29								Spain	DNS
977147	DNS	Сергей Алчебаев	M	M35-39								Unknown	DNS
1013682	DNS	Enrique Vazquez Vera	M	M40-44								United States	DNS
1013683	DNS	Baptiste Laher	M	M25-29								Andorra	DNS
912099	DNS	Jared Vermeulen	M	M35-39								United States	DNS
914512	DNS	Michal Grabowski	M	MPRO								Poland	DNS
556776	DNS	Axel Lardoux	M	M50-54								France	DNS
1013684	DNS	Javier Gramage	M	M45-49								Spain	DNS
931635	DNF	Andrey Martovitskiy	M	M45-49			0:47:16	0:09:47				Turkey	DNF
25789	DNF	Katarzyna Stepien	F	F40-44			0:49:22	0:09:31	3:53:58			Poland	DNF
927182	DNF	Karolin Pflaum	F	F30-34								Argentina	DNF
1013685	DNS	Frederic Sourioux	M	M45-49								France	DNS
1013686	DNF	Thomas Lebriez	M	M25-29			0:52:29	0:08:51				France	DNF
290365	DNF	Jacob Fredensborg	M	M35-39								Denmark	DNF
1013687	DNS	Michal Fikus	M	M40-44								Poland	DNS
963100	DNS	Cameron Wurf	M	MPRO								Australia	DNS
1013688	DNS	Guillaume Pidolot	M	M25-29								France	DNS
1013689	DNF	Stevie Christian	M	M30-34								United Kingdom	DNF
968722	DNS	Kyle Lanham	M	M65-69								United States	DNS
918729	DNS	Joe Cant	M	M30-34								United Kingdom	DNS
