ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
1000183	DNS	Alex Mavian	M	M40-44								South Africa	DNS
1000343	DNS	Michael Fraser	M	M55-59								South Africa	DNS
417221	DNS	Robert Du Toit	M	M30-34								South Africa	DNS
1000184	DNS	Pierre Cronje	M	M30-34								South Africa	DNS
1000344	DNS	Ryan Hohenstein	M	M45-49								South Africa	DNS
1000492	DNS	Armand Van Der Merwe	M	M40-44								South Africa	DNS
1000185	DNS	Maritz Van Zyl	M	M40-44								South Africa	DNS
875088	DNF	Marina Le Roux	F	F45-49			1:27:58					South Africa	DNF
95384	DNS	Jacqueline Mary Hawker	F	F30-34								South Africa	DNS
973056	DNS	Ryan Wienand	M	M45-49								Tanzania, United Republic of	DNS
265142	DNS	Mark Bakos	M	M45-49								South Africa	DNS
877909	DNS	Alta-Mari Grebe	F	F40-44								South Africa	DNS
417649	DNS	Richard Terry	M	M50-54								South Africa	DNS
1000345	DNS	Ingrid Burger	F	F45-49								South Africa	DNS
43571	DNS	Bakes Barker	M	M40-44								South Africa	DNS
43181	DSQ	Andrew Barends	M	M55-59								South Africa	DQ
1000346	DNS	Petrie Ehlers	M	M30-34								South Africa	DNS
1000493	DNS	Jordan Peek	F	F25-29								South Africa	DNS
1000186	DNS	Jacey Folcher	M	M65-69								South Africa	DNS
1000347	DNS	Ashley Bell	M	M40-44								South Africa	DNS
418190	DNS	Alisa Louw	F	F25-29								South Africa	DNS
1000187	DNS	Werner Combrinck	M	M40-44								South Africa	DNS
1000348	DNF	Ian Nelson	M	M30-34			0:56:32	0:09:01	3:20:05	0:10:39		South Africa	DNF
1000494	DNS	Charles Pieter Barwise	M	M55-59								South Africa	DNS
1000188	DNS	Gethan Morgan	M	M40-44								South Africa	DNS
1000349	DNS	Dave Mccullough	M	M50-54								South Africa	DNS
1000495	DNS	Barco Fourie	M	M25-29								South Africa	DNS
630620	DNS	Rilet Janse Van Rensburg	F	F25-29								South Africa	DNS
418686	DNS	Casparus Johannes Reinhardt Steyn	M	M30-34								South Africa	DNS
876179	DNS	Sj Swart	M	M35-39								South Africa	DNS
1000189	DNS	Sean Cockroft	M	M35-39								South Africa	DNS
988433	DNS	Brett Anderson	M	M55-59								New Zealand	DNS
1000496	DNS	Gareth Low	M	M40-44								South Africa	DNS
1000190	DNS	Jacqui Pitt	F	F50-54								South Africa	DNS
881682	DNS	Riaan Van Jaarsveld	M	M45-49								South Africa	DNS
42673	DNS	Barry Van Der Merwe	M	M45-49								South Africa	DNS
1000191	DNS	Juan Diaz	M	M40-44								South Africa	DNS
969608	DNS	Alexandra Peel	F	F40-44								South Africa	DNS
265452	DNS	Riaan Van Den Berg	M	M55-59								South Africa	DNS
1000192	DNS	Natasha Finch	F	F30-34								South Africa	DNS
418643	DNF	Jenny Yssel	F	F45-49								South Africa	DNF
1000497	DNS	Nicolaas Janse Van Rensburg	M	M45-49								South Africa	DNS
1000193	DNS	Jean Marais	M	M65-69								South Africa	DNS
881698	DNS	Schalk Pieterse	M	M35-39								South Africa	DNS
875952	DNS	Henry Bailey	M	M30-34								South Africa	DNS
1000194	DNS	Ronsley Williams	M	M45-49								South Africa	DNS
969086	DNS	Johann Jordaan	M	M45-49								South Africa	DNS
1000498	DNS	Guy Alexander	M	M30-34								South Africa	DNS
135831	DNS	Schalk Lotz	M	M45-49								South Africa	DNS
469834	DNS	Miles Herbst	M	M30-34								South Africa	DNS
967337	DNS	Sian Kruger	F	F45-49								Botswana	DNS
1000195	DNS	Caren Oosthuysen	F	F45-49								South Africa	DNS
