ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
992647	DNS	Alexandre Birman	M	M45-49								Brazil	DNS
992648	DNS	Alfredo Julian Pico	M	M65-69								Argentina	DNS
992649	DNS	Rodrigo Zapater Lobo	M	M40-44								Brazil	DNS
975681	DNS	Max Pierre Fernandes Ferreira	M	M35-39								Brazil	DNS
992650	DNS	Fernando Oliveira	M	M40-44								Brazil	DNS
992651	DNS	Ricardo Rodrigues Normando Simoes	M	M45-49								Brazil	DNS
992652	DNF	Carlos Eduardo Esteves Conde Sangenis	M	M45-49			0:43:45	0:05:02	3:56:29	0:06:27	3:27:43	Brazil	DNF
992653	DNS	Luiz Gustavo Andrade Rabelo	M	M35-39								Brazil	DNS
992654	DNF	Julio Cesar Santiago Estrada	M	M25-29			0:46:46	0:04:33	4:07:02	0:05:35	3:22:29	Puerto Rico	DNF
330642	DNS	Pamela Lo Duca	F	F30-34								Brazil	DNS
700733	DNS	Anderson Sobral De Azevedo	M	M40-44								Brazil	DNS
958505	DNS	Andre Ricardo Miranda Dias	M	M55-59								Brazil	DNS
992655	DNS	Igor Saraiva Leao David	M	M40-44								Brazil	DNS
992656	DNS	Andressa Almeida	F	F30-34								Brazil	DNS
992657	DNS	Thomas Jan Roberto Wendland	M	M45-49								Brazil	DNS
88376	DNS	Juan Potschka	M	M40-44								Argentina	DNS
975818	DNS	Francisco Mariano De Sousa Junior	M	M30-34								Brazil	DNS
894691	DNS	Marcus Almeida Calil	M	M35-39								Brazil	DNS
975290	DNF	Ramon Colares	M	M25-29			0:35:20	0:02:33				Brazil	DNF
992658	DNS	Luiz Carvalho	M	M40-44								Brazil	DNS
992659	DNS	Eduardo Melo Goncalves	M	M40-44								Brazil	DNS
551692	DNS	Giovanni Holz Perez	M	M25-29								Brazil	DNS
992660	DNS	Victor Machado Martins Júnior	M	M35-39								Brazil	DNS
975240	DNS	Roberto Roberto Santos Ferreira Filho	M	M35-39								Brazil	DNS
975595	DNS	Janderson Brito Pereira	M	M40-44								Brazil	DNS
954364	DNS	Juan Pellegrini Benítez	M	M30-34								Uruguay	DNS
992661	DNS	Luciano Miranda	M	M45-49								Brazil	DNS
893921	DNS	Igor Ferreira Dos Anjos	M	M40-44								Brazil	DNS
975594	DNF	Lucas De Sousa Guerra	M	M30-34			0:36:46	0:03:05	4:07:37	0:03:45		Brazil	DNF
