ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
957877	DNF	Geneviève St-Georges	F	F30-34			0:35:01	0:10:21	2:52:12	0:13:53		Canada	DNF
908605	DNS	Cristian Secchi	M	M45-49								Italy	DNS
215528	DNS	Monica Beusch	F	F55-59								Switzerland	DNS
986593	DNS	Michael T'Sjoen	M	M40-44								Belgium	DNS
986594	DNS	Giorgio Bertoncello	M	M45-49								Italy	DNS
675017	DNS	Oliver Engel	M	M50-54								Germany	DNS
986595	DNS	Marika Vittadello	F	F45-49								Italy	DNS
972747	DNS	Alexandr Shek	M	M25-29								Kazakhstan	DNS
986596	DNS	Paola Coniglio	F	F45-49								Italy	DNS
930376	DNF	Marco Bendotti	M	M40-44			0:29:25	0:06:50				Italy	DNF
148257	DNF	Bernard Muller	M	M55-59			0:29:36	0:12:23	2:24:41	0:10:14		France	DNF
986597	DNS	Christian Zühlke	M	M40-44								Germany	DNS
986598	DNS	Veronica Cinelli	F	F40-44								Italy	DNS
863180	DNF	Karl Köllnberger	M	M60-64			0:31:15	0:06:51	2:30:48	0:06:26		Germany	DNF
983516	DNS	Rene Charbonneau	M	M40-44								Germany	DNS
946362	DNS	Massimo Camanzi	M	M60-64								Italy	DNS
548851	DNF	Linda Päivinen	F	F35-39			0:42:24	0:12:30	4:15:52	0:09:29	3:21:46	Finland	DNF
986599	DNF	María Ragnarsdóttir	F	F45-49			0:53:03	0:12:49	3:51:24	0:16:22	2:56:20	Iceland	DNF
959262	DNS	Alberto Silvestroni	M	M35-39								Italy	DNS
961167	DNS	Mihai Logofatu	M	M35-39								Romania	DNS
986600	DNS	Mikhail Kalinin	M	M50-54								Italy	DNS
458719	DNS	Vincent Hardy	M	M50-54								United States	DNS
29047	DNF	Thibaut Matti	M	M30-34			0:25:01	0:05:42	2:16:39	0:04:38		Switzerland	DNF
986601	DNS	Philipp Kühnast	M	M30-34								Germany	DNS
986602	DNF	Steinthora Thorisdottir	F	F50-54								Iceland	DNF
946320	DNS	Alessia Busoni	F	F45-49								Italy	DNS
872065	DNF	Slawomir Kapica	M	M50-54			0:34:33	0:09:56				Poland	DNF
201285	DNS	Lido Feri	M	M65-69								Italy	DNS
946299	DNS	Francesco Tambone	M	M45-49								Italy	DNS
929864	DNF	Giovanni Pastorelli	M	M70-74			0:35:55	0:14:50	3:00:39	0:19:55		Italy	DNF
986603	DNF	Vincenzo Vinciguerra	M	M60-64			0:36:56	0:20:16	3:32:05	0:30:27		Italy	DNF
932120	DNF	Zhanat Akuov	M	M35-39			0:34:45	0:11:29	2:38:32			Kazakhstan	DNF
930369	DNS	Claudi Hauth	F	F35-39								Germany	DNS
979186	DNS	Camille Martin	F	F30-34								France	DNS
986604	DNS	Massimiliano Turina	M	M45-49								Italy	DNS
986605	DNS	Matteo Ciavarella	M	M35-39								Italy	DNS
938174	DNF	Louis-Martin Labrecque Harbour	M	M35-39			0:37:09			0:06:14		Canada	DNF
140229	DNS	David Colgan	M	M40-44								Italy	DNS
986606	DNF	Alessandro Tarozzi	M	M30-34			0:30:25	0:06:35	2:23:20	0:06:17		Italy	DNF
973017	DNF	Tamas Harangozo	M	M40-44					2:37:34	0:07:49		Hungary	DNF
986607	DNF	Jónína Vilhjálmsdóttir	F	F55-59								Iceland	DNF
986608	DNF	Prachi Goswami	F	F25-29			0:44:28	0:16:32	4:30:50	0:13:51		India	DNF
436253	DNF	Elodie Raymond	F	F45-49			0:40:13	0:14:35	3:41:34	0:14:03	3:42:55	France	DNF
871777	DNS	Andrea Bergamini	M	M45-49								Italy	DNS
408445	DNF	Marc Parés	M	M40-44			0:35:56	0:10:18				Spain	DNF
420386	DNF	Basak Sayar	F	F30-34			0:58:52	0:17:56	4:13:05	0:12:21	2:55:07	Turkey	DNF
986609	DNF	Giovanni Viscomi	M	M30-34			0:26:04					Italy	DNF
181073	DNS	Luca Renzi	M	M40-44								Italy	DNS
674305	DNS	Rúnar Bragason	M	M50-54								Iceland	DNS
986610	DNS	Chantal Bieri	F	F25-29								Switzerland	DNS
871880	DNS	Fabrizio Tovani	M	M55-59								Italy	DNS
965120	DNS	Kerstin Kaulich	F	F50-54								Germany	DNS
986611	DNS	Michele Viotti	M	M30-34								Italy	DNS
986612	DNF	Felicity Barrow	F	F55-59			0:49:11	0:11:00	3:52:11	0:10:14	3:00:16	United Kingdom	DNF
986613	DNF	Matteo Barchi	M	M35-39			0:32:15	0:10:19	2:31:56	0:12:25		Italy	DNF
986614	DNF	Bernarda Torres Baca	F	F30-34			0:38:21	0:12:46	3:59:27	0:09:56	3:13:00	Ecuador	DNF
212998	DNS	Mariasole Ghidini	F	F35-39								Italy	DNS
410123	DNS	Juergen Penert	M	M60-64								Germany	DNS
986615	DNS	Nicola Ponzoni	M	M35-39								Italy	DNS
580044	DNF	Benoit Regnier	M	M45-49			0:33:45	0:09:11	2:28:07	0:10:59		France	DNF
579900	DNS	Peter Bakker	M	M50-54								Netherlands	DNS
408742	DNF	Matthieu Druart	M	M40-44			0:35:40	0:13:55	4:02:21	0:12:31		France	DNF
329288	DNS	Alessandra Marzadori	F	F55-59								Italy	DNS
986616	DNF	Quirine Van Swaay	F	F25-29			0:37:22	0:11:59	4:06:22	0:13:29		Switzerland	DNF
675770	DNS	Andrea Suriani	M	M35-39								Italy	DNS
889348	DNF	Christoph Grün	M	M40-44			0:30:17	0:06:56	2:41:33	0:16:34		Austria	DNF
876794	DNF	Juraj Orsag	M	M45-49			0:35:59	0:12:18	2:53:14	0:12:42		Slovakia	DNF
986617	DNF	IULIIA DINKAEVA	F	F25-29			0:45:24	0:14:25	4:26:58	0:13:42	2:54:20	Unknown	DNF
675864	DNF	Kurt Brawand	M	M65-69			0:32:47	0:08:24				Switzerland	DNF
138542	DNF	Andreas Konrad	M	M50-54			0:33:38	0:06:25				Austria	DNF
986618	DNS	Fabio Castelli	M	M50-54								Italy	DNS
870974	DNS	Fabio Parizzi	M	M55-59								Italy	DNS
847593	DNS	Alessio Lulli	M	M35-39								Italy	DNS
886409	DNF	Julien Viennot	M	M30-34			0:26:51	0:07:10	2:41:17	0:10:57		France	DNF
986619	DNS	Andrea Furini	M	M45-49								Italy	DNS
871498	DNF	Erio Ferracani	M	M55-59			0:44:51	0:19:39	4:13:35	0:11:35	2:32:31	Italy	DNF
986620	DNF	Ramy Mikhael	M	M35-39			0:46:59	0:12:03	4:05:08	0:11:55	2:59:43	Egypt	DNF
986621	DNS	Federico Tasso	M	M40-44								Italy	DNS
932339	DNS	Fariz Mammadov	M	M35-39								Azerbaijan	DNS
