ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
5cf84866-5eda-40a8-8ba8-fbf5e774c5f9	1	CHANG TAI LI	M	M30-34	1	5:13:49	0:32:27	0:03:43	2:54:10	0:02:01	1:41:28	TW	
00864775-7827-4f08-9f3c-019be0449c21	2	Cheng Tai Wu	M	M25-29	1	5:23:31	0:28:02	0:03:24	2:47:03	0:03:45	2:01:16	TW	
fefc168a-9d7d-43fb-b72f-d782f1c48196	3	Jui Cheng Wei	M	M45-49	1	5:23:45	0:37:39	0:03:52	2:53:57	0:02:40	1:45:38	TW	
09efb114-a767-4fe0-9b51-8996e1445e5e	4	Matthieu Boidin	M	M35-39	1	5:25:25	0:28:14	0:04:56	2:46:34	0:02:05	2:03:35	TWN	
bd7c2e45-3bed-4661-b379-b0851420e5f7	5	Kuang-Wu Liu	M	M35-39	2	5:28:38	0:35:01	0:03:11	2:58:44	0:02:59	1:48:43	TW	
04279a81-73c7-4986-9a54-0e587c0ee64c	6	Daniel Ray	M	M35-39	3	5:31:30	0:38:50	0:06:25	3:00:23	0:05:03	1:40:50	TW	
e8fbcc9f-18c2-41bb-8815-170dfc540a16	7	銘漢 顏	M	M40-44	1	5:31:58	0:41:10	0:04:23	2:54:21	0:01:35	1:50:29	TW	
38382d68-a921-40a2-ae24-a8c496d4f885	8	Giorgio Pappalardo	M	M45-49	2	5:34:41	0:30:11	0:05:07	2:56:38	0:02:56	1:59:49	TWN	
c5055715-8d5a-4df3-ad4a-70ac9a10fa81	9	Zhen-Dong Wu	M	M50-54	1	5:35:53	0:40:33	0:04:43	2:52:45	0:02:11	1:55:41	TW	
e05e202b-ff7b-43c9-af07-b35437806bdc	10	Chih Wei Liu	M	M40-44	2	5:37:10	0:37:58	0:05:34	2:46:51	0:03:49	2:02:58	TW	
36dfaeca-943c-4484-a158-02df68f1935e	11	Toshiya Honda	M	M50-54	2	5:39:04	0:39:24	0:04:44	2:51:47	0:02:59	2:00:10	TW	
b2b94474-bd19-4aa9-ae6b-29bc4ae5513c	12	Yu-Che Cheng	M	M30-34	2	5:39:08	0:35:36	0:03:24	2:58:36	0:03:28	1:58:04	TWN	
54441de0-544e-4139-a26a-e4aa1175989b	13	Inigo Gisbert	M	M45-49	3	5:39:17	0:39:38	0:08:07	2:48:50	0:04:56	1:57:46	TW	
70857a4d-b43a-46f7-8355-45e4d23a010b	14	Yu-Ching Chen	M	M40-44	3	5:40:37	0:44:03	0:04:59	2:54:02	0:03:35	1:53:56	TW	
7fd0d872-8d0b-47fd-9ebc-b4c519827731	15	Hong-Bin Liang	M	M30-34	3	5:41:05	0:46:46	0:06:38	2:49:18	0:02:50	1:55:34	TW	
cf765aea-8a0b-430c-a318-aae412d1cd69	16	Chintien Hsu	M	M50-54	3	5:41:30	0:45:04	0:04:27	2:57:13	0:02:09	1:52:37	twn	
4f035614-5813-4eac-a8af-267676bddc4d	17	Yumin Lin	M	M30-34	4	5:41:47	0:36:36	0:05:45	2:52:37	0:03:08	2:03:41	TW	
2bbb3254-e99b-42fd-bf29-55538a9854ee	18	Shih  Kuan Chen	M	M50-54	4	5:42:26	0:31:52	0:04:36	3:01:48	0:03:13	2:00:57	TW	
7d33c2fa-c096-458d-9c8f-0ce9708c46f5	19	Benjamin Sherry	M	M30-34	5	5:44:06	0:32:20	0:05:10	3:02:39	0:03:02	2:00:55	AU	
75e36129-6c3c-46c6-9985-e5b24c89a2f3	20	Chichong Chen	M	M40-44	4	5:44:47	0:40:51	0:05:46	3:03:45	0:02:11	1:52:15	TW	
0d31e84c-caaa-4481-96b7-64c1a9adce21	21	Yang-Hsin Shih	M	M30-34	6	5:44:59	0:30:37	0:04:34	3:10:45	0:02:32	1:56:30	TWN	
3fd5a801-e2dc-4a67-b67d-ec19363cc727	22	Jiun-Wei Liu	M	M35-39	4	5:45:22	0:37:04	0:04:47	2:58:07	0:03:10	2:02:13	TW	
38bbb829-d656-4d61-92f7-2e3f01e1d7ee	23	Yun Che Lu	M	M25-29	2	5:46:04	0:36:18	0:04:04	2:52:23	0:03:51	2:09:28	TW	
2f84ca97-64a5-4dec-9f50-c94d9d64d101	24	HSIEN CHIH LI	M	M40-44	5	5:46:37	0:30:43	0:03:57	3:02:02	0:02:27	2:07:29	TW	
15876db7-1adf-4e5f-ba9d-fbc9f1413084	25	Hsiao Ting Hung	F	F35-39	1	5:47:52	0:38:36	0:05:59	3:05:28	0:02:41	1:55:07	TW	
9a8275ab-309c-4531-baec-a704ceaac9e1	26	Chao Hsien Shen	M	M40-44	6	5:48:39	0:42:37	0:04:33	2:57:58	0:02:59	2:00:32	TW	
98c8b68d-34f0-4b15-8596-b836e1e8b931	27	Wei Lee	M	M30-34	7	5:48:58	0:29:43	0:04:58	2:58:58	0:02:14	2:13:04	TW	
2e07275b-70a6-4c6d-a949-d9a191756427	28	Hsiang-Hsuan Kung	M	M40-44	7	5:50:10	0:38:52	0:05:19	2:57:19	0:03:41	2:04:58	TW	
3890cf1b-ea10-4ab5-95ca-1dba61cd72ea	29	傑堯 楊	M	M30-34	8	5:52:20	0:41:10	0:04:06	3:00:52	0:03:00	2:03:11	TW	
196f7e27-e59e-4420-b194-b42771cfe7ad	30	Wen Hsiang Chen	M	M40-44	8	5:52:26	0:43:31	0:04:12	3:01:04	0:03:37	2:00:02	TWN	
85ba4a6a-01d4-4fb9-88da-45a8171905b1	31	Yi-An Chien	M	M35-39	5	5:54:10	0:37:04	0:04:46	3:02:04	0:03:34	2:06:43	TW	
a4c22bba-40a1-483d-90f6-0fe551a1ff82	32	Shih-Ming Wang	M	M30-34	9	5:54:33	0:36:29	0:04:41	3:00:42	0:04:10	2:08:30	TW	
c0d8b041-808b-4622-b0ba-7481845a75c2	33	Tien Ching Chung	F	F30-34	1	5:57:03	0:45:02	0:06:41	2:58:34	0:04:00	2:02:45	TW	
82d46963-0258-4ddc-97fc-36ec8abd64b8	34	YA FAN LIN	M	M35-39	6	5:57:20	0:43:14	0:05:23	3:04:14	0:02:41	2:01:48	TW	
9630b0be-cb7b-4dd8-8761-8fc300b7ed6d	35	Ming-Yi Lee	M	M35-39	7	5:57:54	0:37:29	0:04:34	3:09:17	0:03:18	2:03:16	TW	
94d8fb9f-0094-4959-b50c-b572ce638735	36	Cheng-Hsun Lu	M	M25-29	3	5:57:55	0:34:34	0:03:27	3:08:25	0:02:36	2:08:52	TW	
b26d83a6-c664-43b9-b1e2-2f17c1a811ff	37	CHIEN-HSUN CHEN	M	M50-54	5	5:57:59	0:37:30	0:04:50	3:05:15	0:03:29	2:06:56	TW	
7548b1fc-832f-4f26-ad65-34783bb1d61a	38	Ilang Lin	M	M40-44	9	5:58:15	0:47:50	0:08:09	3:01:39	0:04:55	1:55:42	TWN	
1fa6d2c4-7778-47ca-8dc0-f015582dd945	39	Chih Ching Chung	M	M50-54	6	5:58:35	0:42:38	0:08:16	3:09:19	0:05:31	1:52:51	TW	
848d53a2-0455-4d32-b9c9-fe88a7d3d68f	40	Shih-Hsien Kuo	M	M40-44	10	5:59:18	0:41:05	0:06:42	3:04:35	0:05:53	2:01:03	TW	
a11b4358-6d6e-4209-8b11-ddcace048297	41	Hang Cheng Chen	M	M40-44	11	5:59:22	0:40:51	0:05:25	2:51:01	0:03:21	2:18:43	TW	
a6b21df9-4d52-43f1-9981-f56cb3cad46e	42	Kuofeng Hsu	M	M35-39	8	5:59:44	0:42:17	0:04:49	2:54:59	0:02:34	2:15:04	TW	
bfc576fa-3d09-444f-a8d5-59a333e79522	43	CHIA-MING SUNG	M	M40-44	12	6:00:01	0:44:03	0:05:56	3:04:34	0:05:13	2:00:14	TW	
6d47b24d-ce89-4077-9418-e2bea9bb7749	44	CHING HAO YANG	M	M25-29	4	6:01:22	0:38:55	0:06:32	3:05:50	0:03:57	2:06:09	TW	
ec5c3d13-d3ba-4369-917d-ce26f3da6b40	45	Li-Chueh Ma	M	M35-39	9	6:01:37	0:38:41	0:04:31	3:04:45	0:02:29	2:11:11	TW	
850abb93-5015-4e33-8e99-b80c937ead91	46	Keigo Pon	M	M40-44	13	6:02:37	0:40:49	0:03:59	2:46:36	0:04:41	2:26:32	TW	
a57ffb2a-88f0-4bc8-9fa1-7179c4695b1e	47	Tsunghan Teng	M	M40-44	14	6:03:09	0:48:18	0:05:57	2:59:44	0:03:32	2:05:38	TW	
1b3baaba-0092-43ca-82fe-3fb68bde91ff	48	Roland Claassen	M	M30-34	10	6:04:40	0:36:29	0:08:01	3:01:17	0:05:20	2:13:33	TWN	
b87c27ae-f85d-4db7-b928-6c84cebf51e1	49	Ceri Lines	M	M55-59	1	6:06:11	0:42:59	0:06:21	3:05:58	0:05:06	2:05:47	TWN	
3fb04a07-87ab-460d-9ecb-15c4e73bdc2c	50	Chang Tai Wei	M	M30-34	11	6:06:50	0:42:35	0:06:52	3:04:46	0:05:34	2:07:03	TW	
3134a375-4c73-4130-b456-f25e8c796e41	51	Max Yu	M	M40-44	15	6:07:25	0:36:17	0:03:43	3:04:27	0:03:02	2:19:55	TW	
fdabfdbe-2095-4c39-82a8-33d9424212cd	52	Chen Chi Lin	M	M45-49	4	6:09:17	0:44:19	0:04:59	3:14:18	0:03:09	2:02:30	TW	
2a2e4da3-6405-4e00-9b87-733827bd954c	53	Kuo Hui Hsi	F	F35-39	2	6:09:33	0:42:48	0:05:33	3:11:39	0:02:36	2:06:58	TW	
c043f3c0-a911-4f8d-ae8f-cc0b07779d05	54	Ming-Hong Tsai	M	M50-54	7	6:09:51	0:40:41	0:03:53	3:14:31	0:03:14	2:07:32	TW	
0afed09b-0036-4103-b64b-394aa930b40f	55	Sheng-Fong Chiang	M	M40-44	16	6:10:01	0:37:18	0:05:53	3:07:57	0:04:25	2:14:29	TW	
b9faaf90-4419-4b70-883e-98da8a2f913a	56	MINCHUNG SHIH	M	M45-49	5	6:10:12	0:39:43	0:03:46	3:08:25	0:02:38	2:15:41	TW	
6b68d3d0-db26-4df9-bcfd-fb86703eb5be	57	萬得 李	M	M45-49	6	6:10:19	0:44:58	0:07:27	3:04:10	0:03:31	2:10:13	TW	
8ce4f0db-f4dd-4997-900b-849d313380a2	58	彥伯 潘	M	M25-29	5	6:10:37	0:36:10	0:05:27	2:59:51	0:03:43	2:25:25	TW	
f0d39ccb-ecdf-4e5e-8937-e9b309f14afe	59	Victor Yang	M	M40-44	17	6:11:11	0:41:52	0:08:13	3:11:37	0:06:17	2:03:12	TW	
946bfec6-be25-4907-ad2e-57bb73a1381c	60	Yung-Yi Fan	M	M40-44	18	6:11:54	0:36:53	0:07:31	2:43:32	0:04:39	2:39:19	TW	
1a5d9ea0-d2fe-4479-93a4-7b51ddfbe439	61	Liang-Hsueh Chien	M	M30-34	12	6:12:17	0:30:46	0:03:32	3:08:07	0:03:48	2:26:05	TW	
35a3a5e8-7b75-439f-8070-ee679a9f5cb2	62	Jun Fu Chen	M	M35-39	10	6:13:53	0:45:48	0:03:43	2:55:16	0:02:12	2:26:55	TW	
ab76afe4-62f2-4bf7-b0d5-66a5629b7ad9	63	Mu-Lin Liao	M	M60-64	1	6:15:21	0:41:19	0:04:05	2:59:54	0:02:05	2:27:59	TWN	
7b191b49-80a3-413c-b5d7-5aa08e65f67b	64	Hsu-Sheng Chen	M	M40-44	19	6:15:52	0:40:47	0:06:42	3:09:49	0:07:40	2:10:54	TW	
08a4b3c8-d988-4a2e-82d9-4c9c7cd6288d	65	Sheng-Hung Lin	M	M35-39	11	6:16:40	0:41:23	0:05:41	3:01:46	0:03:31	2:24:19	twn	
ca9089a4-c934-43d6-abbd-2891fada7992	66	Yu-Jen Chiu	M	M35-39	12	6:16:58	0:36:32	0:06:01	3:11:35	0:05:47	2:17:03	TW	
36f18811-cd1e-43e6-ac49-007d4ee3081d	67	Hau Liu	M	M25-29	6	6:16:58	0:37:52	0:05:41	3:12:41	0:02:58	2:17:46	TW	
94dcdf25-0f90-42fb-ad32-2bec09efdf9c	68	Derek Chen	M	M40-44	20	6:18:20	0:39:10	0:06:18	3:01:42	0:03:26	2:27:44	TW	
48421b98-a0f8-4665-99fb-bbaac158c4b1	69	CHIEN-YI LI	M	M30-34	13	6:18:58	0:39:28	0:07:19	3:16:58	0:03:45	2:11:29	TW	
161a9eba-9b6a-41ec-b6b9-5e1e7ecafe88	70	CHENG-HSIUNG HUANG	M	M50-54	8	6:19:09	0:40:20	0:05:22	3:07:35	0:03:51	2:22:02	TW	
8cf3e909-6e8f-407a-afd5-b33abefa6e26	71	Chien Hsiang Wang	M	M45-49	7	6:20:04	0:42:57	0:06:09	3:14:39	0:05:31	2:10:49	TWN	
d6704ab3-49e2-4212-b10b-262f574d12db	72	shih-chang chou	M	M40-44	21	6:20:08	0:47:50	0:08:52	3:12:22	0:04:22	2:06:42	TW	
ba059ffc-c8a2-4ce4-aaa7-b2bdaf6f8ac1	73	JIA - WEI WU	M	M45-49	8	6:20:12	0:45:06	0:06:29	3:06:58	0:04:24	2:17:15	TW	
d88baed4-cd90-46e2-8ebb-cc05460e46ed	74	Yuying PENG	M	M50-54	9	6:20:23	0:35:03	0:06:05	3:10:43	0:03:26	2:25:07	TW	
733f0d42-c0c4-4ad6-b313-aa375b07136f	75	Xin Bo Zeng	M	M30-34	14	6:21:10	0:40:33	0:08:31	3:06:31	0:04:57	2:20:39	TW	
c6965310-352c-4609-9d8a-1aa2f40084e3	76	Chihwei Wu	M	M35-39	13	6:21:35	0:31:30	0:05:54	3:06:18	0:04:01	2:33:51	TW	
e7a8871b-dd74-4f95-a91f-6cf24a149afc	77	CHING-WEN YU	M	M45-49	9	6:22:20	0:43:23	0:07:26	3:14:32	0:03:33	2:13:26	TW	
cb00002c-2750-41f4-9f41-1504ebbea80d	78	James Yen	M	M35-39	14	6:22:35	0:39:19	0:06:43	3:25:12	0:04:52	2:06:29	TW	
901ac777-5dcb-4d2c-926e-d63ba4c944ac	79	Chia-Hsing Hung	M	M55-59	2	6:23:18	0:40:39	0:05:01	3:20:12	0:04:20	2:13:07	TW	
a48004f4-1103-4be4-a18e-c2f241d15740	80	Dong Han Lee	M	M45-49	10	6:24:09	0:44:23	0:09:06	2:49:48	0:06:01	2:34:51	TW	
daeda482-e11e-40c6-93a8-90d82754f7e2	81	CHUNG-PIN TSENG	M	M40-44	22	6:24:11	0:43:40	0:06:32	3:06:07	0:05:24	2:22:28	TW	
723a2aa0-0902-4b87-8808-3d016b617f35	82	Elbert Cho	M	M45-49	11	6:24:14	0:51:51	0:07:01	3:01:06	0:06:10	2:18:05	TW	
e523f73c-b0bd-484c-9184-4adbbb127745	83	HSING SU	M	M55-59	3	6:24:46	0:39:39	0:06:38	3:15:10	0:02:50	2:20:29	TW	
375df143-b146-4021-8763-306b638be996	84	WEIMING HSU	M	M45-49	12	6:26:05	0:46:40	0:04:40	3:13:27	0:04:26	2:16:52	TW	
6030fa19-afe4-41d4-a500-845aee8a3b7b	85	Tzehsin Chang	F	F40-44	1	6:26:19	0:46:01	0:07:38	3:17:48	0:04:51	2:10:02	TW	
c8c70e2e-bbd2-4541-a517-6740a3c89c10	86	Chan Rong Chen	M	M30-34	15	6:26:53	0:42:42	0:09:14	3:26:26	0:06:22	2:02:09	TW	
0e6c55d0-5627-4721-9ef2-ecc62ce1e22b	87	Jaime Molloy	M	M35-39	15	6:27:02	0:37:47	0:06:27	3:11:51	0:05:29	2:25:28	TW	
655c68dd-d730-439c-99c2-b9e6ac41774c	88	Kun Chih Chang	M	M30-34	16	6:27:51	0:47:21	0:06:38	3:10:50	0:03:47	2:19:16	TW	
3b3dc142-a68f-4a7f-8b43-3173cd6378c7	89	Chi-Wei Lin	M	M35-39	16	6:27:55	0:49:22	0:09:20	3:04:50	0:05:40	2:18:42	TW	
bd5bd003-d619-ed11-b83e-000d3a590b05	90	Sheng Jie Huang	M	M40-44	23	6:27:59	0:42:49	0:09:29	3:09:33	0:05:59	2:20:08	TW	
90150a01-680e-4e33-98c3-f15e32764075	91	CHIH WEI TSAO	M	M40-44	24	6:28:15	0:46:26	0:06:41	3:11:27	0:03:04	2:20:37	TW	
86753200-f11b-f011-9989-000d3a5b7c3b	92	Season Yeung	F	F30-34	2	6:29:37	0:43:54	0:07:32	3:11:33	0:08:47	2:17:51	HK	
e5fa638e-a2ca-4822-b7eb-8a5463bfd43b	93	Yu-Hsiu Lin	M	M35-39	17	6:29:45	0:41:14	0:07:36	3:10:13	0:04:54	2:25:49	TW	
aa74d00b-f29e-4203-b8ab-ee459c540b44	94	SU LIN LI	M	M35-39	18	6:29:48	0:44:47	0:11:18	3:08:45	0:04:00	2:20:58	TW	
d530f107-7ca4-4cd4-a9b8-19a196f7206c	95	ZIH-SHUO WANG	M	M45-49	13	6:29:56	0:46:49	0:06:39	3:16:58	0:04:27	2:15:03	TW	
17363503-8da4-448a-9778-5b98a29d25a1	96	Ge Sian Kang	M	M35-39	19	6:30:01	0:36:56	0:03:50	3:13:04	0:01:54	2:34:18	TW	
8aa1c3c3-4ccf-4e46-9f55-c235ae62dc4f	97	Chungkai Yang	M	M45-49	14	6:30:30	0:40:23	0:08:20	3:07:14	0:03:41	2:30:53	TW	
