ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
e9ec7f38-eb2c-46bf-ace8-a70372bb5ba3	1	Toma Alexandru	M	M30-34	1	4:18:47	0:24:32	0:02:32	2:17:06	0:02:59	1:31:38	RO	
dbf7e6c3-13f8-44f4-ab6e-9198798b2ecd	2	Alexey Oreshin	M	M35-39	1	4:22:54	0:33:19	0:02:27	2:13:13	0:01:28	1:32:27	SG	
c9bd9163-d884-4822-b78d-8bb7954840c9	3	Assad Attamimi	M	M45-49	1	4:26:36	0:28:23	0:02:27	2:29:29	0:01:21	1:24:54	SG	
6cb513c2-2b37-4ca3-a71f-cb73f454ec3a	4	Pierre-Marie Pautard	M	M30-34	2	4:29:26	0:31:10	0:02:10	2:25:39	0:01:38	1:28:48	KR	
07628147-33a3-43ff-930d-17491a074600	5	Ulli Birner	M	M30-34	3	4:30:56	0:31:26	0:04:31	2:25:01	0:02:17	1:27:40	DE	
0292f5de-0ae0-4445-941a-56ab737474f0	6	Jaray Jearnai	M	M40-44	1	4:33:43	0:28:39	0:02:39	2:29:14	0:02:31	1:30:39	TH	
8a13ff50-67df-4f14-af1c-c08b05b13f3f	7	Tony Van Eck	M	M30-34	4	4:36:46	0:36:30	0:04:00	2:29:34	0:02:23	1:24:18	sgp	
05544468-9238-4f78-b602-b89d16efddc3	8	Wouter Duyck	M	M30-34	5	4:36:52	0:32:11	0:02:28	2:25:49	0:02:11	1:34:13	SG	
d2eae379-7afb-42d4-9405-feab5c2280f4	9	Narit Nawong	M	M25-29	1	4:40:20	0:30:49	0:03:00	2:26:50	0:01:41	1:38:00	AU	
510b3724-0b97-4d05-ad3c-acf4f90c99a1	10	Nicolas Philippe	M	M40-44	2	4:40:25	0:32:10	0:02:36	2:30:02	0:02:23	1:33:14	HK	
46da8b16-dce0-43f7-a474-1fa3b9281c05	11	Philipp Kloeber	M	M35-39	2	4:43:32	0:32:55	0:03:03	2:27:24	0:03:08	1:37:01	SG	
163215a2-bd61-46fc-a3de-331d9b866870	12	Youri Lavoine	M	M40-44	3	4:44:30	0:32:05	0:02:52	2:24:38	0:02:44	1:42:11	SG	
5b9be28f-5792-4bdc-956c-02ae972b63fa	13	Florian Deichmann	M	M40-44	4	4:45:51	0:43:06	0:02:57	2:28:25	0:01:54	1:29:29	VN	
13efa1e7-6d0b-45ec-ab69-c36b1cf1210b	14	Richard Hall Jr	M	M30-34	6	4:46:30	0:28:56	0:04:30	2:32:48	0:05:07	1:35:09	US	
f2db2d19-4500-4dbd-95b0-2f9b7cb41326	15	Ling Er Choo	F	F35-39	1	4:47:30	0:31:39	0:03:18	2:34:50	0:01:54	1:35:48	SG	
f3b5a384-1bc6-4a90-b538-3e3295c7f34f	16	Nathapat Sirimongkolpan	M	M30-34	7	4:47:55	0:37:46	0:03:25	2:33:51	0:03:01	1:29:52	TH	
ffb72884-29e5-4045-a3f7-8cdb678496c8	17	Ewin Teo	M	M40-44	5	4:48:44	0:32:00	0:03:10	2:29:08	0:02:46	1:41:40	SG	
18e8d6ce-8daa-4a21-a97f-1633e7a97696	18	Sergio Rodriguez	M	M30-34	8	4:49:03	0:31:07	0:03:50	2:32:44	0:02:48	1:38:34	HKG	
b44ce32e-9319-44f6-8adf-d3a4e109ffa5	19	Guillaume Lannes	M	M35-39	3	4:49:11	0:28:20	0:03:20	2:33:32	0:02:00	1:41:59	sgp	
07469551-fdc0-47a4-a0ca-da7a1c0978d6	20	David Aldea	M	M40-44	6	4:49:25	0:28:35	0:02:53	2:29:13	0:02:30	1:46:14	TH	
04799e6c-dec7-4cdb-9d4c-1386607a0aa7	21	Lasse Daene	M	M25-29	2	4:50:30	0:30:35	0:02:39	2:25:07	0:03:34	1:48:34	SG	
dbec5365-1fb9-4c0b-9ebe-482362dd1e93	22	Eugene Oelofse	M	M40-44	7	4:52:34	0:32:03	0:02:27	2:35:26	0:01:43	1:40:54	ZA	
dba8644c-8799-4960-9f1b-c7325621de3d	23	Ziq Junaidy	M	M25-29	3	4:52:40	0:32:36	0:04:05	2:38:47	0:02:20	1:34:52	MY	
81f14d07-35af-4663-a509-fb8b5ed735ec	24	Peter Havas	M	M45-49	2	4:52:52	0:36:37	0:03:18	2:19:45	0:02:07	1:51:04	HU	
267755ce-dc2a-40fc-8a61-8462553ab33a	25	Eike Andre Weinberg	M	M30-34	9	4:54:00	0:36:20	0:03:23	2:30:18	0:02:39	1:41:20	SG	
2fbab473-492f-4eee-a533-d6b8277d846c	26	Anirut Dumluck	M	M30-34	10	4:54:02	0:30:33	0:03:10	2:31:12	0:02:38	1:46:30	TH	
e35e79db-7445-4d61-84cb-98212157c981	27	Thanachat Kongudom	M	M30-34	11	4:55:17	0:40:32	0:03:07	2:35:14	0:02:35	1:33:49	TH	
1a682f06-6112-425f-9d37-406d75db2dcd	28	Luciano Cappello	M	M30-34	12	4:55:20	0:32:31	0:03:14	2:40:17	0:02:25	1:36:52	DK	
48efeced-4aec-4a6c-91ac-27d8be96aeaa	29	Jhan Yong Chan	M	M30-34	13	4:56:40	0:32:29	0:02:38	2:43:16	0:01:55	1:36:20	MYS	
4a10e4a2-be79-4a7f-b7dd-931a20c96e47	30	Gregoire Sauve	M	M45-49	3	4:56:46	0:34:00	0:03:29	2:37:09	0:03:07	1:39:01	FR	
d4937e82-9b6c-4f74-97d6-ecaca49adef9	31	Jayce Homersham	M	M30-34	14	4:58:28	0:35:46	0:03:10	2:37:04	0:02:36	1:39:52	SG	
b19c27d8-1f41-4d16-ada4-a19a1aabc2d9	32	Alfredo Molinas	M	M30-34	15	4:58:52	0:31:30	0:03:05	2:37:36	0:02:20	1:44:20	SG	
70884e12-a716-4e90-943e-f4dcaac0032a	33	Saha Bhasavanich	M	M45-49	4	4:59:26	0:37:31	0:04:32	2:33:15	0:02:50	1:41:18		
30b7fcfe-0ff8-489a-a919-ed41cca2d648	34	Herve Conseil	M	M50-54	1	5:00:22	0:36:07	0:04:03	2:31:13	0:03:43	1:45:16	NL	
4e1ed63b-a358-4de9-92af-f2c338c421f7	35	Daniel Mew	M	M30-34	16	5:00:57	0:31:08	0:02:53	2:40:44	0:02:18	1:43:54	SG	
ea306ba6-00a3-4861-ab59-b7d98272393c	36	Davy Rosseel	M	M45-49	5	5:03:10	0:31:53	0:04:43	2:47:38	0:03:38	1:35:18	BE	
f01824e3-3f87-4442-b8d5-df44df201f0b	37	Andreas Enderlin	M	M45-49	6	5:03:54	0:36:53	0:03:01	2:43:36	0:02:50	1:37:34	SG	
328d3ee6-9e39-4c37-932a-44e811737991	38	Nico Ng	M	M25-29	4	5:03:56	0:35:01	0:04:16	2:49:09	0:02:37	1:32:52		
fb36906e-6302-4baf-a44d-04ef35f30cbc	39	Jason Walker	M	M35-39	4	5:05:20	0:35:19	0:03:57	2:34:23	0:02:29	1:49:12	MY	
feee8b45-2d51-4ee0-8c78-59b4a88d28c4	40	Rie Watanabe	F	F40-44	1	5:06:33	0:37:18	0:04:08	2:39:26	0:03:20	1:42:22	JP	
c5f0c590-de13-44d0-8bfd-36ef9bc08c9e	41	Russell Van Der Water	M	M45-49	7	5:06:40	0:36:24	0:04:57	2:36:04	0:03:03	1:46:11	SG	
dc70c549-d7c3-465e-be51-821fe8ee1dcb	42	Nattanun Khanteetao	M	M30-34	17	5:06:52	0:40:56	0:03:06	2:34:58	0:03:08	1:44:44	TH	
a51c41c2-6b78-424a-ae8a-4c9d3ab6fd81	43	Jennifer Dowey	F	F40-44	2	5:07:25	0:35:43	0:04:13	2:42:46	0:03:32	1:41:12	SG	
d9063492-f614-437e-b4b6-74d4d0148ece	44	June Liang Lim	M	M30-34	18	5:08:28	0:31:25	0:04:00	2:37:27	0:03:04	1:52:32	SG	
b17a086d-8db5-4b66-bdbd-c78d24299638	45	Martin Arias Tinoco	M	M35-39	5	5:08:31	0:43:31	0:07:41	2:39:23	0:04:26	1:33:31	sgp	
d73ee95e-04af-41d7-a571-077690ff66a1	46	Stéphanie Pezot	F	F30-34	1	5:08:39	0:35:45	0:03:48	2:46:25	0:02:54	1:39:47	FR	
56f94ef4-1d4a-43db-8c9b-35f708498358	47	Szymon Gross	M	M40-44	8	5:08:40	0:42:24	0:04:32	2:41:21	0:03:07	1:37:16	PL	
97bb04aa-4da1-4d8d-8414-17aba17baf92	48	Matt Pritchard	M	M45-49	8	5:08:42	0:36:13	0:02:43	2:38:41	0:02:17	1:48:47	MY	
9aa6adb0-17b9-e911-a97a-000d3a3740b7	49	Mohd Syafiq Bin Ahmad	M	M30-34	19	5:09:12	0:44:34	0:05:11	2:29:45	0:04:55	1:44:47	MY	
429a5cde-f96d-465f-8b6c-ec40cea83a11	50	Jonathan Matthews	M	M45-49	9	5:11:26	0:40:20	0:05:05	2:43:25	0:02:50	1:39:46	SG	
74505393-1a50-4a67-a622-8088c7ef6f58	51	Louie Francis G Marquez	M	M35-39	6	5:11:42	0:29:25	0:04:11	2:46:19	0:04:13	1:47:35	PH	
8d7d6891-9c95-47f4-8100-e52492d24c32	52	Shun Sato	M	M40-44	9	5:13:21	0:33:58	0:04:32	2:47:02	0:03:41	1:44:09	JP	
cb0b50b9-eb0b-4f10-a743-086342ec59e8	53	Tristan Chiappini	M	M40-44	10	5:13:27	0:33:16	0:06:58	2:39:20	0:05:04	1:48:48	SG	
eb674d64-7f65-4a03-8c51-e4a672b3a7d9	54	Vincent Lerouvillois	M	M40-44	11	5:13:35	0:38:07	0:03:02	2:46:26	0:02:17	1:43:43	MY	
52b990de-7cfd-4c0f-8ca2-54ac390c62b7	55	ABDUL RAHMAN BIN ABU HASSAN RAHMAN	M	M35-39	7	5:13:40	0:34:04	0:03:17	2:36:28	0:02:49	1:57:02	MY	
62db6b1a-3402-4435-93ec-9cc7f01a7d5d	56	Ken Forbes	M	M40-44	12	5:14:05	0:40:53	0:05:33	2:47:02	0:03:52	1:36:45	SG	
