ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
951378	DNS	Thais De Carvalho Campos	F	F35-39								Brazil	DNS
951379	DNS	Guilherme Leite	M	M50-54								Brazil	DNS
951380	DNS	Mario Durán	M	M30-34								Paraguay	DNS
951381	DNS	Hary Shoan	M	M45-49								Canada	DNS
951382	DNS	Decio Rosa Neto	M	M40-44								Brazil	DNS
949297	DNF	William Carlos Da Rosa	M	M35-39			0:46:18	0:04:38	2:39:19	0:02:20		Brazil	DNF
951383	DNS	Caio Nasser Mancini	M	M30-34								Brazil	DNS
951384	DNS	Felipe Stanford	M	M35-39								Brazil	DNS
951385	DNF	Ricardo Gomes Machado	M	M40-44			0:56:22	0:09:02	4:04:38			Brazil	DNF
951386	DNS	Joao Felipe Pujol	M	M35-39								Brazil	DNS
951387	DNS	Marcelo De Faria Clemente	M	M40-44								Brazil	DNS
951388	DNS	Pedro Pereira	M	M30-34								Brazil	DNS
951389	DNS	Claudio Goncalves Ramos Da Silva	M	M35-39								Brazil	DNS
950358	DNS	Breno Nakai	M	M40-44								Brazil	DNS
951390	DNS	Alberto Koranyi Ribeiro	M	M40-44								Brazil	DNS
951391	DNS	Claudio Henrique Sa E Guimaraes Barroso Magno	M	M35-39								Brazil	DNS
83625	DNS	Patricia Cherman	F	F50-54								Brazil	DNS
263796	DNS	Gustavo Carvalho	M	M50-54								Brazil	DNS
923558	DNS	Ricardo Chalfin	M	M30-34								Brazil	DNS
329680	DNF	Fabiano Conti	M	M45-49			0:41:25	0:06:36				Brazil	DNF
951392	DNF	Ricardo Meira De Vasconcellos	M	M65-69			0:42:52	0:06:29	3:25:15	0:05:57		Brazil	DNF
951393	DSQ	Augusto Terranova Rocha	M	M55-59								Brazil	DQ
951394	DSQ	Diego Arantes	M	M18-24								Brazil	DQ
951395	DNS	Rafael Moraes	M	M35-39								United States	DNS
951396	DNF	Luciano Gallo	M	M50-54			0:53:30	0:07:33	4:02:16			Brazil	DNF
951397	DNS	Caique Jauhar De Castro	M	M30-34								Brazil	DNS
864163	DNS	Fernando Luarca Jarquin	M	M45-49								Mexico	DNS
951398	DNS	Jordan Ribeiro	M	M18-24								Brazil	DNS
951399	DNS	Gustavo Terra Correa	M	M45-49								Brazil	DNS
951400	DNF	Leonardo Schaeffer	M	M35-39			0:34:26	0:03:35	2:43:05	0:01:39		Brazil	DNF
951401	DNS	Andre Rotondo Pedriali	M	M35-39								Brazil	DNS
951402	DNS	Raphael Koszalka	M	M30-34								Brazil	DNS
830015	DNS	Gaston Maximiliano Rojo	M	M30-34								Argentina	DNS
951403	DNS	Gustavo Dionizio	M	M30-34								Brazil	DNS
951404	DNS	Miguel Morone Neto	M	M35-39								Brazil	DNS
951405	DNS	Daniella Rodrigues Italiano	F	F30-34								Brazil	DNS
951406	DNS	Caio Cesar Sacchi	M	M35-39								Brazil	DNS
894924	DNS	Marcos Mangi	M	M55-59								Brazil	DNS
951407	DNS	Rodrigo Da Costa Evangelho	M	M50-54								Brazil	DNS
951408	DNS	Isabela Amaral Coimbra Prata	F	F25-29								Brazil	DNS
263304	DNS	Gustavo Taveira	M	M35-39								Brazil	DNS
951409	DNS	Michell Peixoto	M	M40-44								Brazil	DNS
951410	DNS	Luiz Turazzi Naveiro	M	M35-39								United States	DNS
950402	DNS	Daniela Dutra Sallaberry	F	F45-49								Brazil	DNS
612018	DNS	Raphael Zagury	M	M45-49								United States	DNS
951411	DNS	Felipe Franco	M	M40-44								Unknown	DNS
894940	DNS	Rafael Brandao	M	M40-44								Brazil	DNS
872400	DNS	Diego Andres Fernandez	M	M50-54								Argentina	DNS
951412	DNS	Joao Carlos Goncalves Krakauer Maia	M	M30-34								Brazil	DNS
951413	DNF	Thais Capovilla	F	F40-44			0:49:12	0:06:24				Brazil	DNF
951414	DNS	Marcio Favarato Abaurre	M	M50-54								Brazil	DNS
951415	DNS	Bruno Laurentiz	M	M30-34								Brazil	DNS
951416	DNS	Igor Thiago Pinheiro Passos	M	M40-44								Brazil	DNS
551815	DNS	Cleonildo Correia Junior	M	M50-54								Brazil	DNS
950176	DNF	Raphael Falcao	M	M40-44			0:32:09	0:02:32	2:31:41	0:01:50		Brazil	DNF
951417	DNS	Rafael Pinto Pretti Assef	M	M40-44								Brazil	DNS
951418	DNS	Estevão Androcles Soeiro Corrêa	M	M45-49								Brazil	DNS
948372	DNS	Gustavo R. Calvaresi	M	M55-59								Argentina	DNS
158451	DNS	Francisco Garcia	M	M35-39								Brazil	DNS
951419	DNS	Hernan Bustos	M	M35-39								Chile	DNS
951420	DNS	Rogério Morgado	M	M50-54								Brazil	DNS
419507	DNS	Matias Sarasola	M	M50-54								Argentina	DNS
