ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
950525	DNS	Irami Lampretch	F	F35-39								South Africa	DNS
356502	DNS	Roel Bogaarts	M	M30-34								Netherlands	DNS
531162	DNS	Barbara Nakamura	F	F50-54								United States	DNS
950526	DNF	Jean  De Dieu Iradukunda	M	M18-24			0:32:35	0:02:51				Rwanda	DNF
950527	DNS	Kelsi Holz	F	F25-29								South Africa	DNS
950528	DNS	Lucky Michel Habinshuti	M	M18-24								Rwanda	DNS
948614	DNS	Mohamed El Akkad	M	M30-34								Germany	DNS
950529	DNF	Mark Huelsenbeck	M	M30-34								United States	DNF
950530	DNF	Jean De Dieu Imanirakiza	M	M25-29								Rwanda	DNF
950531	DNF	Samantha Sadie	F	F25-29			0:46:12	0:04:54	4:33:03			South Africa	DNF
950532	DNF	Michael Hutson	M	M35-39			0:53:48	0:08:07	4:16:45	0:04:11	2:40:18	United Kingdom	DNF
950533	DNF	Fiston Uwimana	M	M18-24			0:35:54	0:01:54				Rwanda	DNF
950534	DNF	Federico Ortiz	M	M55-59								Unknown	DNF
950535	DNS	Niels Tulleneers	M	M25-29								Belgium	DNS
950536	DNF	Ray Power	M	M45-49			1:01:41	0:06:33	3:42:36			United Kingdom	DNF
950537	DNS	Stefan Economides	M	M60-64								United Kingdom	DNS
950538	DNS	Fernando A López Adrián	M	M35-39								Mexico	DNS
950539	DNF	Hilary Hilsabeck	F	F35-39			1:00:53	0:05:54	4:15:41			United States	DNF
950540	DNS	Corrilly Yates	F	F18-24								Namibia	DNS
942581	DNF	Alexander Kennedy	M	M30-34			0:43:59					United Kingdom	DNF
950541	DNF	Kobus Engelbrecht	M	M25-29			0:41:04	0:03:05				South Africa	DNF
950542	DNS	Honore Ngirumpatse	M	M18-24								Rwanda	DNS
950543	DNF	Megan Biek	M	F25-29			0:49:53	0:04:58	4:27:35			United States	DNF
950544	DNS	Radjab Hategekimana	M	M18-24								Rwanda	DNS
950545	DNS	Ishuah Kariuki	M	M30-34								Kenya	DNS
950546	DNS	Alpha Ntageruka	M	M25-29								Rwanda	DNS
950547	DNF	Bertin Niyokwizerwa	M	M18-24			1:12:23					Rwanda	DNF
950548	DNS	Julia Huber	F	F30-34								United States	DNS
950549	DNS	Euan Mcdougall	M	M25-29								Rwanda	DNS
950550	DNS	Nuru Nizeyimana	M	M25-29								Rwanda	DNS
950551	DNS	Christophe Kwizera	M	M18-24								Rwanda	DNS
950552	DNF	Mohammed Abdifatah	M	M35-39			0:43:36	0:03:59				Kenya	DNF
950553	DNS	Sebastien Vandelannoitte	M	M25-29								Kenya	DNS
830525	DNS	Nicolas Mccoy	M	M30-34								United States	DNS
950554	DNS	Yves Tuyisenge	M	M18-24								Rwanda	DNS
950555	DNS	Stephen Meijers	M	M60-64								South Africa	DNS
950556	DNS	Jules Ibingira	M	M25-29								Rwanda	DNS
950557	DNF	Geofrey Burora	M	M25-29			0:52:01	0:03:16				Rwanda	DNF
950558	DNS	Diana North	F	F40-44								South Africa	DNS
950559	DNS	Dominykas Jonaitis	M	M30-34								Bangladesh	DNS
950560	DNF	Alexis Muhire	M	M18-24			0:41:18	0:04:28				Rwanda	DNF
950561	DNS	Claude Nsabimana	M	M25-29								Rwanda	DNS
950562	DNF	Raza Rizvi	M	M30-34			0:54:56	0:05:43	4:53:21			United Kingdom	DNF
950563	DNS	Andrew Stewart	M	M40-44								Malawi	DNS
950564	DNS	Brent Hawley	M	M45-49								Canada	DNS
950565	DNS	Kalisa Daniel Muhire	M	M25-29								Rwanda	DNS
950566	DNS	Robin Bairstow	M	M55-59								South Africa	DNS
950567	DNS	Becky Witnok-Huber	F	F35-39								United States	DNS
932828	1	Ilya Slepov	M	M40-44	1	4:25:27	0:27:52	0:01:40	2:31:55	0:01:43	1:22:17	Unknown	FIN
950441	2	Stuart Hayes	M	M40-44	2	4:26:57	0:27:08	0:01:25	2:32:27	0:01:39	1:24:19	United Kingdom	FIN
843344	3	Maximilien Von Berg	M	M35-39	1	4:32:53	0:30:43	0:02:15	2:33:05	0:01:52	1:24:57	France	FIN
42668	4	Donovan Geldenhuys	M	M40-44	3	4:35:44	0:27:43	0:01:58	2:36:38	0:02:14	1:27:11	South Africa	FIN
909133	5	Joseph Shields	M	M35-39	2	4:49:46	0:33:36	0:02:16	2:37:52	0:02:21	1:33:41	United States	FIN
950442	6	Samuel Tuyisenge	M	M25-29	1	4:54:02	0:40:07	0:03:32	2:36:15	0:02:05	1:32:03	Rwanda	FIN
878516	7	Filippo Colucci	M	M45-49	1	4:56:38	0:30:49	0:02:07	2:42:23	0:01:47	1:39:33	Italy	FIN
950443	8	Heritier Ishimwe	M	M18-24	1	4:59:21	0:33:29	0:02:01	2:54:01	0:02:16	1:27:34	Rwanda	FIN
