ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
899079	DNS	Edouard Mottet	M	M25-29								Belgium	DNS
217718	DNF	Bartosz Baranski	M	M40-44			1:14:34					Poland	DNF
899080	DNF	Jacek Jedrych	M	M50-54			1:10:32	0:06:24	7:04:27	0:22:56		Poland	DNF
899081	DNS	Anton Shevel	M	M30-34								Ukraine	DNS
899082	DNS	Giovanni Tunesi	M	M35-39								Italy	DNS
899083	DNF	Krzysztof Biel	M	M45-49			1:34:34	0:11:20	5:48:17	0:09:32		Poland	DNF
899084	DNS	Pawel Cybulski	M	M40-44								Poland	DNS
860017	DSQ	Robert Borski	M	M30-34								United States	DQ
899085	DNF	Cloe Stout	F	F30-34			1:20:00	0:05:44	7:38:39	0:23:28		United Kingdom	DNF
899086	DNS	Filip Rybolowik	M	M30-34								Poland	DNS
899087	DNF	Sebastian Krasnodebski	M	M40-44			1:16:35	0:05:34				Poland	DNF
203224	DNS	Erkka Vahtera	M	M35-39								Finland	DNS
899088	DNF	Marijonas Radziunas	M	M30-34			1:24:43	0:08:54	6:57:33	0:10:13		Lithuania	DNF
899089	DNS	Umberto Tramonte	M	M45-49								Canada	DNS
899090	DNS	Inka Puumalainen	F	F45-49								Finland	DNS
899091	DNS	Lukasz Zalewski	M	M25-29								Poland	DNS
245838	DNS	Swen Rabe	M	M45-49								Germany	DNS
899092	DNS	Marcin Kowalik	M	M35-39								Poland	DNS
288345	DNF	Mirko Detlefs	M	M50-54			1:12:55	0:05:40	5:36:55	0:05:12		Germany	DNF
899093	DNS	Davis Jaspers	M	M18-24								United States	DNS
899094	DNS	Jakub Cichocki	M	M30-34								Poland	DNS
899095	DNS	Сергій Шпильовий	M	M45-49								Ukraine	DNS
899096	DNS	Olexandr Voznesenskyi	M	M35-39								Ukraine	DNS
899097	DNS	Piotr Effenberg	M	M55-59								Poland	DNS
848834	DNS	Nelleke Baldé	F	F40-44								Netherlands	DNS
899098	DNS	Christian Müller	M	M45-49								Germany	DNS
899099	DNF	Kazimierz Mlak	M	M60-64			1:34:25	0:14:17				Poland	DNF
899100	DNS	Jan Wardyn	M	M55-59								Poland	DNS
638034	DNS	Andrzej Szmelter	M	M45-49								Poland	DNS
899101	DNS	Noel O Meara	M	M55-59								Ireland	DNS
899102	DNS	Artur Wilczynski	M	M40-44								Poland	DNS
899103	DNS	Bence Pistyúr	M	M30-34								Hungary	DNS
899104	DNS	Sergey Naumov	M	M35-39								Unknown	DNS
899105	DNS	Michal Volejník	M	M30-34								Czechia	DNS
890671	DNS	Björn Scheferling	M	M50-54								Germany	DNS
899106	DNF	Marius Gehler	M	M30-34			1:04:06	0:04:48	5:02:20	0:05:59		Germany	DNF
899107	DNS	Kamil Chudecki	M	M50-54								Poland	DNS
899108	DNS	Artur Koscielny	M	M50-54								Poland	DNS
899109	DNF	Grzegorz Perzynski	M	M45-49			1:24:18	0:13:26	8:33:33			Poland	DNF
899110	DNS	Pawel Lejk	M	M40-44								Poland	DNS
890587	DNS	Darren Riley	M	M55-59								United Kingdom	DNS
899111	DNS	Arne Lüsch	M	M50-54								Germany	DNS
899112	DNF	Marcin Winiarski	M	M45-49			1:11:28	0:07:35	5:31:28	0:07:00		Poland	DNF
618616	1	Joakim Frisk	M	M30-34	1	8:58:49	1:07:09	0:03:55	4:54:29	0:05:15	2:48:01	Sweden	FIN
898911	2	Maciej Ogrodnik	M	M25-29	1	9:07:21	0:58:38	0:02:55	5:05:18	0:03:06	2:57:24	Poland	FIN
892899	3	Mark Tomlinson	M	M35-39	1	9:18:11	0:59:24	0:03:19	5:15:58	0:03:43	2:55:47	United Kingdom	FIN
892898	4	Michal Twarowski	M	M45-49	1	9:22:03	1:03:42	0:03:35	5:06:48	0:03:37	3:04:21	Poland	FIN
892820	5	Pawel Reszke	M	M35-39	2	9:22:47	1:03:36	0:02:57	5:03:46	0:03:57	3:08:31	Poland	FIN
891997	6	Patrik Birkle	M	M25-29	2	9:23:57	0:58:16	0:03:22	5:05:29	0:03:11	3:13:39	Germany	FIN
893028	7	Artur Czerwiec	M	M45-49	2	9:31:38	0:53:06	0:04:24	5:08:11	0:05:03	3:20:54	Poland	FIN
645341	8	Christian Albert	M	M35-39	3	9:32:33	0:58:38	0:03:38	5:05:05	0:03:27	3:21:45	Germany	FIN
200098	9	Mariusz Klatka	M	M40-44	1	9:35:18	1:06:47	0:03:28	5:10:14	0:04:06	3:10:43	Poland	FIN
578562	10	Manuel Heilmann	M	M25-29	3	9:37:06	0:55:45	0:03:30	5:05:36	0:03:34	3:28:41	Germany	FIN
893017	11	Pavel Pešek	M	M30-34	2	9:45:38	1:05:20	0:03:25	5:20:18	0:03:18	3:13:17	Czechia	FIN
198244	12	Przemyslaw Janik	M	M40-44	2	9:45:56	1:15:53	0:03:05	5:11:38	0:03:06	3:12:14	Poland	FIN
882200	13	Dariusz Dabrowski	M	M45-49	3	9:46:04	0:58:51	0:03:28	5:15:17	0:03:47	3:24:41	Poland	FIN
109377	14	Philip Morel	M	M40-44	3	9:48:13	0:58:43	0:03:24	5:05:26	0:03:54	3:36:46	Switzerland	FIN
898912	15	Peter Holm	M	M45-49	4	9:53:45	1:12:38	0:05:13	5:13:11	0:03:46	3:18:57	Finland	FIN
885152	16	Jakub Gutkowski	M	M35-39	4	9:53:53	1:08:39	0:03:39	5:15:30	0:08:44	3:17:21	Poland	FIN
893244	17	Wojciech Szyp	M	M30-34	3	9:55:43	1:15:08	0:04:02	5:00:57	0:06:46	3:28:50	Poland	FIN
892989	18	Jean-Franҫois Hannard	M	M40-44	4	9:56:35	1:04:32	0:04:02	5:26:13	0:05:14	3:16:34	Belgium	FIN
428042	19	Piotr Aleksiejuk	M	M35-39	5	9:57:15	1:05:51	0:04:28	5:07:56	0:08:46	3:30:14	Poland	FIN
892102	20	Marcin Borycki	M	M50-54	1	10:01:04	1:07:17	0:03:21	5:16:52	0:03:12	3:30:22	Poland	FIN
851414	21	Filip Inglot	M	M30-34	4	10:02:26	1:14:01	0:06:30	5:33:51	0:03:50	3:04:14	Poland	FIN
879834	22	Michal Wlazlak	M	M30-34	5	10:02:26	1:09:39	0:03:55	5:06:52	0:03:51	3:38:09	Poland	FIN
893163	23	Lukasz Trzeciak	M	M40-44	5	10:02:38	1:11:47	0:03:45	5:19:20	0:03:58	3:23:48	Poland	FIN
893188	24	Ondrej Sedlácek	M	M40-44	6	10:04:13	1:10:10	0:03:39	5:29:11	0:04:39	3:16:34	Czechia	FIN
556629	25	Artur Bury	M	M45-49	5	10:07:48	0:58:34	0:03:38	5:19:45	0:04:40	3:41:11	Germany	FIN
32385	26	Tomaz Kovac	M	M50-54	2	10:08:13	0:59:23	0:03:35	5:32:46	0:04:49	3:27:40	Slovenia	FIN
893098	27	Lukasz Wagemann	M	M40-44	7	10:10:24	1:01:22	0:04:51	5:27:17	0:05:10	3:31:44	Poland	FIN
893297	28	Igor Labaka Lizarazu	M	M45-49	6	10:10:49	1:17:05	0:05:18	5:23:37	0:03:54	3:20:55	Spain	FIN
898913	29	Mateusz Filipiak	M	M35-39	6	10:14:42	0:55:13	0:03:43	5:21:33	0:03:32	3:50:41	Poland	FIN
898914	30	Albin Nilsson	M	M25-29	4	10:18:03	1:00:47	0:04:16	5:30:23	0:06:29	3:36:08	Sweden	FIN
848272	31	Maciej Wolski	M	M40-44	8	10:20:26	1:08:12	0:05:50	5:17:24	0:05:20	3:43:40	Poland	FIN
893279	32	Jiri Sterba	M	M30-34	6	10:22:19	1:04:49	0:04:26	5:35:33	0:03:46	3:33:45	Czechia	FIN
892093	33	Annick De Pooter	F	F40-44	1	10:22:24	1:04:59	0:06:04	5:37:52	0:07:43	3:25:46	Belgium	FIN
848330	34	Piotr Gryber	M	M40-44	9	10:23:22	1:09:30	0:06:37	5:35:50	0:05:57	3:25:28	Poland	FIN
898915	35	Johanna Novak	F	F35-39	1	10:25:11	1:20:42	0:04:13	5:30:09	0:04:33	3:25:34	Austria	FIN
68389	36	Anja Dziadek	F	F35-39	2	10:25:12	1:03:48	0:07:11	5:38:23	0:06:23	3:29:27	Luxembourg	FIN
848323	37	Rafal Sawicki	M	M40-44	10	10:26:37	1:12:51	0:05:28	5:24:17	0:04:57	3:39:04	Poland	FIN
898916	38	Marek Dembinski	M	M45-49	7	10:28:24	1:00:37	0:05:06	5:37:01	0:05:04	3:40:36	Poland	FIN
848327	39	Krzysztof Leki	M	M40-44	11	10:31:12	1:18:25	0:05:50	5:39:44	0:03:58	3:23:15	Poland	FIN
893089	40	Tamas Trella	M	M35-39	7	10:32:49	1:03:15	0:04:49	5:40:15	0:04:27	3:40:03	Romania	FIN
69033	41	Emerich Koudelka	M	M50-54	3	10:33:25	1:14:21	0:05:43	5:32:32	0:06:03	3:34:46	Czechia	FIN
255704	42	Przemyslaw Lugiewicz	M	M40-44	12	10:35:12	1:05:28	0:03:31	5:39:35	0:05:17	3:41:21	Poland	FIN
122603	43	Gabriel Linder	M	M40-44	13	10:35:54	1:02:00	0:04:25	5:31:48	0:04:35	3:53:06	Germany	FIN
898917	44	Tomasz Tarski	M	M40-44	14	10:36:46	1:15:35	0:03:07	5:35:19	0:03:41	3:39:04	Poland	FIN
898918	45	Nicolas Lindgren	M	M25-29	5	10:36:47	1:24:45	0:04:09	5:40:34	0:05:06	3:22:13	Sweden	FIN
898919	46	Sylwester Wolant	M	M45-49	8	10:37:03	1:03:12	0:04:10	5:46:10	0:05:04	3:38:27	Poland	FIN
898920	47	Rafal Buzun	M	M25-29	6	10:37:37	1:09:52	0:06:28	5:32:58	0:06:37	3:41:42	Poland	FIN
893457	48	Oskars Cimermanis	M	M35-39	8	10:37:57	1:21:34	0:06:36	5:32:53	0:07:19	3:29:35	Latvia	FIN
575693	49	Alexandre Leloup	M	M30-34	7	10:38:39	1:14:35	0:04:11	5:38:27	0:04:09	3:37:17	France	FIN
888644	50	Thierry Dondlinger	M	M45-49	9	10:38:57	1:10:40	0:06:57	5:37:52	0:06:07	3:37:21	Luxembourg	FIN
843399	51	Marcin Dziub	M	M40-44	15	10:39:14	1:16:11	0:06:45	5:36:58	0:04:14	3:35:06	Poland	FIN
898921	52	Oliver Marsell	M	M50-54	4	10:39:24	1:11:54	0:06:07	5:32:17	0:06:40	3:42:26	Germany	FIN
898922	53	Alexey Grinkevich	M	M30-34	8	10:40:16	1:15:18	0:07:51	5:42:45	0:12:43	3:21:39	Unknown	FIN
898923	54	Pawel Pawelec	M	M40-44	16	10:40:18	1:23:57	0:06:44	5:39:29	0:05:38	3:24:30	Poland	FIN
203167	55	Rafal Grzanecki	M	M45-49	10	10:42:26	1:21:41	0:04:05	5:26:03	0:04:22	3:46:15	Poland	FIN
848369	56	Piotr Balut	M	M25-29	7	10:42:30	1:14:10	0:03:58	5:23:52	0:03:08	3:57:22	Poland	FIN
898924	57	Natalia Kozak	F	F35-39	3	10:44:10	1:19:56	0:04:45	5:49:13	0:04:31	3:25:45	Poland	FIN
847662	58	Arturas Meškutavicius	M	M35-39	9	10:44:19	1:23:48	0:07:47	5:36:21	0:05:44	3:30:39	Lithuania	FIN
898925	59	Friedrich Hartmann	M	M35-39	10	10:44:36	1:15:36	0:06:46	5:37:28	0:04:55	3:39:51	Germany	FIN
893192	60	Michal Lukasiewicz	M	M35-39	11	10:46:50	1:16:08	0:05:47	5:35:35	0:06:43	3:42:37	Poland	FIN
898926	61	Rafal Kampa	M	M30-34	9	10:48:33	1:08:43	0:06:03	5:57:48	0:06:27	3:29:32	Poland	FIN
898927	62	Stefan Schwerin	M	M40-44	17	10:48:54	1:15:28	0:05:41	5:37:34	0:06:50	3:43:21	Germany	FIN
898928	63	Marcin Konicki	M	M40-44	18	10:49:06	1:14:16	0:05:43	5:52:36	0:07:11	3:29:20	Poland	FIN
148298	64	Jakub Weimann	M	M45-49	11	10:49:54	1:11:27	0:05:52	5:55:54	0:05:22	3:31:19	Czechia	FIN
893236	65	Jerome Bareth	M	M45-49	12	10:50:57	1:17:17	0:04:28	5:44:53	0:04:31	3:39:48	United States	FIN
898929	66	Miroslaw Pedrys	M	M50-54	5	10:51:24	1:15:42	0:07:53	5:41:11	0:05:57	3:40:41	Poland	FIN
126278	67	Kc Northup	F	F35-39	4	10:51:58	1:06:59	0:04:07	6:02:48	0:04:50	3:33:14	United States	FIN
898930	68	Jan Rohácek	M	M40-44	19	10:53:29	1:13:18	0:06:42	5:35:10	0:05:25	3:52:54	Czechia	FIN
847743	69	Chris Williams	M	M30-34	10	10:53:33	1:13:57	0:06:03	5:34:55	0:05:43	3:52:55	United Kingdom	FIN
898931	70	Olavo Cetrone	M	M35-39	12	10:55:54	1:12:36	0:05:21	5:45:17	0:05:40	3:47:00	Italy	FIN
65565	71	Selcuk Yildirim	M	M55-59	1	10:57:09	1:10:57	0:06:55	5:45:00	0:06:21	3:47:56	Germany	FIN
883426	72	Steffen Fleischer	M	M55-59	2	10:57:24	1:14:42	0:06:32	5:46:54	0:06:03	3:43:13	Germany	FIN
898932	73	Arkadiusz Cygan	M	M35-39	13	10:59:25	1:25:39	0:06:23	5:30:06	0:04:39	3:52:38	Poland	FIN
898933	74	Nowakowski Christophe	M	M35-39	14	11:00:58	1:28:33	0:06:32	5:47:15	0:06:46	3:31:52	France	FIN
255483	75	Radoslaw Duchnowski	M	M45-49	13	11:01:29	1:12:20	0:04:30	5:42:41	0:06:22	3:55:36	Poland	FIN
898934	76	Ruben Quijada	M	M35-39	15	11:02:14	1:05:38	0:04:29	5:50:42	0:04:33	3:56:52	Spain	FIN
898935	77	Thomas Nakken	M	M45-49	14	11:02:42	1:06:19	0:06:06	5:51:42	0:05:58	3:52:37	Norway	FIN
898936	78	Evaldas Gaizauskas	M	M30-34	11	11:04:23	1:12:52	0:05:05	5:58:16	0:04:38	3:43:32	Lithuania	FIN
898937	79	Jan Wiedlocha	M	M45-49	15	11:05:39	1:08:15	0:03:42	5:40:31	0:04:34	4:08:37	Poland	FIN
898938	80	Patryk Sienkiewicz	M	M50-54	6	11:06:13	1:32:44	0:05:33	5:15:23	0:03:55	4:08:38	Poland	FIN
892142	81	Eleonora Bado	F	F40-44	2	11:06:19	1:09:02	0:03:50	5:50:41	0:04:17	3:58:29	Italy	FIN
898939	82	Tomasz Malak	M	M30-34	12	11:07:23	0:55:09	0:03:00	5:48:01	0:03:52	4:17:21	Poland	FIN
898940	83	Lukasz Chmielewski	M	M35-39	16	11:08:16	1:15:35	0:06:10	6:04:56	0:09:28	3:32:07	Poland	FIN
