ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
294804	DNS	Martin Bushell	M	M40-44								Korea	DNS
1095922	DNF	승환 신	M	M40-44			0:49:14	0:02:06				Korea	DNF
1095923	DNF	Jeon Myung Ho	M	M40-44			0:54:08	0:08:19	4:13:56	0:12:55	2:31:24	Korea	DNF
988851	DSQ	Jungshi Baik	M	M50-54								Korea	DQ
1064809	DNF	Hyoin Park	M	M40-44			0:38:29	0:03:49				Korea	DNF
1064542	DNS	Myungsik Kim	M	M65-69								Korea	DNS
988995	DNF	Jaeyoon Lim	M	M45-49			0:48:39	0:04:34				Korea	DNF
944616	DNS	Aaly Umankulov	M	M45-49								Kyrgyzstan	DNS
1095924	DNF	Kunwoo Kim	M	M45-49			0:38:51	0:04:43	2:57:33	0:03:13		Korea	DNF
1064540	DSQ	Miyoung Chu	F	F50-54								Korea	DQ
1095925	DNS	Parker Wicks	M	M18-24								United States	DNS
531825	DNF	Pyongjun Jeon	M	M45-49			1:03:53	0:11:34				Korea	DNF
1095926	DNF	경상 임	M	M50-54			0:43:50	0:04:45	3:36:53	0:06:30	1:57:06	Korea	DNF
1095927	DNS	Richard Smith	M	M45-49								United States	DNS
989494	NC	Seokhee Han	M	M30-34			1:11:55	0:05:25	3:46:00	0:06:07	2:47:34	Korea	NC
1095928	DNF	Jeongseon Youn	F	F55-59			0:50:00	0:04:53	4:13:52	0:06:31	1:08:05	Korea	DNF
922723	DSQ	Doris Tung	F	F50-54								Australia	DQ
989617	DNS	Kijo Kim	M	M40-44								Korea	DNS
1095929	DNF	경덕 유	M	M35-39			0:49:49	0:04:25				Korea	DNF
531649	DNS	Seung Hwan Kim	M	M50-54								Korea	DNS
988857	DNS	Wooseung Kim	M	M45-49								Korea	DNS
988764	DNF	Dongwon Kim	M	M40-44			0:41:38	0:03:43				Korea	DNF
1095930	DNS	Ruslan Naumenko	F	M30-34								Ukraine	DNS
1095931	DNS	Omorkulov Aziz	M	M40-44								Kyrgyzstan	DNS
294380	DNF	Ki Hyuck Sung	M	M55-59			0:47:14	0:03:13	2:58:01			Korea	DNF
989442	DNS	윤상 김	M	M55-59								Korea	DNS
1095932	DNF	진희 박	F	F50-54			0:49:41	0:06:49	4:20:16	0:05:57	2:10:27	Korea	DNF
1095933	DNF	Jin Seok Park	M	M40-44			1:14:29	0:06:34	4:03:34	0:05:17		Korea	DNF
1095934	DNS	학윤 김	M	M60-64								Korea	DNS
1095935	DNS	Taehwan Um	M	M40-44								Korea	DNS
1095936	DNS	Jae Hak Cho	M	M45-49								Korea	DNS
989491	NC	Kwon Oh Hyung	M	M35-39			1:12:43	0:05:15	3:48:58	0:03:12	3:00:29	Korea	NC
1095937	DNS	Tae Kyun Park	M	M35-39								Korea	DNS
1087881	DNS	정현 장	M	M30-34								Korea	DNS
1095938	DNS	석영 정	M	M50-54								Korea	DNS
933806	DSQ	Oleg Krutko	M	M40-44								Canada	DQ
1095939	DNF	Seyoung Lee	M	M35-39			0:39:44	0:03:38				Korea	DNF
989558	NC	hyunsuk kim	M	M45-49			1:10:19	0:04:30	3:28:09	0:06:22	2:41:35	Korea	NC
1095940	DNF	Daniel Park	M	M35-39			0:53:56	0:09:11	3:32:09	0:05:46	1:13:02	Korea	DNF
1095941	DNS	Young Jae Ju	M	M45-49								Korea	DNS
1095942	DNS	원미 정	F	F35-39								Korea	DNS
1095943	DNS	Hyobae Lee	M	M55-59								Korea	DNS
531954	DNS	Jongjun Ham	M	M55-59								Korea	DNS
1003181	DNS	Benjamin Brehmer	M	M40-44								Germany	DNS
1095944	NC	Youngkwan Ahn	M	M45-49			0:39:23	0:04:32	4:46:57	0:06:44	2:48:29	Korea	NC
1095945	DNF	Kangjin Jeong	M	M40-44								Korea	DNF
989209	DNS	승희 이	M	M55-59								Korea	DNS
1095946	DNF	Kim Hyeong Jun	M	M40-44			0:47:45	0:07:35				Korea	DNF
989100	DNS	Jaehun Jung	M	M40-44								Korea	DNS
1095947	DNF	Choul Park	M	M55-59			1:00:27	0:06:11				Australia	DNF
1095948	DNF	Yunseok Kang	M	M30-34								Korea	DNF
1095949	DNS	동진 권	M	M60-64								Korea	DNS
1095950	DNS	성원 최	M	M40-44								Korea	DNS
1095951	DNS	정훈 한	M	M45-49								Korea	DNS
1095952	DNF	Hanseul Kim	M	M30-34			0:42:04					Korea	DNF
1095953	DNS	Taegeun O	M	M55-59								Korea	DNS
989522	DSQ	Siho Lee	F	M40-44								Korea	DQ
1015766	DNS	Arnaud Lede	M	M45-49								France	DNS
953361	DNS	Heinrich Gasacao	M	M30-34								Philippines	DNS
1095954	DNS	영재 박	M	M55-59								Korea	DNS
989548	DNS	Sang Myeong Lee	M	M50-54								Korea	DNS
1095883	DNS	Dong Yeub Kim	M	M35-39								Korea	DNS
1095884	DNS	Henry Shin	M	M40-44								Korea	DNS
989614	DNS	진선 김	F	F40-44								Korea	DNS
1095885	DNS	경수 유	M	M45-49								Korea	DNS
1095886	DNS	상우 주	M	M40-44								Korea	DNS
1095887	DNS	Sangwoo Lee	M	M18-24								Unknown	DNS
1095888	DNF	Suyeong Kim	F	F45-49			0:41:55	0:05:32				Korea	DNF
989154	DNF	Minjae Yeo	M	M65-69			0:46:11	0:05:53	3:29:01	0:07:11	1:56:58	Korea	DNF
