ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
980767	DNS	Maja Debska	F	F40-44								Poland	DNS
980768	DNF	Nathan Edwards	M	M40-44								United Kingdom	DNF
924507	DNS	Rodrigo Acevedo	M	MPRO								Unknown	DNS
165249	DNF	Davide Rossetti	M	MPRO			0:27:30	0:03:08	2:27:33			Italy	DNF
980769	DNS	Alexander Van Leeuwen	M	M45-49								Netherlands	DNS
980770	DNS	Craig Gibson	M	M45-49								United Kingdom	DNS
980771	DNS	Robert Macnab	M	M50-54								United Kingdom	DNS
919631	DNS	Vito Tagliente	M	M50-54								Italy	DNS
980772	DNF	M.L Grande	F	F50-54			0:51:18	0:10:07				Germany	DNF
980773	DNS	Angus Faulkner	M	M18-24								United Kingdom	DNS
898851	DNS	Finnes Stuart	M	M55-59								United Kingdom	DNS
980774	DNS	Oliver Williams	M	M40-44								United Kingdom	DNS
980775	DNS	Minttu Hukka	F	FPRO								Finland	DNS
958289	DNS	Marc Albert D'Hooge	M	M55-59								Luxembourg	DNS
942146	DNF	Kit Walker	M	MPRO			0:24:36	0:02:40	2:23:43	0:02:53		United Kingdom	DNF
980776	DNS	Paul Connolly	M	M50-54								Ireland	DNS
980777	DNF	Guillermo Sanchez	M	M45-49			0:58:14	0:08:05	4:50:58			Mexico	DNF
980778	DNS	Mariusz Gnoinski	M	M50-54								Poland	DNS
864297	DNS	Henry Truelove	M	M18-24								United Kingdom	DNS
980779	DNS	Luke Ireland	M	M35-39								United Kingdom	DNS
980780	DNF	William Mcilwaine	M	M65-69			1:01:09	0:13:31				Canada	DNF
215683	DSQ	Adrián Nuez Ramos	M	M30-34								Spain	DQ
946181	DNF	Ivano Canavesi	M	M50-54			0:34:59	0:04:08	1:42:22			Italy	DNF
357074	DNS	Ali Polat	M	M45-49								Turkey	DNS
980781	DNS	Esther Juliá Ligero	F	F35-39								Spain	DNS
855185	DNF	Badih Moukarzel	M	M55-59			0:52:44	0:10:12	4:35:21	0:07:06	1:35:21	France	DNF
980782	DNS	Maren Thalmann	F	F50-54								Germany	DNS
980783	DNF	Blayne Miller	M	M25-29			0:35:58	0:06:58	1:22:17			South Africa	DNF
919948	DNS	Volker Hemberger	M	M65-69								Germany	DNS
556739	DNS	Enguerrand BERTHOLET	M	M35-39								France	DNS
980784	DNF	Guy Lenders	M	M40-44								Belgium	DNF
980785	DNS	Anthony Boyle	M	M45-49								United Kingdom	DNS
956750	DNS	Damian Mckeever	M	M45-49								Brazil	DNS
30760	DNS	Joris Rome	M	M50-54								Belgium	DNS
460742	DNS	Kevin Bouchard	M	M35-39								Canada	DNS
118562	DNS	Desirée Germann	F	F40-44								Switzerland	DNS
166658	DNF	Francois Lesourd	M	M55-59			0:34:36	0:05:14				France	DNF
980786	DNS	Lynne Gow	F	F50-54								United Kingdom	DNS
855408	DNS	Mervi Savo	F	F60-64								Finland	DNS
980787	DNF	Robert Mccarthy	M	M35-39			0:41:42	0:06:51	4:08:13	0:09:01		United Kingdom	DNF
920332	DNS	Chris Martin	M	M50-54								Germany	DNS
980788	DNS	Faber Martins	M	M50-54								Portugal	DNS
917324	DNF	Auran Lyonheart	M	M35-39			0:33:44	0:04:44	3:14:27	0:05:48		United Kingdom	DNF
980789	DNS	Samuel Heming De-Allie	M	M30-34								United Kingdom	DNS
914969	DNF	Gerald Horak	M	M55-59			0:36:25	0:05:57	3:02:06	0:08:01		Austria	DNF
980790	DNS	Adam Insley	M	M35-39								United Kingdom	DNS
