ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
c55020d6-7945-ee11-bdf3-000d3a314c24	1	Ilya Slepov	M	M40-44	1	4:04:07	0:26:26	0:02:10	2:15:33	0:02:25	1:17:32	CY	
d29e656c-03cc-4c03-9925-59f984af4e15	2	Bryan Van Rutten	M	M30-34	1	4:06:27	0:26:52	0:02:32	2:10:04	0:02:19	1:24:40	NL	
fe3ddb95-43c4-425c-bab1-3e97a01fa393	3	Rafael Domingos	M	M25-29	1	4:07:30	0:25:13	0:02:25	2:12:32	0:02:14	1:25:07	USA	
705530e5-e8d9-4689-a9dd-7aa751b78f39	4	Niall Mccarthy	M	M25-29	2	4:14:02	0:31:35	0:02:26	2:13:39	0:02:56	1:23:26	AE	
1e9b4f2d-0899-4d69-b6e0-ef9858f86c62	5	Florian Kaufmann	M	M30-34	2	4:14:16	0:27:39	0:02:12	2:16:20	0:02:36	1:25:29	CH	
e82cc4bb-6855-44a0-bf25-fb1ee0d687da	6	David Hynes	M	M35-39	1	4:14:30	0:25:32	0:02:38	2:09:28	0:02:14	1:34:38		
2451fcb5-a813-4604-bb13-d0a771583cb4	7	Patryk Bielik	M	M30-34	3	4:16:05	0:30:19	0:02:32	2:19:03	0:02:40	1:21:31		
42066abc-7ba9-4676-a298-5e7f0b958a63	8	Loris Millot	M	M18-24	1	4:16:45	0:28:27	0:02:58	2:13:57	0:02:52	1:28:30	FR	
95db446d-d18f-4398-b550-6b024eb6f901	9	Dario Bellini	M	M25-29	3	4:19:04	0:26:33	0:03:31	2:15:14	0:03:03	1:30:43	IT	
500caac0-f46f-4d31-a92f-4abba548d407	10	Declan Doyle	M	M50-54	1	4:22:36	0:29:26	0:03:20	2:16:59	0:03:43	1:29:09	GB	
0cff9c8a-9488-4b77-b2a3-d958b5c7f755	11	Khodor Yassine	M	M30-34	4	4:22:41	0:31:10	0:03:05	2:22:19	0:02:47	1:23:21	United Arab Emirates	
