ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
c7894eaf-61aa-4641-8394-a22c4bc36181	1	Wilhelm Hirsch	M	MPRO	1	3:36:17	0:23:18	0:02:40				DEU	
87955364-f5d9-42a6-85e9-af6700a8b346	2	Christoph Matner	M	MPRO	2	3:40:25	0:26:08	0:02:28	2:01:00	0:00:27	1:10:22	DE	
3e9ffde9-0e0d-4057-bdb4-0219ca1e8518	3	Thomas Davis	M	MPRO	3	3:40:43	0:24:00	0:02:55	1:59:17	0:01:08	1:13:23	GBR	
2f883fd7-8b4e-4edb-807f-22deb1f77677	4	Sebastian Norberg	M	MPRO	4	3:41:29	0:28:24	0:02:57	1:58:16	0:00:52	1:11:00	SE	
936a08ae-87f6-41b2-91d6-bb686f29b7cb	5	Bastian Peitersen	M	MPRO	5	3:43:46	0:27:04	0:02:52	2:01:13	0:00:27	1:12:10	Denmark	
bb1880c4-e799-4cc1-8bc6-44f8304980b5	6	Fabian Reuter	M	MPRO	6	3:44:17	0:23:59	0:02:37	2:00:49	0:01:36	1:15:16	DE	
7e60cc55-0f3d-4aab-b72e-06cb55469b2e	7	Tomasz Brembor	M	MPRO	7	3:44:24	0:23:53	0:02:36	2:02:33	0:00:57	1:14:25		
ac0811cb-0fb6-461f-b158-7d3129e50776	8	Jacek Krawczyk	M	M25-29	1	3:45:28	0:25:06	0:02:39	2:02:23	0:01:00	1:14:20		
a288bb0d-fc74-4e1f-877a-ad72bf3eac77	9	Jesse Hinrichs	M	MPRO	8	3:54:29	0:23:57	0:02:56	2:00:12	0:01:33	1:25:51	Germany	
9aca9919-2da4-4315-acd1-4aefaa08454a	10	Sergiy Kurochkin	M	MPRO	9	3:55:52					1:21:20	Ukraine	
f6bd8c03-da56-48c9-858b-6bd655e21ca3	11	Ludovic Roussel	M	M30-34	1	3:56:43	0:26:38	0:03:02	2:03:24	0:01:23	1:22:16		
0cfc41c9-5fc3-44c7-90b4-b00a0b3ad157	12	Maciej Skórnicki	M	M25-29	2	3:57:37	0:28:05	0:02:56	2:05:54	0:01:16	1:19:26		
d713b5f4-93e2-4922-a2f0-ba455a843e65	13	Thomas Cremers	M	MPRO	10	3:57:46	0:26:10	0:03:03	2:12:11	0:01:32	1:14:50		
12d9dfab-7518-410c-a597-03cdbee1d4f2	14	Rafael Turtera	M	MPRO	11	3:58:10	0:26:12	0:03:27	2:07:43	0:01:04	1:19:44		
28c04036-d661-46f9-91d8-3392cf9be735	15	Andy Krueger	M	MPRO	12	4:01:36	0:25:47	0:02:50	2:07:31	0:00:30	1:24:58	US	
3da690e6-c6df-457f-9bd2-9a3f18309491	16	Michal Liberadzki	M	M30-34	2	4:05:36	0:26:32	0:03:14	2:15:09	0:00:58	1:19:43	Poland	
91dac742-9b16-4721-a3c4-c654975782e0	17	Leonie Konczalla	F	FPRO	1	4:05:54	0:30:14	0:03:20	2:10:10	0:01:32	1:20:38	Germany	
d4fa17e3-ed8e-4e90-9366-ad16540b1819	18	James Stuart Gerber	M	M25-29	3	4:06:34	0:29:02	0:03:34	2:12:07	0:01:28	1:20:23	SOUTH AFRICA	
6079f777-2453-417d-83c1-d05543171763	19	Severin Lask	M	M25-29	4	4:07:14	0:25:13	0:03:29	2:09:22	0:01:46	1:27:24	Germany	
960cc92c-0454-4c9f-99a1-da37314163ba	20	Patrik Čurila	M	M30-34	3	4:07:45	0:31:09	0:03:48	2:08:36	0:01:25	1:22:47	Slovakia	
92ee59dc-740d-4129-883d-da42d9c8027d	21	Elisabetta Curridori	F	FPRO	2	4:10:19	0:28:27	0:02:49	2:14:59	0:00:41	1:23:23	IT	
70b05a1a-1649-4f1b-bfdc-0201cb5eb2c7	22	Vaggelis Euaggelou	M	M35-39	1	4:13:18	0:32:41	0:04:08	2:09:51	0:01:37	1:25:01	Cyprus	
81c841d1-0a5b-4e68-88f1-86a147aa832c	23	Agnieszka Jerzyk	F	FPRO	3	4:13:41	0:28:49	0:02:59	2:14:30	0:01:08	1:26:15	Poland	
56eb68bd-6346-4162-a78c-add5e7469a27	24	Freddie Allinson	M	M18-24	1	4:13:51	0:34:03	0:04:07	2:07:10	0:01:22	1:27:09	GB	
1786a4ac-0d49-4029-9cf6-01059bfc7376	25	Heynrich Du Toit	M	M30-34	4	4:14:00	0:32:41	0:05:21	2:09:37	0:02:08	1:24:13	NEW ZEALAND	
916f066f-d6e7-418d-824f-9f0d931bebf5	26	Rene Gruner	M	M40-44	1	4:15:58	0:31:05	0:03:46	2:12:07	0:02:19	1:26:41	Germany	
ac943918-1e5f-4608-b74a-7c4ba1663258	27	Kresimir Ivkovic	M	M40-44	2	4:16:12	0:30:24	0:04:18	2:10:11	0:01:32	1:29:47	deu	
67981ef8-ac27-4c7b-902f-688e66138f6b	28	Michal Marciniak	M	M40-44	3	4:17:44	0:31:53	0:03:34	2:13:40	0:01:02	1:27:35	PL	
f5b3c35d-c06b-49b0-a0a6-ea3e8b4902dd	29	Marek Drob	M	M35-39	2	4:18:42	0:35:17	0:03:47	2:13:32	0:00:44	1:25:22	Poland	
